,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
575517,2007-11-08,AREX,12.5,13.42,12.1,12.59,12.59,1969800
575518,2007-11-09,AREX,12.83,12.98,12.5,12.75,12.75,75400
575519,2007-11-12,AREX,12.75,13.5,12.74,13.25,13.25,121100
575520,2007-11-13,AREX,13.35,13.35,12.6,12.9,12.9,50800
575521,2007-11-14,AREX,12.6,13.0,12.5,12.95,12.95,56600
575522,2007-11-15,AREX,12.96,12.96,12.61,12.65,12.65,26100
575523,2007-11-16,AREX,12.7,12.85,12.52,12.52,12.52,50200
575524,2007-11-19,AREX,12.5,12.79,12.5,12.69,12.69,24100
575525,2007-11-20,AREX,12.84,12.85,12.5,12.8,12.8,18200
575526,2007-11-21,AREX,12.85,12.9,12.5,12.6,12.6,28400
575527,2007-11-23,AREX,12.89,12.95,12.62,12.9,12.9,19600
575528,2007-11-26,AREX,12.75,12.84,12.52,12.84,12.84,91900
575529,2007-11-27,AREX,12.51,12.75,12.51,12.63,12.63,43600
575530,2007-11-28,AREX,12.65,12.75,12.58,12.65,12.65,171600
575531,2007-11-29,AREX,12.68,12.73,12.6,12.72,12.72,17600
575532,2007-11-30,AREX,12.75,12.9,12.65,12.9,12.9,18800
575533,2007-12-03,AREX,12.65,12.77,12.61,12.76,12.76,4200
575534,2007-12-04,AREX,12.68,12.95,12.66,12.95,12.95,23100
575535,2007-12-05,AREX,13.0,13.0,12.78,13.0,13.0,35700
575536,2007-12-06,AREX,12.71,13.36,12.71,13.36,13.36,41600
575537,2007-12-07,AREX,13.11,13.6,13.0,13.41,13.41,38400
575538,2007-12-10,AREX,13.28,13.36,13.0,13.05,13.05,22300
575539,2007-12-11,AREX,13.0,13.19,12.5,12.8,12.8,29700
575540,2007-12-12,AREX,13.07,13.07,12.76,12.93,12.93,21800
575541,2007-12-13,AREX,12.9,12.98,12.5,12.84,12.84,22300
575542,2007-12-14,AREX,12.6,12.75,12.5,12.74,12.74,16000
