,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
682225,1998-06-03,ASRVP,25.5,25.5,25.5,25.5,4.28,0
682226,1998-06-04,ASRVP,25.5,25.5,25.5,25.5,4.28,400
682227,1998-06-05,ASRVP,25.63,25.63,25.63,25.63,4.3,1000
682228,1998-06-08,ASRVP,25.63,25.63,25.63,25.63,4.3,0
682229,1998-06-09,ASRVP,25.38,25.38,25.38,25.38,4.26,500
682230,1998-06-10,ASRVP,25.63,25.63,25.63,25.63,4.3,800
682231,1998-06-11,ASRVP,25.63,25.63,25.63,25.63,4.3,0
682232,1998-06-12,ASRVP,25.75,25.75,25.63,25.63,4.3,2200
682233,1998-06-15,ASRVP,25.88,25.88,25.5,25.5,4.28,2000
682234,1998-06-16,ASRVP,25.5,25.5,25.5,25.5,4.28,0
682235,1998-06-17,ASRVP,25.5,25.63,25.5,25.63,4.3,1300
682236,1998-06-18,ASRVP,25.25,25.25,25.0,25.0,4.2,1400
682237,1998-06-19,ASRVP,25.0,25.0,25.0,25.0,4.2,0
682238,1998-06-22,ASRVP,24.88,25.25,24.88,25.25,4.24,500
682239,1998-06-23,ASRVP,25.25,25.25,25.25,25.25,4.24,0
682240,1998-06-24,ASRVP,25.5,25.5,25.5,25.5,4.28,2700
682241,1998-06-25,ASRVP,24.75,25.0,24.75,25.0,4.26,4000
682242,1998-06-26,ASRVP,25.0,25.0,25.0,25.0,4.26,0
682243,1998-06-29,ASRVP,25.0,25.25,25.0,25.25,4.3,500
682244,1998-06-30,ASRVP,25.25,25.25,25.25,25.25,4.3,400
682245,1998-07-01,ASRVP,25.25,25.25,25.25,25.25,4.3,1000
682246,1998-07-02,ASRVP,25.5,25.75,25.38,25.38,4.32,3800
682247,1998-07-06,ASRVP,25.38,25.38,25.38,25.38,4.32,300
682248,1998-07-07,ASRVP,25.38,25.75,25.38,25.38,4.32,3700
682249,1998-07-08,ASRVP,25.5,25.5,25.5,25.5,4.34,400
682250,1998-07-09,ASRVP,25.75,26.0,25.75,26.0,4.43,400
682251,1998-07-10,ASRVP,26.0,26.0,26.0,26.0,4.43,2400
682252,1998-07-13,ASRVP,25.63,25.63,25.63,25.63,4.36,400
682253,1998-07-14,ASRVP,26.0,26.0,25.63,25.63,4.36,26300
682254,1998-07-15,ASRVP,25.63,25.63,25.63,25.63,4.36,0
682255,1998-07-16,ASRVP,26.0,26.0,26.0,26.0,4.43,500
682256,1998-07-17,ASRVP,25.63,26.0,25.5,25.5,4.34,31800
682257,1998-07-20,ASRVP,25.63,26.0,25.5,26.0,4.43,14800
682258,1998-07-21,ASRVP,26.0,26.0,25.5,25.5,4.34,2200
682259,1998-07-22,ASRVP,25.56,25.56,25.5,25.5,4.34,3700
682260,1998-07-23,ASRVP,26.0,26.0,26.0,26.0,4.43,2600
682261,1998-07-24,ASRVP,25.75,25.75,25.75,25.75,4.38,8000
682262,1998-07-27,ASRVP,25.5,25.5,25.5,25.5,4.34,700
682263,1998-07-28,ASRVP,25.63,25.63,25.63,25.63,4.36,4200
682264,1998-07-29,ASRVP,25.75,25.75,25.75,25.75,4.38,800
682265,1998-07-30,ASRVP,25.75,25.75,25.75,25.75,4.38,0
682266,1998-07-31,ASRVP,25.75,25.75,25.75,25.75,4.38,0
682267,1998-08-03,ASRVP,25.75,25.75,25.75,25.75,4.38,0
682268,1998-08-04,ASRVP,25.75,26.0,25.75,26.0,4.43,500
682269,1998-08-05,ASRVP,25.5,25.75,25.5,25.75,4.38,1600
682270,1998-08-06,ASRVP,25.88,25.88,25.75,25.75,4.38,700
682271,1998-08-07,ASRVP,25.88,25.88,25.52,25.69,4.37,160100
682272,1998-08-10,ASRVP,25.38,25.38,25.38,25.38,4.32,400
682273,1998-08-11,ASRVP,25.63,25.88,25.63,25.88,4.41,40000
