,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
758838,1990-01-02,ATRO,0.38,0.38,0.32,0.32,0.07,34900
758839,1990-01-03,ATRO,0.32,0.32,0.32,0.32,0.07,0
758840,1990-01-04,ATRO,0.35,0.35,0.35,0.35,0.08,300
758841,1990-01-05,ATRO,0.35,0.35,0.35,0.35,0.08,8000
758842,1990-01-08,ATRO,0.36,0.39,0.36,0.39,0.09,18500
758843,1990-01-09,ATRO,0.39,0.39,0.3,0.38,0.08,1200
758844,1990-01-10,ATRO,0.38,0.38,0.38,0.38,0.08,0
758845,1990-01-11,ATRO,0.38,0.38,0.38,0.38,0.08,0
758846,1990-01-12,ATRO,0.32,0.32,0.26,0.26,0.06,51200
758847,1990-01-15,ATRO,0.36,0.37,0.36,0.36,0.08,3300
758848,1990-01-16,ATRO,0.32,0.32,0.28,0.32,0.07,53100
758849,1990-01-17,ATRO,0.32,0.36,0.28,0.36,0.08,2400
758850,1990-01-18,ATRO,0.36,0.36,0.36,0.36,0.08,9000
758851,1990-01-19,ATRO,0.36,0.36,0.32,0.36,0.08,51500
758852,1990-01-22,ATRO,0.36,0.36,0.32,0.36,0.08,15100
758853,1990-01-23,ATRO,0.36,0.36,0.32,0.32,0.07,33000
758854,1990-01-24,ATRO,0.34,0.36,0.34,0.34,0.08,8900
758855,1990-01-25,ATRO,0.34,0.39,0.28,0.39,0.09,15100
758856,1990-01-26,ATRO,0.39,0.39,0.39,0.39,0.09,0
758857,1990-01-29,ATRO,0.39,0.39,0.39,0.39,0.09,0
758858,1990-01-30,ATRO,0.38,0.38,0.38,0.38,0.08,2600
758859,1990-01-31,ATRO,0.38,0.38,0.38,0.38,0.08,0
758860,1990-02-01,ATRO,0.39,0.39,0.39,0.39,0.09,6400
758861,1990-02-02,ATRO,0.39,0.39,0.39,0.39,0.09,5200
758862,1990-02-05,ATRO,0.39,0.39,0.39,0.39,0.09,0
758863,1990-02-06,ATRO,0.39,0.39,0.3,0.3,0.07,900
758864,1990-02-07,ATRO,0.3,0.3,0.3,0.3,0.07,16100
758865,1990-02-08,ATRO,0.32,0.36,0.32,0.32,0.07,46200
758866,1990-02-09,ATRO,0.32,0.36,0.32,0.36,0.08,59200
758867,1990-02-12,ATRO,0.39,0.39,0.39,0.39,0.09,7400
758868,1990-02-13,ATRO,0.39,0.4,0.36,0.39,0.09,7400
758869,1990-02-14,ATRO,0.34,0.34,0.34,0.34,0.08,200
758870,1990-02-15,ATRO,0.34,0.34,0.34,0.34,0.08,1000
758871,1990-02-16,ATRO,0.34,0.34,0.32,0.32,0.07,16700
758872,1990-02-20,ATRO,0.37,0.37,0.37,0.37,0.08,2600
758873,1990-02-21,ATRO,0.28,0.28,0.28,0.28,0.06,1600
758874,1990-02-22,ATRO,0.28,0.28,0.28,0.28,0.06,0
758875,1990-02-23,ATRO,0.32,0.37,0.32,0.32,0.07,2800
758876,1990-02-26,ATRO,0.36,0.36,0.36,0.36,0.08,21600
758877,1990-02-27,ATRO,0.35,0.35,0.28,0.35,0.08,16200
758878,1990-02-28,ATRO,0.32,0.32,0.24,0.3,0.07,856500
758879,1990-03-01,ATRO,0.35,0.35,0.35,0.35,0.08,200
758880,1990-03-02,ATRO,0.32,0.32,0.32,0.32,0.07,900
758881,1990-03-05,ATRO,0.32,0.32,0.32,0.32,0.07,0
758882,1990-03-06,ATRO,0.3,0.3,0.3,0.3,0.07,1200
758883,1990-03-07,ATRO,0.3,0.3,0.3,0.3,0.07,0
758884,1990-03-08,ATRO,0.3,0.3,0.3,0.3,0.07,0
758885,1990-03-09,ATRO,0.3,0.3,0.3,0.3,0.07,0
758886,1990-03-12,ATRO,0.32,0.33,0.32,0.32,0.07,4900
758887,1990-03-13,ATRO,0.33,0.33,0.33,0.33,0.07,16700
758888,1990-03-14,ATRO,0.33,0.33,0.33,0.33,0.07,0
758889,1990-03-15,ATRO,0.32,0.32,0.32,0.32,0.07,900
758890,1990-03-16,ATRO,0.32,0.32,0.32,0.32,0.07,300
