,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
878663,2001-07-31,BABY,14.5,15.2,14.5,14.9,14.9,108800
878664,2001-08-01,BABY,15.0,15.17,14.2,15.0,15.0,53600
878665,2001-08-02,BABY,14.85,15.42,14.85,15.12,15.12,97700
878666,2001-08-03,BABY,15.12,15.3,14.82,15.12,15.12,25800
878667,2001-08-06,BABY,14.93,15.05,14.43,14.9,14.9,42200
878668,2001-08-07,BABY,14.95,15.1,14.55,14.93,14.93,37700
878669,2001-08-08,BABY,14.7,15.05,14.7,15.05,15.05,29600
878670,2001-08-09,BABY,14.76,15.05,14.56,15.05,15.05,30500
878671,2001-08-10,BABY,14.75,14.88,14.0,14.4,14.4,39900
878672,2001-08-13,BABY,14.65,15.24,14.65,15.2,15.2,77300
878673,2001-08-14,BABY,15.0,15.15,14.81,14.81,14.81,20900
878674,2001-08-15,BABY,15.2,15.21,14.6,14.6,14.6,23200
878675,2001-08-16,BABY,14.55,14.83,14.55,14.75,14.75,33500
878676,2001-08-17,BABY,14.6,14.8,14.6,14.75,14.75,73800
878677,2001-08-20,BABY,14.82,14.93,14.51,14.51,14.51,20700
878678,2001-08-21,BABY,14.48,14.85,14.38,14.38,14.38,32400
878679,2001-08-22,BABY,14.35,14.5,14.23,14.23,14.23,3100
878680,2001-08-23,BABY,14.19,14.3,14.15,14.18,14.18,46900
878681,2001-08-24,BABY,14.25,14.31,14.01,14.2,14.2,86500
878682,2001-08-27,BABY,14.1,14.6,14.1,14.15,14.15,11400
878683,2001-08-28,BABY,14.15,14.93,14.15,14.55,14.55,77500
878684,2001-08-29,BABY,14.8,14.8,14.15,14.24,14.24,56600
878685,2001-08-30,BABY,14.2,14.25,13.66,13.66,13.66,38500
878686,2001-08-31,BABY,13.71,13.86,13.3,13.3,13.3,83600
878687,2001-09-04,BABY,13.26,13.26,12.51,12.9,12.9,195600
878688,2001-09-05,BABY,13.0,13.6,12.7,12.7,12.7,121400
878689,2001-09-06,BABY,12.95,13.1,12.64,12.9,12.9,96900
878690,2001-09-07,BABY,12.65,12.65,12.55,12.55,12.55,142600
878691,2001-09-10,BABY,12.45,12.65,12.45,12.65,12.65,2900
878692,2001-09-17,BABY,12.53,13.15,12.41,12.75,12.75,19500
878693,2001-09-18,BABY,12.72,12.99,12.61,12.9,12.9,16900
878694,2001-09-19,BABY,12.7,12.7,12.13,12.2,12.2,325700
878695,2001-09-20,BABY,12.05,12.05,8.65,8.65,8.65,515200
878696,2001-09-21,BABY,8.65,9.35,7.95,8.35,8.35,54500
878697,2001-09-24,BABY,8.75,8.75,8.1,8.75,8.75,9400
878698,2001-09-25,BABY,8.55,8.75,7.25,7.25,7.25,53500
878699,2001-09-26,BABY,7.41,7.76,6.95,7.1,7.1,346900
878700,2001-09-27,BABY,7.25,7.7,6.85,7.35,7.35,210600
878701,2001-09-28,BABY,7.5,8.25,7.23,7.65,7.65,226600
878702,2001-10-01,BABY,7.95,8.94,7.42,8.5,8.5,76400
878703,2001-10-02,BABY,9.03,9.32,8.5,8.91,8.91,41200
878704,2001-10-03,BABY,4.26,4.3,2.5,4.0,4.0,6429800
878705,2001-10-04,BABY,4.35,4.54,3.9,4.0,4.0,749500
878706,2001-10-05,BABY,4.11,4.16,3.75,4.08,4.08,379300
878707,2001-10-08,BABY,4.08,4.14,3.9,3.96,3.96,72800
878708,2001-10-09,BABY,3.97,4.1,3.95,4.0,4.0,83400
878709,2001-10-10,BABY,4.01,4.55,4.0,4.35,4.35,472600
878710,2001-10-11,BABY,4.45,5.05,4.25,4.7,4.7,348400
878711,2001-10-12,BABY,4.65,4.85,4.4,4.64,4.64,118400
878712,2001-10-15,BABY,4.65,4.85,4.5,4.65,4.65,285900
878713,2001-10-16,BABY,4.7,4.75,4.55,4.56,4.56,18500
878714,2001-10-17,BABY,4.79,4.8,4.55,4.55,4.55,27100
878715,2001-10-18,BABY,4.66,4.8,4.65,4.65,4.65,31100
878716,2001-10-19,BABY,4.81,5.16,4.65,5.15,5.15,222000
878717,2001-10-22,BABY,5.15,6.29,5.0,5.69,5.69,155900
878718,2001-10-23,BABY,5.69,5.7,5.05,5.46,5.46,74000
878719,2001-10-24,BABY,5.94,5.98,5.25,5.45,5.45,71500
878720,2001-10-25,BABY,5.45,5.45,4.96,5.0,5.0,85900
878721,2001-10-26,BABY,5.01,5.21,4.7,4.9,4.9,106600
878722,2001-10-29,BABY,5.0,5.05,4.95,5.01,5.01,14900
878723,2001-10-30,BABY,5.13,5.14,4.92,5.0,5.0,22200
878724,2001-10-31,BABY,5.0,5.11,4.96,4.98,4.98,20600
878725,2001-11-01,BABY,5.12,5.12,4.97,5.0,5.0,20900
878726,2001-11-02,BABY,5.05,5.24,5.0,5.19,5.19,685300
878727,2001-11-05,BABY,5.36,5.4,5.12,5.28,5.28,6200
878728,2001-11-06,BABY,5.2,5.2,4.6,4.85,4.85,811400
878729,2001-11-07,BABY,3.85,4.3,3.46,4.0,4.0,1221400
878730,2001-11-08,BABY,4.14,4.2,3.88,4.04,4.04,273700
878731,2001-11-09,BABY,3.95,4.08,3.95,4.0,4.0,9900
878732,2001-11-12,BABY,4.05,4.1,3.92,4.0,4.0,298200
878733,2001-11-13,BABY,4.05,4.1,4.0,4.01,4.01,57700
878734,2001-11-14,BABY,4.15,4.15,3.91,4.02,4.02,263000
878735,2001-11-15,BABY,4.02,4.05,3.95,4.0,4.0,145200
878736,2001-11-16,BABY,3.99,4.05,3.88,4.0,4.0,131800
878737,2001-11-19,BABY,4.05,4.05,3.91,4.02,4.02,41100
878738,2001-11-20,BABY,4.04,4.05,3.92,3.92,3.92,10900
878739,2001-11-21,BABY,4.0,4.08,3.97,4.0,4.0,76200
878740,2001-11-23,BABY,4.1,4.1,4.06,4.06,4.06,2600
878741,2001-11-26,BABY,4.1,4.1,4.01,4.01,4.01,11200
878742,2001-11-27,BABY,4.19,4.2,4.0,4.05,4.05,7200
878743,2001-11-28,BABY,4.15,4.15,3.92,3.92,3.92,26600
878744,2001-11-29,BABY,3.97,4.05,3.85,3.9,3.9,13200
878745,2001-11-30,BABY,3.97,4.08,3.93,3.93,3.93,6700
878746,2001-12-03,BABY,4.12,4.12,3.95,4.0,4.0,103100
