,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1235044,1991-11-14,BSTC,3.63,3.75,3.63,3.63,3.63,220200
1235045,1991-11-15,BSTC,3.75,3.81,3.75,3.75,3.75,211400
1235046,1991-11-18,BSTC,3.75,3.75,3.75,3.75,3.75,136400
1235047,1991-11-19,BSTC,3.75,3.75,3.75,3.75,3.75,175200
1235048,1991-11-20,BSTC,3.88,3.88,3.88,3.88,3.88,127200
1235049,1991-11-21,BSTC,4.0,4.0,4.0,4.0,4.0,50200
1235050,1991-11-22,BSTC,4.0,4.0,4.0,4.0,4.0,92400
1235051,1991-11-25,BSTC,4.0,4.0,4.0,4.0,4.0,89000
1235052,1991-11-26,BSTC,4.0,4.0,4.0,4.0,4.0,28800
1235053,1991-11-27,BSTC,4.0,4.0,4.0,4.0,4.0,84200
1235054,1991-11-29,BSTC,4.0,4.0,4.0,4.0,4.0,18000
1235055,1991-12-02,BSTC,4.0,4.0,4.0,4.0,4.0,12000
1235056,1991-12-03,BSTC,4.0,4.0,4.0,4.0,4.0,132400
1235057,1991-12-04,BSTC,4.13,4.13,4.13,4.13,4.13,66000
1235058,1991-12-05,BSTC,4.13,4.13,4.13,4.13,4.13,48200
1235059,1991-12-06,BSTC,4.13,4.13,4.13,4.13,4.13,52000
1235060,1991-12-09,BSTC,4.13,4.13,4.13,4.13,4.13,5600
1235061,1991-12-10,BSTC,4.25,4.25,4.25,4.25,4.25,39000
1235062,1991-12-11,BSTC,4.25,4.25,4.25,4.25,4.25,107400
1235063,1991-12-12,BSTC,4.25,4.25,4.25,4.25,4.25,49600
1235064,1991-12-13,BSTC,4.31,4.31,4.31,4.31,4.31,57400
1235065,1991-12-16,BSTC,4.31,4.31,4.31,4.31,4.31,22400
1235066,1991-12-17,BSTC,4.38,4.38,4.38,4.38,4.38,62200
1235067,1991-12-18,BSTC,4.63,4.63,4.63,4.63,4.63,114000
1235068,1991-12-19,BSTC,5.25,5.25,5.25,5.25,5.25,253800
1235069,1991-12-20,BSTC,6.13,6.13,6.13,6.13,6.13,223800
1235070,1991-12-23,BSTC,6.25,6.25,6.25,6.25,6.25,71800
1235071,1991-12-24,BSTC,7.5,7.5,7.5,7.5,7.5,135200
1235072,1991-12-26,BSTC,9.63,9.63,9.63,9.63,9.63,294600
1235073,1991-12-27,BSTC,7.25,7.25,7.25,7.25,7.25,294200
1235074,1991-12-30,BSTC,7.0,7.0,7.0,7.0,7.0,97600
1235075,1991-12-31,BSTC,7.0,7.0,7.0,7.0,7.0,27800
1235076,1992-01-02,BSTC,7.13,7.13,7.13,7.13,7.13,28800
1235077,1992-01-03,BSTC,7.5,7.5,7.5,7.5,7.5,77800
1235078,1992-01-06,BSTC,7.5,7.5,7.5,7.5,7.5,80400
1235079,1992-01-07,BSTC,7.38,7.38,7.38,7.38,7.38,61800
1235080,1992-01-08,BSTC,7.38,7.38,7.38,7.38,7.38,18200
1235081,1992-01-09,BSTC,7.38,7.38,7.38,7.38,7.38,39600
1235082,1992-01-10,BSTC,7.38,7.38,7.38,7.38,7.38,20800
1235083,1992-01-13,BSTC,7.38,7.38,7.38,7.38,7.38,18400
1235084,1992-01-14,BSTC,7.38,7.38,7.38,7.38,7.38,24000
1235085,1992-01-15,BSTC,7.38,7.38,7.38,7.38,7.38,47200
1235086,1992-01-16,BSTC,7.69,7.69,7.69,7.69,7.69,97800
1235087,1992-01-17,BSTC,7.88,7.88,7.88,7.88,7.88,45600
1235088,1992-01-20,BSTC,7.88,7.88,7.88,7.88,7.88,6800
1235089,1992-01-21,BSTC,8.63,8.63,8.63,8.63,8.63,77600
1235090,1992-01-22,BSTC,9.13,9.13,9.13,9.13,9.13,81800
1235091,1992-01-23,BSTC,9.13,9.13,9.13,9.13,9.13,44400
1235092,1992-01-24,BSTC,9.13,9.13,9.13,9.13,9.13,46600
1235093,1992-01-27,BSTC,9.13,9.13,9.13,9.13,9.13,82200
1235094,1992-01-28,BSTC,8.63,8.63,8.63,8.63,8.63,42800
1235095,1992-01-29,BSTC,8.75,8.75,8.75,8.75,8.75,84400
1235096,1992-01-30,BSTC,9.25,9.25,9.25,9.25,9.25,50800
1235097,1992-01-31,BSTC,9.25,9.25,9.25,9.25,9.25,8600
1235098,1992-02-03,BSTC,9.25,9.25,9.25,9.25,9.25,15200
1235099,1992-02-04,BSTC,9.25,9.25,9.25,9.25,9.25,39200
1235100,1992-02-05,BSTC,9.63,9.63,9.63,9.63,9.63,69000
1235101,1992-02-06,BSTC,10.25,10.25,10.25,10.25,10.25,67600
1235102,1992-02-07,BSTC,10.31,10.31,10.31,10.31,10.31,43600
1235103,1992-02-10,BSTC,10.31,10.31,10.31,10.31,10.31,12200
1235104,1992-02-11,BSTC,10.31,10.31,10.31,10.31,10.31,26000
1235105,1992-02-12,BSTC,10.31,10.31,10.31,10.31,10.31,33400
1235106,1992-02-13,BSTC,10.38,10.38,10.38,10.38,10.38,43400
1235107,1992-02-14,BSTC,10.5,10.5,10.5,10.5,10.5,25600
1235108,1992-02-18,BSTC,10.5,10.5,10.5,10.5,10.5,57000
1235109,1992-02-19,BSTC,10.63,10.63,10.63,10.63,10.63,98800
1235110,1992-02-20,BSTC,10.56,10.56,10.56,10.56,10.56,42800
1235111,1992-02-21,BSTC,10.56,10.56,10.56,10.56,10.56,45800
1235112,1992-02-24,BSTC,10.56,10.56,10.56,10.56,10.56,45200
1235113,1992-02-25,BSTC,11.0,11.0,11.0,11.0,11.0,54600
1235114,1992-02-26,BSTC,11.38,11.38,11.38,11.38,11.38,96800
1235115,1992-02-27,BSTC,11.75,11.75,11.75,11.75,11.75,74600
1235116,1992-02-28,BSTC,11.88,11.88,11.88,11.88,11.88,43600
1235117,1992-03-02,BSTC,12.5,12.5,12.38,12.38,12.38,116400
1235118,1992-03-03,BSTC,12.63,13.25,12.5,13.25,13.25,185400
1235119,1992-03-04,BSTC,13.25,13.75,13.0,13.5,13.5,136000
1235120,1992-03-05,BSTC,13.63,13.63,13.5,13.5,13.5,64800
