,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2101460,2012-03-22,CSTE,10.99,11.52,10.7,11.11,10.73,4904100
2101461,2012-03-23,CSTE,11.04,11.56,10.93,11.01,10.64,821500
2101462,2012-03-26,CSTE,11.11,11.25,11.0,11.16,10.78,400300
2101463,2012-03-27,CSTE,11.24,11.25,11.1,11.2,10.82,132400
2101464,2012-03-28,CSTE,11.25,12.33,11.2,11.96,11.55,397400
2101465,2012-03-29,CSTE,11.9,11.95,11.6,11.68,11.28,86800
2101466,2012-03-30,CSTE,11.93,12.0,11.61,11.62,11.23,46000
2101467,2012-04-02,CSTE,11.84,11.84,11.61,11.7,11.3,93800
2101468,2012-04-03,CSTE,11.95,11.95,11.64,11.7,11.3,46500
2101469,2012-04-04,CSTE,11.7,11.81,11.7,11.77,11.37,71200
2101470,2012-04-05,CSTE,11.6,12.39,11.6,12.32,11.9,38900
2101471,2012-04-09,CSTE,12.0,12.32,12.0,12.2,11.79,193400
2101472,2012-04-10,CSTE,12.31,12.75,12.2,12.21,11.8,94400
2101473,2012-04-11,CSTE,12.25,12.27,12.06,12.21,11.8,47500
2101474,2012-04-12,CSTE,12.01,12.47,12.01,12.3,11.88,34400
2101475,2012-04-13,CSTE,12.34,12.48,12.23,12.44,12.02,21400
2101476,2012-04-16,CSTE,12.6,12.6,12.31,12.37,11.95,51100
2101477,2012-04-17,CSTE,12.56,12.56,12.05,12.4,11.98,52000
2101478,2012-04-18,CSTE,12.35,12.41,12.27,12.35,11.93,48900
2101479,2012-04-19,CSTE,12.54,12.54,12.21,12.41,11.99,186100
2101480,2012-04-20,CSTE,12.4,12.46,12.05,12.36,11.94,180500
2101481,2012-04-23,CSTE,12.07,12.31,12.07,12.31,11.89,30100
2101482,2012-04-24,CSTE,12.32,12.4,12.18,12.3,11.88,26600
2101483,2012-04-25,CSTE,12.43,12.43,12.06,12.26,11.84,41300
2101484,2012-04-26,CSTE,12.11,12.39,12.11,12.37,11.95,54300
2101485,2012-04-27,CSTE,12.39,12.39,12.2,12.25,11.83,71000
2101486,2012-04-30,CSTE,12.31,12.49,12.3,12.38,11.96,179600
2101487,2012-05-01,CSTE,12.49,13.37,12.44,13.01,12.57,312200
2101488,2012-05-02,CSTE,13.1,13.3,12.78,13.25,12.8,113000
2101489,2012-05-03,CSTE,13.05,13.36,13.05,13.25,12.8,23700
2101490,2012-05-04,CSTE,13.09,13.34,12.25,12.8,12.37,146200
2101491,2012-05-07,CSTE,13.43,13.43,12.95,13.09,12.65,123600
2101492,2012-05-08,CSTE,13.66,13.88,12.35,13.0,12.56,698200
2101493,2012-05-09,CSTE,12.87,12.98,12.56,12.95,12.51,82400
2101494,2012-05-10,CSTE,12.97,13.29,12.69,12.94,12.5,150000
2101495,2012-05-11,CSTE,12.91,13.34,12.77,13.0,12.56,38600
2101496,2012-05-14,CSTE,13.0,13.19,12.77,12.97,12.53,93000
2101497,2012-05-15,CSTE,13.03,13.22,12.68,12.77,12.34,125400
2101498,2012-05-16,CSTE,12.78,13.0,12.6,12.6,12.17,34000
2101499,2012-05-17,CSTE,12.54,12.69,12.02,12.15,11.74,44500
2101500,2012-05-18,CSTE,12.27,12.44,12.24,12.35,11.93,56000
2101501,2012-05-21,CSTE,12.65,12.78,12.12,12.25,11.83,86100
2101502,2012-05-22,CSTE,12.33,12.58,11.51,11.57,11.18,151600
2101503,2012-05-23,CSTE,11.58,11.63,10.75,11.05,10.68,227600
2101504,2012-05-24,CSTE,11.05,11.47,11.03,11.45,11.06,100800
2101505,2012-05-25,CSTE,11.49,11.85,11.37,11.81,11.41,14100
2101506,2012-05-29,CSTE,11.85,12.21,11.76,12.09,11.68,121400
2101507,2012-05-30,CSTE,12.08,12.08,11.74,11.78,11.38,24200
2101508,2012-05-31,CSTE,11.74,12.06,11.71,12.03,11.62,42600
2101509,2012-06-01,CSTE,11.76,11.91,11.5,11.7,11.3,25000
2101510,2012-06-04,CSTE,11.77,12.01,11.49,11.87,11.47,38000
2101511,2012-06-05,CSTE,11.81,11.99,11.61,11.76,11.36,97900
2101512,2012-06-06,CSTE,11.81,12.05,11.51,11.96,11.55,75500
2101513,2012-06-07,CSTE,12.03,12.03,11.85,11.87,11.47,62600
2101514,2012-06-08,CSTE,11.84,11.93,11.8,11.8,11.4,8600
2101515,2012-06-11,CSTE,11.9,12.2,11.57,11.9,11.5,107200
2101516,2012-06-12,CSTE,11.95,12.0,11.69,11.9,11.5,15400
2101517,2012-06-13,CSTE,11.8,11.93,11.7,11.84,11.44,21300
2101518,2012-06-14,CSTE,11.83,12.17,11.83,11.91,11.51,75700
