,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2140775,1997-11-14,CTHR,12.2,12.4,11.6,11.8,11.49,1271000
2140776,1997-11-17,CTHR,11.9,12.0,11.6,11.7,11.4,128700
2140777,1997-11-18,CTHR,11.7,12.0,11.7,11.8,11.49,230000
2140778,1997-11-19,CTHR,11.95,11.95,11.65,11.75,11.44,194600
2140779,1997-11-20,CTHR,11.85,12.05,11.6,11.9,11.59,113700
2140780,1997-11-21,CTHR,12.0,12.1,11.85,11.9,11.59,162500
2140781,1997-11-24,CTHR,11.95,11.95,11.5,11.5,11.2,145700
2140782,1997-11-25,CTHR,11.7,11.7,10.3,10.6,10.32,162200
2140783,1997-11-26,CTHR,10.8,10.85,10.7,10.7,10.42,49500
2140784,1997-11-28,CTHR,10.75,10.85,10.4,10.4,10.13,33500
2140785,1997-12-01,CTHR,10.3,10.3,9.65,9.65,9.4,110200
2140786,1997-12-02,CTHR,9.8,10.5,9.5,10.2,9.93,201200
2140787,1997-12-03,CTHR,10.3,11.0,10.3,10.8,10.52,275300
2140788,1997-12-04,CTHR,11.1,12.4,10.8,12.1,11.79,551800
2140789,1997-12-05,CTHR,12.1,12.5,11.7,12.0,11.69,191600
2140790,1997-12-08,CTHR,12.2,12.3,11.9,12.0,11.69,36500
2140791,1997-12-09,CTHR,12.1,12.1,11.5,11.5,11.2,90800
2140792,1997-12-10,CTHR,11.3,11.6,11.0,11.1,10.81,38200
2140793,1997-12-11,CTHR,11.2,11.2,10.55,10.7,10.42,29100
2140794,1997-12-12,CTHR,10.6,11.6,10.6,11.0,10.71,54200
2140795,1997-12-15,CTHR,11.3,11.4,10.9,11.2,10.91,56000
2140796,1997-12-16,CTHR,11.4,11.5,11.2,11.2,10.91,49200
2140797,1997-12-17,CTHR,11.5,11.5,11.0,11.3,11.01,18600
2140798,1997-12-18,CTHR,11.3,11.3,9.8,10.1,9.84,82100
2140799,1997-12-19,CTHR,9.7,10.1,9.5,10.0,9.74,111200
2140800,1997-12-22,CTHR,10.1,10.4,9.6,9.7,9.45,72500
2140801,1997-12-23,CTHR,10.0,10.4,9.8,10.4,10.13,130500
2140802,1997-12-24,CTHR,10.4,10.4,9.8,9.9,9.64,52300
2140803,1997-12-26,CTHR,10.0,10.0,9.7,9.8,9.55,9200
2140804,1997-12-29,CTHR,9.8,10.0,9.5,9.5,9.25,58800
2140805,1997-12-30,CTHR,9.6,9.7,9.3,9.4,9.16,50300
2140806,1997-12-31,CTHR,9.55,9.9,8.8,9.25,9.01,99700
2140807,1998-01-02,CTHR,9.2,9.4,9.2,9.3,9.06,4200
2140808,1998-01-05,CTHR,9.7,9.7,9.4,9.4,9.16,19100
2140809,1998-01-06,CTHR,9.6,9.6,9.2,9.5,9.25,17800
2140810,1998-01-07,CTHR,9.5,9.9,9.5,9.5,9.25,39800
2140811,1998-01-08,CTHR,9.5,9.7,9.4,9.55,9.3,31300
2140812,1998-01-09,CTHR,9.8,9.8,8.1,8.24,8.02,76300
2140813,1998-01-12,CTHR,8.1,8.7,7.9,8.4,8.18,49600
2140814,1998-01-13,CTHR,8.5,9.0,8.2,8.8,8.57,35800
2140815,1998-01-14,CTHR,8.8,9.3,8.8,9.3,9.06,26700
2140816,1998-01-15,CTHR,9.3,9.4,9.1,9.1,8.86,12200
2140817,1998-01-16,CTHR,9.2,9.7,9.1,9.6,9.35,80500
2140818,1998-01-20,CTHR,9.5,9.7,8.7,9.0,8.77,40300
2140819,1998-01-21,CTHR,9.0,9.0,8.6,8.65,8.42,33300
2140820,1998-01-22,CTHR,8.8,8.8,8.2,8.2,7.99,46000
2140821,1998-01-23,CTHR,8.2,8.3,7.8,8.1,7.89,76100
2140822,1998-01-26,CTHR,8.0,8.0,7.4,7.55,7.35,75200
2140823,1998-01-27,CTHR,7.55,8.2,7.4,8.15,7.94,67100
2140824,1998-01-28,CTHR,8.15,8.4,7.9,8.2,7.99,38100
2140825,1998-01-29,CTHR,8.2,8.4,8.0,8.0,7.79,23200
2140826,1998-01-30,CTHR,8.1,8.1,7.8,7.95,7.74,39800
2140827,1998-02-02,CTHR,7.95,7.95,7.3,7.8,7.6,48200
2140828,1998-02-03,CTHR,7.8,7.9,7.35,7.8,7.6,34100
2140829,1998-02-04,CTHR,7.6,7.9,7.6,7.9,7.69,11800
2140830,1998-02-05,CTHR,8.0,8.0,7.2,7.3,7.11,81200
2140831,1998-02-06,CTHR,7.5,7.5,6.9,6.9,6.72,61600
2140832,1998-02-09,CTHR,6.9,7.2,6.85,7.2,7.01,55100
2140833,1998-02-10,CTHR,7.3,7.3,6.8,6.85,6.67,71200
2140834,1998-02-11,CTHR,6.9,7.35,6.85,7.2,7.01,68700
2140835,1998-02-12,CTHR,7.05,7.6,6.8,7.1,6.92,119100
2140836,1998-02-13,CTHR,7.2,7.2,7.0,7.1,6.92,19600
2140837,1998-02-17,CTHR,7.2,7.6,7.2,7.5,7.3,39000
2140838,1998-02-18,CTHR,7.6,7.6,7.05,7.1,6.92,104600
2140839,1998-02-19,CTHR,7.3,7.5,7.1,7.4,7.21,57600
2140840,1998-02-20,CTHR,7.35,8.05,7.25,7.8,7.6,213000
2140841,1998-02-23,CTHR,7.85,8.05,7.85,7.85,7.65,33500
2140842,1998-02-24,CTHR,8.0,8.05,7.8,8.0,7.79,68100
2140843,1998-02-25,CTHR,8.0,9.15,8.0,8.9,8.67,139700
2140844,1998-02-26,CTHR,8.9,8.95,8.0,8.2,7.99,86700
2140845,1998-02-27,CTHR,8.2,8.2,7.7,7.85,7.65,51600
2140846,1998-03-02,CTHR,7.85,7.85,7.1,7.1,6.92,69300
2140847,1998-03-03,CTHR,7.0,7.5,6.85,7.15,6.96,21200
2140848,1998-03-04,CTHR,7.3,8.2,7.2,8.0,7.79,64200
2140849,1998-03-05,CTHR,8.05,8.05,7.8,7.8,7.6,32600
2140850,1998-03-06,CTHR,7.8,8.1,7.8,7.95,7.74,19500
2140851,1998-03-09,CTHR,8.0,8.05,7.9,8.0,7.79,64100
2140852,1998-03-10,CTHR,8.05,8.1,7.95,7.95,7.74,83100
2140853,1998-03-11,CTHR,8.1,9.0,7.95,8.4,8.18,181800
2140854,1998-03-12,CTHR,8.4,8.7,8.3,8.4,8.18,24800
2140855,1998-03-13,CTHR,8.5,8.5,8.0,8.0,7.79,58200
2140856,1998-03-16,CTHR,8.3,8.3,7.9,8.1,7.89,13600
2140857,1998-03-17,CTHR,8.3,8.3,7.9,8.0,7.79,29200
2140858,1998-03-18,CTHR,8.1,8.2,7.85,8.0,7.79,28000
2140859,1998-03-19,CTHR,7.8,8.1,7.75,7.75,7.55,25200
2140860,1998-03-20,CTHR,8.0,8.0,7.6,7.65,7.45,10500
2140861,1998-03-23,CTHR,7.65,7.65,7.5,7.55,7.35,15300
2140862,1998-03-24,CTHR,7.4,7.8,7.3,7.3,7.11,40100
2140863,1998-03-25,CTHR,7.25,7.8,7.25,7.8,7.6,36800
2140864,1998-03-26,CTHR,7.4,7.7,7.2,7.5,7.3,35500
2140865,1998-03-27,CTHR,7.5,7.8,7.5,7.5,7.3,12700
2140866,1998-03-30,CTHR,7.45,7.6,7.4,7.4,7.21,25600
2140867,1998-03-31,CTHR,7.8,7.8,7.3,7.3,7.11,8300
2140868,1998-04-01,CTHR,7.6,7.8,7.5,7.77,7.57,8500
2140869,1998-04-02,CTHR,7.6,7.8,7.6,7.7,7.5,48300
2140870,1998-04-03,CTHR,7.6,7.6,7.5,7.6,7.4,20500
2140871,1998-04-06,CTHR,7.7,7.7,7.4,7.4,7.21,6000
2140872,1998-04-07,CTHR,7.7,7.7,7.25,7.3,7.11,15800
2140873,1998-04-08,CTHR,7.2,7.4,7.1,7.1,6.92,24300
2140874,1998-04-09,CTHR,7.15,7.3,7.0,7.0,6.82,15100
2140875,1998-04-13,CTHR,7.25,7.25,7.0,7.0,6.82,34100
2140876,1998-04-14,CTHR,7.0,7.1,7.0,7.05,6.87,16800
2140877,1998-04-15,CTHR,7.0,7.2,6.85,7.2,7.01,104600
2140878,1998-04-16,CTHR,7.25,7.9,7.25,7.7,7.5,44600
2140879,1998-04-17,CTHR,7.9,7.9,7.2,7.45,7.26,42600
2140880,1998-04-20,CTHR,7.4,7.65,7.3,7.6,7.4,16700
2140881,1998-04-21,CTHR,7.55,7.7,7.3,7.7,7.5,20800
2140882,1998-04-22,CTHR,7.4,7.8,7.3,7.4,7.21,46100
2140883,1998-04-23,CTHR,7.4,7.5,7.1,7.2,7.01,25600
2140884,1998-04-24,CTHR,7.1,7.3,7.0,7.0,6.82,29100
2140885,1998-04-27,CTHR,7.2,7.4,7.0,7.15,6.96,89300
2140886,1998-04-28,CTHR,7.25,7.55,7.2,7.3,7.11,36600
2140887,1998-04-29,CTHR,7.3,7.7,7.3,7.7,7.5,67800
2140888,1998-04-30,CTHR,7.6,7.8,7.4,7.5,7.3,23600
2140889,1998-05-01,CTHR,7.5,7.6,7.3,7.5,7.3,44800
2140890,1998-05-04,CTHR,7.6,7.6,7.3,7.55,7.35,30200
2140891,1998-05-05,CTHR,7.5,7.7,7.3,7.3,7.11,37100
2140892,1998-05-06,CTHR,7.5,7.5,7.3,7.3,7.11,17700
2140893,1998-05-07,CTHR,7.5,7.5,7.1,7.3,7.11,25700
2140894,1998-05-08,CTHR,7.3,7.5,7.2,7.3,7.11,23800
2140895,1998-05-11,CTHR,7.6,7.7,7.4,7.7,7.5,81700
2140896,1998-05-12,CTHR,7.7,7.7,7.3,7.3,7.11,63200
2140897,1998-05-13,CTHR,7.4,7.4,7.2,7.2,7.01,22300
2140898,1998-05-14,CTHR,7.35,7.5,7.2,7.5,7.3,36200
2140899,1998-05-15,CTHR,7.3,7.75,7.3,7.6,7.4,40000
2140900,1998-05-18,CTHR,7.8,8.0,7.5,7.85,7.65,71000
2140901,1998-05-19,CTHR,7.85,7.9,7.7,7.7,7.5,93100
2140902,1998-05-20,CTHR,7.8,7.9,7.6,7.7,7.5,74200
2140903,1998-05-21,CTHR,7.7,7.7,7.5,7.6,7.4,23600
2140904,1998-05-22,CTHR,7.6,7.9,7.55,7.7,7.5,111700
2140905,1998-05-26,CTHR,7.7,7.85,7.5,7.5,7.3,24500
2140906,1998-05-27,CTHR,7.3,7.4,7.0,7.2,7.01,62300
2140907,1998-05-28,CTHR,7.1,7.45,7.05,7.3,7.11,50200
2140908,1998-05-29,CTHR,7.6,7.6,7.2,7.4,7.21,62000
2140909,1998-06-01,CTHR,7.4,7.4,7.0,7.0,6.82,34500
2140910,1998-06-02,CTHR,7.3,7.3,7.1,7.15,6.96,22300
2140911,1998-06-03,CTHR,7.2,7.4,7.15,7.4,7.21,23300
2140912,1998-06-04,CTHR,7.4,7.4,7.2,7.4,7.21,16200
2140913,1998-06-05,CTHR,7.4,7.4,7.15,7.2,7.01,49600
2140914,1998-06-08,CTHR,7.25,7.25,7.15,7.15,6.96,43000
2140915,1998-06-09,CTHR,7.2,7.2,7.1,7.1,6.92,37300
2140916,1998-06-10,CTHR,7.2,7.2,6.8,6.8,6.62,26600
2140917,1998-06-11,CTHR,7.0,7.0,6.4,6.8,6.62,79500
2140918,1998-06-12,CTHR,6.85,6.85,6.4,6.45,6.28,37200
2140919,1998-06-15,CTHR,6.65,6.65,6.0,6.1,5.94,55300
2140920,1998-06-16,CTHR,6.2,6.4,6.2,6.4,6.23,74500
2140921,1998-06-17,CTHR,6.5,6.6,6.4,6.4,6.23,42700
2140922,1998-06-18,CTHR,6.4,6.4,6.2,6.2,6.04,34000
2140923,1998-06-19,CTHR,6.3,6.3,6.2,6.25,6.09,19300
2140924,1998-06-22,CTHR,6.3,6.3,6.1,6.2,6.04,31300
2140925,1998-06-23,CTHR,6.3,6.3,6.05,6.05,5.89,24300
2140926,1998-06-24,CTHR,6.15,6.15,5.8,6.0,5.84,70200
2140927,1998-06-25,CTHR,6.1,6.6,6.0,6.6,6.43,342300
