,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2290976,2000-01-03,CYBR,1.1,1.12,1.08,1.12,1.12,3390000
2290977,2000-01-04,CYBR,1.14,1.16,1.1,1.16,1.16,8184000
2290978,2000-01-05,CYBR,1.12,1.14,1.1,1.1,1.1,6462000
2290979,2000-01-06,CYBR,1.08,1.12,1.08,1.12,1.12,1822000
2290980,2000-01-07,CYBR,1.12,1.16,1.12,1.12,1.12,4211000
2290981,2000-01-10,CYBR,1.1,1.1,1.04,1.1,1.1,3119000
2290982,2000-01-11,CYBR,1.1,1.1,1.06,1.06,1.06,1540000
2290983,2000-01-12,CYBR,1.06,1.06,1.04,1.06,1.06,906000
2290984,2000-01-13,CYBR,1.08,1.1,1.06,1.06,1.06,5425000
2290985,2000-01-14,CYBR,1.06,1.12,1.06,1.1,1.1,6639000
2290986,2000-01-18,CYBR,1.14,1.22,1.12,1.12,1.12,39232000
2290987,2000-01-19,CYBR,1.12,1.14,1.12,1.12,1.12,4198000
2290988,2000-01-20,CYBR,1.1,1.14,1.1,1.12,1.12,8989000
2290989,2000-01-21,CYBR,1.1,1.12,1.1,1.1,1.1,3875000
2290990,2000-01-24,CYBR,1.1,1.12,1.1,1.12,1.12,1740000
2290991,2000-01-25,CYBR,1.12,1.12,1.06,1.08,1.08,7524000
2290992,2000-01-26,CYBR,1.08,1.08,1.06,1.06,1.06,1718000
2290993,2000-01-27,CYBR,1.08,1.08,1.06,1.06,1.06,1313000
2290994,2000-01-28,CYBR,1.08,1.08,1.04,1.04,1.04,2380000
2290995,2000-01-31,CYBR,1.04,1.04,1.02,1.04,1.04,1160000
2290996,2000-02-01,CYBR,1.02,1.04,1.02,1.02,1.02,12275000
2290997,2000-02-02,CYBR,1.02,1.02,1.02,1.02,1.02,0
2290998,2000-02-03,CYBR,1.02,1.06,1.02,1.06,1.06,235000
2290999,2000-02-04,CYBR,1.08,1.08,1.08,1.08,1.08,220000
2291000,2000-02-07,CYBR,1.1,1.1,1.06,1.06,1.06,980000
2291001,2000-02-08,CYBR,1.04,1.06,1.04,1.06,1.06,97000
2291002,2000-02-09,CYBR,1.06,1.06,1.06,1.06,1.06,100000
2291003,2000-02-10,CYBR,1.04,1.04,1.02,1.02,1.02,1337000
2291004,2000-02-11,CYBR,1.02,1.02,1.0,1.0,1.0,2395000
2291005,2000-02-14,CYBR,1.0,1.0,0.98,1.0,1.0,970000
2291006,2000-02-15,CYBR,1.0,1.0,0.99,0.99,0.99,700000
2291007,2000-02-16,CYBR,0.98,0.98,0.9,0.9,0.9,1160000
2291008,2000-02-17,CYBR,0.92,0.95,0.92,0.93,0.93,570000
2291009,2000-02-18,CYBR,0.91,0.93,0.9,0.93,0.93,740000
2291010,2000-02-22,CYBR,0.95,0.95,0.87,0.87,0.87,1360000
2291011,2000-02-23,CYBR,0.85,0.9,0.85,0.85,0.85,0
2291012,2000-02-24,CYBR,0.88,0.9,0.88,0.89,0.89,750000
2291013,2000-02-25,CYBR,0.89,0.89,0.89,0.89,0.89,0
2291014,2000-02-28,CYBR,0.8,0.89,0.8,0.8,0.8,0
2291015,2000-02-29,CYBR,0.87,0.87,0.85,0.85,0.85,700000
2291016,2000-03-01,CYBR,0.78,0.78,0.78,0.78,0.78,50000
2291017,2000-03-02,CYBR,0.78,0.85,0.78,0.84,0.84,1920000
2291018,2000-03-03,CYBR,0.84,0.84,0.83,0.84,0.84,340000
2291019,2000-03-06,CYBR,0.85,0.95,0.85,0.93,0.93,410000
2291020,2000-03-07,CYBR,0.93,0.93,0.93,0.93,0.93,360000
2291021,2000-03-08,CYBR,0.84,0.9,0.84,0.84,0.84,0
2291022,2000-03-09,CYBR,0.9,0.9,0.9,0.9,0.9,30000
2291023,2000-03-10,CYBR,0.95,0.95,0.95,0.95,0.95,300000
2291024,2000-03-13,CYBR,0.95,0.95,0.84,0.84,0.84,450000
2291025,2000-03-14,CYBR,0.85,0.85,0.85,0.85,0.85,90000
2291026,2000-03-15,CYBR,0.85,0.85,0.85,0.85,0.85,440000
2291027,2000-03-16,CYBR,0.85,0.87,0.85,0.87,0.87,310000
2291028,2000-03-17,CYBR,0.83,0.83,0.83,0.83,0.83,220000
2291029,2000-03-20,CYBR,0.83,0.85,0.83,0.84,0.84,400000
2291030,2000-03-21,CYBR,0.84,0.84,0.84,0.84,0.84,360000
2291031,2000-03-22,CYBR,0.83,0.83,0.82,0.82,0.82,1300000
2291032,2000-03-23,CYBR,0.85,0.85,0.85,0.85,0.85,280000
2291033,2000-03-24,CYBR,0.86,0.86,0.83,0.83,0.83,210000
2291034,2000-03-27,CYBR,0.83,0.83,0.82,0.82,0.82,700000
2291035,2000-03-28,CYBR,0.82,0.82,0.8,0.81,0.81,1950000
2291036,2000-03-29,CYBR,0.81,0.81,0.8,0.81,0.81,1900000
2291037,2000-03-30,CYBR,0.8,0.8,0.8,0.8,0.8,200000
2291038,2000-03-31,CYBR,0.79,0.79,0.78,0.79,0.79,190000
2291039,2000-04-03,CYBR,0.77,0.77,0.77,0.77,0.77,10000
2291040,2000-04-04,CYBR,0.72,0.77,0.72,0.72,0.72,0
2291041,2000-04-05,CYBR,0.74,0.75,0.74,0.75,0.75,70000
2291042,2000-04-06,CYBR,0.75,0.75,0.75,0.75,0.75,40000
2291043,2000-04-07,CYBR,0.75,0.78,0.75,0.75,0.75,0
2291044,2000-04-10,CYBR,0.73,0.73,0.73,0.73,0.73,20000
2291045,2000-04-11,CYBR,0.73,0.73,0.73,0.73,0.73,640000
2291046,2000-04-12,CYBR,0.73,0.73,0.73,0.73,0.73,150000
2291047,2000-04-13,CYBR,0.73,0.73,0.73,0.73,0.73,30000
2291048,2000-04-14,CYBR,0.73,0.73,0.73,0.73,0.73,30000
2291049,2000-04-17,CYBR,0.73,0.73,0.71,0.71,0.71,400000
2291050,2000-04-18,CYBR,0.72,0.72,0.71,0.71,0.71,630000
2291051,2000-04-19,CYBR,0.71,0.71,0.71,0.71,0.71,100000
2291052,2000-04-20,CYBR,0.71,0.71,0.71,0.71,0.71,0
2291053,2000-04-24,CYBR,0.61,0.7,0.61,0.61,0.61,0
2291054,2000-04-25,CYBR,0.61,0.7,0.61,0.61,0.61,0
2291055,2000-04-26,CYBR,0.61,0.72,0.61,0.61,0.61,0
2291056,2000-04-27,CYBR,0.62,0.7,0.62,0.62,0.62,0
2291057,2000-04-28,CYBR,0.6,0.7,0.6,0.6,0.6,0
2291058,2000-05-01,CYBR,0.6,0.6,0.6,0.6,0.6,0
2291059,2000-05-02,CYBR,0.58,0.6,0.58,0.6,0.6,510000
2291060,2000-05-03,CYBR,0.6,0.61,0.6,0.6,0.6,660000
2291061,2000-05-04,CYBR,0.6,0.6,0.58,0.58,0.58,630000
2291062,2000-05-05,CYBR,0.57,0.6,0.57,0.57,0.57,0
2291063,2000-05-08,CYBR,0.55,0.55,0.55,0.55,0.55,100000
2291064,2000-05-09,CYBR,0.55,0.55,0.55,0.55,0.55,0
2291065,2000-05-10,CYBR,0.54,0.54,0.54,0.54,0.54,100000
2291066,2000-05-11,CYBR,0.54,0.54,0.53,0.53,0.53,540000
2291067,2000-05-12,CYBR,0.54,0.55,0.54,0.55,0.55,160000
2291068,2000-05-15,CYBR,0.7,0.7,0.52,0.52,0.52,330000
2291069,2000-05-16,CYBR,0.52,0.52,0.52,0.52,0.52,10000
2291070,2000-05-17,CYBR,0.55,0.55,0.55,0.55,0.55,180000
2291071,2000-05-18,CYBR,0.54,0.65,0.54,0.54,0.54,0
2291072,2000-05-19,CYBR,0.51,0.55,0.51,0.51,0.51,0
2291073,2000-05-22,CYBR,0.51,0.64,0.51,0.51,0.51,0
2291074,2000-05-23,CYBR,0.51,0.6,0.51,0.51,0.51,0
2291075,2000-05-24,CYBR,0.51,0.51,0.51,0.51,0.51,120000
2291076,2000-05-25,CYBR,0.52,0.52,0.52,0.52,0.52,280000
2291077,2000-05-26,CYBR,0.52,0.57,0.52,0.52,0.52,0
2291078,2000-05-30,CYBR,0.58,0.58,0.58,0.58,0.58,0
2291079,2000-05-31,CYBR,0.6,0.6,0.6,0.6,0.6,100000
2291080,2000-06-01,CYBR,0.58,0.58,0.58,0.58,0.58,50000
2291081,2000-06-02,CYBR,0.58,0.59,0.58,0.59,0.59,200000
2291082,2000-06-05,CYBR,0.59,0.64,0.59,0.64,0.64,580000
2291083,2000-06-06,CYBR,0.7,0.7,0.7,0.7,0.7,50000
2291084,2000-06-07,CYBR,0.65,0.65,0.65,0.65,0.65,60000
2291085,2000-06-08,CYBR,0.6,0.65,0.6,0.6,0.6,0
2291086,2000-06-09,CYBR,0.6,0.72,0.6,0.6,0.6,0
2291087,2000-06-12,CYBR,0.6,0.6,0.6,0.6,0.6,0
2291088,2000-06-13,CYBR,0.58,0.65,0.58,0.58,0.58,0
2291089,2000-06-14,CYBR,0.6,0.6,0.6,0.6,0.6,110000
2291090,2000-06-15,CYBR,0.6,0.6,0.6,0.6,0.6,10000
2291091,2000-06-16,CYBR,0.6,0.6,0.6,0.6,0.6,50000
2291092,2000-06-19,CYBR,0.6,0.69,0.6,0.6,0.6,0
2291093,2000-06-20,CYBR,0.61,0.62,0.61,0.62,0.62,450000
2291094,2000-06-21,CYBR,0.61,0.63,0.6,0.62,0.62,300000
2291095,2000-06-22,CYBR,0.65,0.66,0.6,0.6,0.6,130000
2291096,2000-06-23,CYBR,0.58,0.58,0.58,0.58,0.58,250000
2291097,2000-06-26,CYBR,0.55,0.55,0.55,0.55,0.55,40000
2291098,2000-06-27,CYBR,0.56,0.56,0.55,0.56,0.56,170000
2291099,2000-06-28,CYBR,0.55,0.56,0.55,0.55,0.55,0
2291100,2000-06-29,CYBR,0.55,0.67,0.55,0.55,0.55,0
2291101,2000-06-30,CYBR,0.64,0.64,0.64,0.64,0.64,100000
2291102,2000-07-03,CYBR,0.55,0.6,0.55,0.55,0.55,0
2291103,2000-07-05,CYBR,0.6,0.6,0.6,0.6,0.6,50000
2291104,2000-07-06,CYBR,0.6,0.6,0.6,0.6,0.6,50000
2291105,2000-07-07,CYBR,0.55,0.6,0.55,0.55,0.55,0
2291106,2000-07-10,CYBR,0.54,0.54,0.54,0.54,0.54,40000
2291107,2000-07-11,CYBR,0.54,0.55,0.53,0.55,0.55,700000
2291108,2000-07-12,CYBR,0.54,0.55,0.54,0.55,0.55,100000
2291109,2000-07-13,CYBR,0.59,0.66,0.59,0.63,0.63,425310000
2291110,2000-07-14,CYBR,0.63,0.63,0.58,0.58,0.58,330000
2291111,2000-07-17,CYBR,0.55,0.55,0.54,0.54,0.54,1300000
2291112,2000-07-18,CYBR,0.54,0.54,0.54,0.54,0.54,120000
2291113,2000-07-19,CYBR,0.54,0.54,0.54,0.54,0.54,120000
2291114,2000-07-20,CYBR,0.53,0.53,0.5,0.5,0.5,1200000
2291115,2000-07-21,CYBR,0.59,0.59,0.59,0.59,0.59,50000
2291116,2000-07-24,CYBR,0.45,0.58,0.45,0.45,0.45,0
2291117,2000-07-25,CYBR,0.51,0.51,0.51,0.51,0.51,60000
2291118,2000-07-26,CYBR,0.5,0.51,0.49,0.5,0.5,650000
2291119,2000-07-27,CYBR,0.49,0.5,0.49,0.5,0.5,70000
2291120,2000-07-28,CYBR,0.51,0.51,0.51,0.51,0.51,110000
