,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2606531,1998-09-24,EBAY,0.94,0.95,0.78,0.83,0.83,518656000
2606532,1998-09-25,EBAY,0.8,0.81,0.72,0.79,0.79,121255800
2606533,1998-09-28,EBAY,0.83,0.89,0.81,0.85,0.85,89772800
2606534,1998-09-29,EBAY,0.87,0.88,0.84,0.86,0.86,39289500
2606535,1998-09-30,EBAY,0.83,0.84,0.76,0.79,0.79,44113700
2606536,1998-10-01,EBAY,0.75,0.76,0.7,0.7,0.7,44433100
2606537,1998-10-02,EBAY,0.71,0.73,0.61,0.7,0.7,46816700
2606538,1998-10-05,EBAY,0.69,0.69,0.61,0.63,0.63,33832300
2606539,1998-10-06,EBAY,0.67,0.67,0.56,0.64,0.64,40270300
2606540,1998-10-07,EBAY,0.61,0.62,0.54,0.54,0.54,35058300
2606541,1998-10-08,EBAY,0.49,0.51,0.44,0.51,0.51,57172200
2606542,1998-10-09,EBAY,0.54,0.57,0.52,0.54,0.54,38519700
2606543,1998-10-12,EBAY,0.56,0.56,0.55,0.55,0.55,28198300
2606544,1998-10-13,EBAY,0.55,0.56,0.51,0.52,0.52,15430600
2606545,1998-10-14,EBAY,0.51,0.56,0.51,0.53,0.53,30935500
2606546,1998-10-15,EBAY,0.53,0.57,0.53,0.57,0.57,29144900
2606547,1998-10-16,EBAY,0.59,0.64,0.58,0.63,0.63,43343900
2606548,1998-10-19,EBAY,0.65,0.81,0.65,0.8,0.8,78151300
2606549,1998-10-20,EBAY,0.86,0.91,0.79,0.82,0.82,109292100
2606550,1998-10-21,EBAY,0.86,0.9,0.83,0.89,0.89,65703000
2606551,1998-10-22,EBAY,0.91,0.94,0.86,0.9,0.9,53323100
2606552,1998-10-23,EBAY,0.91,0.92,0.87,0.88,0.88,32309700
2606553,1998-10-26,EBAY,1.05,1.29,1.03,1.29,1.29,389981400
2606554,1998-10-27,EBAY,1.43,1.59,1.41,1.45,1.45,571032600
2606555,1998-10-28,EBAY,1.37,1.49,1.34,1.4,1.4,254555100
2606556,1998-10-29,EBAY,1.42,1.45,1.4,1.4,1.4,81150800
2606557,1998-10-30,EBAY,1.42,1.48,1.4,1.46,1.46,94944900
2606558,1998-11-02,EBAY,1.52,1.54,1.47,1.47,1.47,123707800
2606559,1998-11-03,EBAY,1.49,1.5,1.46,1.47,1.47,45978400
2606560,1998-11-04,EBAY,1.5,1.5,1.43,1.45,1.45,44632600
2606561,1998-11-05,EBAY,1.42,1.47,1.38,1.42,1.42,66085100
2606562,1998-11-06,EBAY,1.41,1.48,1.41,1.47,1.47,48966500
2606563,1998-11-09,EBAY,1.48,1.81,1.48,1.81,1.81,202355300
2606564,1998-11-10,EBAY,1.98,2.46,1.95,2.3,2.3,577698700
2606565,1998-11-11,EBAY,2.23,2.37,2.0,2.03,2.03,306874600
2606566,1998-11-12,EBAY,2.0,2.33,1.97,2.21,2.21,223699400
2606567,1998-11-13,EBAY,2.28,2.33,2.1,2.17,2.17,135688600
2606568,1998-11-16,EBAY,2.27,2.28,2.14,2.24,2.24,82411000
2606569,1998-11-17,EBAY,2.24,2.33,2.17,2.26,2.26,81555700
2606570,1998-11-18,EBAY,2.29,2.6,2.2,2.59,2.59,201192000
2606571,1998-11-19,EBAY,2.65,2.72,2.49,2.52,2.52,135973700
2606572,1998-11-20,EBAY,2.63,2.63,2.46,2.58,2.58,67214100
2606573,1998-11-23,EBAY,2.68,3.43,2.66,3.38,3.38,162518400
2606574,1998-11-24,EBAY,3.31,4.11,3.12,3.45,3.45,342451900
2606575,1998-11-25,EBAY,3.52,3.76,3.43,3.59,3.59,195546700
2606576,1998-11-27,EBAY,3.7,3.86,3.63,3.82,3.82,66632500
2606577,1998-11-30,EBAY,3.94,3.95,3.3,3.47,3.47,135768400
2606578,1998-12-01,EBAY,3.28,3.67,3.19,3.63,3.63,147874600
2606579,1998-12-02,EBAY,3.61,3.75,3.47,3.56,3.56,72072600
2606580,1998-12-03,EBAY,3.48,3.65,3.24,3.28,3.28,76469100
2606581,1998-12-04,EBAY,3.42,3.47,2.81,3.2,3.2,138288900
2606582,1998-12-07,EBAY,3.21,3.21,2.93,3.06,3.06,115382300
2606583,1998-12-08,EBAY,2.95,3.19,2.92,3.1,3.1,120868000
2606584,1998-12-09,EBAY,3.11,3.41,3.03,3.15,3.15,119431000
2606585,1998-12-10,EBAY,3.23,3.34,3.16,3.26,3.26,114025100
2606586,1998-12-11,EBAY,3.2,3.39,3.19,3.37,3.37,60257200
2606587,1998-12-14,EBAY,3.26,3.38,3.25,3.31,3.31,46685500
2606588,1998-12-15,EBAY,3.38,3.41,3.32,3.4,3.4,40424300
2606589,1998-12-16,EBAY,3.51,3.96,3.51,3.92,3.92,123251600
2606590,1998-12-17,EBAY,3.82,4.27,3.78,4.18,4.18,106326900
2606591,1998-12-18,EBAY,4.38,4.6,4.3,4.42,4.42,83830900
2606592,1998-12-21,EBAY,4.53,5.27,4.51,5.2,5.2,132164500
2606593,1998-12-22,EBAY,5.37,5.45,4.95,5.28,5.28,105979100
2606594,1998-12-23,EBAY,5.4,5.46,5.15,5.23,5.23,42699500
2606595,1998-12-24,EBAY,5.09,5.21,4.95,5.02,5.02,26213900
