,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2763342,1997-03-06,EMKR,19.0,20.75,18.5,20.63,15.85,813500
2763343,1997-03-07,EMKR,20.75,23.75,20.5,23.75,18.25,194200
2763344,1997-03-10,EMKR,23.0,24.0,22.5,23.25,17.87,117900
2763345,1997-03-11,EMKR,24.0,25.5,23.25,24.25,18.64,32400
2763346,1997-03-12,EMKR,23.75,24.5,23.0,23.5,18.06,54800
2763347,1997-03-13,EMKR,24.25,24.25,23.0,24.0,18.44,50100
2763348,1997-03-14,EMKR,23.0,24.25,23.0,24.0,18.44,3100
2763349,1997-03-17,EMKR,24.5,24.75,23.75,24.0,18.44,79400
2763350,1997-03-18,EMKR,23.75,24.5,23.75,24.5,18.83,70900
2763351,1997-03-19,EMKR,24.5,24.5,23.75,23.88,18.35,14100
2763352,1997-03-20,EMKR,23.75,24.25,23.75,24.25,18.64,15600
2763353,1997-03-21,EMKR,24.25,24.25,23.75,24.0,18.44,3300
2763354,1997-03-24,EMKR,23.75,23.75,23.0,23.0,17.68,33000
2763355,1997-03-25,EMKR,23.0,23.0,22.5,23.0,17.68,31100
2763356,1997-03-26,EMKR,23.25,23.25,22.75,23.25,17.87,49300
2763357,1997-03-27,EMKR,23.25,23.25,22.75,22.75,17.48,3300
2763358,1997-03-31,EMKR,22.5,23.25,22.25,22.25,17.1,2600
2763359,1997-04-01,EMKR,22.25,23.25,22.25,23.25,17.87,56500
2763360,1997-04-02,EMKR,23.25,23.25,22.75,22.88,17.58,3800
2763361,1997-04-03,EMKR,22.5,22.5,22.5,22.5,17.29,300
2763362,1997-04-04,EMKR,23.25,23.25,22.5,22.5,17.29,900
2763363,1997-04-07,EMKR,22.5,23.25,22.5,22.75,17.48,1600
2763364,1997-04-08,EMKR,22.5,23.25,22.5,23.25,17.87,600
2763365,1997-04-09,EMKR,23.5,23.5,22.5,22.75,17.48,12100
2763366,1997-04-10,EMKR,22.5,23.5,22.25,22.25,17.1,11800
2763367,1997-04-11,EMKR,22.0,22.0,22.0,22.0,16.91,2700
2763368,1997-04-14,EMKR,22.0,23.0,22.0,23.0,17.68,2600
2763369,1997-04-15,EMKR,23.0,23.0,22.0,22.25,17.1,10900
2763370,1997-04-16,EMKR,22.5,23.25,22.5,23.0,17.68,3600
