,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3276046,1993-04-08,FOSL,1.65,1.65,1.51,1.63,1.63,5215200
3276047,1993-04-12,FOSL,1.63,1.63,1.53,1.58,1.58,924300
3276048,1993-04-13,FOSL,1.63,1.63,1.53,1.6,1.6,891000
3276049,1993-04-14,FOSL,1.56,1.6,1.53,1.56,1.56,912100
3276050,1993-04-15,FOSL,1.6,1.63,1.53,1.58,1.58,1076500
3276051,1993-04-16,FOSL,1.63,1.63,1.53,1.53,1.53,452800
3276052,1993-04-19,FOSL,1.6,1.6,1.48,1.53,1.53,110200
3276053,1993-04-20,FOSL,1.58,1.58,1.51,1.51,1.51,362400
3276054,1993-04-21,FOSL,1.56,1.58,1.53,1.58,1.58,402900
3276055,1993-04-22,FOSL,1.63,1.63,1.56,1.63,1.63,701500
3276056,1993-04-23,FOSL,1.63,1.63,1.58,1.63,1.63,297000
3276057,1993-04-26,FOSL,1.58,1.63,1.48,1.53,1.53,376800
3276058,1993-04-27,FOSL,1.6,1.6,1.51,1.58,1.58,77100
3276059,1993-04-28,FOSL,1.53,1.63,1.53,1.63,1.63,173400
3276060,1993-04-29,FOSL,1.58,1.63,1.48,1.56,1.56,358600
3276061,1993-04-30,FOSL,1.51,1.73,1.48,1.65,1.65,1379800
3276062,1993-05-03,FOSL,1.73,1.73,1.63,1.65,1.65,352300
3276063,1993-05-04,FOSL,1.68,1.85,1.68,1.8,1.8,963900
3276064,1993-05-05,FOSL,1.8,1.85,1.75,1.75,1.75,480100
3276065,1993-05-06,FOSL,1.83,1.83,1.73,1.75,1.75,309100
3276066,1993-05-07,FOSL,1.75,1.95,1.75,1.88,1.88,2161500
3276067,1993-05-10,FOSL,1.98,1.98,1.78,1.88,1.88,517600
3276068,1993-05-11,FOSL,1.75,1.85,1.75,1.85,1.85,330900
3276069,1993-05-12,FOSL,1.88,1.88,1.8,1.8,1.8,332200
3276070,1993-05-13,FOSL,1.85,1.85,1.7,1.8,1.8,232800
3276071,1993-05-14,FOSL,1.8,1.8,1.7,1.73,1.73,307900
3276072,1993-05-17,FOSL,1.78,1.78,1.7,1.73,1.73,373900
3276073,1993-05-18,FOSL,1.7,1.78,1.7,1.7,1.7,62700
3276074,1993-05-19,FOSL,1.75,1.8,1.7,1.8,1.8,362400
3276075,1993-05-20,FOSL,1.8,1.8,1.73,1.78,1.78,401800
3276076,1993-05-21,FOSL,1.8,1.85,1.78,1.85,1.85,685800
3276077,1993-05-24,FOSL,1.88,1.95,1.83,1.95,1.95,193200
3276078,1993-05-25,FOSL,1.95,2.05,1.85,1.95,1.95,719100
3276079,1993-05-26,FOSL,1.88,1.98,1.88,1.93,1.93,182200
3276080,1993-05-27,FOSL,1.98,2.02,1.93,1.98,1.98,345100
3276081,1993-05-28,FOSL,1.98,2.02,1.93,2.0,2.0,342100
3276082,1993-06-01,FOSL,2.05,2.17,1.98,2.17,2.17,832200
3276083,1993-06-02,FOSL,2.17,2.27,2.07,2.17,2.17,520300
3276084,1993-06-03,FOSL,2.17,2.2,2.1,2.17,2.17,98500
3276085,1993-06-04,FOSL,2.15,2.22,2.12,2.2,2.2,157200
3276086,1993-06-07,FOSL,2.12,2.2,2.12,2.2,2.2,165300
3276087,1993-06-08,FOSL,2.2,2.2,2.1,2.1,2.1,93300
3276088,1993-06-09,FOSL,2.17,2.17,2.07,2.07,2.07,174100
3276089,1993-06-10,FOSL,2.07,2.17,2.07,2.12,2.12,153900
3276090,1993-06-11,FOSL,2.17,2.17,2.07,2.17,2.17,209400
3276091,1993-06-14,FOSL,2.17,2.22,2.07,2.17,2.17,296500
3276092,1993-06-15,FOSL,2.2,2.2,2.1,2.17,2.17,74800
3276093,1993-06-16,FOSL,2.17,2.2,2.12,2.17,2.17,127500
3276094,1993-06-17,FOSL,2.15,2.22,2.15,2.17,2.17,454900
3276095,1993-06-18,FOSL,2.17,2.17,2.07,2.15,2.15,140500
3276096,1993-06-21,FOSL,2.1,2.15,2.1,2.15,2.15,130900
3276097,1993-06-22,FOSL,2.15,2.15,2.07,2.07,2.07,211900
3276098,1993-06-23,FOSL,2.07,2.2,1.98,1.98,1.98,314700
3276099,1993-06-24,FOSL,2.07,2.07,1.93,1.95,1.95,168900
3276100,1993-06-25,FOSL,1.98,2.05,1.93,1.98,1.98,170100
3276101,1993-06-28,FOSL,1.93,2.02,1.93,1.98,1.98,73800
3276102,1993-06-29,FOSL,1.95,2.05,1.95,2.05,2.05,182200
3276103,1993-06-30,FOSL,2.05,2.17,2.0,2.15,2.15,292900
3276104,1993-07-01,FOSL,2.17,2.17,2.1,2.12,2.12,1113000
3276105,1993-07-02,FOSL,2.1,2.17,2.1,2.12,2.12,658300
3276106,1993-07-06,FOSL,2.1,2.17,2.1,2.12,2.12,238900
3276107,1993-07-07,FOSL,2.17,2.17,2.1,2.1,2.1,150700
3276108,1993-07-08,FOSL,2.1,2.17,2.1,2.1,2.1,147100
3276109,1993-07-09,FOSL,2.12,2.2,2.1,2.17,2.17,945900
3276110,1993-07-12,FOSL,2.17,2.2,2.12,2.17,2.17,52600
3276111,1993-07-13,FOSL,2.2,2.22,2.12,2.17,2.17,26500
3276112,1993-07-14,FOSL,2.15,2.22,2.12,2.22,2.22,180400
3276113,1993-07-15,FOSL,2.22,2.35,2.17,2.32,2.32,1035000
3276114,1993-07-16,FOSL,2.35,2.35,2.25,2.35,2.35,187600
3276115,1993-07-19,FOSL,2.35,2.35,2.25,2.35,2.35,158800
3276116,1993-07-20,FOSL,2.3,2.35,2.17,2.2,2.2,249300
3276117,1993-07-21,FOSL,2.3,2.3,2.2,2.25,2.25,154000
3276118,1993-07-22,FOSL,2.22,2.27,2.15,2.15,2.15,179500
3276119,1993-07-23,FOSL,2.15,2.27,2.15,2.2,2.2,133800
3276120,1993-07-26,FOSL,2.3,2.3,2.2,2.3,2.3,42400
3276121,1993-07-27,FOSL,2.2,2.3,2.2,2.3,2.3,50500
3276122,1993-07-28,FOSL,2.2,2.3,2.2,2.2,2.2,51400
3276123,1993-07-29,FOSL,2.2,2.27,2.17,2.2,2.2,191200
3276124,1993-07-30,FOSL,2.25,2.27,2.17,2.27,2.27,43800
3276125,1993-08-02,FOSL,2.17,2.27,2.17,2.27,2.27,4900
3276126,1993-08-03,FOSL,2.27,2.27,2.15,2.15,2.15,76200
3276127,1993-08-04,FOSL,2.15,2.22,2.02,2.02,2.02,176100
3276128,1993-08-05,FOSL,2.12,2.17,2.02,2.17,2.17,103200
3276129,1993-08-06,FOSL,2.17,2.27,2.1,2.22,2.22,98500
3276130,1993-08-09,FOSL,2.27,2.3,2.05,2.12,2.12,318100
3276131,1993-08-10,FOSL,2.12,2.12,2.05,2.12,2.12,51900
3276132,1993-08-11,FOSL,2.12,2.12,2.05,2.05,2.05,17100
3276133,1993-08-12,FOSL,2.12,2.12,2.05,2.07,2.07,27600
3276134,1993-08-13,FOSL,2.12,2.12,2.05,2.07,2.07,153100
3276135,1993-08-16,FOSL,2.07,2.27,2.07,2.22,2.22,127800
3276136,1993-08-17,FOSL,2.17,2.3,2.17,2.25,2.25,110200
3276137,1993-08-18,FOSL,2.17,2.32,2.17,2.32,2.32,143700
3276138,1993-08-19,FOSL,2.32,2.32,2.22,2.22,2.22,87000
3276139,1993-08-20,FOSL,2.22,2.4,2.22,2.27,2.27,181000
3276140,1993-08-23,FOSL,2.27,2.4,2.27,2.4,2.4,164200
3276141,1993-08-24,FOSL,2.32,2.4,2.27,2.4,2.4,38400
3276142,1993-08-25,FOSL,2.4,2.4,2.22,2.22,2.22,247200
3276143,1993-08-26,FOSL,2.37,2.37,2.05,2.17,2.17,299800
3276144,1993-08-27,FOSL,2.17,2.17,2.05,2.05,2.05,34600
3276145,1993-08-30,FOSL,2.17,2.17,2.05,2.07,2.07,48700
3276146,1993-08-31,FOSL,2.12,2.17,2.05,2.17,2.17,138600
3276147,1993-09-01,FOSL,2.17,2.17,2.02,2.15,2.15,518500
3276148,1993-09-02,FOSL,2.17,2.17,2.02,2.02,2.02,26200
3276149,1993-09-03,FOSL,2.1,2.17,2.07,2.17,2.17,85000
3276150,1993-09-07,FOSL,2.02,2.17,2.02,2.02,2.02,11400
3276151,1993-09-08,FOSL,2.02,2.12,1.98,2.02,2.02,58600
