,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3548310,2017-10-26,GMLPP,23.56,25.52,23.33,25.0,23.88,875400
3548311,2017-10-31,GMLPP,25.1,25.15,25.0,25.05,23.93,335600
3548312,2017-11-01,GMLPP,25.15,25.24,25.07,25.13,24.01,281800
3548313,2017-11-02,GMLPP,25.2,25.3,25.09,25.27,24.14,192000
3548314,2017-11-03,GMLPP,25.3,25.35,25.21,25.29,24.16,116400
3548315,2017-11-06,GMLPP,25.38,25.38,25.25,25.29,24.16,144300
3548316,2017-11-07,GMLPP,25.3,25.53,25.28,25.47,24.33,224900
3548317,2017-11-08,GMLPP,25.5,25.52,25.39,25.42,24.29,188300
3548318,2017-11-09,GMLPP,25.45,25.45,25.31,25.38,24.25,85700
3548319,2017-11-10,GMLPP,25.4,25.41,25.31,25.38,24.25,120600
3548320,2017-11-13,GMLPP,25.4,25.45,25.31,25.33,24.2,74900
3548321,2017-11-14,GMLPP,25.35,25.35,25.11,25.11,23.99,122000
3548322,2017-11-15,GMLPP,25.1,25.23,24.92,25.15,24.03,166400
3548323,2017-11-16,GMLPP,25.15,25.26,25.13,25.15,24.02,83200
3548324,2017-11-17,GMLPP,25.15,25.25,25.11,25.25,24.12,47600
3548325,2017-11-20,GMLPP,25.26,25.35,25.2,25.35,24.22,33000
3548326,2017-11-21,GMLPP,25.35,25.44,25.18,25.32,24.19,94600
3548327,2017-11-22,GMLPP,25.25,25.34,25.25,25.34,24.21,44000
3548328,2017-11-24,GMLPP,25.3,25.38,25.26,25.34,24.21,18900
3548329,2017-11-27,GMLPP,25.3,25.31,25.17,25.24,24.11,116700
3548330,2017-11-28,GMLPP,25.22,25.24,25.07,25.15,24.03,160200
3548331,2017-11-29,GMLPP,25.2,25.24,25.12,25.21,24.08,50800
3548332,2017-11-30,GMLPP,25.24,25.24,25.12,25.13,24.01,127200
3548333,2017-12-01,GMLPP,25.21,25.21,25.06,25.13,24.01,47400
3548334,2017-12-04,GMLPP,25.23,25.25,25.13,25.15,24.03,80500
3548335,2017-12-05,GMLPP,25.19,25.19,25.11,25.14,24.01,46400
3548336,2017-12-06,GMLPP,25.18,25.21,25.12,25.15,24.03,87600
3548337,2017-12-07,GMLPP,25.14,25.25,25.14,25.22,24.09,41800
3548338,2017-12-08,GMLPP,25.24,25.37,25.16,25.27,24.15,94300
