,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3733192,2016-03-28,HBANO,25.48,25.79,25.27,25.48,22.62,453600
3733193,2016-03-29,HBANO,25.55,25.7,25.4,25.58,22.7,440300
3733194,2016-03-30,HBANO,25.59,25.66,25.45,25.51,22.64,194000
3733195,2016-03-31,HBANO,25.5,25.72,25.5,25.69,22.8,145800
3733196,2016-04-01,HBANO,25.7,25.73,25.54,25.63,22.75,111900
3733197,2016-04-04,HBANO,25.55,25.61,25.35,25.4,22.54,119000
3733198,2016-04-05,HBANO,25.35,25.47,25.08,25.37,22.52,158100
3733199,2016-04-06,HBANO,25.39,25.55,25.39,25.42,22.56,171800
3733200,2016-04-07,HBANO,25.5,25.53,25.26,25.36,22.51,100200
3733201,2016-04-08,HBANO,25.49,25.55,25.37,25.39,22.54,145400
3733202,2016-04-11,HBANO,25.42,25.49,25.42,25.42,22.56,97800
3733203,2016-04-12,HBANO,25.38,25.49,25.38,25.44,22.58,192700
3733204,2016-04-13,HBANO,25.48,25.48,25.4,25.42,22.56,169300
3733205,2016-04-14,HBANO,25.48,25.54,25.43,25.5,22.63,195300
3733206,2016-04-15,HBANO,25.55,25.55,25.45,25.48,22.62,76100
3733207,2016-04-18,HBANO,25.52,25.64,25.38,25.53,22.66,372700
3733208,2016-04-19,HBANO,25.59,25.65,25.5,25.55,22.68,219000
3733209,2016-04-20,HBANO,25.67,25.74,25.55,25.71,22.82,77900
3733210,2016-04-21,HBANO,25.74,25.75,25.63,25.66,22.78,60400
3733211,2016-04-22,HBANO,25.64,25.75,25.64,25.7,22.81,87200
3733212,2016-04-25,HBANO,25.7,25.75,25.5,25.74,22.85,94800
3733213,2016-04-26,HBANO,25.75,25.75,25.58,25.67,22.78,106200
3733214,2016-04-27,HBANO,25.74,25.9,25.58,25.84,22.94,176100
3733215,2016-04-28,HBANO,25.75,25.95,25.7,25.94,23.02,128200
3733216,2016-04-29,HBANO,26.0,26.39,25.88,26.33,23.37,233800
3733217,2016-05-02,HBANO,26.2,26.35,25.93,26.02,23.1,84200
3733218,2016-05-03,HBANO,26.0,26.0,25.8,25.95,23.03,147800
3733219,2016-05-04,HBANO,26.0,26.2,25.9,26.01,23.09,142300
3733220,2016-05-05,HBANO,26.1,26.2,26.0,26.08,23.15,662500
3733221,2016-05-06,HBANO,26.3,26.3,25.95,26.17,23.23,166000
3733222,2016-05-09,HBANO,26.24,26.24,26.05,26.09,23.16,55000
3733223,2016-05-10,HBANO,26.2,26.24,26.06,26.17,23.23,70000
3733224,2016-05-11,HBANO,26.2,26.2,26.07,26.13,23.19,82800
3733225,2016-05-12,HBANO,26.3,26.3,26.1,26.14,23.2,190100
3733226,2016-05-13,HBANO,26.18,26.25,26.12,26.12,23.18,100600
3733227,2016-05-16,HBANO,26.24,26.24,26.05,26.18,23.24,97600
3733228,2016-05-17,HBANO,26.24,26.24,26.11,26.23,23.28,67100
3733229,2016-05-18,HBANO,26.3,26.3,26.08,26.18,23.24,160400
3733230,2016-05-19,HBANO,26.18,26.22,25.66,25.98,23.06,143500
3733231,2016-05-20,HBANO,26.17,26.17,25.86,25.9,22.99,115400
3733232,2016-05-23,HBANO,26.05,26.15,25.93,26.0,23.08,132000
3733233,2016-05-24,HBANO,26.0,26.14,25.86,25.98,23.06,125200
3733234,2016-05-25,HBANO,26.05,26.14,25.96,26.0,23.08,107800
3733235,2016-05-26,HBANO,26.05,26.14,26.02,26.05,23.12,152500
3733236,2016-05-27,HBANO,26.1,26.25,26.02,26.25,23.3,66000
3733237,2016-05-31,HBANO,26.25,26.25,26.11,26.25,23.3,84700
3733238,2016-06-01,HBANO,26.28,26.3,26.11,26.25,23.3,129000
3733239,2016-06-02,HBANO,26.25,26.49,26.15,26.18,23.24,890500
3733240,2016-06-03,HBANO,26.2,26.29,26.2,26.28,23.33,69900
3733241,2016-06-06,HBANO,26.3,26.36,26.22,26.23,23.28,485600
3733242,2016-06-07,HBANO,26.29,26.34,26.2,26.27,23.32,708600
3733243,2016-06-08,HBANO,26.35,26.48,26.22,26.43,23.46,656200
3733244,2016-06-09,HBANO,26.5,26.5,26.29,26.38,23.42,54900
3733245,2016-06-10,HBANO,26.46,26.7,26.34,26.65,23.65,82200
3733246,2016-06-13,HBANO,26.65,26.65,26.37,26.37,23.41,78700
3733247,2016-06-14,HBANO,26.5,26.97,26.37,26.9,23.88,91800
3733248,2016-06-15,HBANO,27.09,27.39,26.63,26.85,23.83,86600
3733249,2016-06-16,HBANO,27.0,27.0,26.48,26.55,23.57,168300
3733250,2016-06-17,HBANO,26.73,26.73,26.48,26.6,23.61,65300
3733251,2016-06-20,HBANO,26.73,26.73,26.5,26.57,23.58,95700
3733252,2016-06-21,HBANO,26.61,26.68,26.53,26.55,23.57,105300
3733253,2016-06-22,HBANO,26.64,26.75,26.54,26.73,23.73,95300
3733254,2016-06-23,HBANO,26.63,26.85,26.63,26.85,23.83,69500
3733255,2016-06-24,HBANO,26.56,26.83,26.45,26.75,23.74,89400
3733256,2016-06-27,HBANO,26.75,27.09,26.38,27.04,24.0,93900
3733257,2016-06-28,HBANO,27.2,27.5,27.04,27.15,24.1,81900
3733258,2016-06-29,HBANO,27.11,27.35,26.85,26.86,24.28,93000
3733259,2016-06-30,HBANO,26.95,27.01,26.68,26.92,24.34,111800
3733260,2016-07-01,HBANO,27.09,27.75,27.08,27.71,25.05,172300
3733261,2016-07-05,HBANO,27.7,28.49,27.03,27.95,25.27,292700
3733262,2016-07-06,HBANO,28.0,28.15,27.34,27.72,25.06,198600
3733263,2016-07-07,HBANO,27.72,28.15,27.46,27.88,25.21,286600
3733264,2016-07-08,HBANO,28.05,28.15,27.89,28.0,25.31,138400
3733265,2016-07-11,HBANO,28.25,28.47,27.91,28.19,25.49,326600
3733266,2016-07-12,HBANO,28.1,28.25,28.02,28.14,25.44,167200
3733267,2016-07-13,HBANO,28.2,28.25,28.04,28.16,25.46,159100
3733268,2016-07-14,HBANO,28.25,28.4,28.11,28.33,25.61,273800
3733269,2016-07-15,HBANO,28.97,28.97,26.87,27.24,24.63,522200
3733270,2016-07-18,HBANO,27.3,27.41,26.81,26.94,24.36,96900
3733271,2016-07-19,HBANO,27.09,27.18,26.98,27.08,24.48,76300
3733272,2016-07-20,HBANO,27.17,27.31,27.1,27.31,24.69,41700
3733273,2016-07-21,HBANO,27.4,27.45,27.26,27.37,24.74,60400
3733274,2016-07-22,HBANO,27.44,27.44,27.26,27.33,24.71,45700
3733275,2016-07-25,HBANO,27.39,27.49,27.32,27.48,24.84,45600
3733276,2016-07-26,HBANO,27.52,27.54,27.39,27.54,24.9,76800
3733277,2016-07-27,HBANO,27.63,27.64,27.48,27.58,24.93,60600
3733278,2016-07-28,HBANO,27.66,27.73,27.47,27.7,25.04,52600
3733279,2016-07-29,HBANO,27.74,27.86,27.61,27.71,25.05,50800
