,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4024366,2015-08-28,IBKCP,24.98,25.05,24.81,25.0,22.15,4700
4024367,2015-08-31,IBKCP,25.0,25.05,24.9,25.0,22.15,50800
4024368,2015-09-02,IBKCP,25.09,25.1,24.95,25.07,22.21,22300
4024369,2015-09-04,IBKCP,25.06,25.2,24.77,25.09,22.23,21900
4024370,2015-09-08,IBKCP,25.09,25.09,24.8,24.81,21.98,35100
4024371,2015-09-09,IBKCP,24.99,24.99,24.79,24.85,22.02,15500
4024372,2015-09-14,IBKCP,24.89,25.01,24.89,24.92,22.08,14700
4024373,2015-09-15,IBKCP,24.9,24.99,24.9,24.99,22.14,9500
4024374,2015-09-17,IBKCP,24.75,25.05,24.75,25.03,22.18,23500
4024375,2015-09-18,IBKCP,24.97,25.19,24.95,25.19,22.32,48900
4024376,2015-09-22,IBKCP,25.1,25.29,24.96,25.29,22.41,72200
4024377,2015-09-23,IBKCP,25.29,25.4,25.2,25.4,22.5,24100
4024378,2015-09-24,IBKCP,25.4,25.49,25.15,25.3,22.42,28600
4024379,2015-09-25,IBKCP,25.21,25.45,25.21,25.44,22.54,4600
4024380,2015-09-28,IBKCP,25.38,25.38,25.01,25.36,22.47,6900
4024381,2015-09-29,IBKCP,25.06,25.37,25.06,25.34,22.45,6300
4024382,2015-09-30,IBKCP,25.04,25.3,25.01,25.3,22.42,24300
4024383,2015-10-26,IBKCP,26.05,26.08,26.05,26.08,23.1,700
4024384,2015-10-27,IBKCP,26.0,26.0,25.9,25.9,22.95,3400
4024385,2015-10-28,IBKCP,26.05,26.05,25.9,25.95,22.99,5500
4024386,2015-10-29,IBKCP,26.0,26.0,25.62,25.7,22.77,34800
4024387,2015-11-04,IBKCP,26.14,26.24,26.05,26.05,23.08,5500
4024388,2015-12-14,IBKCP,25.83,25.83,25.25,25.3,22.42,10300
4024389,2015-12-21,IBKCP,25.35,25.84,25.35,25.5,22.59,2200
4024390,2015-12-22,IBKCP,25.54,25.84,25.54,25.84,22.9,5000
4024391,2015-12-24,IBKCP,25.75,26.18,25.75,26.1,23.13,4100
4024392,2015-12-28,IBKCP,26.1,26.1,26.1,26.1,23.13,0
4024393,2015-12-31,IBKCP,25.95,25.95,25.85,25.95,22.99,1700
4024394,2016-01-04,IBKCP,25.93,25.95,25.93,25.95,22.99,2700
4024395,2016-01-05,IBKCP,25.93,26.1,25.85,25.95,22.99,6200
4024396,2016-01-06,IBKCP,26.17,26.17,25.95,25.95,22.99,23400
4024397,2016-01-07,IBKCP,26.0,26.18,26.0,26.13,23.15,2500
4024398,2016-01-08,IBKCP,26.11,26.24,26.05,26.1,23.12,11200
4024399,2016-01-11,IBKCP,26.24,26.24,26.14,26.21,23.22,3200
4024400,2016-01-19,IBKCP,25.34,25.55,25.34,25.55,22.64,7500
4024401,2016-01-20,IBKCP,25.57,25.57,25.11,25.22,22.35,4700
4024402,2016-01-21,IBKCP,25.48,25.48,24.7,24.79,21.97,22000
4024403,2016-01-22,IBKCP,24.8,24.81,24.64,24.69,21.88,21500
4024404,2016-01-25,IBKCP,24.65,24.71,24.47,24.67,21.86,9400
4024405,2016-01-26,IBKCP,24.69,24.88,24.5,24.85,22.02,17700
4024406,2016-02-01,IBKCP,25.05,25.3,25.05,25.3,22.41,7300
4024407,2016-02-02,IBKCP,25.44,25.48,25.3,25.31,22.42,12900
4024408,2016-02-03,IBKCP,25.46,25.46,25.06,25.06,22.2,5900
4024409,2016-02-04,IBKCP,25.26,25.26,25.17,25.25,22.37,2800
4024410,2016-02-08,IBKCP,25.11,25.23,25.03,25.08,22.23,9700
4024411,2016-02-09,IBKCP,25.05,25.11,24.8,24.8,21.97,7700
4024412,2016-02-16,IBKCP,24.59,24.59,24.0,24.45,21.66,3500
4024413,2016-02-17,IBKCP,24.6,25.26,24.25,25.05,22.2,15000
4024414,2016-02-18,IBKCP,24.51,25.26,24.5,25.26,22.38,5800
4024415,2016-02-19,IBKCP,24.7,25.19,24.3,25.1,22.24,1800
4024416,2016-02-22,IBKCP,25.23,25.24,24.72,24.72,21.9,8400
4024417,2016-02-23,IBKCP,25.0,25.0,24.6,24.6,21.8,7900
4024418,2016-02-24,IBKCP,24.69,25.26,24.07,25.1,22.24,4800
4024419,2016-02-25,IBKCP,24.15,25.1,24.08,25.1,22.24,7700
4024420,2016-02-29,IBKCP,24.75,24.75,24.75,24.75,21.93,300
4024421,2016-03-01,IBKCP,24.7,24.89,24.7,24.89,22.05,9600
4024422,2016-03-02,IBKCP,24.75,24.79,24.52,24.79,21.97,9700
4024423,2016-03-03,IBKCP,24.45,24.8,24.45,24.79,21.97,4800
4024424,2016-03-07,IBKCP,24.94,24.95,24.9,24.95,22.11,1700
4024425,2016-03-08,IBKCP,25.0,25.0,24.75,24.99,22.14,19900
4024426,2016-03-09,IBKCP,24.9,24.9,24.65,24.75,21.93,8000
4024427,2016-03-10,IBKCP,24.74,24.75,24.67,24.73,21.91,8000
4024428,2016-03-14,IBKCP,24.97,25.38,24.91,25.02,22.17,15800
4024429,2016-03-15,IBKCP,25.0,25.01,24.95,25.0,22.15,3900
4024430,2016-03-16,IBKCP,25.13,25.14,24.9,24.95,22.11,6600
4024431,2016-03-17,IBKCP,25.02,25.2,24.99,25.06,22.2,7500
4024432,2016-03-18,IBKCP,25.39,25.39,25.14,25.14,22.28,1900
4024433,2016-03-21,IBKCP,25.31,25.44,25.04,25.25,22.37,4700
4024434,2016-03-22,IBKCP,25.44,25.44,25.04,25.22,22.35,10500
4024435,2016-03-23,IBKCP,25.32,25.33,25.2,25.28,22.4,1200
4024436,2016-03-24,IBKCP,25.25,25.39,25.11,25.25,22.37,3300
4024437,2016-03-28,IBKCP,25.4,25.4,25.15,25.39,22.5,3500
4024438,2016-03-29,IBKCP,25.4,25.5,25.4,25.49,22.59,3900
4024439,2016-03-31,IBKCP,25.68,25.69,25.51,25.51,22.6,8700
4024440,2016-04-01,IBKCP,25.51,25.51,25.51,25.51,22.6,1000
4024441,2016-04-04,IBKCP,25.51,25.51,25.03,25.51,22.6,4300
4024442,2016-04-05,IBKCP,25.51,25.65,25.5,25.65,22.73,2900
4024443,2016-04-06,IBKCP,25.65,25.65,25.64,25.65,22.73,600
4024444,2016-04-08,IBKCP,25.59,25.65,25.47,25.59,22.67,1700
4024445,2016-04-11,IBKCP,25.6,25.64,25.1,25.11,22.25,5100
4024446,2016-04-12,IBKCP,25.4,25.55,25.33,25.4,22.5,6500
4024447,2016-04-14,IBKCP,25.48,25.55,25.31,25.5,22.59,6600
4024448,2016-04-18,IBKCP,25.44,25.45,25.14,25.2,22.33,15000
4024449,2016-04-20,IBKCP,25.27,25.5,25.25,25.44,22.54,11700
4024450,2016-04-21,IBKCP,25.45,25.45,25.2,25.25,22.37,21200
4024451,2016-04-22,IBKCP,25.21,25.48,25.16,25.48,22.58,4100
4024452,2016-04-25,IBKCP,25.55,25.63,25.28,25.63,22.71,4500
4024453,2016-04-26,IBKCP,25.5,25.64,25.47,25.64,22.72,2500
4024454,2016-04-27,IBKCP,25.63,25.63,25.59,25.63,22.71,2900
4024455,2016-04-28,IBKCP,25.6,25.63,25.52,25.63,22.71,4900
4024456,2016-04-29,IBKCP,25.66,25.66,25.56,25.56,22.65,5300
4024457,2016-05-02,IBKCP,25.66,25.66,25.66,25.66,22.74,1100
4024458,2016-05-03,IBKCP,25.66,25.66,25.5,25.5,22.59,7800
4024459,2016-05-04,IBKCP,25.59,25.65,25.48,25.55,22.64,44700
4024460,2016-05-05,IBKCP,25.6,25.7,25.54,25.7,22.77,52000
4024461,2016-05-06,IBKCP,25.69,25.78,25.69,25.75,22.82,42200
4024462,2016-05-09,IBKCP,25.6,25.77,25.6,25.72,22.79,35500
4024463,2016-05-10,IBKCP,25.59,25.85,25.59,25.84,22.9,39400
4024464,2016-05-16,IBKCP,25.99,25.99,25.8,25.95,22.99,9400
4024465,2016-05-17,IBKCP,25.9,25.99,25.79,25.99,23.03,8600
4024466,2016-05-18,IBKCP,25.99,25.99,25.8,25.99,23.03,10900
4024467,2016-05-19,IBKCP,25.99,25.99,25.85,25.9,22.95,11700
4024468,2016-05-20,IBKCP,25.99,26.29,25.9,26.09,23.11,7500
4024469,2016-05-23,IBKCP,25.9,26.19,25.55,26.09,23.12,10300
4024470,2016-05-25,IBKCP,26.19,26.34,26.19,26.34,23.34,11500
4024471,2016-05-26,IBKCP,26.32,26.32,25.91,26.0,23.04,2200
4024472,2016-05-31,IBKCP,26.19,26.77,26.1,26.2,23.21,19000
4024473,2016-06-01,IBKCP,26.0,26.79,25.75,26.03,23.06,22300
4024474,2016-06-02,IBKCP,25.87,26.15,25.87,26.06,23.09,1500
4024475,2016-06-06,IBKCP,26.17,26.17,26.15,26.16,23.18,700
4024476,2016-06-07,IBKCP,26.17,26.34,26.17,26.25,23.26,3900
