,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4052624,1998-05-15,ICLR,5.66,6.41,5.63,6.36,6.36,12074000
4052625,1998-05-18,ICLR,6.22,6.28,5.95,6.13,6.13,2134000
4052626,1998-05-19,ICLR,6.09,6.34,6.06,6.28,6.28,1376400
4052627,1998-05-20,ICLR,6.19,6.31,6.03,6.19,6.19,451200
4052628,1998-05-21,ICLR,6.19,6.25,6.13,6.19,6.19,1262400
4052629,1998-05-22,ICLR,6.25,6.28,6.17,6.19,6.19,199200
4052630,1998-05-26,ICLR,6.19,6.25,6.16,6.22,6.22,468000
4052631,1998-05-27,ICLR,6.22,6.25,5.89,5.98,5.98,864000
4052632,1998-05-28,ICLR,5.97,6.08,5.95,6.03,6.03,196000
4052633,1998-05-29,ICLR,6.03,6.42,6.0,6.38,6.38,225600
4052634,1998-06-01,ICLR,6.5,6.53,6.38,6.38,6.38,494000
4052635,1998-06-02,ICLR,6.45,6.47,6.28,6.31,6.31,336800
4052636,1998-06-03,ICLR,6.41,6.41,6.19,6.31,6.31,288800
4052637,1998-06-04,ICLR,6.19,6.31,6.19,6.19,6.19,76000
4052638,1998-06-05,ICLR,6.25,6.31,6.22,6.31,6.31,109600
4052639,1998-06-08,ICLR,6.31,6.81,6.31,6.75,6.75,487200
4052640,1998-06-09,ICLR,6.81,7.08,6.81,7.0,7.0,199200
4052641,1998-06-10,ICLR,7.0,7.08,7.0,7.08,7.08,547200
4052642,1998-06-11,ICLR,7.06,7.13,7.0,7.0,7.0,264000
4052643,1998-06-12,ICLR,7.05,7.06,7.02,7.06,7.06,47200
4052644,1998-06-15,ICLR,7.03,7.09,6.89,6.89,6.89,407200
4052645,1998-06-16,ICLR,6.97,6.97,6.88,6.92,6.92,105200
4052646,1998-06-17,ICLR,6.89,6.91,6.69,6.69,6.69,260400
4052647,1998-06-18,ICLR,6.69,6.75,6.5,6.5,6.5,101600
4052648,1998-06-19,ICLR,6.44,6.44,6.22,6.22,6.22,188400
4052649,1998-06-22,ICLR,6.31,6.31,6.22,6.22,6.22,374000
4052650,1998-06-23,ICLR,6.22,6.31,6.2,6.22,6.22,528800
4052651,1998-06-24,ICLR,6.31,6.75,6.22,6.5,6.5,284400
4052652,1998-06-25,ICLR,6.44,6.63,6.44,6.44,6.44,470000
4052653,1998-06-26,ICLR,6.63,6.63,6.42,6.47,6.47,203600
4052654,1998-06-29,ICLR,6.47,6.56,6.16,6.31,6.31,252800
4052655,1998-06-30,ICLR,6.25,6.34,6.25,6.31,6.31,38800
4052656,1998-07-01,ICLR,6.38,6.38,6.13,6.22,6.22,375600
4052657,1998-07-02,ICLR,6.13,6.19,6.09,6.16,6.16,298800
4052658,1998-07-06,ICLR,6.16,6.88,6.09,6.75,6.75,328400
4052659,1998-07-07,ICLR,6.66,6.75,6.59,6.59,6.59,201600
4052660,1998-07-08,ICLR,6.75,6.75,6.59,6.75,6.75,56400
4052661,1998-07-09,ICLR,6.56,6.72,6.53,6.63,6.63,258800
4052662,1998-07-10,ICLR,6.75,6.75,6.53,6.75,6.75,230000
4052663,1998-07-13,ICLR,6.77,6.77,6.53,6.63,6.63,30800
4052664,1998-07-14,ICLR,6.66,6.66,6.59,6.64,6.64,118400
4052665,1998-07-15,ICLR,6.59,6.69,6.59,6.69,6.69,16000
4052666,1998-07-16,ICLR,6.59,6.63,6.38,6.44,6.44,448000
4052667,1998-07-17,ICLR,6.56,6.84,6.56,6.69,6.69,65200
4052668,1998-07-20,ICLR,6.81,7.13,6.72,7.13,7.13,590000
4052669,1998-07-21,ICLR,7.13,7.56,6.94,7.31,7.31,332000
4052670,1998-07-22,ICLR,7.5,7.59,7.34,7.41,7.41,709600
4052671,1998-07-23,ICLR,7.34,7.59,7.34,7.56,7.56,269600
4052672,1998-07-24,ICLR,7.59,7.59,7.5,7.56,7.56,44000
4052673,1998-07-27,ICLR,7.31,7.56,7.25,7.56,7.56,108400
4052674,1998-07-28,ICLR,7.38,7.56,7.34,7.56,7.56,79200
4052675,1998-07-29,ICLR,7.56,7.78,7.38,7.63,7.63,75200
4052676,1998-07-30,ICLR,7.78,7.84,7.66,7.84,7.84,8800
4052677,1998-07-31,ICLR,7.88,8.06,7.69,7.81,7.81,368400
4052678,1998-08-03,ICLR,7.78,7.81,7.75,7.81,7.81,18000
4052679,1998-08-04,ICLR,7.94,7.94,7.69,7.69,7.69,185600
4052680,1998-08-05,ICLR,7.75,7.78,7.69,7.69,7.69,267200
4052681,1998-08-06,ICLR,7.69,7.69,7.69,7.69,7.69,7600
4052682,1998-08-07,ICLR,7.69,7.81,7.59,7.59,7.59,46800
4052683,1998-08-10,ICLR,7.81,7.81,7.59,7.59,7.59,21600
4052684,1998-08-11,ICLR,7.59,7.59,7.0,7.0,7.0,69200
4052685,1998-08-12,ICLR,7.28,7.28,7.19,7.25,7.25,125600
4052686,1998-08-13,ICLR,6.94,7.0,6.94,6.94,6.94,10400
4052687,1998-08-14,ICLR,7.0,7.28,7.0,7.0,7.0,69200
4052688,1998-08-17,ICLR,6.88,6.94,6.63,6.91,6.91,166800
4052689,1998-08-18,ICLR,7.0,7.0,6.69,6.75,6.75,11600
4052690,1998-08-19,ICLR,6.88,7.06,6.81,6.91,6.91,185600
4052691,1998-08-20,ICLR,7.25,7.81,7.06,7.59,7.59,149200
4052692,1998-08-21,ICLR,7.56,7.63,7.34,7.41,7.41,159600
4052693,1998-08-24,ICLR,7.75,8.13,7.69,7.94,7.94,413200
4052694,1998-08-25,ICLR,7.91,7.94,7.84,7.84,7.84,88800
4052695,1998-08-26,ICLR,7.75,7.89,7.75,7.75,7.75,102400
4052696,1998-08-27,ICLR,7.75,7.81,7.72,7.78,7.78,376000
4052697,1998-08-28,ICLR,7.75,7.84,7.5,7.58,7.58,446400
4052698,1998-08-31,ICLR,7.5,7.59,6.66,6.66,6.66,192800
4052699,1998-09-01,ICLR,6.66,7.03,6.59,6.88,6.88,152800
4052700,1998-09-02,ICLR,6.59,7.25,6.59,7.25,7.25,394400
4052701,1998-09-03,ICLR,7.0,7.03,6.91,7.03,7.03,85600
4052702,1998-09-04,ICLR,7.09,7.09,6.97,6.97,6.97,11200
4052703,1998-09-08,ICLR,6.97,7.13,6.97,7.11,7.11,71600
4052704,1998-09-09,ICLR,6.94,6.94,6.88,6.88,6.88,10400
4052705,1998-09-10,ICLR,6.88,6.88,6.84,6.84,6.84,6400
4052706,1998-09-11,ICLR,6.84,6.84,6.84,6.84,6.84,0
4052707,1998-09-14,ICLR,7.25,7.25,7.03,7.08,7.08,27200
4052708,1998-09-15,ICLR,7.19,7.19,6.83,6.84,6.84,76400
4052709,1998-09-16,ICLR,6.84,7.56,6.84,7.19,7.19,71600
4052710,1998-09-17,ICLR,7.19,7.19,7.19,7.19,7.19,0
4052711,1998-09-18,ICLR,7.09,7.63,7.09,7.53,7.53,183600
4052712,1998-09-21,ICLR,7.44,7.59,7.44,7.53,7.53,25200
4052713,1998-09-22,ICLR,7.53,7.98,7.53,7.98,7.98,80800
4052714,1998-09-23,ICLR,7.98,8.25,7.98,8.22,8.22,82400
4052715,1998-09-24,ICLR,8.13,8.41,8.06,8.25,8.25,180000
4052716,1998-09-25,ICLR,8.06,8.44,8.06,8.44,8.44,20800
