,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4066483,1992-03-31,ICUI,5.33,5.33,4.44,4.61,4.61,1482300
4066484,1992-04-01,ICUI,4.44,4.67,3.78,4.33,4.33,789300
4066485,1992-04-02,ICUI,4.33,4.33,3.89,3.89,3.89,361800
4066486,1992-04-03,ICUI,4.11,4.78,4.0,4.78,4.78,317800
4066487,1992-04-06,ICUI,4.89,4.89,4.44,4.67,4.67,268800
4066488,1992-04-07,ICUI,4.67,4.67,4.22,4.22,4.22,87000
4066489,1992-04-08,ICUI,4.33,4.44,4.0,4.44,4.44,108600
4066490,1992-04-09,ICUI,4.22,4.44,4.22,4.22,4.22,72600
4066491,1992-04-10,ICUI,4.33,4.56,4.11,4.33,4.33,193500
4066492,1992-04-13,ICUI,4.33,4.39,4.11,4.22,4.22,39100
4066493,1992-04-14,ICUI,4.22,4.44,4.22,4.33,4.33,121900
4066494,1992-04-15,ICUI,4.22,4.44,4.11,4.11,4.11,234900
4066495,1992-04-16,ICUI,4.11,4.22,3.89,3.89,3.89,85500
4066496,1992-04-20,ICUI,3.89,3.94,3.89,3.89,3.89,147300
4066497,1992-04-21,ICUI,4.0,4.0,3.44,3.78,3.78,154800
4066498,1992-04-22,ICUI,3.89,3.89,3.56,3.61,3.61,31500
4066499,1992-04-23,ICUI,3.78,3.78,3.44,3.67,3.67,99900
4066500,1992-04-24,ICUI,3.44,3.5,3.22,3.22,3.22,79300
4066501,1992-04-27,ICUI,3.44,3.44,3.0,3.11,3.11,35700
4066502,1992-04-28,ICUI,3.11,3.33,3.11,3.11,3.11,126900
4066503,1992-04-29,ICUI,3.11,3.44,3.11,3.33,3.33,34300
4066504,1992-04-30,ICUI,3.44,3.67,3.44,3.44,3.44,35100
4066505,1992-05-01,ICUI,3.67,3.67,3.44,3.44,3.44,2700
4066506,1992-05-04,ICUI,3.61,3.67,3.44,3.44,3.44,10300
4066507,1992-05-05,ICUI,3.67,3.67,3.56,3.56,3.56,14500
4066508,1992-05-06,ICUI,3.56,3.67,3.44,3.56,3.56,33000
4066509,1992-05-07,ICUI,3.67,3.78,3.56,3.56,3.56,19000
4066510,1992-05-08,ICUI,3.78,3.78,3.78,3.78,3.78,2800
4066511,1992-05-11,ICUI,3.56,3.78,3.56,3.56,3.56,20400
4066512,1992-05-12,ICUI,3.67,3.67,3.56,3.56,3.56,30600
4066513,1992-05-13,ICUI,3.67,3.67,3.44,3.56,3.56,13600
4066514,1992-05-14,ICUI,3.33,3.44,3.33,3.44,3.44,7300
4066515,1992-05-15,ICUI,3.56,4.22,3.56,3.89,3.89,140500
4066516,1992-05-18,ICUI,4.11,4.11,3.89,4.0,4.0,95500
4066517,1992-05-19,ICUI,4.0,4.0,3.78,4.0,4.0,82300
4066518,1992-05-20,ICUI,3.89,4.0,3.78,3.78,3.78,9000
4066519,1992-05-21,ICUI,3.78,3.89,3.56,3.78,3.78,55300
4066520,1992-05-22,ICUI,3.78,3.78,3.56,3.67,3.67,25300
4066521,1992-05-26,ICUI,3.56,3.78,3.56,3.56,3.56,10900
4066522,1992-05-27,ICUI,3.56,3.78,3.56,3.78,3.78,18000
4066523,1992-05-28,ICUI,3.67,3.78,3.67,3.78,3.78,9600
4066524,1992-05-29,ICUI,3.89,4.0,3.67,4.0,4.0,17100
4066525,1992-06-01,ICUI,3.78,4.11,3.78,4.0,4.0,22200
4066526,1992-06-02,ICUI,4.11,4.11,3.89,4.11,4.11,40500
4066527,1992-06-03,ICUI,3.89,4.11,3.89,4.11,4.11,90400
4066528,1992-06-04,ICUI,4.0,4.11,4.0,4.11,4.11,8500
4066529,1992-06-05,ICUI,4.0,4.11,4.0,4.11,4.11,31500
4066530,1992-06-08,ICUI,4.11,4.44,4.0,4.44,4.44,38400
4066531,1992-06-09,ICUI,4.44,4.44,4.11,4.28,4.28,36600
4066532,1992-06-10,ICUI,4.11,4.22,4.0,4.0,4.0,18900
4066533,1992-06-11,ICUI,4.0,4.0,3.89,3.89,3.89,3600
4066534,1992-06-12,ICUI,4.11,4.11,3.89,4.11,4.11,34200
4066535,1992-06-15,ICUI,4.0,4.22,4.0,4.22,4.22,31200
4066536,1992-06-16,ICUI,4.11,4.33,4.11,4.11,4.11,27100
4066537,1992-06-17,ICUI,4.11,4.33,4.0,4.11,4.11,22200
4066538,1992-06-18,ICUI,4.0,4.22,4.0,4.22,4.22,17500
4066539,1992-06-19,ICUI,4.0,4.22,4.0,4.0,4.0,5100
4066540,1992-06-22,ICUI,4.0,4.22,4.0,4.0,4.0,6700
4066541,1992-06-23,ICUI,4.0,4.22,4.0,4.0,4.0,8500
4066542,1992-06-24,ICUI,4.11,4.22,3.89,4.0,4.0,21300
4066543,1992-06-25,ICUI,3.89,3.89,3.78,3.78,3.78,7300
4066544,1992-06-26,ICUI,3.78,3.78,3.78,3.78,3.78,0
4066545,1992-06-29,ICUI,3.78,4.33,3.78,4.11,4.11,91000
4066546,1992-06-30,ICUI,4.11,4.11,4.11,4.11,4.11,0
4066547,1992-07-01,ICUI,4.0,4.22,4.0,4.22,4.22,127500
4066548,1992-07-02,ICUI,4.22,4.22,4.11,4.22,4.22,14500
4066549,1992-07-06,ICUI,4.11,4.11,4.0,4.0,4.0,13000
4066550,1992-07-07,ICUI,3.89,4.0,3.89,4.0,4.0,5100
4066551,1992-07-08,ICUI,4.0,4.0,4.0,4.0,4.0,0
4066552,1992-07-09,ICUI,3.78,4.0,3.78,4.0,4.0,2200
4066553,1992-07-10,ICUI,4.11,4.11,3.78,3.78,3.78,5100
4066554,1992-07-13,ICUI,4.11,4.11,4.0,4.0,4.0,6400
4066555,1992-07-14,ICUI,4.0,4.0,3.78,3.78,3.78,1500
4066556,1992-07-15,ICUI,4.11,4.22,3.89,4.22,4.22,60400
4066557,1992-07-16,ICUI,3.89,4.33,3.89,4.33,4.33,66300
4066558,1992-07-17,ICUI,4.44,4.67,4.22,4.44,4.44,273700
4066559,1992-07-20,ICUI,4.39,4.78,4.33,4.67,4.67,54100
4066560,1992-07-21,ICUI,4.78,5.11,4.56,5.0,5.0,114000
4066561,1992-07-22,ICUI,5.11,5.11,4.56,4.56,4.56,85500
4066562,1992-07-23,ICUI,4.67,4.67,4.61,4.61,4.61,1900
4066563,1992-07-24,ICUI,4.5,4.5,4.44,4.5,4.5,18100
4066564,1992-07-27,ICUI,4.67,4.67,4.5,4.56,4.56,33900
4066565,1992-07-28,ICUI,4.67,4.67,4.67,4.67,4.67,9600
4066566,1992-07-29,ICUI,4.56,4.56,4.56,4.56,4.56,2400
4066567,1992-07-30,ICUI,4.56,4.72,4.56,4.72,4.72,14400
4066568,1992-07-31,ICUI,4.56,4.78,4.56,4.61,4.61,39600
4066569,1992-08-03,ICUI,4.56,4.72,4.56,4.72,4.72,900
4066570,1992-08-04,ICUI,4.72,4.72,4.44,4.61,4.61,97200
4066571,1992-08-05,ICUI,4.61,4.78,4.44,4.78,4.78,32400
4066572,1992-08-06,ICUI,4.44,4.67,4.44,4.44,4.44,24700
4066573,1992-08-07,ICUI,4.67,4.78,4.5,4.67,4.67,62200
4066574,1992-08-10,ICUI,4.44,4.67,4.44,4.67,4.67,5500
4066575,1992-08-11,ICUI,4.67,4.67,4.44,4.56,4.56,5100
4066576,1992-08-12,ICUI,4.44,4.61,4.44,4.61,4.61,19300
4066577,1992-08-13,ICUI,4.44,4.44,4.44,4.44,4.44,600
4066578,1992-08-14,ICUI,4.56,4.67,4.56,4.67,4.67,23100
4066579,1992-08-17,ICUI,4.67,4.67,4.67,4.67,4.67,0
4066580,1992-08-18,ICUI,4.78,4.78,4.44,4.44,4.44,5500
4066581,1992-08-19,ICUI,4.67,4.67,4.44,4.56,4.56,45000
4066582,1992-08-20,ICUI,4.44,4.67,4.44,4.44,4.44,14800
4066583,1992-08-21,ICUI,4.44,4.67,4.44,4.67,4.67,51900
4066584,1992-08-24,ICUI,4.44,4.44,4.44,4.44,4.44,4200
4066585,1992-08-25,ICUI,4.44,4.5,4.44,4.44,4.44,23800
4066586,1992-08-26,ICUI,4.44,4.56,4.22,4.22,4.22,38400
4066587,1992-08-27,ICUI,4.22,4.33,4.22,4.33,4.33,20400
4066588,1992-08-28,ICUI,4.33,4.33,4.0,4.0,4.0,34200
4066589,1992-08-31,ICUI,3.89,4.0,3.67,3.67,3.67,10900
4066590,1992-09-01,ICUI,3.89,3.89,3.89,3.89,3.89,9400
4066591,1992-09-02,ICUI,3.89,4.0,3.78,3.78,3.78,16800
4066592,1992-09-03,ICUI,4.0,4.33,4.0,4.33,4.33,55900
4066593,1992-09-04,ICUI,4.44,4.56,4.22,4.56,4.56,28000
4066594,1992-09-08,ICUI,4.56,4.56,4.33,4.33,4.33,4900
4066595,1992-09-09,ICUI,4.44,4.56,4.33,4.33,4.33,44700
4066596,1992-09-10,ICUI,4.44,4.56,4.44,4.56,4.56,155700
4066597,1992-09-11,ICUI,4.56,4.67,4.33,4.33,4.33,4600
4066598,1992-09-14,ICUI,4.33,4.33,4.33,4.33,4.33,1000
4066599,1992-09-15,ICUI,4.67,4.67,4.67,4.67,4.67,4500
4066600,1992-09-16,ICUI,4.56,4.67,4.44,4.67,4.67,40500
4066601,1992-09-17,ICUI,4.67,4.67,4.44,4.67,4.67,17700
4066602,1992-09-18,ICUI,4.44,4.56,4.33,4.44,4.44,43200
4066603,1992-09-21,ICUI,4.67,4.67,4.33,4.67,4.67,9000
4066604,1992-09-22,ICUI,4.56,4.56,4.33,4.56,4.56,17100
4066605,1992-09-23,ICUI,4.5,4.56,4.33,4.33,4.33,7200
4066606,1992-09-24,ICUI,4.39,4.56,4.33,4.44,4.44,43600
4066607,1992-09-25,ICUI,4.56,4.56,4.5,4.5,4.5,28000
4066608,1992-09-28,ICUI,4.67,4.67,4.61,4.61,4.61,2800
4066609,1992-09-29,ICUI,4.67,4.78,4.56,4.78,4.78,49200
4066610,1992-09-30,ICUI,5.0,5.11,4.67,4.89,4.89,252900
4066611,1992-10-01,ICUI,5.0,5.0,4.78,4.89,4.89,154000
4066612,1992-10-02,ICUI,5.0,5.0,4.83,5.0,5.0,47200
4066613,1992-10-05,ICUI,4.78,5.0,4.67,4.78,4.78,33900
4066614,1992-10-06,ICUI,5.0,5.0,4.78,5.0,5.0,18600
4066615,1992-10-07,ICUI,5.0,5.0,4.78,5.0,5.0,5500
4066616,1992-10-08,ICUI,4.89,4.89,4.67,4.89,4.89,80100
4066617,1992-10-09,ICUI,4.89,4.89,4.78,4.89,4.89,15400
4066618,1992-10-12,ICUI,4.89,4.89,4.67,4.67,4.67,78000
4066619,1992-10-13,ICUI,4.89,4.89,4.67,4.78,4.78,24300
4066620,1992-10-14,ICUI,4.89,4.89,4.67,4.67,4.67,7200
4066621,1992-10-15,ICUI,4.89,4.89,4.78,4.89,4.89,43600
4066622,1992-10-16,ICUI,4.89,4.89,4.61,4.67,4.67,52800
4066623,1992-10-19,ICUI,4.78,4.78,4.11,4.11,4.11,101400
4066624,1992-10-20,ICUI,4.22,4.44,4.22,4.44,4.44,90100
4066625,1992-10-21,ICUI,4.44,4.56,4.22,4.22,4.22,11400
4066626,1992-10-22,ICUI,4.44,4.44,4.22,4.44,4.44,6400
4066627,1992-10-23,ICUI,4.44,4.67,4.33,4.56,4.56,56700
4066628,1992-10-26,ICUI,4.56,4.56,4.56,4.56,4.56,0
4066629,1992-10-27,ICUI,4.67,4.78,4.56,4.78,4.78,32100
4066630,1992-10-28,ICUI,4.78,4.78,4.56,4.67,4.67,43200
4066631,1992-10-29,ICUI,4.56,4.67,4.33,4.56,4.56,9100
4066632,1992-10-30,ICUI,4.67,4.78,4.56,4.56,4.56,18400
4066633,1992-11-02,ICUI,4.78,4.78,4.78,4.78,4.78,3700
4066634,1992-11-03,ICUI,4.78,4.78,4.56,4.56,4.56,27900
4066635,1992-11-04,ICUI,4.56,4.67,4.56,4.67,4.67,66700
4066636,1992-11-05,ICUI,4.67,4.78,4.44,4.44,4.44,5500
4066637,1992-11-06,ICUI,4.78,4.78,4.56,4.56,4.56,4500
4066638,1992-11-09,ICUI,4.78,4.78,4.56,4.78,4.78,2400
4066639,1992-11-10,ICUI,4.61,4.78,4.56,4.61,4.61,3300
4066640,1992-11-11,ICUI,4.56,4.78,4.44,4.78,4.78,11200
4066641,1992-11-12,ICUI,4.78,4.78,4.44,4.78,4.78,33900
4066642,1992-11-13,ICUI,4.44,4.78,4.44,4.78,4.78,20800
4066643,1992-11-16,ICUI,4.78,4.78,4.56,4.61,4.61,21600
4066644,1992-11-17,ICUI,4.78,4.78,4.56,4.67,4.67,34300
4066645,1992-11-18,ICUI,4.56,4.67,4.56,4.67,4.67,29700
4066646,1992-11-19,ICUI,4.56,4.67,4.56,4.67,4.67,28800
4066647,1992-11-20,ICUI,4.56,4.56,4.56,4.56,4.56,1500
4066648,1992-11-23,ICUI,4.78,5.0,4.67,4.94,4.94,122500
4066649,1992-11-24,ICUI,5.0,5.44,4.89,5.33,5.33,369100
4066650,1992-11-25,ICUI,5.56,6.0,5.44,5.72,5.72,397500
4066651,1992-11-27,ICUI,6.0,6.67,5.78,6.67,6.67,427500
4066652,1992-11-30,ICUI,6.89,7.22,6.56,6.67,6.67,878400
4066653,1992-12-01,ICUI,6.89,6.89,6.56,6.78,6.78,161100
4066654,1992-12-02,ICUI,6.56,6.89,6.56,6.67,6.67,258700
4066655,1992-12-03,ICUI,6.89,7.0,6.67,6.89,6.89,77500
4066656,1992-12-04,ICUI,6.67,6.89,6.67,6.89,6.89,57100
4066657,1992-12-07,ICUI,6.89,6.89,6.67,6.78,6.78,77100
4066658,1992-12-08,ICUI,6.67,6.89,6.67,6.78,6.78,78000
4066659,1992-12-09,ICUI,6.78,6.78,6.56,6.78,6.78,179700
4066660,1992-12-10,ICUI,6.78,6.78,6.56,6.67,6.67,29400
4066661,1992-12-11,ICUI,6.56,6.78,6.56,6.56,6.56,24900
4066662,1992-12-14,ICUI,6.56,6.78,6.56,6.56,6.56,96700
4066663,1992-12-15,ICUI,6.67,6.67,5.89,6.11,6.11,199500
4066664,1992-12-16,ICUI,5.89,6.11,5.33,5.67,5.67,419100
4066665,1992-12-17,ICUI,5.44,6.0,5.44,6.0,6.0,211600
4066666,1992-12-18,ICUI,6.0,6.22,5.89,6.0,6.0,191700
4066667,1992-12-21,ICUI,6.22,6.44,6.0,6.44,6.44,63100
4066668,1992-12-22,ICUI,6.44,6.78,6.22,6.67,6.67,114900
4066669,1992-12-23,ICUI,6.56,6.67,6.44,6.56,6.56,46300
4066670,1992-12-24,ICUI,6.56,6.56,6.5,6.5,6.5,12700
4066671,1992-12-28,ICUI,6.44,6.67,6.44,6.67,6.67,16300
4066672,1992-12-29,ICUI,6.67,6.67,6.33,6.33,6.33,41500
