,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4227823,2014-02-14,INGN,16.0,16.12,14.78,15.15,15.15,3611500
4227824,2014-02-18,INGN,15.22,15.6,15.15,15.25,15.25,194900
4227825,2014-02-19,INGN,15.17,15.35,15.0,15.1,15.1,133700
4227826,2014-02-20,INGN,15.07,15.8,15.02,15.5,15.5,151100
4227827,2014-02-21,INGN,15.76,16.7,15.45,16.55,16.55,197200
4227828,2014-02-24,INGN,16.9,17.32,16.73,16.97,16.97,133300
4227829,2014-02-25,INGN,17.1,17.24,16.75,16.95,16.95,116800
4227830,2014-02-26,INGN,17.0,17.3,16.88,17.0,17.0,51900
4227831,2014-02-27,INGN,17.01,17.36,16.81,17.14,17.14,46800
4227832,2014-02-28,INGN,18.32,18.32,17.15,17.51,17.51,114600
4227833,2014-03-03,INGN,17.45,17.77,16.95,17.69,17.69,99000
4227834,2014-03-04,INGN,17.99,19.22,17.9,19.02,19.02,117200
4227835,2014-03-05,INGN,19.4,20.24,19.28,19.4,19.4,149400
4227836,2014-03-06,INGN,19.39,20.0,19.04,19.38,19.38,111300
4227837,2014-03-07,INGN,19.82,19.91,19.01,19.19,19.19,109700
4227838,2014-03-10,INGN,19.16,19.61,19.12,19.5,19.5,110800
4227839,2014-03-11,INGN,19.79,19.79,18.31,18.75,18.75,193700
4227840,2014-03-12,INGN,18.74,20.45,18.31,20.31,20.31,145300
4227841,2014-03-13,INGN,20.77,21.0,19.92,20.0,20.0,132400
4227842,2014-03-14,INGN,20.03,20.03,19.01,19.4,19.4,71100
4227843,2014-03-17,INGN,19.91,20.3,19.67,19.95,19.95,77000
4227844,2014-03-18,INGN,20.05,20.4,19.82,19.85,19.85,117900
4227845,2014-03-19,INGN,19.97,20.49,19.66,19.84,19.84,43800
4227846,2014-03-20,INGN,19.6,20.1,18.11,18.5,18.5,112100
4227847,2014-03-21,INGN,18.51,19.22,17.07,17.2,17.2,164100
4227848,2014-03-24,INGN,17.1,17.25,15.72,16.69,16.69,156000
4227849,2014-03-25,INGN,17.14,17.74,16.55,16.8,16.8,238500
4227850,2014-03-26,INGN,16.8,17.41,16.7,16.74,16.74,98800
4227851,2014-03-27,INGN,17.0,17.76,16.5,16.81,16.81,215000
4227852,2014-03-28,INGN,17.47,18.0,16.5,16.57,16.57,418500
4227853,2014-03-31,INGN,16.5,17.43,16.06,16.51,16.51,757100
4227854,2014-04-01,INGN,16.5,16.91,16.32,16.62,16.62,58200
4227855,2014-04-02,INGN,16.64,17.14,16.48,16.53,16.53,84200
4227856,2014-04-03,INGN,16.57,16.75,16.33,16.7,16.7,112300
4227857,2014-04-04,INGN,16.75,16.75,16.26,16.35,16.35,90000
4227858,2014-04-07,INGN,16.26,16.73,16.02,16.38,16.38,174000
4227859,2014-04-08,INGN,16.15,16.58,16.08,16.47,16.47,43200
4227860,2014-04-09,INGN,16.48,17.01,15.76,16.47,16.47,192200
4227861,2014-04-10,INGN,16.47,16.68,16.27,16.46,16.46,111500
4227862,2014-04-11,INGN,16.32,17.25,16.1,16.89,16.89,78600
4227863,2014-04-14,INGN,17.02,17.15,16.15,16.32,16.32,46200
4227864,2014-04-15,INGN,16.42,16.42,15.12,15.19,15.19,109000
4227865,2014-04-16,INGN,15.35,15.73,15.0,15.32,15.32,74400
4227866,2014-04-17,INGN,15.37,15.46,14.8,14.85,14.85,91700
4227867,2014-04-21,INGN,14.8,15.0,14.59,14.72,14.72,112500
4227868,2014-04-22,INGN,14.82,15.03,14.76,14.94,14.94,80800
4227869,2014-04-23,INGN,14.94,15.07,14.3,14.61,14.61,89800
4227870,2014-04-24,INGN,14.71,14.85,14.34,14.72,14.72,26000
4227871,2014-04-25,INGN,14.75,14.75,14.21,14.64,14.64,83600
4227872,2014-04-28,INGN,14.63,14.63,13.95,14.26,14.26,46700
4227873,2014-04-29,INGN,14.34,14.44,13.89,14.04,14.04,34100
4227874,2014-04-30,INGN,14.04,14.19,13.62,14.11,14.11,35200
4227875,2014-05-01,INGN,14.04,14.66,13.47,14.61,14.61,69400
4227876,2014-05-02,INGN,14.59,15.02,13.99,14.19,14.19,12000
4227877,2014-05-05,INGN,14.19,14.4,14.06,14.07,14.07,27800
4227878,2014-05-06,INGN,14.0,14.24,13.12,13.9,13.9,171500
4227879,2014-05-07,INGN,13.86,14.06,13.75,14.05,14.05,49800
4227880,2014-05-08,INGN,13.98,14.82,13.76,13.81,13.81,62600
4227881,2014-05-09,INGN,13.75,14.3,13.68,14.19,14.19,21800
4227882,2014-05-12,INGN,14.25,14.7,14.05,14.45,14.45,56300
4227883,2014-05-13,INGN,14.05,14.63,14.05,14.62,14.62,45900
4227884,2014-05-14,INGN,15.0,16.65,14.87,16.29,16.29,161600
4227885,2014-05-15,INGN,16.31,16.39,15.36,16.14,16.14,76300
4227886,2014-05-16,INGN,16.21,16.33,15.58,16.21,16.21,82500
4227887,2014-05-19,INGN,16.09,16.3,15.32,15.8,15.8,44700
4227888,2014-05-20,INGN,15.8,16.15,15.8,15.92,15.92,66400
4227889,2014-05-21,INGN,15.69,16.6,15.69,16.52,16.52,88300
4227890,2014-05-22,INGN,16.49,16.9,16.14,16.83,16.83,39300
4227891,2014-05-23,INGN,16.76,17.4,16.76,17.02,17.02,45700
4227892,2014-05-27,INGN,17.11,17.19,16.56,16.96,16.96,47100
4227893,2014-05-28,INGN,16.92,17.04,16.88,16.94,16.94,18500
4227894,2014-05-29,INGN,17.07,17.07,16.92,17.0,17.0,15300
4227895,2014-05-30,INGN,17.06,17.06,16.67,16.78,16.78,25200
4227896,2014-06-02,INGN,16.85,16.91,16.31,16.42,16.42,25800
4227897,2014-06-03,INGN,16.44,16.6,16.12,16.28,16.28,59800
4227898,2014-06-04,INGN,16.28,16.72,15.81,16.64,16.64,43400
4227899,2014-06-05,INGN,16.61,17.34,16.55,17.12,17.12,60900
4227900,2014-06-06,INGN,17.2,17.2,16.7,17.04,17.04,23900
4227901,2014-06-09,INGN,16.99,17.56,16.99,17.21,17.21,28800
4227902,2014-06-10,INGN,17.0,17.42,17.0,17.34,17.34,20700
4227903,2014-06-11,INGN,17.33,17.39,16.9,17.06,17.06,18900
4227904,2014-06-12,INGN,17.39,17.9,17.09,17.54,17.54,54700
4227905,2014-06-13,INGN,17.63,18.5,16.41,18.4,18.4,62200
4227906,2014-06-16,INGN,18.46,19.16,18.23,18.91,18.91,51900
4227907,2014-06-17,INGN,18.98,19.69,18.75,19.65,19.65,106600
4227908,2014-06-18,INGN,19.55,19.83,18.49,19.18,19.18,61900
4227909,2014-06-19,INGN,19.34,19.5,18.11,18.43,18.43,94000
4227910,2014-06-20,INGN,18.53,19.49,17.72,18.56,18.56,182900
4227911,2014-06-23,INGN,18.76,19.44,18.52,19.14,19.14,43400
4227912,2014-06-24,INGN,19.35,20.39,19.35,19.93,19.93,106300
4227913,2014-06-25,INGN,20.14,20.98,19.81,20.89,20.89,63900
4227914,2014-06-26,INGN,20.81,20.85,20.48,20.62,20.62,34800
4227915,2014-06-27,INGN,20.49,22.03,20.49,21.86,21.86,159700
4227916,2014-06-30,INGN,21.92,22.62,21.23,22.56,22.56,67400
4227917,2014-07-01,INGN,22.6,24.37,21.5,23.58,23.58,183900
4227918,2014-07-02,INGN,23.7,23.95,22.84,22.95,22.95,58800
4227919,2014-07-03,INGN,22.94,22.94,21.72,22.0,22.0,82200
4227920,2014-07-07,INGN,22.38,22.38,20.39,20.62,20.62,74900
4227921,2014-07-08,INGN,22.55,22.55,19.01,20.21,20.21,91400
4227922,2014-07-09,INGN,20.2,20.36,19.47,19.97,19.97,89700
4227923,2014-07-10,INGN,19.72,19.75,19.27,19.7,19.7,35800
4227924,2014-07-11,INGN,19.77,20.1,19.77,19.96,19.96,21200
4227925,2014-07-14,INGN,20.15,20.15,19.9,19.96,19.96,28000
4227926,2014-07-15,INGN,19.32,19.75,19.0,19.24,19.24,32200
4227927,2014-07-16,INGN,19.45,19.67,19.23,19.39,19.39,27900
4227928,2014-07-17,INGN,19.44,19.72,19.31,19.43,19.43,13600
4227929,2014-07-18,INGN,19.35,20.0,19.35,19.91,19.91,28800
4227930,2014-07-21,INGN,19.94,20.0,19.34,19.7,19.7,37800
4227931,2014-07-22,INGN,19.98,20.29,19.6,19.71,19.71,51900
4227932,2014-07-23,INGN,19.94,20.53,19.62,20.32,20.32,20000
4227933,2014-07-24,INGN,20.75,20.75,19.96,20.03,20.03,11300
4227934,2014-07-25,INGN,19.88,20.0,19.11,19.22,19.22,26700
4227935,2014-07-28,INGN,19.32,19.56,18.54,19.31,19.31,25700
4227936,2014-07-29,INGN,19.3,20.08,19.25,19.9,19.9,17900
4227937,2014-07-30,INGN,20.09,22.37,19.81,19.95,19.95,36400
4227938,2014-07-31,INGN,20.06,21.46,19.86,20.0,20.0,46200
4227939,2014-08-01,INGN,20.0,20.18,18.42,18.93,18.93,82700
4227940,2014-08-04,INGN,18.92,18.92,18.53,18.74,18.74,19900
4227941,2014-08-05,INGN,18.6,20.0,18.55,18.72,18.72,70900
4227942,2014-08-06,INGN,18.66,18.77,18.5,18.5,18.5,15600
4227943,2014-08-07,INGN,18.5,18.82,18.2,18.26,18.26,24800
4227944,2014-08-08,INGN,18.22,18.32,17.72,18.3,18.3,161000
4227945,2014-08-11,INGN,18.0,18.53,18.0,18.37,18.37,21700
4227946,2014-08-12,INGN,18.24,18.68,18.06,18.21,18.21,41200
4227947,2014-08-13,INGN,19.0,19.6,18.52,19.03,19.03,630500
4227948,2014-08-14,INGN,19.11,19.16,18.72,19.08,19.08,125200
4227949,2014-08-15,INGN,18.79,19.04,18.5,18.93,18.93,92200
4227950,2014-08-18,INGN,18.95,19.27,18.94,19.1,19.1,96700
4227951,2014-08-19,INGN,19.1,19.35,19.04,19.3,19.3,177700
4227952,2014-08-20,INGN,19.2,19.73,19.2,19.48,19.48,128100
4227953,2014-08-21,INGN,19.9,19.9,19.0,19.03,19.03,59400
4227954,2014-08-22,INGN,18.98,19.33,18.98,19.1,19.1,69700
4227955,2014-08-25,INGN,19.26,19.9,19.18,19.62,19.62,134200
4227956,2014-08-26,INGN,19.64,19.71,19.37,19.54,19.54,96100
4227957,2014-08-27,INGN,19.81,20.63,19.54,20.36,20.36,167700
4227958,2014-08-28,INGN,20.22,20.51,19.92,20.17,20.17,47300
4227959,2014-08-29,INGN,20.17,20.84,19.94,20.65,20.65,65800
4227960,2014-09-02,INGN,20.55,22.35,20.55,21.69,21.69,99800
4227961,2014-09-03,INGN,21.74,22.81,21.5,21.96,21.96,97300
4227962,2014-09-04,INGN,22.03,22.98,21.96,22.49,22.49,83900
4227963,2014-09-05,INGN,22.4,22.79,20.42,22.55,22.55,92600
4227964,2014-09-08,INGN,22.5,23.11,22.02,23.03,23.03,61700
4227965,2014-09-09,INGN,23.0,24.5,23.0,24.03,24.03,174000
