,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4276751,2004-04-30,INTX,21.0,24.7,20.51,24.7,18.73,6518500
4276752,2004-05-03,INTX,23.75,24.74,22.3,23.07,17.49,738700
4276753,2004-05-04,INTX,23.1,23.5,22.0,22.2,16.83,437100
4276754,2004-05-05,INTX,22.3,22.99,22.0,22.0,16.68,264700
4276755,2004-05-06,INTX,22.25,23.74,22.0,23.65,17.93,175700
4276756,2004-05-07,INTX,23.67,24.1,23.44,23.96,18.17,198300
4276757,2004-05-10,INTX,23.25,24.28,23.0,24.27,18.4,140300
4276758,2004-05-11,INTX,24.58,27.0,23.61,27.0,20.47,186600
4276759,2004-05-12,INTX,25.85,27.0,23.58,25.0,18.96,180100
4276760,2004-05-13,INTX,24.0,24.66,23.21,23.3,17.67,276300
4276761,2004-05-14,INTX,23.7,23.95,23.26,23.4,17.74,61100
4276762,2004-05-17,INTX,23.2,23.2,21.9,22.78,17.27,201900
4276763,2004-05-18,INTX,22.6,23.07,22.14,23.05,17.48,69500
4276764,2004-05-19,INTX,23.0,24.0,22.78,23.98,18.18,50700
4276765,2004-05-20,INTX,23.44,24.0,22.85,23.75,18.01,123100
4276766,2004-05-21,INTX,23.63,23.83,22.25,23.29,17.66,67700
4276767,2004-05-24,INTX,23.1,23.97,22.03,22.2,16.83,30700
4276768,2004-05-25,INTX,22.55,23.0,22.0,22.25,16.87,75900
4276769,2004-05-26,INTX,22.02,23.0,22.01,22.23,16.86,121000
4276770,2004-05-27,INTX,22.2,22.85,22.1,22.6,17.14,62300
4276771,2004-05-28,INTX,22.75,23.75,22.51,22.67,17.19,33700
4276772,2004-06-01,INTX,23.8,23.8,22.5,22.67,17.19,155800
4276773,2004-06-02,INTX,22.78,23.05,22.58,22.72,17.23,129900
4276774,2004-06-03,INTX,22.72,23.64,22.5,22.75,17.25,83700
4276775,2004-06-04,INTX,22.96,23.3,22.5,23.26,17.64,54300
4276776,2004-06-07,INTX,22.51,23.4,22.51,23.25,17.63,28300
4276777,2004-06-08,INTX,23.2,23.4,22.77,22.98,17.43,77900
4276778,2004-06-09,INTX,22.98,22.98,22.5,22.75,17.25,20100
4276779,2004-06-10,INTX,23.1,23.1,22.01,22.5,17.06,219900
4276780,2004-06-14,INTX,23.0,23.3,22.5,22.88,17.35,90000
4276781,2004-06-15,INTX,23.0,23.15,22.75,23.15,17.55,71900
4276782,2004-06-16,INTX,23.18,24.0,22.88,24.0,18.2,21000
4276783,2004-06-17,INTX,22.88,24.0,22.86,23.99,18.19,25000
4276784,2004-06-18,INTX,23.8,26.0,23.51,25.63,19.44,56300
4276785,2004-06-21,INTX,25.01,25.9,24.68,24.82,18.82,136200
4276786,2004-06-22,INTX,24.5,25.65,24.5,25.57,19.39,37600
4276787,2004-06-23,INTX,24.43,27.33,24.35,27.24,20.66,61800
4276788,2004-06-24,INTX,27.45,27.45,25.87,26.61,20.18,92900
4276789,2004-06-25,INTX,25.18,26.0,25.03,25.98,19.7,530600
4276790,2004-06-28,INTX,26.15,26.15,25.01,25.5,19.34,101600
4276791,2004-06-29,INTX,26.0,26.0,23.89,24.09,18.27,82400
4276792,2004-06-30,INTX,23.41,24.36,23.35,23.99,18.19,141900
4276793,2004-07-01,INTX,23.2,23.95,23.2,23.62,17.91,97300
4276794,2004-07-02,INTX,23.63,23.95,23.63,23.95,18.16,36500
4276795,2004-07-06,INTX,23.45,23.98,23.25,23.39,17.74,67200
4276796,2004-07-07,INTX,23.3,23.92,23.15,23.24,17.62,80200
4276797,2004-07-08,INTX,24.1,24.11,22.52,22.98,17.43,22300
4276798,2004-07-09,INTX,22.75,23.25,22.75,23.0,17.44,49600
4276799,2004-07-12,INTX,22.43,23.04,22.21,22.54,17.09,67800
4276800,2004-07-13,INTX,22.8,22.84,21.65,21.96,16.65,36900
4276801,2004-07-14,INTX,22.02,22.11,21.0,21.4,16.23,85700
4276802,2004-07-15,INTX,21.64,21.75,21.01,21.21,16.08,398200
4276803,2004-07-16,INTX,21.27,21.36,20.45,21.07,15.98,28700
4276804,2004-07-19,INTX,20.95,21.55,20.85,21.05,15.96,36800
4276805,2004-07-20,INTX,21.55,21.55,20.91,20.97,15.9,48800
4276806,2004-07-21,INTX,20.97,21.32,19.61,20.0,15.17,77900
4276807,2004-07-22,INTX,20.02,21.14,19.5,20.65,15.66,49600
4276808,2004-07-23,INTX,20.15,21.1,19.99,20.28,15.38,12700
4276809,2004-07-26,INTX,20.51,20.66,19.61,20.06,15.21,18500
4276810,2004-07-27,INTX,20.0,20.45,16.95,17.19,13.04,147300
4276811,2004-07-28,INTX,17.1,17.1,13.77,14.5,11.0,662300
4276812,2004-07-29,INTX,14.5,14.54,13.0,13.53,10.26,158800
4276813,2004-07-30,INTX,13.74,15.07,13.36,14.62,11.09,187600
4276814,2004-08-02,INTX,14.52,15.05,14.5,14.73,11.17,217200
4276815,2004-08-03,INTX,14.25,14.6,13.26,13.94,10.57,162600
4276816,2004-08-04,INTX,13.56,14.0,13.51,13.77,10.44,39000
