,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4495211,1990-01-02,JOUT,21.25,21.5,21.0,21.5,20.03,7100
4495212,1990-01-03,JOUT,21.5,22.0,21.25,21.5,20.03,90000
4495213,1990-01-04,JOUT,21.75,23.0,21.75,22.75,21.2,20200
4495214,1990-01-05,JOUT,22.75,23.0,22.5,23.0,21.43,3100
4495215,1990-01-08,JOUT,23.0,23.0,22.5,22.5,20.96,1800
4495216,1990-01-09,JOUT,22.5,23.5,22.5,23.0,21.43,6100
4495217,1990-01-10,JOUT,23.0,23.5,22.75,23.0,21.43,18400
4495218,1990-01-11,JOUT,23.0,23.5,22.75,23.25,21.66,15800
4495219,1990-01-12,JOUT,23.25,23.25,22.75,23.25,21.66,20100
4495220,1990-01-15,JOUT,23.25,23.5,22.75,22.75,21.2,2800
4495221,1990-01-16,JOUT,22.75,23.25,22.5,23.0,21.43,17600
4495222,1990-01-17,JOUT,23.0,23.25,22.75,23.0,21.43,8700
4495223,1990-01-18,JOUT,23.0,23.25,22.75,23.25,21.66,2600
4495224,1990-01-19,JOUT,23.0,23.0,22.5,23.0,21.43,17200
4495225,1990-01-22,JOUT,22.5,22.5,21.5,21.5,20.03,27300
4495226,1990-01-23,JOUT,21.5,21.5,21.0,21.5,20.03,15200
4495227,1990-01-24,JOUT,21.5,21.5,20.5,21.5,20.03,24700
4495228,1990-01-25,JOUT,21.5,21.5,21.0,21.0,19.57,3200
4495229,1990-01-26,JOUT,21.0,21.75,21.0,21.0,19.57,29300
4495230,1990-01-29,JOUT,21.0,21.13,20.75,20.75,19.33,4800
4495231,1990-01-30,JOUT,20.75,21.25,20.25,20.25,18.87,13600
4495232,1990-01-31,JOUT,20.25,20.75,20.25,20.25,18.87,2100
4495233,1990-02-01,JOUT,20.25,20.75,20.25,20.25,18.87,4900
4495234,1990-02-02,JOUT,20.25,20.75,20.25,20.75,19.33,8900
4495235,1990-02-05,JOUT,20.75,20.75,20.25,20.25,18.87,1000
4495236,1990-02-06,JOUT,20.5,21.0,20.5,21.0,19.57,4300
4495237,1990-02-07,JOUT,21.0,21.0,20.5,21.0,19.57,1900
4495238,1990-02-08,JOUT,21.0,22.25,21.0,21.75,20.27,32100
4495239,1990-02-09,JOUT,21.88,22.5,21.88,22.25,20.73,78000
4495240,1990-02-12,JOUT,22.25,22.75,22.0,22.0,20.5,9200
4495241,1990-02-13,JOUT,22.0,22.75,22.0,22.0,20.5,2400
4495242,1990-02-14,JOUT,22.0,22.75,22.0,22.0,20.5,7500
4495243,1990-02-15,JOUT,22.25,23.25,22.25,22.5,20.96,22800
4495244,1990-02-16,JOUT,23.0,24.0,23.0,23.5,21.9,11400
4495245,1990-02-20,JOUT,23.5,23.5,22.75,22.75,21.2,18300
4495246,1990-02-21,JOUT,22.5,22.5,22.0,22.13,20.61,8100
4495247,1990-02-22,JOUT,22.0,22.0,22.0,22.0,20.5,200
4495248,1990-02-23,JOUT,22.0,22.0,21.75,22.0,20.5,8300
4495249,1990-02-26,JOUT,22.0,22.25,21.75,22.25,20.73,600
4495250,1990-02-27,JOUT,21.75,21.75,21.75,21.75,20.27,1700
4495251,1990-02-28,JOUT,21.75,22.25,21.75,22.25,20.73,3700
4495252,1990-03-01,JOUT,22.0,22.0,21.75,21.75,20.27,24400
4495253,1990-03-02,JOUT,21.75,21.75,21.75,21.75,20.27,3200
4495254,1990-03-06,JOUT,21.75,22.25,21.75,22.25,20.73,19500
4495255,1990-03-07,JOUT,22.25,22.75,22.0,22.25,20.73,41600
4495256,1990-03-08,JOUT,22.25,22.5,22.25,22.5,20.96,1600
4495257,1990-03-09,JOUT,22.5,22.5,22.25,22.25,20.73,2400
4495258,1990-03-12,JOUT,22.25,22.25,22.25,22.25,20.73,200
4495259,1990-03-13,JOUT,22.25,22.25,22.25,22.25,20.73,1700
4495260,1990-03-14,JOUT,22.25,22.75,22.25,22.25,20.73,700
4495261,1990-03-15,JOUT,22.25,22.75,22.25,22.25,20.73,5000
4495262,1990-03-16,JOUT,22.25,23.0,22.25,22.75,21.2,9900
4495263,1990-03-19,JOUT,22.75,23.25,22.75,23.25,21.66,41600
4495264,1990-03-20,JOUT,23.25,23.25,22.75,23.13,21.55,8700
4495265,1990-03-21,JOUT,23.13,23.25,22.75,22.75,21.2,600
4495266,1990-03-22,JOUT,22.75,23.25,22.75,22.75,21.2,11400
4495267,1990-03-23,JOUT,22.75,23.0,22.75,22.75,21.2,4600
4495268,1990-03-26,JOUT,22.75,23.13,22.75,22.75,21.2,22300
4495269,1990-03-27,JOUT,22.5,23.25,22.5,22.5,20.96,2000
4495270,1990-03-28,JOUT,22.5,22.5,22.5,22.5,20.96,500
4495271,1990-03-29,JOUT,22.5,23.0,22.5,22.5,20.96,1600
4495272,1990-03-30,JOUT,22.5,23.25,22.5,23.0,21.43,12300
4495273,1990-04-02,JOUT,22.75,23.5,22.5,23.5,21.9,24100
4495274,1990-04-03,JOUT,23.0,24.0,23.0,23.5,21.9,7800
4495275,1990-04-04,JOUT,23.5,23.5,23.5,23.5,21.9,300
4495276,1990-04-05,JOUT,23.5,23.5,23.5,23.5,21.9,8100
4495277,1990-04-06,JOUT,23.5,24.0,23.5,23.5,21.9,1900
