,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4599159,1995-08-18,KOOL,200.0,200.0,195.0,200.0,200.0,200
4599160,1995-08-21,KOOL,195.0,210.0,195.0,195.0,195.0,100
4599161,1995-08-22,KOOL,210.0,210.0,170.0,180.0,180.0,300
4599162,1995-08-23,KOOL,180.0,180.0,155.0,160.0,160.0,400
4599163,1995-08-24,KOOL,175.0,175.0,150.0,160.0,160.0,500
4599164,1995-08-25,KOOL,155.0,170.0,155.0,170.0,170.0,500
4599165,1995-08-28,KOOL,155.0,170.0,155.0,170.0,170.0,200
4599166,1995-08-29,KOOL,155.0,160.0,150.0,155.0,155.0,200
4599167,1995-08-30,KOOL,160.0,170.0,160.0,160.0,160.0,200
4599168,1995-08-31,KOOL,170.0,170.0,170.0,170.0,170.0,0
4599169,1995-09-01,KOOL,170.0,170.0,155.0,155.0,155.0,100
4599170,1995-09-05,KOOL,170.0,170.0,155.0,155.0,155.0,300
4599171,1995-09-06,KOOL,155.0,170.0,155.0,160.0,160.0,100
4599172,1995-09-07,KOOL,155.0,170.0,155.0,160.0,160.0,100
4599173,1995-09-08,KOOL,155.0,165.0,155.0,165.0,165.0,100
4599174,1995-09-11,KOOL,155.0,170.0,155.0,165.0,165.0,100
4599175,1995-09-12,KOOL,165.0,165.0,165.0,165.0,165.0,0
4599176,1995-09-13,KOOL,175.0,175.0,175.0,175.0,175.0,0
4599177,1995-09-14,KOOL,160.0,190.0,160.0,180.0,180.0,100
4599178,1995-09-15,KOOL,170.0,190.0,160.0,160.0,160.0,200
4599179,1995-09-18,KOOL,170.0,170.0,160.0,170.0,170.0,0
4599180,1995-09-19,KOOL,170.0,170.0,160.0,160.0,160.0,100
4599181,1995-09-20,KOOL,160.0,170.0,160.0,170.0,170.0,100
4599182,1995-09-21,KOOL,180.0,180.0,170.0,175.0,175.0,100
4599183,1995-09-22,KOOL,190.0,190.0,180.0,180.0,180.0,0
4599184,1995-09-25,KOOL,190.0,190.0,170.0,180.0,180.0,100
4599185,1995-09-26,KOOL,180.0,200.0,180.0,180.0,180.0,200
4599186,1995-09-27,KOOL,200.0,200.0,170.0,180.0,180.0,100
4599187,1995-09-28,KOOL,180.0,180.0,170.0,170.0,170.0,100
4599188,1995-09-29,KOOL,185.0,185.0,170.0,175.0,175.0,200
4599189,1995-10-02,KOOL,170.0,180.0,170.0,170.0,170.0,300
4599190,1995-10-03,KOOL,170.0,170.0,170.0,170.0,170.0,0
4599191,1995-10-04,KOOL,170.0,180.0,160.0,165.0,165.0,600
4599192,1995-10-05,KOOL,165.0,180.0,165.0,165.0,165.0,200
4599193,1995-10-06,KOOL,165.0,165.0,165.0,165.0,165.0,0
4599194,1995-10-09,KOOL,167.5,180.0,165.0,165.0,165.0,1000
4599195,1995-10-10,KOOL,175.0,180.0,160.0,160.0,160.0,400
4599196,1995-10-11,KOOL,160.0,180.0,160.0,160.0,160.0,300
4599197,1995-10-12,KOOL,160.0,160.0,160.0,160.0,160.0,100
4599198,1995-10-13,KOOL,160.0,170.0,160.0,160.0,160.0,100
4599199,1995-10-16,KOOL,160.0,160.0,160.0,160.0,160.0,0
4599200,1995-10-17,KOOL,160.0,170.0,160.0,170.0,170.0,100
4599201,1995-10-18,KOOL,160.0,165.0,155.0,165.0,165.0,200
4599202,1995-10-19,KOOL,155.0,165.0,155.0,160.0,160.0,100
4599203,1995-10-20,KOOL,155.0,165.0,155.0,160.0,160.0,0
4599204,1995-10-23,KOOL,160.0,170.0,155.0,170.0,170.0,100
4599205,1995-10-24,KOOL,170.0,170.0,160.0,165.0,165.0,0
4599206,1995-10-25,KOOL,160.0,170.0,160.0,170.0,170.0,0
4599207,1995-10-26,KOOL,155.0,170.0,155.0,155.0,155.0,100
4599208,1995-10-27,KOOL,160.0,160.0,155.0,160.0,160.0,100
4599209,1995-10-30,KOOL,155.0,160.0,140.0,150.0,150.0,400
4599210,1995-10-31,KOOL,140.0,155.0,140.0,155.0,155.0,0
4599211,1995-11-01,KOOL,145.0,145.0,145.0,145.0,145.0,0
4599212,1995-11-02,KOOL,155.0,155.0,140.0,155.0,155.0,0
4599213,1995-11-03,KOOL,140.0,160.0,125.0,125.0,125.0,300
4599214,1995-11-06,KOOL,120.0,120.0,100.0,110.0,110.0,200
4599215,1995-11-07,KOOL,110.0,140.0,110.0,135.0,135.0,800
4599216,1995-11-08,KOOL,120.0,140.0,120.0,120.0,120.0,0
4599217,1995-11-09,KOOL,120.0,140.0,120.0,140.0,140.0,300
4599218,1995-11-10,KOOL,120.0,135.0,120.0,135.0,135.0,200
4599219,1995-11-13,KOOL,120.0,140.0,120.0,130.0,130.0,500
4599220,1995-11-14,KOOL,140.0,140.0,125.0,125.0,125.0,100
4599221,1995-11-15,KOOL,140.0,140.0,125.0,125.0,125.0,0
4599222,1995-11-16,KOOL,140.0,140.0,130.0,132.5,132.5,900
4599223,1995-11-17,KOOL,140.0,150.0,135.0,140.0,140.0,1600
4599224,1995-11-20,KOOL,150.0,150.0,135.0,135.0,135.0,300
4599225,1995-11-21,KOOL,150.0,150.0,135.0,145.0,145.0,100
4599226,1995-11-22,KOOL,135.0,145.0,135.0,145.0,145.0,100
4599227,1995-11-24,KOOL,135.0,135.0,135.0,135.0,135.0,100
4599228,1995-11-27,KOOL,135.0,145.0,135.0,135.0,135.0,200
4599229,1995-11-28,KOOL,150.0,150.0,135.0,135.0,135.0,300
4599230,1995-11-29,KOOL,150.0,150.0,135.0,135.0,135.0,100
4599231,1995-11-30,KOOL,145.0,145.0,135.0,135.0,135.0,200
4599232,1995-12-01,KOOL,135.0,145.0,135.0,135.0,135.0,100
4599233,1995-12-04,KOOL,145.0,145.0,140.0,145.0,145.0,200
4599234,1995-12-05,KOOL,145.0,145.0,135.0,135.0,135.0,200
4599235,1995-12-06,KOOL,135.0,145.0,130.0,140.0,140.0,300
4599236,1995-12-07,KOOL,145.0,150.0,140.0,145.0,145.0,200
4599237,1995-12-08,KOOL,145.0,150.0,145.0,145.0,145.0,100
4599238,1995-12-11,KOOL,145.0,150.0,145.0,145.0,145.0,300
4599239,1995-12-12,KOOL,145.0,150.0,140.0,140.0,140.0,200
4599240,1995-12-13,KOOL,150.0,150.0,140.0,150.0,150.0,100
4599241,1995-12-14,KOOL,150.0,150.0,140.0,150.0,150.0,300
4599242,1995-12-15,KOOL,135.0,150.0,135.0,135.0,135.0,100
4599243,1995-12-18,KOOL,135.0,145.0,135.0,135.0,135.0,100
4599244,1995-12-19,KOOL,160.0,160.0,135.0,150.0,150.0,200
4599245,1995-12-20,KOOL,140.0,145.0,140.0,140.0,140.0,400
4599246,1995-12-21,KOOL,145.0,145.0,130.0,130.0,130.0,300
4599247,1995-12-22,KOOL,140.0,140.0,130.0,130.0,130.0,300
4599248,1995-12-26,KOOL,140.0,140.0,130.0,130.0,130.0,500
4599249,1995-12-27,KOOL,130.0,140.0,125.0,125.0,125.0,800
4599250,1995-12-28,KOOL,140.0,140.0,120.0,130.0,130.0,1100
4599251,1995-12-29,KOOL,130.0,145.0,130.0,145.0,145.0,1400
4599252,1996-01-02,KOOL,145.0,160.0,145.0,150.0,150.0,500
4599253,1996-01-03,KOOL,160.0,160.0,150.0,160.0,160.0,400
4599254,1996-01-04,KOOL,170.0,170.0,160.0,165.0,165.0,300
4599255,1996-01-05,KOOL,170.0,170.0,155.0,155.0,155.0,600
4599256,1996-01-08,KOOL,170.0,170.0,160.0,170.0,170.0,100
4599257,1996-01-09,KOOL,170.0,170.0,160.0,165.0,165.0,300
4599258,1996-01-10,KOOL,160.0,170.0,160.0,160.0,160.0,200
4599259,1996-01-11,KOOL,160.0,160.0,130.0,135.0,135.0,1700
4599260,1996-01-12,KOOL,150.0,150.0,130.0,150.0,150.0,1300
4599261,1996-01-15,KOOL,150.0,150.0,145.0,145.0,145.0,400
4599262,1996-01-16,KOOL,145.0,150.0,145.0,145.0,145.0,300
4599263,1996-01-17,KOOL,150.0,165.0,130.0,160.0,160.0,1100
4599264,1996-01-18,KOOL,160.0,160.0,140.0,150.0,150.0,600
4599265,1996-01-19,KOOL,150.0,150.0,140.0,140.0,140.0,100
4599266,1996-01-22,KOOL,150.0,150.0,140.0,140.0,140.0,200
4599267,1996-01-23,KOOL,140.0,150.0,140.0,150.0,150.0,700
4599268,1996-01-24,KOOL,150.0,150.0,135.0,135.0,135.0,200
4599269,1996-01-25,KOOL,150.0,150.0,135.0,145.0,145.0,400
4599270,1996-01-26,KOOL,150.0,150.0,140.0,140.0,140.0,300
4599271,1996-01-29,KOOL,150.0,150.0,120.0,125.0,125.0,1000
4599272,1996-01-30,KOOL,150.0,150.0,135.0,135.0,135.0,100
4599273,1996-01-31,KOOL,145.0,150.0,140.0,140.0,140.0,400
4599274,1996-02-01,KOOL,145.0,150.0,135.0,140.0,140.0,600
4599275,1996-02-02,KOOL,145.0,150.0,135.0,145.0,145.0,500
4599276,1996-02-05,KOOL,135.0,135.0,135.0,135.0,135.0,100
4599277,1996-02-06,KOOL,150.0,150.0,135.0,150.0,150.0,200
4599278,1996-02-07,KOOL,145.0,160.0,145.0,157.5,157.5,200
4599279,1996-02-08,KOOL,145.0,180.0,145.0,180.0,180.0,800
4599280,1996-02-09,KOOL,180.0,200.0,170.0,185.0,185.0,1100
