,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5012503,2017-11-16,MBFIO,25.33,25.4,24.95,25.36,24.6,1530000
5012504,2017-11-17,MBFIO,25.36,25.75,25.25,25.75,24.98,619600
5012505,2017-11-20,MBFIO,25.75,25.75,24.99,25.5,24.74,367800
5012506,2017-11-21,MBFIO,25.8,25.95,25.45,25.7,24.93,148800
5012507,2017-11-22,MBFIO,25.5,25.8,25.5,25.8,25.03,99300
5012508,2017-11-24,MBFIO,26.0,26.0,25.4,26.0,25.22,5000
5012509,2017-11-27,MBFIO,26.0,26.0,25.67,25.75,24.98,113000
5012510,2017-11-28,MBFIO,25.74,25.87,25.65,25.7,24.93,140700
5012511,2017-11-29,MBFIO,25.84,25.84,25.6,25.65,24.88,54800
5012512,2017-11-30,MBFIO,25.7,25.73,25.62,25.65,24.88,61500
5012513,2017-12-01,MBFIO,25.65,25.69,25.53,25.69,24.92,31700
5012514,2017-12-04,MBFIO,25.73,25.8,25.53,25.65,24.88,707000
5012515,2017-12-05,MBFIO,25.67,25.75,25.65,25.7,24.93,78800
5012516,2017-12-06,MBFIO,25.75,25.75,25.57,25.75,24.98,71800
5012517,2017-12-07,MBFIO,25.8,25.85,25.75,25.76,24.99,73200
5012518,2017-12-08,MBFIO,25.89,25.89,25.71,25.85,25.08,28100
5012519,2017-12-11,MBFIO,25.67,25.9,25.65,25.9,25.13,63200
5012520,2017-12-12,MBFIO,25.8,26.05,25.8,25.99,25.21,137700
5012521,2017-12-13,MBFIO,26.0,26.13,25.99,26.0,25.22,34900
5012522,2017-12-14,MBFIO,26.07,26.11,25.93,26.0,25.22,110300
5012523,2017-12-15,MBFIO,26.0,26.14,25.96,26.08,25.3,91600
5012524,2017-12-18,MBFIO,26.06,26.19,26.05,26.11,25.33,32000
5012525,2017-12-19,MBFIO,26.1,26.2,26.02,26.19,25.41,74600
5012526,2017-12-20,MBFIO,26.07,26.33,26.04,26.15,25.37,351600
5012527,2017-12-21,MBFIO,26.1,26.19,26.01,26.18,25.4,31800
5012528,2017-12-22,MBFIO,26.15,26.18,26.04,26.07,25.29,78500
5012529,2017-12-26,MBFIO,26.17,26.19,26.0,26.1,25.32,35500
5012530,2017-12-27,MBFIO,26.09,26.26,26.09,26.19,25.41,14500
5012531,2017-12-28,MBFIO,26.26,26.38,26.19,26.3,25.52,75100
5012532,2017-12-29,MBFIO,26.34,26.38,26.25,26.29,25.51,98200
5012533,2018-01-02,MBFIO,26.3,26.3,26.06,26.3,25.52,50900
5012534,2018-01-03,MBFIO,26.3,26.3,26.03,26.21,25.43,17400
5012535,2018-01-04,MBFIO,26.24,26.24,26.05,26.19,25.41,50100
5012536,2018-01-05,MBFIO,26.24,26.33,26.17,26.3,25.52,101900
5012537,2018-01-08,MBFIO,26.4,26.48,26.12,26.26,25.48,68500
5012538,2018-01-09,MBFIO,26.3,26.3,26.06,26.14,25.36,95800
5012539,2018-01-10,MBFIO,26.07,26.07,25.65,25.96,25.19,105900
5012540,2018-01-11,MBFIO,25.87,26.18,25.87,26.18,25.4,58900
5012541,2018-01-12,MBFIO,26.09,26.18,25.98,26.14,25.36,59900
5012542,2018-01-16,MBFIO,26.17,26.2,25.94,26.03,25.25,124200
5012543,2018-01-17,MBFIO,26.08,26.14,25.97,26.06,25.28,45200
5012544,2018-01-18,MBFIO,26.05,26.08,25.82,25.98,25.21,94900
5012545,2018-01-19,MBFIO,25.95,25.99,25.53,25.6,24.84,1048300
5012546,2018-01-22,MBFIO,25.59,25.59,25.37,25.43,24.67,43000
5012547,2018-01-23,MBFIO,25.39,25.66,25.39,25.66,24.89,21600
5012548,2018-01-24,MBFIO,25.64,25.64,25.4,25.6,24.84,23100
5012549,2018-01-25,MBFIO,25.6,25.65,25.47,25.54,24.78,22900
5012550,2018-01-26,MBFIO,25.55,25.55,25.19,25.35,24.59,46700
5012551,2018-01-29,MBFIO,25.25,25.3,24.77,24.9,24.16,84000
5012552,2018-01-30,MBFIO,24.8,25.2,24.58,24.75,24.01,194500
5012553,2018-01-31,MBFIO,24.9,24.98,24.6,24.72,23.98,69900
5012554,2018-02-01,MBFIO,24.78,24.79,24.6,24.74,24.0,15300
5012555,2018-02-02,MBFIO,24.52,24.68,24.2,24.68,23.94,57800
5012556,2018-02-05,MBFIO,24.68,24.75,24.47,24.65,23.91,15300
5012557,2018-02-06,MBFIO,24.71,25.05,24.53,25.05,24.3,39100
5012558,2018-02-07,MBFIO,24.71,25.3,24.71,25.3,24.55,22100
5012559,2018-02-08,MBFIO,24.98,24.98,24.57,24.9,24.53,48700
5012560,2018-02-09,MBFIO,24.98,24.98,24.27,24.74,24.38,79200
5012561,2018-02-12,MBFIO,24.66,24.85,24.59,24.84,24.47,15600
5012562,2018-02-13,MBFIO,24.85,24.89,24.79,24.89,24.52,7400
5012563,2018-02-14,MBFIO,24.87,24.94,24.74,24.94,24.57,41500
5012564,2018-02-15,MBFIO,24.94,25.0,24.77,24.91,24.54,42100
5012565,2018-02-16,MBFIO,24.98,24.99,24.8,24.8,24.44,23600
5012566,2018-02-20,MBFIO,24.92,24.93,24.79,24.85,24.48,14700
5012567,2018-02-21,MBFIO,24.9,25.14,24.84,24.9,24.53,36900
5012568,2018-02-22,MBFIO,25.0,25.0,24.62,24.65,24.29,42400
5012569,2018-02-23,MBFIO,24.84,24.92,24.75,24.77,24.41,12000
5012570,2018-02-26,MBFIO,24.95,24.97,24.8,24.92,24.55,33100
5012571,2018-02-27,MBFIO,24.95,24.95,24.81,24.89,24.52,13100
5012572,2018-02-28,MBFIO,25.05,25.05,24.83,24.85,24.48,31100
5012573,2018-03-01,MBFIO,24.95,24.95,24.65,24.77,24.41,28100
5012574,2018-03-02,MBFIO,24.92,24.92,24.7,24.85,24.48,10900
