,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5139923,2013-10-10,MGNX,24.0,26.4,23.91,24.99,24.99,5360200
5139924,2013-10-11,MGNX,25.2,26.27,24.89,26.1,26.1,549500
5139925,2013-10-14,MGNX,26.5,26.5,25.01,25.38,25.38,244500
5139926,2013-10-15,MGNX,25.06,25.99,23.1,25.01,25.01,322400
5139927,2013-10-16,MGNX,25.23,25.7,24.16,25.43,25.43,97700
5139928,2013-10-17,MGNX,26.5,26.5,24.51,25.17,25.17,47400
5139929,2013-10-18,MGNX,25.09,25.73,25.05,25.41,25.41,152800
5139930,2013-10-21,MGNX,25.2,25.72,24.89,25.7,25.7,120500
5139931,2013-10-22,MGNX,25.98,27.99,25.74,27.22,27.22,107300
5139932,2013-10-23,MGNX,27.22,27.72,25.7,26.17,26.17,76800
5139933,2013-10-24,MGNX,26.01,29.3,26.01,28.0,28.0,93200
5139934,2013-10-25,MGNX,28.0,28.45,27.43,27.5,27.5,18400
5139935,2013-10-28,MGNX,27.65,27.69,26.77,27.37,27.37,16000
5139936,2013-10-29,MGNX,27.08,27.77,26.0,27.13,27.13,35400
5139937,2013-10-30,MGNX,26.36,28.0,26.36,26.85,26.85,22100
5139938,2013-10-31,MGNX,27.0,28.32,26.52,26.94,26.94,101500
5139939,2013-11-01,MGNX,27.62,27.62,26.5,27.32,27.32,25400
5139940,2013-11-04,MGNX,28.22,28.22,25.6,26.15,26.15,64900
5139941,2013-11-05,MGNX,26.61,27.25,25.27,26.23,26.23,72500
5139942,2013-11-06,MGNX,26.09,27.01,25.62,26.23,26.23,261500
5139943,2013-11-07,MGNX,25.56,26.26,25.27,26.0,26.0,56300
5139944,2013-11-08,MGNX,26.25,26.51,25.37,25.91,25.91,59200
5139945,2013-11-11,MGNX,25.91,26.81,25.51,26.54,26.54,32200
5139946,2013-11-12,MGNX,26.75,27.49,26.49,26.93,26.93,43300
5139947,2013-11-13,MGNX,26.86,29.0,26.86,28.48,28.48,40900
5139948,2013-11-14,MGNX,28.47,28.75,27.34,27.96,27.96,33100
5139949,2013-11-15,MGNX,28.46,30.25,27.03,27.11,27.11,122200
5139950,2013-11-18,MGNX,27.49,27.95,25.4,26.11,26.11,81100
5139951,2013-11-19,MGNX,26.0,26.0,23.0,23.21,23.21,96000
5139952,2013-11-20,MGNX,23.3,23.87,21.5,22.21,22.21,55300
5139953,2013-11-21,MGNX,22.29,22.41,21.55,21.82,21.82,85200
5139954,2013-11-22,MGNX,21.87,24.15,21.74,23.79,23.79,40600
5139955,2013-11-25,MGNX,23.79,25.78,23.05,24.86,24.86,35400
5139956,2013-11-26,MGNX,24.54,26.98,24.54,26.52,26.52,115000
5139957,2013-11-27,MGNX,26.31,27.98,26.2,27.25,27.25,41000
5139958,2013-11-29,MGNX,26.62,27.98,25.92,26.47,26.47,11200
5139959,2013-12-02,MGNX,26.43,27.27,25.83,25.83,25.83,37400
5139960,2013-12-03,MGNX,27.12,27.19,25.04,25.64,25.64,80500
5139961,2013-12-04,MGNX,27.4,27.92,24.72,26.0,26.0,248900
5139962,2013-12-05,MGNX,25.77,27.33,25.17,25.76,25.76,65000
5139963,2013-12-06,MGNX,25.93,26.95,25.32,26.01,26.01,29700
5139964,2013-12-09,MGNX,26.02,27.0,25.55,26.0,26.0,59300
5139965,2013-12-10,MGNX,25.99,26.6,25.36,26.01,26.01,68800
5139966,2013-12-11,MGNX,25.93,26.11,24.31,24.9,24.9,92100
5139967,2013-12-12,MGNX,25.22,25.22,24.4,24.96,24.96,61700
5139968,2013-12-13,MGNX,24.96,25.64,24.08,25.2,25.2,79900
5139969,2013-12-16,MGNX,25.35,26.39,24.46,26.15,26.15,59300
5139970,2013-12-17,MGNX,26.29,27.52,25.85,26.8,26.8,73200
5139971,2013-12-18,MGNX,26.87,27.69,25.83,27.53,27.53,93600
5139972,2013-12-19,MGNX,27.28,27.63,26.44,26.69,26.69,107500
5139973,2013-12-20,MGNX,26.76,27.52,25.62,26.85,26.85,985000
5139974,2013-12-23,MGNX,27.05,27.81,26.52,27.16,27.16,65800
5139975,2013-12-24,MGNX,27.2,27.2,26.31,27.0,27.0,24400
5139976,2013-12-26,MGNX,27.17,27.17,26.31,26.81,26.81,48900
5139977,2013-12-27,MGNX,26.93,26.93,26.26,26.77,26.77,184700
5139978,2013-12-30,MGNX,26.68,28.28,26.09,28.05,28.05,105500
5139979,2013-12-31,MGNX,28.01,28.52,26.79,27.43,27.43,171700
5139980,2014-01-02,MGNX,27.15,29.04,27.06,28.83,28.83,59300
5139981,2014-01-03,MGNX,28.89,29.48,28.38,29.48,29.48,156500
5139982,2014-01-06,MGNX,29.48,29.48,28.71,29.31,29.31,58100
5139983,2014-01-07,MGNX,29.5,32.08,28.96,31.53,31.53,114400
5139984,2014-01-08,MGNX,31.4,32.26,30.88,32.26,32.26,66600
