,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6122856,1999-10-27,PCYG,54.69,81.25,54.69,81.25,81.25,700
6122857,1999-10-28,PCYG,81.25,81.25,75.0,78.13,78.13,300
6122858,1999-10-29,PCYG,65.63,75.0,65.63,71.88,71.88,100
6122859,1999-11-01,PCYG,65.63,70.31,64.06,64.06,64.06,0
6122860,1999-11-02,PCYG,64.06,81.25,64.06,75.0,75.0,400
6122861,1999-11-03,PCYG,71.88,76.56,71.88,71.88,71.88,0
6122862,1999-11-04,PCYG,73.44,78.13,71.88,75.0,75.0,300
6122863,1999-11-05,PCYG,78.13,81.25,71.88,71.88,71.88,100
6122864,1999-11-08,PCYG,79.69,79.69,64.06,64.06,64.06,0
6122865,1999-11-09,PCYG,64.06,78.91,64.06,65.63,65.63,100
6122866,1999-11-10,PCYG,65.63,76.56,65.63,75.0,75.0,300
6122867,1999-11-11,PCYG,65.63,76.56,64.06,64.06,64.06,0
6122868,1999-11-12,PCYG,64.06,65.63,64.06,64.06,64.06,100
6122869,1999-11-15,PCYG,64.06,100.0,64.06,96.88,96.88,2800
6122870,1999-11-16,PCYG,103.13,115.63,95.31,112.5,112.5,4500
6122871,1999-11-17,PCYG,118.75,134.38,103.13,114.06,114.06,10700
6122872,1999-11-18,PCYG,125.0,128.13,115.63,126.56,126.56,2800
6122873,1999-11-19,PCYG,129.69,137.5,128.13,134.38,134.38,2200
6122874,1999-11-22,PCYG,137.5,137.5,106.25,112.5,112.5,1300
6122875,1999-11-23,PCYG,112.5,112.5,103.13,104.69,104.69,400
6122876,1999-11-24,PCYG,103.13,110.94,81.25,87.5,87.5,1500
6122877,1999-11-26,PCYG,81.25,87.5,81.25,87.5,87.5,100
6122878,1999-11-29,PCYG,81.25,87.5,76.56,87.5,87.5,700
6122879,1999-11-30,PCYG,90.63,90.63,75.0,87.5,87.5,300
6122880,1999-12-01,PCYG,87.5,90.63,82.81,90.63,90.63,100
6122881,1999-12-02,PCYG,90.63,90.63,75.0,75.0,75.0,900
6122882,1999-12-03,PCYG,76.56,78.13,75.0,75.0,75.0,300
6122883,1999-12-06,PCYG,73.44,78.13,68.75,75.0,75.0,800
6122884,1999-12-07,PCYG,78.13,104.69,71.88,100.0,100.0,2000
6122885,1999-12-08,PCYG,103.13,103.13,81.25,81.25,81.25,800
6122886,1999-12-09,PCYG,87.5,93.75,81.25,87.5,87.5,300
6122887,1999-12-10,PCYG,103.13,103.13,82.81,85.16,85.16,200
6122888,1999-12-13,PCYG,96.88,96.88,84.38,96.88,96.88,0
6122889,1999-12-14,PCYG,84.38,96.88,84.38,87.5,87.5,300
6122890,1999-12-15,PCYG,81.25,92.19,81.25,87.5,87.5,0
6122891,1999-12-16,PCYG,96.88,96.88,82.81,87.5,87.5,300
6122892,1999-12-17,PCYG,84.38,87.5,79.69,84.38,84.38,500
6122893,1999-12-20,PCYG,87.5,87.5,75.0,84.38,84.38,200
6122894,1999-12-21,PCYG,76.56,82.81,67.19,75.0,75.0,1600
6122895,1999-12-22,PCYG,75.0,75.0,62.5,64.06,64.06,700
6122896,1999-12-23,PCYG,73.44,73.44,59.38,62.5,62.5,1000
6122897,1999-12-27,PCYG,60.94,70.31,53.13,59.38,59.38,1100
6122898,1999-12-28,PCYG,59.38,73.44,56.25,65.63,65.63,500
6122899,1999-12-29,PCYG,60.94,71.88,59.38,68.75,68.75,1100
6122900,1999-12-30,PCYG,71.88,71.88,59.38,68.75,68.75,1000
6122901,1999-12-31,PCYG,60.94,62.5,58.59,62.5,62.5,700
6122902,2000-01-03,PCYG,59.38,68.75,59.38,68.75,68.75,500
