,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6541763,1990-01-02,PTSI,1.0,1.13,1.0,1.13,0.94,21300
6541764,1990-01-03,PTSI,1.13,1.19,0.94,1.13,0.94,22300
6541765,1990-01-04,PTSI,1.13,1.19,1.0,1.19,0.99,2900
6541766,1990-01-05,PTSI,1.19,1.19,1.06,1.06,0.89,15800
6541767,1990-01-08,PTSI,1.13,1.19,1.13,1.19,0.99,6000
6541768,1990-01-09,PTSI,1.19,1.25,1.06,1.25,1.04,17200
6541769,1990-01-10,PTSI,1.25,1.25,1.13,1.25,1.04,7600
6541770,1990-01-11,PTSI,1.25,1.31,1.13,1.31,1.09,7000
6541771,1990-01-12,PTSI,1.31,1.31,1.19,1.31,1.09,2000
6541772,1990-01-15,PTSI,1.31,1.31,1.31,1.31,1.09,500
6541773,1990-01-16,PTSI,1.31,1.31,1.13,1.13,0.94,21000
6541774,1990-01-17,PTSI,1.31,1.31,1.31,1.31,1.09,400
6541775,1990-01-18,PTSI,1.31,1.31,1.06,1.13,0.94,171500
6541776,1990-01-19,PTSI,1.13,1.13,1.13,1.13,0.94,1000
6541777,1990-01-22,PTSI,1.0,1.0,1.0,1.0,0.83,100000
6541778,1990-01-23,PTSI,1.0,1.13,0.88,0.88,0.73,5200
6541779,1990-01-24,PTSI,1.0,1.19,1.0,1.0,0.83,2900
6541780,1990-01-25,PTSI,1.0,1.06,0.94,0.94,0.78,11000
6541781,1990-01-26,PTSI,1.0,1.13,1.0,1.13,0.94,43900
6541782,1990-01-29,PTSI,1.13,1.13,1.06,1.06,0.89,4400
6541783,1990-01-30,PTSI,1.06,1.13,1.06,1.06,0.89,5500
6541784,1990-01-31,PTSI,1.19,1.19,1.19,1.19,0.99,400
6541785,1990-02-01,PTSI,1.19,1.19,1.19,1.19,0.99,14000
6541786,1990-02-02,PTSI,1.19,1.19,1.19,1.19,0.99,2000
6541787,1990-02-05,PTSI,1.19,1.19,1.0,1.0,0.83,17800
6541788,1990-02-06,PTSI,1.13,1.13,1.13,1.13,0.94,4600
6541789,1990-02-07,PTSI,1.0,1.0,1.0,1.0,0.83,3000
6541790,1990-02-08,PTSI,1.0,1.13,1.0,1.13,0.94,5000
6541791,1990-02-09,PTSI,1.13,1.13,0.88,0.88,0.73,3000
6541792,1990-02-12,PTSI,1.0,1.13,1.0,1.0,0.83,2100
6541793,1990-02-13,PTSI,1.0,1.13,0.88,0.88,0.73,4300
6541794,1990-02-14,PTSI,0.88,1.13,0.88,1.13,0.94,3300
6541795,1990-02-15,PTSI,1.13,1.13,1.0,1.0,0.83,2500
6541796,1990-02-20,PTSI,1.13,1.13,1.13,1.13,0.94,400
6541797,1990-02-22,PTSI,1.06,1.06,1.06,1.06,0.89,2500
6541798,1990-02-23,PTSI,1.0,1.0,0.94,0.94,0.78,4500
6541799,1990-02-26,PTSI,1.06,1.06,1.06,1.06,0.89,200
6541800,1990-02-27,PTSI,1.0,1.0,0.88,1.0,0.83,2900
6541801,1990-02-28,PTSI,1.0,1.06,0.94,0.94,0.78,12400
6541802,1990-03-02,PTSI,1.06,1.06,1.06,1.06,0.89,100
6541803,1990-03-05,PTSI,1.06,1.13,1.06,1.13,0.94,11700
6541804,1990-03-06,PTSI,1.0,1.0,0.94,1.0,0.83,7000
6541805,1990-03-07,PTSI,0.94,0.94,0.94,0.94,0.78,200
6541806,1990-03-08,PTSI,0.94,0.94,0.94,0.94,0.78,1500
6541807,1990-03-09,PTSI,0.94,0.94,0.94,0.94,0.78,600
6541808,1990-03-12,PTSI,0.94,1.06,0.94,1.06,0.89,400
6541809,1990-03-13,PTSI,1.06,1.06,1.06,1.06,0.89,100
6541810,1990-03-15,PTSI,1.06,1.06,0.94,1.06,0.89,500
6541811,1990-03-16,PTSI,0.97,0.97,0.97,0.97,0.81,400
6541812,1990-03-19,PTSI,0.97,1.0,0.97,1.0,0.83,14800
6541813,1990-03-20,PTSI,1.06,1.06,1.06,1.06,0.89,3500
6541814,1990-03-21,PTSI,0.94,0.94,0.94,0.94,0.78,200
6541815,1990-03-22,PTSI,1.06,1.06,1.06,1.06,0.89,2000
6541816,1990-03-23,PTSI,0.94,0.94,0.94,0.94,0.78,1100
6541817,1990-03-26,PTSI,0.94,0.94,0.94,0.94,0.78,100
6541818,1990-03-27,PTSI,0.94,0.94,0.94,0.94,0.78,100
6541819,1990-03-28,PTSI,0.94,0.94,0.94,0.94,0.78,0
6541820,1990-03-29,PTSI,1.06,1.06,1.06,1.06,0.89,100
6541821,1990-03-30,PTSI,1.06,1.06,1.06,1.06,0.89,0
6541822,1990-04-02,PTSI,1.06,1.06,1.06,1.06,0.89,200
6541823,1990-04-03,PTSI,0.94,0.94,0.94,0.94,0.78,2000
6541824,1990-04-04,PTSI,0.94,1.0,0.88,0.94,0.78,19200
6541825,1990-04-05,PTSI,0.94,0.94,0.94,0.94,0.78,0
6541826,1990-04-06,PTSI,0.97,0.97,0.97,0.97,0.81,4800
6541827,1990-04-09,PTSI,0.97,0.97,0.81,0.97,0.81,2200
6541828,1990-04-10,PTSI,0.81,0.81,0.81,0.81,0.68,500
6541829,1990-04-11,PTSI,0.97,0.97,0.81,0.81,0.68,1400
6541830,1990-04-12,PTSI,1.03,1.03,1.03,1.03,0.86,2000
6541831,1990-04-16,PTSI,1.0,1.0,0.88,0.88,0.73,1200
6541832,1990-04-17,PTSI,0.88,0.88,0.88,0.88,0.73,900
6541833,1990-04-18,PTSI,0.88,0.88,0.88,0.88,0.73,300
6541834,1990-04-19,PTSI,0.88,0.88,0.88,0.88,0.73,0
6541835,1990-04-20,PTSI,0.88,0.88,0.88,0.88,0.73,0
6541836,1990-04-23,PTSI,0.88,0.94,0.88,0.88,0.73,2500
6541837,1990-04-24,PTSI,1.03,1.03,1.03,1.03,0.86,400
6541838,1990-04-25,PTSI,0.88,0.88,0.88,0.88,0.73,5000
6541839,1990-04-26,PTSI,0.88,0.88,0.88,0.88,0.73,1000
6541840,1990-04-27,PTSI,0.94,0.94,0.88,0.88,0.73,8000
6541841,1990-04-30,PTSI,0.88,0.88,0.88,0.88,0.73,0
6541842,1990-05-01,PTSI,0.88,0.88,0.88,0.88,0.73,0
6541843,1990-05-02,PTSI,0.88,0.88,0.88,0.88,0.73,0
6541844,1990-05-03,PTSI,0.97,0.97,0.97,0.97,0.81,1000
6541845,1990-05-04,PTSI,0.97,0.97,0.97,0.97,0.81,0
6541846,1990-05-07,PTSI,0.88,0.88,0.88,0.88,0.73,3000
6541847,1990-05-08,PTSI,1.0,1.0,1.0,1.0,0.83,1000
6541848,1990-05-09,PTSI,0.88,0.88,0.88,0.88,0.73,300
6541849,1990-05-10,PTSI,0.88,0.88,0.88,0.88,0.73,1600
6541850,1990-05-11,PTSI,0.88,1.0,0.88,0.94,0.78,6200
6541851,1990-05-14,PTSI,0.94,0.94,0.94,0.94,0.78,0
6541852,1990-05-15,PTSI,0.88,0.97,0.88,0.97,0.81,10800
6541853,1990-05-16,PTSI,0.81,0.88,0.75,0.75,0.63,15700
6541854,1990-05-17,PTSI,0.81,0.81,0.63,0.75,0.63,33800
6541855,1990-05-18,PTSI,0.63,0.69,0.63,0.69,0.57,2000
6541856,1990-05-21,PTSI,0.69,0.69,0.69,0.69,0.57,0
6541857,1990-05-22,PTSI,0.63,0.69,0.63,0.69,0.57,2600
6541858,1990-05-23,PTSI,0.81,0.81,0.69,0.75,0.63,4500
6541859,1990-05-24,PTSI,0.88,0.88,0.63,0.88,0.73,10600
6541860,1990-05-25,PTSI,0.97,1.0,0.75,1.0,0.83,9400
6541861,1990-05-29,PTSI,1.0,1.0,1.0,1.0,0.83,0
6541862,1990-05-30,PTSI,1.0,1.0,1.0,1.0,0.83,0
6541863,1990-05-31,PTSI,0.75,0.75,0.75,0.75,0.63,4000
6541864,1990-06-01,PTSI,1.0,1.0,1.0,1.0,0.83,1000
6541865,1990-06-04,PTSI,0.88,0.88,0.66,0.66,0.55,3200
6541866,1990-06-05,PTSI,0.84,0.84,0.63,0.69,0.57,1300
6541867,1990-06-06,PTSI,0.84,0.84,0.63,0.69,0.57,7900
6541868,1990-06-07,PTSI,0.81,0.81,0.81,0.81,0.68,3000
6541869,1990-06-08,PTSI,0.81,0.81,0.81,0.81,0.68,0
6541870,1990-06-11,PTSI,0.81,0.81,0.81,0.81,0.68,0
6541871,1990-06-12,PTSI,0.81,0.81,0.81,0.81,0.68,0
