,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6907497,2003-10-07,RUSHA,4.25,4.59,4.25,4.47,4.47,8700
6907498,2003-10-08,RUSHA,4.47,4.47,4.47,4.47,4.47,0
6907499,2003-10-09,RUSHA,4.33,4.51,4.33,4.49,4.49,3000
6907500,2003-10-10,RUSHA,4.39,4.58,4.39,4.58,4.58,5400
6907501,2003-10-13,RUSHA,4.52,4.67,4.33,4.67,4.67,13900
6907502,2003-10-14,RUSHA,4.65,5.19,4.65,5.19,5.19,29200
6907503,2003-10-15,RUSHA,5.0,5.17,4.71,5.17,5.17,4500
6907504,2003-10-16,RUSHA,5.17,5.17,5.17,5.17,5.17,0
6907505,2003-10-17,RUSHA,5.0,5.17,4.71,5.17,5.17,1800
6907506,2003-10-20,RUSHA,5.03,5.17,4.74,5.17,5.17,1800
6907507,2003-10-21,RUSHA,4.7,4.96,4.54,4.95,4.95,9100
6907508,2003-10-22,RUSHA,4.84,5.17,4.79,5.17,5.17,18900
6907509,2003-10-23,RUSHA,4.58,5.27,4.58,5.27,5.27,2500
6907510,2003-10-24,RUSHA,4.89,5.37,4.73,5.27,5.27,19200
6907511,2003-10-27,RUSHA,5.27,5.6,5.23,5.59,5.59,13200
6907512,2003-10-28,RUSHA,5.24,5.61,5.24,5.48,5.48,8400
6907513,2003-10-29,RUSHA,5.61,5.61,5.5,5.5,5.5,3900
6907514,2003-10-30,RUSHA,5.58,5.91,5.58,5.84,5.84,20800
6907515,2003-10-31,RUSHA,5.8,5.99,5.8,5.99,5.99,9400
6907516,2003-11-03,RUSHA,5.95,6.57,5.95,6.57,6.57,25500
6907517,2003-11-04,RUSHA,6.63,6.9,6.47,6.47,6.47,8100
6907518,2003-11-05,RUSHA,6.41,6.48,6.13,6.13,6.13,4800
6907519,2003-11-06,RUSHA,6.13,6.13,5.43,5.6,5.6,36300
6907520,2003-11-07,RUSHA,5.37,5.63,5.33,5.63,5.63,5400
6907521,2003-11-10,RUSHA,5.71,5.8,5.63,5.63,5.63,11200
6907522,2003-11-11,RUSHA,5.62,5.62,5.3,5.57,5.57,1900
6907523,2003-11-12,RUSHA,5.57,5.57,5.33,5.33,5.33,3900
6907524,2003-11-13,RUSHA,5.62,5.63,5.5,5.51,5.51,12700
6907525,2003-11-14,RUSHA,5.5,5.5,5.23,5.4,5.4,6400
6907526,2003-11-17,RUSHA,5.37,5.37,4.91,4.94,4.94,28600
6907527,2003-11-18,RUSHA,4.95,5.33,4.91,5.03,5.03,22000
6907528,2003-11-19,RUSHA,5.33,5.33,4.95,5.07,5.07,2400
6907529,2003-11-20,RUSHA,5.32,5.39,5.04,5.15,5.15,14500
6907530,2003-11-21,RUSHA,5.06,5.21,5.06,5.07,5.07,1200
6907531,2003-11-24,RUSHA,5.07,5.21,5.07,5.17,5.17,400
6907532,2003-11-25,RUSHA,5.05,5.17,4.81,5.01,5.01,2700
6907533,2003-11-26,RUSHA,5.01,5.17,5.01,5.17,5.17,1000
6907534,2003-11-28,RUSHA,5.17,5.17,5.17,5.17,5.17,0
6907535,2003-12-01,RUSHA,5.17,5.36,5.07,5.36,5.36,12100
6907536,2003-12-02,RUSHA,5.19,5.19,5.19,5.19,5.19,300
6907537,2003-12-03,RUSHA,5.18,5.33,5.17,5.17,5.17,13300
