,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7217254,1999-10-19,SIFY,45.5,47.06,30.0,35.5,33.33,6362600
7217255,1999-10-20,SIFY,39.56,53.0,38.25,49.94,46.89,3850900
7217256,1999-10-21,SIFY,47.31,49.75,42.0,45.0,42.25,1528300
7217257,1999-10-22,SIFY,46.0,46.63,39.88,40.13,37.67,950000
7217258,1999-10-25,SIFY,40.0,40.13,36.0,40.0,37.56,518300
7217259,1999-10-26,SIFY,39.63,44.56,38.0,41.13,38.61,804800
7217260,1999-10-27,SIFY,43.38,43.38,39.5,39.56,37.15,328800
7217261,1999-10-28,SIFY,40.5,42.5,38.0,38.56,36.21,383100
7217262,1999-10-29,SIFY,40.25,40.38,37.13,38.75,36.38,460700
7217263,1999-11-01,SIFY,39.0,43.0,38.5,41.75,39.2,634700
7217264,1999-11-02,SIFY,43.88,44.88,40.5,41.0,38.5,439700
7217265,1999-11-03,SIFY,42.38,42.5,39.44,40.0,37.56,315200
7217266,1999-11-04,SIFY,40.56,40.69,38.25,39.0,36.62,286900
7217267,1999-11-05,SIFY,40.75,41.25,39.25,40.13,37.67,336800
7217268,1999-11-08,SIFY,40.0,42.25,40.0,41.0,38.5,235500
7217269,1999-11-09,SIFY,41.03,44.0,39.0,43.0,40.37,480500
7217270,1999-11-10,SIFY,42.19,53.5,41.63,52.13,48.94,1509800
7217271,1999-11-11,SIFY,56.0,62.0,55.0,58.13,54.58,1012600
7217272,1999-11-12,SIFY,59.38,60.0,50.25,57.0,53.52,739600
7217273,1999-11-15,SIFY,60.0,60.59,55.38,59.5,55.87,301500
7217274,1999-11-16,SIFY,61.88,61.88,57.0,59.25,55.63,359500
7217275,1999-11-17,SIFY,60.0,60.13,57.5,58.75,55.16,273900
7217276,1999-11-18,SIFY,59.88,59.94,54.75,55.25,51.88,257600
7217277,1999-11-19,SIFY,56.0,60.63,55.5,60.0,56.34,377900
7217278,1999-11-22,SIFY,63.5,77.25,63.38,75.0,70.42,1023200
7217279,1999-11-23,SIFY,81.0,81.13,70.38,73.63,69.13,726000
7217280,1999-11-24,SIFY,73.0,83.5,71.75,79.5,74.64,497500
7217281,1999-11-26,SIFY,90.0,106.38,85.5,105.5,99.06,636900
7217282,1999-11-29,SIFY,106.13,151.75,100.88,137.75,129.34,1206000
7217283,1999-11-30,SIFY,131.0,133.38,110.75,117.44,110.27,1154800
7217284,1999-12-01,SIFY,116.19,121.94,105.5,108.5,101.87,785700
7217285,1999-12-02,SIFY,111.13,122.0,111.0,115.06,108.04,490900
