,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7345298,2017-07-05,SMPL,9.97,9.97,9.97,9.97,9.97,0
7345299,2017-07-06,SMPL,9.94,9.94,9.94,9.94,9.94,0
7345300,2017-07-07,SMPL,9.95,9.95,9.95,9.95,9.95,0
7345301,2017-07-10,SMPL,9.96,9.96,9.96,9.96,9.96,0
7345302,2017-07-11,SMPL,9.97,9.97,9.97,9.97,9.97,0
7345303,2017-07-12,SMPL,12.39,12.39,11.9,12.23,12.23,391400
7345304,2017-07-13,SMPL,12.01,12.2,11.8,12.0,12.0,68400
7345305,2017-07-14,SMPL,12.08,12.1,11.9,11.99,11.99,1491600
7345306,2017-07-17,SMPL,11.98,12.06,11.6,11.95,11.95,352200
7345307,2017-07-18,SMPL,11.97,12.49,11.58,11.8,11.8,859100
7345308,2017-07-19,SMPL,11.84,12.0,11.7,11.82,11.82,699900
7345309,2017-07-20,SMPL,11.9,12.0,11.75,11.8,11.8,622100
7345310,2017-07-21,SMPL,11.85,11.95,11.77,11.9,11.9,402100
7345311,2017-07-24,SMPL,11.96,12.0,11.78,11.9,11.9,451300
7345312,2017-07-25,SMPL,11.87,11.99,11.76,11.87,11.87,129200
7345313,2017-07-26,SMPL,11.86,11.99,11.68,11.79,11.79,450900
7345314,2017-07-27,SMPL,11.85,11.99,11.5,11.98,11.98,55800
7345315,2017-07-28,SMPL,12.0,12.0,11.77,11.88,11.88,344400
7345316,2017-07-31,SMPL,11.99,12.03,11.84,11.85,11.85,492500
7345317,2017-08-01,SMPL,11.9,11.95,11.85,11.9,11.9,1060000
7345318,2017-08-02,SMPL,11.81,11.91,11.8,11.85,11.85,28700
7345319,2017-08-03,SMPL,11.82,11.99,11.79,11.9,11.9,66700
7345320,2017-08-04,SMPL,11.99,12.02,11.75,11.89,11.89,185500
7345321,2017-08-07,SMPL,11.83,11.94,11.21,11.76,11.76,81600
7345322,2017-08-08,SMPL,11.77,11.94,11.61,11.8,11.8,246900
7345323,2017-08-09,SMPL,11.73,11.85,11.0,11.81,11.81,192300
7345324,2017-08-10,SMPL,11.7,11.9,11.49,11.75,11.75,322600
7345325,2017-08-11,SMPL,11.75,12.24,11.5,11.91,11.91,907800
7345326,2017-08-14,SMPL,12.1,12.43,11.89,11.99,11.99,387300
7345327,2017-08-15,SMPL,12.13,12.13,11.61,11.9,11.9,150800
7345328,2017-08-16,SMPL,11.9,12.1,11.78,12.03,12.03,648100
7345329,2017-08-17,SMPL,12.03,12.03,11.58,11.95,11.95,110100
7345330,2017-08-18,SMPL,12.0,12.32,11.85,12.04,12.04,378300
7345331,2017-08-21,SMPL,11.98,12.1,11.81,12.04,12.04,157200
7345332,2017-08-22,SMPL,12.05,12.1,11.66,11.96,11.96,100400
7345333,2017-08-23,SMPL,11.88,11.99,11.55,11.81,11.81,115400
7345334,2017-08-24,SMPL,11.79,11.96,11.66,11.94,11.94,126700
7345335,2017-08-25,SMPL,11.95,11.95,11.8,11.88,11.88,241800
7345336,2017-08-28,SMPL,11.8,11.97,11.77,11.84,11.84,220700
7345337,2017-08-29,SMPL,11.8,11.97,11.8,11.88,11.88,320700
7345338,2017-08-30,SMPL,11.91,11.99,11.67,11.79,11.79,143300
7345339,2017-08-31,SMPL,11.83,11.97,11.77,11.85,11.85,165100
7345340,2017-09-01,SMPL,11.93,12.03,11.82,11.85,11.85,354000
7345341,2017-09-05,SMPL,11.85,12.42,11.64,11.83,11.83,986600
7345342,2017-09-06,SMPL,11.91,12.0,11.73,11.91,11.91,891400
7345343,2017-09-07,SMPL,11.95,12.11,11.79,11.91,11.91,928400
7345344,2017-09-08,SMPL,12.09,12.28,11.93,12.07,12.07,307500
7345345,2017-09-11,SMPL,12.1,12.2,11.91,12.07,12.07,385700
7345346,2017-09-12,SMPL,12.06,12.2,11.98,12.16,12.16,164400
