,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8361681,2018-06-12,VEACU,10.26,10.36,10.26,10.36,10.36,0
8361682,2018-06-29,VEACU,10.38,10.4,10.38,10.4,10.4,2000
8361683,2018-07-05,VEACU,10.31,10.32,10.3,10.3,10.3,2340
8361684,2018-07-19,VEACU,10.43,0.0,0.0,10.43,10.43,0
8361685,2018-08-03,VEACU,10.4,10.5,10.4,10.5,10.5,6500
8361686,2018-08-17,VEACU,10.46,10.5,10.46,10.46,10.46,7236
8361687,2018-08-20,VEACU,10.51,10.52,10.51,10.52,10.52,0
8361688,2018-08-30,VEACU,10.5,10.53,10.5,10.53,10.53,51000
8361689,2018-09-07,VEACU,10.55,10.55,10.55,10.55,10.55,1000
8361690,2018-09-11,VEACU,10.68,10.68,10.6,10.6,10.6,0
8361691,2018-09-21,VEACU,10.6,10.6,10.6,10.6,10.6,182
8361692,2018-09-24,VEACU,10.6,10.42,10.42,10.42,10.42,2
8361693,2018-10-03,VEACU,10.45,10.6,10.45,10.6,10.6,6282
