,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
256015,2014-05-09,AGNCB,24.7,24.75,24.61,24.64,18.21,595600
256016,2014-05-12,AGNCB,24.7,24.79,24.65,24.74,18.28,725700
256017,2014-05-13,AGNCB,24.7,24.8,24.53,24.71,18.26,394900
256018,2014-05-14,AGNCB,24.76,24.88,24.63,24.86,18.37,379900
256019,2014-05-15,AGNCB,24.85,24.9,24.73,24.76,18.3,210200
256020,2014-05-16,AGNCB,24.82,24.9,24.81,24.87,18.38,242800
256021,2014-05-19,AGNCB,24.85,24.9,24.84,24.84,18.36,94300
256022,2014-05-20,AGNCB,24.84,24.85,24.81,24.82,18.34,37900
256023,2014-05-21,AGNCB,24.87,24.88,24.83,24.86,18.37,77800
256024,2014-05-22,AGNCB,24.87,24.9,24.83,24.88,18.39,119000
256025,2014-05-23,AGNCB,24.9,24.9,24.85,24.87,18.38,30700
256026,2014-05-27,AGNCB,24.85,24.85,24.79,24.83,18.35,85000
256027,2014-05-28,AGNCB,24.84,24.84,24.76,24.82,18.34,85700
256028,2014-05-29,AGNCB,24.83,24.85,24.79,24.82,18.34,52200
256029,2014-05-30,AGNCB,24.85,24.85,24.75,24.81,18.34,66100
256030,2014-06-02,AGNCB,24.79,24.83,24.78,24.8,18.33,44200
256031,2014-06-03,AGNCB,24.82,24.82,24.67,24.68,18.24,83700
256032,2014-06-04,AGNCB,24.67,24.69,24.5,24.65,18.22,156400
256033,2014-06-05,AGNCB,24.66,24.69,24.58,24.69,18.25,54400
256034,2014-06-06,AGNCB,24.55,24.75,24.55,24.72,18.27,33900
256035,2014-06-09,AGNCB,24.7,24.78,24.66,24.73,18.28,68700
256036,2014-06-10,AGNCB,24.75,24.79,24.65,24.72,18.27,49500
256037,2014-06-11,AGNCB,24.66,24.75,24.66,24.67,18.23,22400
256038,2014-06-12,AGNCB,24.65,24.7,24.63,24.68,18.24,16600
256039,2014-06-13,AGNCB,24.59,24.67,24.54,24.66,18.23,37100
256040,2014-06-16,AGNCB,24.6,24.69,24.6,24.68,18.24,101700
