,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1187319,1995-08-17,BREW,26.0,27.0,24.75,27.0,27.0,3436400
1187320,1995-08-18,BREW,27.25,31.0,26.5,30.5,30.5,1067500
1187321,1995-08-21,BREW,30.25,32.75,30.25,31.25,31.25,651600
1187322,1995-08-22,BREW,31.5,32.0,30.75,31.75,31.75,341700
1187323,1995-08-23,BREW,32.0,32.0,31.25,31.63,31.63,92200
1187324,1995-08-24,BREW,31.75,34.5,31.38,34.25,34.25,348500
1187325,1995-08-25,BREW,34.25,35.0,33.5,34.75,34.75,241200
1187326,1995-08-28,BREW,34.5,35.0,33.0,33.0,33.0,175100
1187327,1995-08-29,BREW,33.0,33.5,28.5,30.25,30.25,424500
1187328,1995-08-30,BREW,31.0,31.25,30.5,31.25,31.25,85800
1187329,1995-08-31,BREW,31.25,32.5,30.75,32.38,32.38,109200
1187330,1995-09-01,BREW,32.5,33.75,31.75,33.25,33.25,96500
1187331,1995-09-05,BREW,29.5,32.13,28.25,32.0,32.0,391800
1187332,1995-09-06,BREW,31.5,33.75,31.5,33.38,33.38,153100
1187333,1995-09-07,BREW,33.0,33.5,32.0,32.5,32.5,75600
1187334,1995-09-08,BREW,30.25,30.75,27.0,30.0,30.0,652300
1187335,1995-09-11,BREW,29.25,29.75,28.75,29.75,29.75,156000
1187336,1995-09-12,BREW,29.25,29.75,28.75,29.5,29.5,85400
1187337,1995-09-13,BREW,29.5,29.5,29.0,29.25,29.25,61000
1187338,1995-09-14,BREW,29.5,29.5,28.0,28.75,28.75,83800
1187339,1995-09-15,BREW,28.75,29.0,28.0,28.5,28.5,39800
1187340,1995-09-18,BREW,29.0,30.0,28.25,29.75,29.75,69000
1187341,1995-09-19,BREW,29.75,30.0,29.25,30.0,30.0,14300
1187342,1995-09-20,BREW,30.0,30.25,29.25,29.5,29.5,30500
1187343,1995-09-21,BREW,29.75,29.75,29.0,29.5,29.5,45200
1187344,1995-09-22,BREW,29.25,29.5,28.75,29.0,29.0,20900
1187345,1995-09-25,BREW,29.5,30.0,29.0,30.0,30.0,60700
1187346,1995-09-26,BREW,29.5,31.25,29.5,30.5,30.5,78400
1187347,1995-09-27,BREW,30.5,30.5,29.25,29.75,29.75,44000
1187348,1995-09-28,BREW,29.75,29.75,29.5,29.5,29.5,18400
1187349,1995-09-29,BREW,29.75,29.75,29.5,29.52,29.52,10300
1187350,1995-10-02,BREW,30.0,30.0,29.5,30.0,30.0,25200
1187351,1995-10-03,BREW,29.5,30.0,29.0,29.0,29.0,21700
1187352,1995-10-04,BREW,28.75,29.25,28.5,28.5,28.5,21300
1187353,1995-10-05,BREW,29.0,29.0,28.5,29.0,29.0,4900
1187354,1995-10-06,BREW,28.5,29.5,28.5,28.75,28.75,16300
1187355,1995-10-09,BREW,29.25,29.25,28.5,28.5,28.5,15900
1187356,1995-10-10,BREW,28.0,28.5,28.0,28.5,28.5,22600
1187357,1995-10-11,BREW,28.75,28.75,27.5,27.5,27.5,22400
1187358,1995-10-12,BREW,27.5,28.25,26.0,26.5,26.5,61900
1187359,1995-10-13,BREW,26.5,26.5,26.0,26.02,26.02,16500
1187360,1995-10-16,BREW,26.0,26.5,26.0,26.0,26.0,13600
1187361,1995-10-17,BREW,26.0,26.5,26.0,26.5,26.5,6300
1187362,1995-10-18,BREW,26.5,26.5,26.0,26.0,26.0,13800
1187363,1995-10-19,BREW,26.5,26.5,26.0,26.5,26.5,9200
1187364,1995-10-20,BREW,26.5,29.25,26.0,28.25,28.25,132800
1187365,1995-10-23,BREW,28.25,28.75,27.5,27.5,27.5,12300
1187366,1995-10-24,BREW,28.25,28.25,27.25,28.0,28.0,9900
1187367,1995-10-25,BREW,28.0,30.0,28.0,29.25,29.25,145100
1187368,1995-10-26,BREW,29.75,29.75,27.5,27.75,27.75,63900
1187369,1995-10-27,BREW,27.5,28.0,27.0,27.75,27.75,38100
1187370,1995-10-30,BREW,27.75,28.75,26.75,28.25,28.25,54300
1187371,1995-10-31,BREW,29.0,30.5,28.0,29.5,29.5,131700
1187372,1995-11-01,BREW,29.5,30.5,29.25,29.25,29.25,59800
1187373,1995-11-02,BREW,30.0,30.0,29.0,29.75,29.75,14800
1187374,1995-11-03,BREW,29.0,29.5,28.75,28.75,28.75,25000
1187375,1995-11-06,BREW,28.75,29.75,27.75,27.75,27.75,70500
1187376,1995-11-07,BREW,28.5,28.5,26.75,28.0,28.0,60500
1187377,1995-11-08,BREW,28.0,28.5,27.5,28.0,28.0,49500
1187378,1995-11-09,BREW,28.0,28.0,27.25,27.25,27.25,10900
1187379,1995-11-10,BREW,27.5,28.25,27.5,28.0,28.0,14000
1187380,1995-11-13,BREW,27.5,28.0,27.5,27.5,27.5,3200
1187381,1995-11-14,BREW,27.5,28.0,27.25,28.0,28.0,11700
1187382,1995-11-15,BREW,28.0,28.0,27.25,27.25,27.25,14400
1187383,1995-11-16,BREW,27.25,27.75,27.25,27.25,27.25,16800
1187384,1995-11-17,BREW,27.25,27.75,27.25,27.75,27.75,22700
1187385,1995-11-20,BREW,27.5,27.5,27.0,27.0,27.0,4900
1187386,1995-11-21,BREW,27.0,27.5,26.25,26.75,26.75,20000
1187387,1995-11-22,BREW,27.0,27.0,26.25,27.0,27.0,7500
1187388,1995-11-24,BREW,27.0,27.0,26.25,26.25,26.25,32400
1187389,1995-11-27,BREW,26.75,26.75,25.75,25.75,25.75,61500
1187390,1995-11-28,BREW,26.5,26.5,25.5,25.81,25.81,35500
1187391,1995-11-29,BREW,25.5,26.25,25.5,25.5,25.5,6000
1187392,1995-11-30,BREW,25.5,26.0,25.25,25.25,25.25,23100
1187393,1995-12-01,BREW,25.75,25.75,25.25,25.75,25.75,10100
1187394,1995-12-04,BREW,25.25,27.75,25.25,27.5,27.5,136200
1187395,1995-12-05,BREW,26.75,27.5,26.63,26.63,26.63,12200
1187396,1995-12-06,BREW,26.63,27.0,26.5,27.0,27.0,17300
1187397,1995-12-07,BREW,26.5,27.0,25.88,26.09,26.09,53100
1187398,1995-12-08,BREW,26.5,26.75,25.75,26.5,26.5,26800
1187399,1995-12-11,BREW,26.5,26.5,25.25,25.25,25.25,80800
1187400,1995-12-12,BREW,25.75,25.75,25.25,25.75,25.75,15000
1187401,1995-12-13,BREW,25.75,26.0,25.25,26.0,26.0,5900
1187402,1995-12-14,BREW,25.25,26.0,25.25,25.25,25.25,6000
1187403,1995-12-15,BREW,25.75,25.75,25.0,25.75,25.75,22600
1187404,1995-12-18,BREW,25.25,25.5,25.0,25.0,25.0,10900
1187405,1995-12-19,BREW,25.0,25.5,25.0,25.0,25.0,4600
1187406,1995-12-20,BREW,25.0,26.5,24.75,26.25,26.25,70800
1187407,1995-12-21,BREW,26.0,26.5,26.0,26.0,26.0,2200
1187408,1995-12-22,BREW,26.5,26.5,26.0,26.13,26.13,37700
1187409,1995-12-26,BREW,25.75,26.25,25.75,26.13,26.13,13400
1187410,1995-12-27,BREW,26.25,26.25,26.0,26.0,26.0,8300
1187411,1995-12-28,BREW,26.25,26.25,26.0,26.0,26.0,9600
1187412,1995-12-29,BREW,26.0,26.5,26.0,26.0,26.0,18600
1187413,1996-01-02,BREW,26.0,26.5,25.75,26.13,26.13,27100
1187414,1996-01-03,BREW,26.13,26.13,25.25,25.25,25.25,77400
1187415,1996-01-04,BREW,25.25,25.75,24.38,24.5,24.5,87100
1187416,1996-01-05,BREW,24.38,24.75,24.38,24.38,24.38,12100
1187417,1996-01-08,BREW,24.38,24.75,24.25,24.25,24.25,14300
1187418,1996-01-09,BREW,24.25,25.0,23.25,24.0,24.0,88900
1187419,1996-01-10,BREW,24.0,24.25,22.0,22.75,22.75,109000
1187420,1996-01-11,BREW,22.25,25.25,22.25,25.19,25.19,130400
1187421,1996-01-12,BREW,25.5,26.25,25.25,26.25,26.25,138400
1187422,1996-01-15,BREW,26.25,26.25,24.13,24.13,24.13,41200
1187423,1996-01-16,BREW,24.25,24.25,22.25,23.0,23.0,39200
1187424,1996-01-17,BREW,23.0,23.13,22.5,23.13,23.13,48800
1187425,1996-01-18,BREW,23.25,23.25,22.5,23.25,23.25,7000
1187426,1996-01-19,BREW,22.5,23.25,22.5,23.25,23.25,4000
1187427,1996-01-22,BREW,23.25,23.25,22.5,23.25,23.25,3800
1187428,1996-01-23,BREW,23.5,23.5,22.5,22.5,22.5,9200
1187429,1996-01-24,BREW,23.5,26.25,23.0,26.0,26.0,115800
1187430,1996-01-25,BREW,26.0,26.25,25.0,25.5,25.5,28200
1187431,1996-01-26,BREW,26.0,27.38,25.06,26.25,26.25,126000
1187432,1996-01-29,BREW,26.25,26.5,25.5,26.25,26.25,21600
1187433,1996-01-30,BREW,25.75,26.25,25.75,26.25,26.25,900
1187434,1996-01-31,BREW,26.13,26.25,25.5,26.25,26.25,15400
1187435,1996-02-01,BREW,26.0,26.0,24.5,24.81,24.81,34400
1187436,1996-02-02,BREW,25.0,25.0,24.5,24.75,24.75,5200
1187437,1996-02-05,BREW,24.75,25.75,24.5,25.13,25.13,22000
1187438,1996-02-06,BREW,25.25,25.25,24.0,24.0,24.0,22000
1187439,1996-02-07,BREW,24.0,24.25,23.75,24.0,24.0,37500
1187440,1996-02-08,BREW,23.5,24.0,23.5,23.75,23.75,2400
1187441,1996-02-09,BREW,24.0,24.0,23.0,23.75,23.75,11900
1187442,1996-02-12,BREW,23.5,24.0,23.0,23.63,23.63,50000
