,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1818179,2018-01-16,CMFN,8.25,8.3,8.15,8.3,8.06,31200
1818180,2018-01-17,CMFN,8.25,8.45,8.2,8.43,8.18,32200
1818181,2018-01-18,CMFN,8.45,8.45,8.25,8.35,8.11,14700
1818182,2018-01-19,CMFN,8.26,8.62,8.25,8.55,8.3,62500
1818183,2018-01-22,CMFN,8.5,8.65,8.45,8.55,8.3,37400
1818184,2018-01-23,CMFN,8.5,8.69,8.4,8.6,8.35,18300
1818185,2018-01-24,CMFN,8.57,8.6,8.5,8.55,8.3,13900
1818186,2018-01-25,CMFN,8.55,8.75,8.55,8.6,8.35,20700
1818187,2018-01-26,CMFN,8.6,8.63,8.5,8.55,8.3,14900
1818188,2018-01-29,CMFN,8.5,8.5,8.25,8.35,8.11,35900
1818189,2018-01-30,CMFN,8.25,8.3,8.1,8.2,7.96,23100
1818190,2018-01-31,CMFN,8.3,8.3,8.05,8.2,7.96,37400
1818191,2018-02-01,CMFN,8.1,8.24,8.0,8.05,7.81,37100
1818192,2018-02-02,CMFN,8.0,8.1,7.95,8.05,7.81,17700
1818193,2018-02-05,CMFN,7.95,8.0,7.85,7.85,7.62,31900
1818194,2018-02-06,CMFN,7.75,8.09,7.55,7.8,7.57,58000
1818195,2018-02-07,CMFN,7.9,8.1,7.7,7.75,7.52,23300
1818196,2018-02-08,CMFN,7.85,8.2,7.85,8.2,7.96,32900
1818197,2018-02-09,CMFN,7.86,8.1,7.5,7.8,7.57,112100
1818198,2018-02-12,CMFN,7.85,7.9,7.61,7.75,7.52,50000
1818199,2018-02-13,CMFN,7.75,7.95,7.6,7.9,7.67,29100
1818200,2018-02-14,CMFN,7.9,8.05,7.7,7.9,7.67,23600
1818201,2018-02-15,CMFN,7.85,7.95,7.8,7.9,7.67,20500
1818202,2018-02-16,CMFN,7.95,8.3,7.95,8.2,7.96,24400
1818203,2018-02-20,CMFN,8.2,8.3,8.1,8.15,7.91,26800
1818204,2018-02-21,CMFN,8.15,8.39,8.15,8.3,8.06,21500
1818205,2018-02-22,CMFN,8.25,8.3,8.15,8.2,7.96,16100
1818206,2018-02-23,CMFN,8.18,8.4,8.15,8.3,8.06,18200
1818207,2018-02-26,CMFN,8.45,8.45,8.29,8.35,8.11,7200
1818208,2018-02-27,CMFN,8.4,8.4,8.25,8.25,8.01,17600
1818209,2018-02-28,CMFN,8.3,8.3,8.1,8.1,7.86,13200
1818210,2018-03-01,CMFN,8.15,8.3,8.15,8.3,8.06,10200
1818211,2018-03-02,CMFN,8.3,8.37,8.2,8.26,8.01,10900
1818212,2018-03-05,CMFN,8.35,8.35,8.15,8.15,7.91,13100
1818213,2018-03-06,CMFN,8.3,8.35,8.2,8.3,8.06,9300
1818214,2018-03-07,CMFN,8.25,8.4,8.25,8.35,8.11,23900
1818215,2018-03-08,CMFN,8.38,8.5,8.35,8.44,8.19,22100
1818216,2018-03-09,CMFN,8.75,8.75,8.45,8.7,8.44,54100
1818217,2018-03-12,CMFN,8.7,8.8,8.55,8.55,8.3,43900
1818218,2018-03-13,CMFN,8.6,8.65,8.5,8.5,8.25,13500
1818219,2018-03-14,CMFN,8.65,8.65,8.5,8.52,8.27,25300
1818220,2018-03-15,CMFN,8.35,8.35,8.06,8.15,8.15,18400
1818221,2018-03-16,CMFN,8.05,8.15,8.05,8.05,8.05,18500
1818222,2018-03-19,CMFN,8.05,8.1,8.0,8.05,8.05,17500
1818223,2018-03-20,CMFN,8.05,8.6,8.05,8.35,8.35,42900
1818224,2018-03-21,CMFN,8.4,8.45,8.25,8.32,8.32,12800
1818225,2018-03-22,CMFN,8.35,8.35,8.0,8.05,8.05,15100
1818226,2018-03-23,CMFN,8.05,8.15,8.0,8.0,8.0,5600
1818227,2018-03-26,CMFN,8.0,8.15,8.0,8.05,8.05,9000
1818228,2018-03-27,CMFN,8.05,8.15,8.0,8.1,8.1,13200
1818229,2018-03-28,CMFN,8.05,8.25,8.03,8.05,8.05,25900
1818230,2018-03-29,CMFN,8.05,8.25,8.05,8.2,8.2,21400
1818231,2018-04-02,CMFN,8.15,8.35,8.15,8.25,8.25,16300
1818232,2018-04-03,CMFN,8.3,8.6,8.15,8.6,8.6,22700
1818233,2018-04-04,CMFN,8.6,8.75,8.3,8.6,8.6,65700
1818234,2018-04-05,CMFN,8.7,8.75,8.3,8.45,8.45,31700
1818235,2018-04-06,CMFN,8.4,8.5,8.2,8.2,8.2,14000
1818236,2018-04-09,CMFN,8.2,8.3,8.05,8.1,8.1,25400
1818237,2018-04-10,CMFN,8.1,8.3,8.1,8.2,8.2,21700
