,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1922017,2003-11-25,CONN,15.13,15.6,14.56,15.04,15.04,3643500
1922018,2003-11-26,CONN,15.24,15.84,15.0,15.6,15.6,508400
1922019,2003-11-28,CONN,15.99,15.99,15.5,15.9,15.9,83900
1922020,2003-12-01,CONN,15.98,16.44,15.8,16.19,16.19,237600
1922021,2003-12-02,CONN,16.1,16.3,15.8,16.1,16.1,120400
1922022,2003-12-03,CONN,16.5,16.5,15.9,16.0,16.0,140800
1922023,2003-12-04,CONN,15.9,16.0,15.4,15.55,15.55,145100
1922024,2003-12-05,CONN,15.3,15.7,15.27,15.58,15.58,127300
1922025,2003-12-08,CONN,16.2,16.2,15.39,15.75,15.75,30000
1922026,2003-12-09,CONN,15.66,15.83,15.41,15.61,15.61,73100
1922027,2003-12-10,CONN,15.6,15.85,15.6,15.65,15.65,48500
1922028,2003-12-11,CONN,16.2,16.2,14.75,15.07,15.07,229200
1922029,2003-12-12,CONN,15.0,15.3,15.0,15.01,15.01,73600
1922030,2003-12-15,CONN,15.3,15.3,14.0,14.17,14.17,420800
1922031,2003-12-16,CONN,14.18,15.0,14.0,14.85,14.85,138500
1922032,2003-12-17,CONN,14.4,15.09,14.25,15.05,15.05,93500
1922033,2003-12-18,CONN,15.0,15.69,15.0,15.5,15.5,128000
1922034,2003-12-19,CONN,15.45,15.6,15.25,15.5,15.5,49600
1922035,2003-12-22,CONN,15.2,15.4,15.2,15.3,15.3,46600
1922036,2003-12-23,CONN,15.3,15.6,15.25,15.6,15.6,42800
1922037,2003-12-24,CONN,15.3,15.74,15.3,15.74,15.74,1600
1922038,2003-12-26,CONN,15.32,15.89,15.32,15.88,15.88,1200
1922039,2003-12-29,CONN,15.32,16.3,15.32,16.0,16.0,79600
1922040,2003-12-30,CONN,16.0,16.4,15.85,16.0,16.0,23800
1922041,2003-12-31,CONN,16.0,16.22,15.9,16.1,16.1,24400
1922042,2004-01-02,CONN,15.8,16.23,15.8,16.0,16.0,9700
1922043,2004-01-05,CONN,15.9,16.24,15.9,16.1,16.1,24400
1922044,2004-01-06,CONN,15.9,16.35,15.9,16.06,16.06,18100
1922045,2004-01-07,CONN,16.1,16.25,15.8,15.92,15.92,34100
1922046,2004-01-08,CONN,16.2,16.2,15.8,15.9,15.9,89800
1922047,2004-01-09,CONN,15.9,16.25,15.75,15.94,15.94,171300
1922048,2004-01-12,CONN,15.58,16.03,15.58,15.94,15.94,63200
1922049,2004-01-13,CONN,15.8,16.23,15.8,15.84,15.84,5100
1922050,2004-01-14,CONN,16.0,16.15,15.82,16.15,16.15,29400
1922051,2004-01-15,CONN,16.15,16.2,15.87,16.2,16.2,23100
1922052,2004-01-16,CONN,16.23,16.23,15.58,15.94,15.94,115500
1922053,2004-01-20,CONN,15.8,16.15,15.58,16.04,16.04,16100
1922054,2004-01-21,CONN,15.8,16.62,15.8,16.55,16.55,55300
1922055,2004-01-22,CONN,16.7,16.7,16.25,16.45,16.45,14800
1922056,2004-01-23,CONN,16.69,16.7,16.0,16.48,16.48,19600
1922057,2004-01-26,CONN,16.48,16.5,16.25,16.49,16.49,70800
1922058,2004-01-27,CONN,16.23,16.44,16.23,16.25,16.25,39100
1922059,2004-01-28,CONN,16.25,16.45,16.15,16.15,16.15,23500
1922060,2004-01-29,CONN,16.25,16.43,16.14,16.17,16.17,27800
1922061,2004-01-30,CONN,16.0,16.45,16.0,16.0,16.0,16200
1922062,2004-02-02,CONN,16.4,16.5,16.27,16.44,16.44,17600
1922063,2004-02-03,CONN,16.45,16.5,16.0,16.05,16.05,46500
1922064,2004-02-04,CONN,16.0,16.45,16.0,16.25,16.25,30500
1922065,2004-02-05,CONN,16.25,17.0,16.25,16.78,16.78,67500
1922066,2004-02-06,CONN,16.75,16.95,16.52,16.65,16.65,22800
1922067,2004-02-09,CONN,16.59,17.6,16.59,16.97,16.97,42900
1922068,2004-02-10,CONN,17.0,17.0,16.5,16.59,16.59,11100
1922069,2004-02-11,CONN,16.6,16.8,16.26,16.77,16.77,24600
1922070,2004-02-12,CONN,16.83,17.5,16.83,17.07,17.07,48300
1922071,2004-02-13,CONN,17.08,17.1,16.63,16.7,16.7,22500
1922072,2004-02-17,CONN,16.8,16.99,16.25,16.25,16.25,39400
1922073,2004-02-18,CONN,16.97,16.97,16.23,16.4,16.4,14600
1922074,2004-02-19,CONN,16.94,16.94,16.38,16.51,16.51,7800
1922075,2004-02-20,CONN,16.7,16.7,16.51,16.7,16.7,6000
1922076,2004-02-23,CONN,16.7,16.7,16.19,16.34,16.34,12500
1922077,2004-02-24,CONN,16.25,16.7,16.25,16.5,16.5,15100
1922078,2004-02-25,CONN,16.69,16.69,16.25,16.35,16.35,16300
1922079,2004-02-26,CONN,16.26,16.4,16.26,16.34,16.34,5000
1922080,2004-02-27,CONN,16.33,16.69,16.23,16.34,16.34,9800
1922081,2004-03-01,CONN,16.68,17.0,16.32,16.7,16.7,8100
1922082,2004-03-02,CONN,17.0,17.0,16.25,16.25,16.25,30400
1922083,2004-03-03,CONN,16.39,16.39,16.25,16.35,16.35,10700
1922084,2004-03-04,CONN,16.35,17.1,16.35,16.52,16.52,26900
1922085,2004-03-05,CONN,16.3,16.47,16.0,16.2,16.2,23200
1922086,2004-03-08,CONN,16.0,16.41,16.0,16.2,16.2,3700
1922087,2004-03-09,CONN,16.25,16.27,15.9,15.92,15.92,28500
1922088,2004-03-10,CONN,15.81,16.2,15.81,15.91,15.91,4300
1922089,2004-03-11,CONN,16.0,16.39,15.82,15.97,15.97,16200
1922090,2004-03-12,CONN,16.38,16.38,15.76,15.76,15.76,54600
1922091,2004-03-15,CONN,15.98,15.98,15.25,15.5,15.5,45800
1922092,2004-03-16,CONN,15.51,15.99,15.29,15.45,15.45,27200
