,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2157151,2013-08-02,CTRL,18.7,20.7,18.14,20.05,20.05,3792400
2157152,2013-08-05,CTRL,19.81,20.2,19.81,19.96,19.96,199300
2157153,2013-08-06,CTRL,20.15,21.67,20.04,21.06,21.06,276800
2157154,2013-08-07,CTRL,20.9,21.3,20.55,21.14,21.14,109800
2157155,2013-08-08,CTRL,21.67,23.4,21.2,22.77,22.77,188000
2157156,2013-08-09,CTRL,22.76,23.25,21.73,22.0,22.0,145800
2157157,2013-08-12,CTRL,22.3,22.74,21.56,22.06,22.06,38200
2157158,2013-08-13,CTRL,21.77,22.03,20.21,20.64,20.64,152200
2157159,2013-08-14,CTRL,21.57,21.57,19.92,20.52,20.52,79800
2157160,2013-08-15,CTRL,20.45,20.83,20.0,20.1,20.1,125000
2157161,2013-08-16,CTRL,20.2,21.12,20.16,20.42,20.42,105600
2157162,2013-08-19,CTRL,20.45,21.19,19.5,19.56,19.56,67400
2157163,2013-08-20,CTRL,19.5,19.93,19.25,19.59,19.59,140400
2157164,2013-08-21,CTRL,19.05,19.49,19.0,19.46,19.46,86600
2157165,2013-08-22,CTRL,19.35,20.85,19.35,20.7,20.7,36800
2157166,2013-08-23,CTRL,20.82,21.9,20.69,21.78,21.78,46500
2157167,2013-08-26,CTRL,22.11,22.29,21.51,21.96,21.96,74000
2157168,2013-08-27,CTRL,22.1,22.73,21.51,22.53,22.53,122600
2157169,2013-08-28,CTRL,22.2,22.87,21.88,22.44,22.44,104300
2157170,2013-08-29,CTRL,22.5,24.0,22.5,23.8,23.8,75300
2157171,2013-08-30,CTRL,21.5,22.0,20.18,20.28,20.28,519700
2157172,2013-09-03,CTRL,20.75,20.75,20.05,20.61,20.61,144100
2157173,2013-09-04,CTRL,20.72,20.97,20.16,20.36,20.36,135000
2157174,2013-09-05,CTRL,20.3,20.7,20.11,20.19,20.19,35200
2157175,2013-09-06,CTRL,20.3,20.62,19.96,20.08,20.08,46200
2157176,2013-09-09,CTRL,20.25,20.49,19.62,19.82,19.82,63800
2157177,2013-09-10,CTRL,20.0,20.0,18.75,18.75,18.75,80400
2157178,2013-09-11,CTRL,18.84,18.88,18.57,18.77,18.77,86200
2157179,2013-09-12,CTRL,18.77,18.77,17.82,17.89,17.89,139000
2157180,2013-09-13,CTRL,18.05,18.18,17.34,17.99,17.99,167100
2157181,2013-09-16,CTRL,18.31,19.19,18.21,18.87,18.87,96600
2157182,2013-09-17,CTRL,18.9,20.11,18.9,19.98,19.98,121700
2157183,2013-09-18,CTRL,19.94,20.72,19.6,20.59,20.59,92900
2157184,2013-09-19,CTRL,20.5,20.8,19.83,20.03,20.03,58300
2157185,2013-09-20,CTRL,20.0,20.0,18.64,18.64,18.64,97500
2157186,2013-09-23,CTRL,18.81,19.78,18.75,19.2,19.2,97300
2157187,2013-09-24,CTRL,19.3,19.53,19.0,19.14,19.14,160500
2157188,2013-09-25,CTRL,19.3,19.32,18.01,18.49,18.49,192400
2157189,2013-09-26,CTRL,18.28,18.76,18.21,18.41,18.41,94300
2157190,2013-09-27,CTRL,18.25,18.45,17.54,17.65,17.65,119000
2157191,2013-09-30,CTRL,17.48,17.5,17.01,17.32,17.32,594700
