,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2173704,1990-01-02,CTWS,9.0,9.0,8.67,8.89,1.15,3700
2173705,1990-01-03,CTWS,8.89,9.22,8.78,9.22,1.2,15000
2173706,1990-01-04,CTWS,9.11,9.11,8.89,9.0,1.17,12100
2173707,1990-01-05,CTWS,9.0,9.11,9.0,9.11,1.18,1000
2173708,1990-01-08,CTWS,9.11,9.11,9.0,9.0,1.17,1800
2173709,1990-01-09,CTWS,9.11,9.11,9.11,9.11,1.18,900
2173710,1990-01-10,CTWS,9.11,9.11,9.11,9.11,1.18,100
2173711,1990-01-11,CTWS,9.11,9.11,9.0,9.11,1.18,3600
2173712,1990-01-12,CTWS,9.11,9.11,9.0,9.11,1.18,2700
2173713,1990-01-15,CTWS,9.11,9.11,9.11,9.11,1.18,0
2173714,1990-01-16,CTWS,9.11,9.22,9.0,9.0,1.17,6300
2173715,1990-01-17,CTWS,9.0,9.0,9.0,9.0,1.17,100
2173716,1990-01-18,CTWS,9.0,9.22,9.0,9.0,1.17,3100
2173717,1990-01-19,CTWS,9.22,9.22,9.22,9.22,1.2,2700
2173718,1990-01-22,CTWS,9.0,9.0,9.0,9.0,1.17,1300
2173719,1990-01-23,CTWS,9.0,9.0,9.0,9.0,1.17,900
2173720,1990-01-24,CTWS,9.0,9.11,8.89,9.0,1.17,3300
2173721,1990-01-25,CTWS,8.89,8.89,8.89,8.89,1.15,4000
2173722,1990-01-26,CTWS,8.89,8.89,8.89,8.89,1.15,2400
2173723,1990-01-29,CTWS,8.89,9.0,8.78,8.78,1.14,17100
2173724,1990-01-30,CTWS,8.78,9.11,8.78,9.11,1.18,900
2173725,1990-01-31,CTWS,9.11,9.11,8.78,8.89,1.15,3100
2173726,1990-02-01,CTWS,8.89,9.0,8.83,8.89,1.15,12300
2173727,1990-02-02,CTWS,8.89,9.11,8.67,8.67,1.13,3700
2173728,1990-02-05,CTWS,8.67,8.89,8.67,8.89,1.15,3100
2173729,1990-02-06,CTWS,9.11,9.11,9.11,9.11,1.18,400
2173730,1990-02-07,CTWS,9.11,9.11,8.67,8.67,1.13,3300
2173731,1990-02-08,CTWS,8.67,9.11,8.67,8.67,1.13,1300
2173732,1990-02-09,CTWS,9.11,9.11,9.11,9.11,1.18,400
2173733,1990-02-12,CTWS,9.11,9.11,8.67,9.11,1.18,400
2173734,1990-02-13,CTWS,8.94,8.94,8.94,8.94,1.16,100
2173735,1990-02-14,CTWS,8.94,9.0,8.67,8.67,1.13,2700
2173736,1990-02-15,CTWS,9.0,9.0,9.0,9.0,1.17,100
2173737,1990-02-16,CTWS,9.0,9.0,9.0,9.0,1.17,0
2173738,1990-02-20,CTWS,9.0,9.0,8.67,8.67,1.13,5400
2173739,1990-02-21,CTWS,8.67,8.94,8.67,8.94,1.16,5800
2173740,1990-02-22,CTWS,8.94,9.0,8.67,9.0,1.17,1500
2173741,1990-02-23,CTWS,8.78,8.78,8.67,8.67,1.18,2400
2173742,1990-02-26,CTWS,8.67,8.67,8.67,8.67,1.18,3700
2173743,1990-02-27,CTWS,8.67,8.67,8.67,8.67,1.18,100
2173744,1990-02-28,CTWS,8.67,8.78,8.67,8.78,1.19,600
2173745,1990-03-01,CTWS,8.78,8.78,8.67,8.78,1.19,1900
2173746,1990-03-02,CTWS,8.44,8.44,8.44,8.44,1.15,400
