,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2553951,2015-01-02,DVCR,9.7,9.7,8.78,9.0,8.35,13500
2553952,2015-01-05,DVCR,9.13,9.35,9.0,9.05,8.4,3900
2553953,2015-01-06,DVCR,9.06,9.55,9.0,9.26,8.59,14400
2553954,2015-01-07,DVCR,9.5,9.5,9.05,9.25,8.58,4500
2553955,2015-01-08,DVCR,9.49,9.49,9.03,9.15,8.49,10500
2553956,2015-01-09,DVCR,9.25,9.25,9.1,9.1,8.44,5700
2553957,2015-01-12,DVCR,9.2,9.2,9.0,9.02,8.37,3700
2553958,2015-01-13,DVCR,9.05,9.22,9.03,9.22,8.56,2400
2553959,2015-01-14,DVCR,9.01,9.14,8.46,8.57,7.95,6000
2553960,2015-01-15,DVCR,8.8,9.2,8.5,8.79,8.16,21000
2553961,2015-01-16,DVCR,8.61,9.49,8.61,9.49,8.81,48400
2553962,2015-01-20,DVCR,9.95,9.95,9.25,9.3,8.63,5700
2553963,2015-01-21,DVCR,9.28,9.96,9.25,9.45,8.77,3100
2553964,2015-01-22,DVCR,9.92,9.93,9.01,9.8,9.09,9200
2553965,2015-01-23,DVCR,9.78,10.08,9.77,9.78,9.08,2400
2553966,2015-01-26,DVCR,9.77,9.99,9.3,9.3,8.63,3100
2553967,2015-01-27,DVCR,9.05,9.45,9.05,9.23,8.57,36200
2553968,2015-01-28,DVCR,8.87,9.23,8.6,9.01,8.36,23200
2553969,2015-01-29,DVCR,9.32,9.32,8.92,8.93,8.29,1000
2553970,2015-01-30,DVCR,8.8,9.12,8.8,8.91,8.27,2300
2553971,2015-02-02,DVCR,8.91,9.08,8.82,9.06,8.41,4000
2553972,2015-02-03,DVCR,8.98,9.42,8.98,9.42,8.74,3200
2553973,2015-02-04,DVCR,9.39,9.88,9.3,9.88,9.17,1300
2553974,2015-02-05,DVCR,9.89,9.94,9.74,9.94,9.22,700
2553975,2015-02-06,DVCR,9.97,10.25,9.9,9.9,9.19,6200
2553976,2015-02-09,DVCR,9.9,9.98,9.72,9.98,9.26,2000
2553977,2015-02-10,DVCR,9.9,10.0,9.64,10.0,9.28,4400
2553978,2015-02-11,DVCR,9.97,10.38,9.6,10.38,9.63,3100
2553979,2015-02-12,DVCR,10.42,10.44,9.99,10.32,9.58,8800
2553980,2015-02-13,DVCR,9.61,10.47,9.61,10.3,9.56,15500
2553981,2015-02-17,DVCR,10.29,10.47,9.83,10.41,9.66,12400
2553982,2015-02-18,DVCR,10.18,10.24,10.0,10.0,9.28,800
2553983,2015-02-20,DVCR,10.68,10.9,9.77,10.11,9.38,32700
2553984,2015-02-23,DVCR,10.67,10.67,10.13,10.15,9.42,20500
2553985,2015-02-24,DVCR,10.64,10.64,10.31,10.31,9.57,15500
2553986,2015-02-25,DVCR,10.45,10.45,10.05,10.05,9.33,1500
2553987,2015-02-26,DVCR,10.04,10.39,10.0,10.36,9.61,1800
2553988,2015-02-27,DVCR,10.16,10.68,10.16,10.68,9.91,4700
2553989,2015-03-02,DVCR,10.65,10.65,10.08,10.2,9.47,2500
2553990,2015-03-03,DVCR,10.11,10.4,10.11,10.39,9.64,7800
2553991,2015-03-04,DVCR,10.49,10.49,10.22,10.42,9.67,1600
2553992,2015-03-05,DVCR,10.6,10.6,10.06,10.42,9.67,1500
2553993,2015-03-06,DVCR,10.69,11.33,10.42,11.02,10.23,10800
2553994,2015-03-09,DVCR,11.03,11.85,11.03,11.52,10.69,10500
2553995,2015-03-10,DVCR,11.79,12.5,11.75,12.5,11.6,20400
2553996,2015-03-12,DVCR,13.05,13.48,12.73,12.91,11.98,17600
2553997,2015-03-13,DVCR,12.86,13.26,12.71,13.15,12.2,4500
2553998,2015-03-16,DVCR,13.21,13.43,12.82,12.95,12.02,5400
2553999,2015-03-17,DVCR,13.18,13.18,12.72,12.77,11.85,3100
2554000,2015-03-18,DVCR,13.18,13.18,12.26,13.07,12.13,3700
2554001,2015-03-20,DVCR,13.0,13.0,12.56,12.56,11.66,1000
2554002,2015-03-23,DVCR,12.78,12.84,12.58,12.74,11.82,3800
2554003,2015-03-24,DVCR,12.85,13.0,12.16,12.95,12.02,11900
