,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2695525,1999-09-23,EGAN,345.0,380.0,220.0,230.0,230.0,875400
2695526,1999-09-24,EGAN,246.88,265.0,205.0,217.5,217.5,235600
2695527,1999-09-27,EGAN,239.38,259.38,220.0,220.0,220.0,100000
2695528,1999-09-28,EGAN,216.25,220.0,186.25,205.0,205.0,103100
2695529,1999-09-29,EGAN,203.75,204.38,178.75,182.5,182.5,46400
2695530,1999-09-30,EGAN,185.0,200.63,170.0,185.0,185.0,87600
2695531,1999-10-01,EGAN,186.25,233.59,185.63,226.88,226.88,147200
2695532,1999-10-04,EGAN,241.25,267.5,230.0,254.38,254.38,178600
2695533,1999-10-05,EGAN,247.5,251.88,221.88,225.0,225.0,55900
2695534,1999-10-06,EGAN,223.75,230.0,210.0,215.63,215.63,46900
2695535,1999-10-07,EGAN,221.25,221.25,196.25,203.13,203.13,45000
2695536,1999-10-08,EGAN,210.0,228.75,191.25,225.0,225.0,62100
2695537,1999-10-11,EGAN,231.25,235.0,212.5,213.75,213.75,47500
2695538,1999-10-12,EGAN,220.63,250.0,220.0,240.0,240.0,85400
2695539,1999-10-13,EGAN,233.75,255.63,229.38,233.13,233.13,64900
2695540,1999-10-14,EGAN,248.75,248.75,225.0,241.25,241.25,50600
2695541,1999-10-15,EGAN,222.5,231.88,207.5,216.25,216.25,42700
2695542,1999-10-18,EGAN,221.25,226.25,210.0,217.5,217.5,46200
2695543,1999-10-19,EGAN,220.0,235.0,200.0,200.63,200.63,54500
2695544,1999-10-20,EGAN,208.75,210.0,188.13,200.63,200.63,60800
2695545,1999-10-21,EGAN,198.75,199.38,190.63,193.75,193.75,26200
2695546,1999-10-22,EGAN,194.38,225.0,194.38,210.0,210.0,60200
2695547,1999-10-25,EGAN,218.75,231.88,214.38,225.63,225.63,30400
2695548,1999-10-26,EGAN,239.38,273.75,230.0,248.75,248.75,120500
2695549,1999-10-27,EGAN,263.75,313.75,231.88,300.0,300.0,249000
2695550,1999-10-28,EGAN,333.75,334.38,285.63,295.0,295.0,88600
2695551,1999-10-29,EGAN,300.0,314.06,280.0,291.25,291.25,29400
2695552,1999-11-01,EGAN,275.0,290.0,269.38,282.5,282.5,16000
2695553,1999-11-02,EGAN,278.75,320.0,277.5,300.0,300.0,37600
2695554,1999-11-03,EGAN,310.0,325.0,298.75,321.25,321.25,33900
2695555,1999-11-04,EGAN,328.75,354.38,300.0,310.0,310.0,40300
2695556,1999-11-05,EGAN,315.0,335.0,283.75,290.0,290.0,14300
2695557,1999-11-08,EGAN,283.75,425.0,273.75,420.0,420.0,116400
2695558,1999-11-09,EGAN,448.13,455.0,356.25,390.0,390.0,155200
2695559,1999-11-10,EGAN,385.0,417.5,365.0,377.5,377.5,38800
2695560,1999-11-11,EGAN,388.75,390.0,353.75,368.75,368.75,27900
2695561,1999-11-12,EGAN,375.0,377.5,321.25,360.0,360.0,34200
2695562,1999-11-15,EGAN,360.0,395.0,346.25,360.0,360.0,23800
2695563,1999-11-16,EGAN,350.0,402.5,350.0,396.25,396.25,45800
2695564,1999-11-17,EGAN,402.5,420.0,370.0,373.75,373.75,24900
2695565,1999-11-18,EGAN,381.88,427.5,380.0,427.5,427.5,56600
2695566,1999-11-19,EGAN,428.13,428.75,400.0,419.38,419.38,27800
2695567,1999-11-22,EGAN,416.25,420.0,376.25,378.13,378.13,30000
2695568,1999-11-23,EGAN,368.75,376.88,346.25,356.25,356.25,28400
2695569,1999-11-24,EGAN,357.5,395.0,346.25,382.5,382.5,22200
2695570,1999-11-26,EGAN,386.25,391.25,383.75,385.0,385.0,7000
2695571,1999-11-29,EGAN,398.75,427.5,397.5,422.5,422.5,37300
2695572,1999-11-30,EGAN,447.5,477.5,409.38,420.0,420.0,52800
2695573,1999-12-01,EGAN,420.0,433.75,402.5,413.75,413.75,15100
2695574,1999-12-02,EGAN,417.5,482.5,405.0,466.25,466.25,58000
2695575,1999-12-03,EGAN,481.88,497.5,425.0,437.5,437.5,32900
2695576,1999-12-06,EGAN,447.5,485.0,435.0,482.5,482.5,28100
2695577,1999-12-07,EGAN,485.0,507.5,463.75,503.75,503.75,30100
2695578,1999-12-08,EGAN,518.75,625.0,508.13,577.5,577.5,46300
