,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3070120,1990-01-02,FELE,1.06,1.09,1.03,1.06,0.33,344000
3070121,1990-01-03,FELE,1.06,1.06,1.06,1.06,0.33,0
3070122,1990-01-04,FELE,1.06,1.08,1.03,1.05,0.32,409600
3070123,1990-01-05,FELE,1.05,1.08,1.03,1.03,0.32,61600
3070124,1990-01-08,FELE,1.03,1.09,1.03,1.08,0.33,36800
3070125,1990-01-09,FELE,1.08,1.08,1.05,1.06,0.33,48000
3070126,1990-01-10,FELE,1.06,1.08,1.05,1.08,0.33,26400
3070127,1990-01-11,FELE,1.08,1.08,1.06,1.06,0.33,58400
3070128,1990-01-12,FELE,1.06,1.08,1.03,1.05,0.32,28800
3070129,1990-01-15,FELE,1.05,1.06,1.02,1.02,0.31,56000
3070130,1990-01-16,FELE,1.0,1.0,1.0,1.0,0.31,10400
3070131,1990-01-17,FELE,1.03,1.03,1.03,1.03,0.32,8000
3070132,1990-01-18,FELE,1.0,1.0,1.0,1.0,0.31,1600
3070133,1990-01-19,FELE,1.0,1.0,1.0,1.0,0.31,0
3070134,1990-01-22,FELE,1.0,1.06,1.0,1.06,0.33,3200
3070135,1990-01-23,FELE,1.0,1.0,1.0,1.0,0.31,16000
3070136,1990-01-24,FELE,1.0,1.06,1.0,1.0,0.31,1600
3070137,1990-01-25,FELE,1.06,1.06,1.06,1.06,0.33,4000
3070138,1990-01-26,FELE,1.0,1.0,1.0,1.0,0.31,13600
3070139,1990-01-29,FELE,1.03,1.03,1.03,1.03,0.32,2400
3070140,1990-01-30,FELE,1.03,1.05,1.0,1.0,0.31,107200
3070141,1990-01-31,FELE,1.0,1.0,1.0,1.0,0.31,0
3070142,1990-02-01,FELE,1.0,1.0,1.0,1.0,0.31,0
3070143,1990-02-02,FELE,1.05,1.06,1.05,1.06,0.33,73600
3070144,1990-02-05,FELE,1.05,1.05,1.05,1.05,0.32,3200
3070145,1990-02-06,FELE,1.05,1.06,1.03,1.03,0.32,26400
3070146,1990-02-07,FELE,1.03,1.03,1.03,1.03,0.32,1600
3070147,1990-02-08,FELE,1.06,1.06,1.06,1.06,0.33,40000
3070148,1990-02-09,FELE,1.09,1.09,1.09,1.09,0.34,8000
3070149,1990-02-12,FELE,1.09,1.09,0.97,1.0,0.31,85600
3070150,1990-02-13,FELE,1.02,1.02,1.02,1.02,0.31,40000
3070151,1990-02-14,FELE,1.02,1.06,1.0,1.06,0.33,2400
3070152,1990-02-15,FELE,1.06,1.06,1.06,1.06,0.33,0
