,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3232798,1998-11-05,FNHC,5.5,5.5,5.0,5.0,2.99,276400
3232799,1998-11-06,FNHC,5.0,5.08,4.92,5.0,2.99,30300
3232800,1998-11-09,FNHC,5.0,5.04,5.0,5.04,3.01,21000
3232801,1998-11-10,FNHC,5.21,5.29,5.01,5.01,2.99,25900
3232802,1998-11-11,FNHC,5.0,5.08,5.0,5.0,2.99,13800
3232803,1998-11-12,FNHC,5.02,5.02,5.0,5.0,2.99,16300
3232804,1998-11-13,FNHC,5.0,5.13,5.0,5.0,2.99,64000
3232805,1998-11-16,FNHC,5.0,5.08,5.0,5.04,3.01,8500
3232806,1998-11-17,FNHC,5.0,5.04,5.0,5.0,2.99,76600
3232807,1998-11-18,FNHC,5.04,5.04,5.0,5.0,2.99,13800
3232808,1998-11-19,FNHC,5.04,5.08,5.04,5.08,3.04,56800
3232809,1998-11-20,FNHC,5.08,5.08,5.08,5.08,3.04,2200
3232810,1998-11-23,FNHC,5.13,5.13,5.0,5.08,3.04,19900
3232811,1998-11-24,FNHC,5.08,5.08,5.0,5.0,2.99,10800
3232812,1998-11-25,FNHC,5.0,5.08,5.0,5.0,2.99,1600
3232813,1998-11-27,FNHC,5.0,5.0,5.0,5.0,2.99,18700
3232814,1998-11-30,FNHC,5.0,5.0,5.0,5.0,2.99,10600
3232815,1998-12-01,FNHC,5.0,5.04,5.0,5.0,2.99,18300
3232816,1998-12-02,FNHC,5.08,5.17,5.0,5.0,2.99,19200
3232817,1998-12-03,FNHC,5.17,5.25,5.0,5.04,3.01,42600
3232818,1998-12-04,FNHC,5.04,5.04,5.0,5.0,2.99,10300
3232819,1998-12-07,FNHC,5.0,5.08,5.0,5.08,3.04,33300
3232820,1998-12-08,FNHC,5.08,5.08,5.0,5.0,2.99,34900
3232821,1998-12-09,FNHC,5.0,5.0,5.0,5.0,2.99,900
3232822,1998-12-10,FNHC,5.08,5.08,5.0,5.08,3.04,27700
3232823,1998-12-11,FNHC,5.0,5.0,5.0,5.0,2.99,600
3232824,1998-12-14,FNHC,5.0,5.0,5.0,5.0,2.99,21000
3232825,1998-12-15,FNHC,5.0,5.08,5.0,5.08,3.04,22500
3232826,1998-12-16,FNHC,5.0,5.0,5.0,5.0,2.99,23200
3232827,1998-12-17,FNHC,5.0,5.0,5.0,5.0,2.99,11200
3232828,1998-12-18,FNHC,5.04,5.04,5.0,5.0,2.99,44500
3232829,1998-12-21,FNHC,5.0,5.0,4.0,4.67,2.79,21600
3232830,1998-12-22,FNHC,4.0,4.33,3.83,4.17,2.49,5400
3232831,1998-12-23,FNHC,4.42,4.42,4.33,4.42,2.64,13300
3232832,1998-12-24,FNHC,4.67,4.92,4.58,4.92,2.94,15000
