,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3285110,2011-07-22,FRAN,23.0,28.85,22.46,27.65,27.65,11542400
3285111,2011-07-25,FRAN,26.85,28.31,25.03,28.31,28.31,1544300
3285112,2011-07-26,FRAN,27.5,29.75,27.02,27.87,27.87,507200
3285113,2011-07-27,FRAN,27.63,28.2,26.46,26.46,26.46,412300
3285114,2011-07-28,FRAN,26.17,27.05,24.9,25.8,25.8,656600
3285115,2011-07-29,FRAN,25.79,26.43,25.0,26.26,26.26,146100
3285116,2011-08-01,FRAN,27.0,27.37,25.45,26.07,26.07,260400
3285117,2011-08-02,FRAN,25.95,25.99,24.92,25.34,25.34,330500
3285118,2011-08-03,FRAN,25.31,25.98,24.91,25.37,25.37,217300
3285119,2011-08-04,FRAN,25.49,25.72,24.43,24.82,24.82,286900
3285120,2011-08-05,FRAN,25.15,26.92,24.53,25.95,25.95,157300
3285121,2011-08-08,FRAN,26.16,26.19,24.22,24.5,24.5,326800
3285122,2011-08-09,FRAN,25.22,26.45,23.25,26.01,26.01,141400
3285123,2011-08-10,FRAN,25.45,26.3,25.33,25.98,25.98,89600
3285124,2011-08-11,FRAN,26.05,26.19,24.61,25.17,25.17,207200
3285125,2011-08-12,FRAN,25.65,26.18,25.4,25.5,25.5,108200
3285126,2011-08-15,FRAN,25.86,26.46,25.4,26.1,26.1,115200
3285127,2011-08-16,FRAN,25.6,26.29,25.15,25.91,25.91,183700
3285128,2011-08-17,FRAN,26.0,26.18,25.47,25.93,25.93,131500
3285129,2011-08-18,FRAN,24.95,25.1,22.61,22.62,22.62,161400
3285130,2011-08-19,FRAN,22.21,22.86,19.86,19.99,19.99,363700
3285131,2011-08-22,FRAN,20.41,21.25,20.25,21.09,21.09,307700
3285132,2011-08-23,FRAN,21.14,24.07,20.57,23.14,23.14,105300
3285133,2011-08-24,FRAN,23.25,24.78,22.1,24.0,24.0,70000
3285134,2011-08-25,FRAN,24.3,24.3,23.3,23.93,23.93,102200
3285135,2011-08-26,FRAN,24.0,24.65,23.28,24.61,24.61,60200
3285136,2011-08-29,FRAN,24.74,26.41,24.7,26.06,26.06,104300
3285137,2011-08-30,FRAN,25.55,25.83,24.48,25.38,25.38,297300
3285138,2011-08-31,FRAN,25.62,25.78,22.55,22.93,22.93,276300
3285139,2011-09-01,FRAN,23.14,23.14,22.42,22.69,22.69,105000
3285140,2011-09-02,FRAN,22.58,22.72,22.06,22.26,22.26,98800
3285141,2011-09-06,FRAN,21.96,22.0,20.65,21.02,21.02,308700
3285142,2011-09-07,FRAN,21.0,21.18,18.51,19.92,19.92,1040100
3285143,2011-09-08,FRAN,19.88,20.56,19.81,19.91,19.91,408500
3285144,2011-09-09,FRAN,19.6,20.21,19.3,19.61,19.61,134500
3285145,2011-09-12,FRAN,19.76,20.99,19.6,19.76,19.76,188100
3285146,2011-09-13,FRAN,19.74,20.26,19.42,19.86,19.86,203800
3285147,2011-09-14,FRAN,20.05,20.05,19.75,19.75,19.75,98400
3285148,2011-09-15,FRAN,19.96,20.22,19.81,19.95,19.95,116100
3285149,2011-09-16,FRAN,20.0,20.16,19.5,19.74,19.74,191200
3285150,2011-09-19,FRAN,19.5,20.14,19.09,19.95,19.95,274900
3285151,2011-09-20,FRAN,20.0,20.64,19.75,19.97,19.97,405000
3285152,2011-09-21,FRAN,19.95,20.74,19.51,20.0,20.0,141700
3285153,2011-09-22,FRAN,19.4,19.93,18.91,19.33,19.33,221700
