,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3611074,2018-02-21,GRBIC,100.04,100.04,100.04,100.04,100.04,101500
3611075,2018-02-22,GRBIC,100.04,100.04,100.04,100.04,100.04,0
3611076,2018-02-23,GRBIC,100.04,100.04,100.04,100.04,100.04,0
3611077,2018-02-26,GRBIC,100.04,100.04,100.04,100.04,100.04,0
3611078,2018-02-27,GRBIC,100.04,100.04,100.04,100.04,100.04,0
3611079,2018-02-28,GRBIC,100.04,100.04,100.04,100.04,100.04,0
3611080,2018-03-01,GRBIC,100.05,100.05,100.05,100.05,100.05,700
3611081,2018-03-02,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611082,2018-03-05,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611083,2018-03-06,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611084,2018-03-07,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611085,2018-03-08,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611086,2018-03-09,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611087,2018-03-12,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611088,2018-03-13,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611089,2018-03-14,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611090,2018-03-15,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611091,2018-03-16,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611092,2018-03-19,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611093,2018-03-20,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611094,2018-03-21,GRBIC,100.05,100.05,100.05,100.05,100.05,1000
3611095,2018-03-22,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611096,2018-03-23,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611097,2018-03-26,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611098,2018-03-27,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611099,2018-03-28,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611100,2018-03-29,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611101,2018-04-02,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611102,2018-04-03,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611103,2018-04-04,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611104,2018-04-05,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611105,2018-04-06,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611106,2018-04-09,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611107,2018-04-10,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611108,2018-04-11,GRBIC,100.05,100.05,100.05,100.05,100.05,0
3611109,2018-04-12,GRBIC,100.05,100.05,100.05,100.05,100.05,0
