,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4691553,2018-03-16,LAZY,10.05,11.1,9.89,11.1,11.1,143593
4691554,2018-03-19,LAZY,11.45,11.66,10.97,10.97,10.97,8454
4691555,2018-03-20,LAZY,10.98,10.98,10.2,10.7,10.7,36900
4691556,2018-03-21,LAZY,10.95,10.95,10.25,10.8,10.8,25400
4691557,2018-03-22,LAZY,10.45,10.79,10.25,10.5,10.5,1100
4691558,2018-03-23,LAZY,10.35,10.5,10.2,10.4,10.4,17300
4691559,2018-03-26,LAZY,10.4,10.4,10.05,10.07,10.07,14700
4691560,2018-03-27,LAZY,10.25,10.4,9.9,10.05,10.05,6800
4691561,2018-03-28,LAZY,10.1,10.1,10.1,10.1,10.1,100
4691562,2018-03-29,LAZY,9.97,10.05,9.46,10.05,10.05,12700
4691563,2018-04-02,LAZY,9.9,10.0,9.9,10.0,10.0,23200
4691564,2018-04-03,LAZY,10.06,10.06,9.84,9.99,9.99,7200
4691565,2018-04-04,LAZY,9.84,9.96,9.84,9.96,9.96,3300
4691566,2018-04-05,LAZY,10.01,10.02,9.96,9.97,9.97,17600
4691567,2018-04-06,LAZY,9.97,10.0,9.87,9.87,9.87,7700
4691568,2018-04-09,LAZY,9.93,9.94,9.5,9.8,9.8,22100
4691569,2018-04-10,LAZY,10.0,10.31,9.98,10.3,10.3,69800
4691570,2018-04-11,LAZY,10.3,10.6,10.2,10.45,10.45,43900
4691571,2018-04-12,LAZY,10.5,10.5,10.31,10.35,10.35,49800
4691572,2018-04-13,LAZY,10.35,10.35,10.15,10.24,10.24,6600
4691573,2018-04-16,LAZY,10.3,10.3,9.95,9.95,9.95,13400
4691574,2018-04-17,LAZY,10.0,10.04,9.95,10.0,10.0,8000
4691575,2018-04-18,LAZY,10.08,10.08,9.85,10.02,10.02,7000
4691576,2018-04-19,LAZY,10.02,10.02,9.41,9.6,9.6,44500
4691577,2018-04-20,LAZY,9.27,9.7,9.24,9.44,9.44,43200
4691578,2018-04-23,LAZY,9.25,9.7,9.08,9.5,9.5,17600
4691579,2018-04-24,LAZY,9.6,9.6,9.32,9.4,9.4,900
4691580,2018-04-25,LAZY,9.45,9.45,9.2,9.35,9.35,4600
4691581,2018-04-26,LAZY,9.37,9.4,9.2,9.25,9.25,27000
4691582,2018-04-27,LAZY,9.45,10.03,9.2,9.5,9.5,62900
4691583,2018-04-30,LAZY,9.6,10.01,9.6,9.94,9.94,49100
4691584,2018-05-01,LAZY,9.99,10.0,9.75,9.9,9.9,41800
4691585,2018-05-02,LAZY,9.94,10.0,9.9,9.9,9.9,17600
4691586,2018-05-03,LAZY,9.92,9.99,9.86,9.86,9.86,15500
4691587,2018-05-04,LAZY,9.86,9.86,9.7,9.73,9.73,21800
4691588,2018-05-07,LAZY,9.75,9.75,9.35,9.45,9.45,44500
4691589,2018-05-08,LAZY,9.55,9.55,9.2,9.22,9.22,43700
4691590,2018-05-09,LAZY,9.15,9.34,8.64,9.0,9.0,31600
4691591,2018-05-10,LAZY,9.0,9.23,8.82,8.9,8.9,29900
4691592,2018-05-11,LAZY,9.1,9.18,8.89,8.9,8.9,14900
4691593,2018-05-14,LAZY,8.96,8.96,8.61,8.74,8.74,22800
4691594,2018-05-15,LAZY,8.68,8.94,8.66,8.78,8.78,15100
4691595,2018-05-16,LAZY,8.77,8.77,8.54,8.54,8.54,14900
4691596,2018-05-17,LAZY,8.75,8.75,8.58,8.7,8.7,35600
4691597,2018-05-18,LAZY,8.73,8.73,8.28,8.31,8.31,23100
4691598,2018-05-21,LAZY,8.67,8.92,8.5,8.86,8.86,9700
4691599,2018-05-22,LAZY,8.8,9.62,8.66,9.46,9.46,43300
4691600,2018-05-23,LAZY,9.44,9.44,8.95,9.3,9.3,18900
4691601,2018-05-25,LAZY,9.32,9.39,9.03,9.03,9.03,12900
4691602,2018-05-29,LAZY,9.18,9.4,9.01,9.23,9.23,3200
4691603,2018-05-30,LAZY,9.16,9.25,9.15,9.25,9.25,6200
4691604,2018-05-31,LAZY,9.3,9.3,8.98,8.99,8.99,35600
4691605,2018-06-01,LAZY,9.04,9.04,8.42,8.79,8.79,45100
4691606,2018-06-04,LAZY,8.9,9.29,8.88,8.99,8.99,20200
4691607,2018-06-05,LAZY,9.0,9.0,8.77,8.89,8.89,61400
4691608,2018-06-06,LAZY,8.95,8.98,8.83,8.83,8.83,57500
4691609,2018-06-07,LAZY,8.87,8.87,8.73,8.75,8.75,12700
4691610,2018-06-08,LAZY,8.75,8.77,8.62,8.66,8.66,16300
4691611,2018-06-11,LAZY,8.75,8.95,8.75,8.88,8.88,53100
4691612,2018-06-12,LAZY,8.95,8.98,8.71,8.71,8.71,17400
4691613,2018-06-13,LAZY,8.78,8.82,8.5,8.5,8.5,26000
4691614,2018-06-14,LAZY,8.6,8.62,8.19,8.19,8.19,64900
4691615,2018-06-15,LAZY,8.2,8.49,7.6,7.61,7.61,60520
4691616,2018-06-25,LAZY,8.74,8.74,7.94,8.41,8.41,26600
4691617,2018-06-26,LAZY,8.34,8.59,8.1,8.59,8.59,20000
4691618,2018-06-27,LAZY,8.6,8.6,8.3,8.31,8.31,15800
4691619,2018-06-28,LAZY,8.37,8.63,8.33,8.59,8.59,11600
4691620,2018-06-29,LAZY,8.54,8.94,8.45,8.89,8.89,20800
4691621,2018-07-02,LAZY,8.77,8.94,8.5,8.51,8.51,15200
4691622,2018-07-03,LAZY,8.6,8.76,8.6,8.76,8.76,1300
4691623,2018-07-05,LAZY,8.8,8.81,8.58,8.65,8.65,13100
4691624,2018-07-06,LAZY,8.74,8.75,8.72,8.75,8.75,1800
4691625,2018-07-09,LAZY,8.85,8.93,8.54,8.93,8.93,19800
4691626,2018-07-10,LAZY,8.95,8.95,8.71,8.9,8.9,9100
4691627,2018-07-11,LAZY,8.82,9.51,8.63,9.22,9.22,49400
4691628,2018-07-12,LAZY,9.23,9.45,9.16,9.34,9.34,4200
4691629,2018-07-13,LAZY,9.42,9.42,9.31,9.37,9.37,3400
4691630,2018-07-16,LAZY,9.26,9.29,9.13,9.2,9.2,11600
4691631,2018-07-17,LAZY,9.03,9.44,9.03,9.32,9.32,13900
4691632,2018-07-18,LAZY,9.42,9.42,9.05,9.23,9.23,2500
4691633,2018-07-19,LAZY,9.16,9.27,9.16,9.27,9.27,900
4691634,2018-07-20,LAZY,9.25,9.25,9.08,9.2,9.2,9100
4691635,2018-07-23,LAZY,9.13,9.13,8.84,9.07,9.07,9500
4691636,2018-07-24,LAZY,9.12,9.12,8.76,8.94,8.94,14000
4691637,2018-07-25,LAZY,8.95,8.95,8.77,8.8,8.8,35200
4691638,2018-07-26,LAZY,8.8,9.33,8.8,9.07,9.07,3700
4691639,2018-07-27,LAZY,9.07,9.07,9.07,9.07,9.07,0
4691640,2018-07-30,LAZY,9.14,9.14,8.9,8.92,8.92,3000
4691641,2018-07-31,LAZY,8.93,8.99,8.86,8.95,8.95,3500
4691642,2018-08-01,LAZY,8.91,8.91,8.8,8.82,8.82,5800
4691643,2018-08-02,LAZY,8.76,8.9,8.5,8.9,8.9,30100
4691644,2018-08-03,LAZY,8.83,9.0,8.83,9.0,9.0,400
4691645,2018-08-06,LAZY,8.83,9.0,8.71,9.0,9.0,4100
4691646,2018-08-07,LAZY,9.0,9.0,9.0,9.0,9.0,0
4691647,2018-08-08,LAZY,8.7,8.99,8.6,8.61,8.61,7200
4691648,2018-08-09,LAZY,8.45,8.68,8.3,8.3,8.3,8700
4691649,2018-08-10,LAZY,8.35,8.35,7.81,7.92,7.92,7000
4691650,2018-08-13,LAZY,8.14,8.61,8.0,8.61,8.61,13800
4691651,2018-08-14,LAZY,8.55,8.62,8.26,8.27,8.27,6900
4691652,2018-08-15,LAZY,8.38,8.38,7.86,7.86,7.86,200
4691653,2018-08-16,LAZY,8.12,8.43,8.02,8.25,8.25,8500
4691654,2018-08-17,LAZY,8.25,8.44,8.01,8.4,8.4,30700
4691655,2018-08-20,LAZY,8.23,8.23,7.65,7.9,7.9,10600
4691656,2018-08-21,LAZY,8.04,8.04,7.86,8.01,8.01,26500
4691657,2018-08-22,LAZY,7.81,7.81,7.8,7.8,7.8,600
4691658,2018-08-23,LAZY,7.88,7.9,7.72,7.9,7.9,5700
4691659,2018-08-24,LAZY,7.97,8.0,7.95,8.0,8.0,1300
4691660,2018-08-27,LAZY,8.02,8.02,7.8,7.96,7.96,7900
