,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5209091,2006-12-19,MLCO,22.0,23.55,21.1,21.55,18.11,52517300
5209092,2006-12-20,MLCO,21.99,22.0,19.81,20.23,17.0,13510700
5209093,2006-12-21,MLCO,19.88,20.44,18.88,20.06,16.86,14750400
5209094,2006-12-22,MLCO,20.15,20.18,19.35,19.51,16.4,3800500
5209095,2006-12-26,MLCO,19.7,20.07,19.4,19.88,16.71,1749000
5209096,2006-12-27,MLCO,20.0,21.0,20.0,20.7,17.4,4178400
5209097,2006-12-28,MLCO,20.51,21.12,20.35,21.02,17.67,3032000
5209098,2006-12-29,MLCO,21.24,21.51,21.0,21.26,17.87,2690600
5209099,2007-01-03,MLCO,21.63,21.78,21.21,21.56,18.12,3335300
5209100,2007-01-04,MLCO,21.65,22.0,21.53,21.65,18.2,2697800
5209101,2007-01-05,MLCO,21.6,21.6,20.51,20.78,17.47,3467100
5209102,2007-01-08,MLCO,20.75,20.76,19.88,20.0,16.81,1539200
5209103,2007-01-09,MLCO,20.0,20.07,19.5,19.87,16.7,2911100
5209104,2007-01-10,MLCO,19.74,21.5,19.53,20.96,17.62,4175900
5209105,2007-01-11,MLCO,21.09,21.17,20.24,20.61,17.32,3482700
5209106,2007-01-12,MLCO,20.7,20.8,20.26,20.63,17.34,1371300
5209107,2007-01-16,MLCO,20.94,21.08,20.45,20.74,17.43,2138700
5209108,2007-01-17,MLCO,20.79,21.38,20.61,21.21,17.83,2450500
5209109,2007-01-18,MLCO,21.36,22.22,21.3,22.2,18.66,4721200
5209110,2007-01-19,MLCO,22.0,22.34,21.36,21.82,18.34,4010000
5209111,2007-01-22,MLCO,22.07,22.07,21.25,21.32,17.92,1374300
5209112,2007-01-23,MLCO,21.1,21.38,20.72,21.04,17.68,1782900
5209113,2007-01-24,MLCO,21.06,21.81,20.85,21.14,17.77,3267900
5209114,2007-01-25,MLCO,21.55,21.55,20.5,20.65,17.36,4701100
5209115,2007-01-26,MLCO,20.65,20.8,20.25,20.39,17.14,2353100
5209116,2007-01-29,MLCO,20.35,20.5,20.01,20.05,16.85,1210200
5209117,2007-01-30,MLCO,20.22,20.22,19.13,19.19,16.13,4009800
5209118,2007-01-31,MLCO,19.4,19.9,19.25,19.35,16.26,3478500
5209119,2007-02-01,MLCO,19.65,20.38,19.5,20.22,17.0,3106400
5209120,2007-02-02,MLCO,20.45,20.5,20.23,20.42,17.16,1740300
5209121,2007-02-05,MLCO,20.54,20.7,19.88,19.95,16.77,1595900
5209122,2007-02-06,MLCO,19.84,20.18,19.59,19.6,16.47,1997100
5209123,2007-02-07,MLCO,19.77,19.77,19.14,19.2,16.14,3059600
5209124,2007-02-08,MLCO,19.28,19.3,18.55,18.85,15.84,4921900
5209125,2007-02-09,MLCO,18.96,19.1,18.4,18.62,15.65,3436400
5209126,2007-02-12,MLCO,18.39,18.43,17.17,17.45,14.67,4688200
5209127,2007-02-13,MLCO,17.45,17.87,17.27,17.64,14.83,4143100
5209128,2007-02-14,MLCO,18.04,18.44,17.86,18.21,15.31,3085900
5209129,2007-02-15,MLCO,18.04,18.19,17.8,18.08,15.2,2232800
5209130,2007-02-16,MLCO,17.95,18.62,17.9,18.35,15.42,1830000
5209131,2007-02-20,MLCO,18.4,18.74,18.22,18.44,15.5,1108700
5209132,2007-02-21,MLCO,18.46,18.62,18.3,18.44,15.5,795700
5209133,2007-02-22,MLCO,18.4,18.58,18.2,18.56,15.6,970500
5209134,2007-02-23,MLCO,18.4,18.45,18.27,18.4,15.47,890200
5209135,2007-02-26,MLCO,18.68,18.7,17.92,18.16,15.26,1857700
5209136,2007-02-27,MLCO,17.5,17.6,16.2,17.0,14.29,4057200
5209137,2007-02-28,MLCO,17.04,17.32,16.51,16.6,13.95,2764900
5209138,2007-03-01,MLCO,16.0,17.18,15.52,16.7,14.04,2851700
5209139,2007-03-02,MLCO,16.7,17.1,16.35,16.46,13.83,1025100
5209140,2007-03-05,MLCO,15.8,15.99,15.54,15.9,13.36,2815200
5209141,2007-03-06,MLCO,16.4,16.98,16.13,16.76,14.09,1355100
5209142,2007-03-07,MLCO,16.58,16.58,16.24,16.31,13.71,975800
5209143,2007-03-08,MLCO,16.5,16.69,15.86,15.93,13.39,2381000
5209144,2007-03-09,MLCO,15.76,16.11,15.56,15.96,13.41,1568500
5209145,2007-03-12,MLCO,16.0,16.08,15.57,15.6,13.11,1370400
5209146,2007-03-13,MLCO,15.46,15.49,14.51,14.57,12.25,2486000
5209147,2007-03-14,MLCO,14.51,15.32,14.12,15.27,12.83,2619600
5209148,2007-03-15,MLCO,15.25,15.95,15.12,15.48,13.01,2635200
5209149,2007-03-16,MLCO,15.5,15.64,15.26,15.51,13.04,606600
5209150,2007-03-19,MLCO,15.66,15.72,15.25,15.27,12.83,913000
5209151,2007-03-20,MLCO,15.17,15.9,15.07,15.74,13.23,1932700
5209152,2007-03-21,MLCO,15.87,16.89,15.65,16.58,13.94,3165100
5209153,2007-03-22,MLCO,16.78,17.1,16.62,16.91,14.21,1636000
5209154,2007-03-23,MLCO,17.0,17.38,16.41,16.54,13.9,1334100
5209155,2007-03-26,MLCO,16.94,17.11,16.21,16.31,13.71,1150700
5209156,2007-03-27,MLCO,16.25,16.4,15.75,15.78,13.26,1474000
5209157,2007-03-28,MLCO,16.04,16.13,15.73,15.81,13.29,968800
5209158,2007-03-29,MLCO,16.18,16.19,15.63,15.9,13.36,1181500
5209159,2007-03-30,MLCO,16.26,16.32,15.82,16.14,13.57,1830900
5209160,2007-04-02,MLCO,16.15,16.21,15.95,16.0,13.45,1140700
5209161,2007-04-03,MLCO,16.32,16.5,16.18,16.4,13.78,1367900
5209162,2007-04-04,MLCO,16.5,16.53,16.05,16.09,13.52,832500
5209163,2007-04-05,MLCO,16.19,16.38,16.02,16.3,13.7,611400
5209164,2007-04-09,MLCO,16.44,17.0,16.3,16.78,14.1,780100
5209165,2007-04-10,MLCO,16.98,17.49,16.8,17.42,14.64,1497600
5209166,2007-04-11,MLCO,17.53,17.53,16.27,16.54,13.9,1695700
5209167,2007-04-12,MLCO,16.45,16.68,16.3,16.45,13.83,1008300
5209168,2007-04-13,MLCO,16.4,16.6,15.98,16.57,13.93,1581100
5209169,2007-04-16,MLCO,16.68,16.7,16.41,16.62,13.97,1017200
5209170,2007-04-17,MLCO,16.65,16.78,16.48,16.69,14.03,511800
5209171,2007-04-18,MLCO,16.74,18.42,16.65,18.31,15.39,4015200
5209172,2007-04-19,MLCO,18.03,19.45,17.78,18.56,15.6,6084100
5209173,2007-04-20,MLCO,19.25,19.26,18.7,18.91,15.89,2287900
5209174,2007-04-23,MLCO,19.3,19.36,18.91,19.07,16.03,1349300
5209175,2007-04-24,MLCO,19.03,19.15,18.51,18.55,15.59,1617600
5209176,2007-04-25,MLCO,18.61,18.67,17.66,18.2,15.3,2361700
5209177,2007-04-26,MLCO,17.97,18.35,17.78,18.26,15.35,1196800
5209178,2007-04-27,MLCO,18.0,18.17,17.8,17.93,15.07,1171000
5209179,2007-04-30,MLCO,17.85,17.87,17.33,17.42,14.64,1278200
5209180,2007-05-01,MLCO,17.36,17.7,17.23,17.56,14.76,778600
5209181,2007-05-02,MLCO,17.56,18.77,17.36,18.48,15.53,2325800
5209182,2007-05-03,MLCO,18.08,18.15,17.6,17.86,15.01,2000700
5209183,2007-05-04,MLCO,17.9,18.11,17.75,17.84,14.99,952100
5209184,2007-05-07,MLCO,17.94,17.99,17.0,17.2,14.46,1993500
5209185,2007-05-08,MLCO,17.4,17.42,16.36,16.44,13.82,3338100
5209186,2007-05-09,MLCO,16.5,17.05,16.49,16.85,14.16,1533400
5209187,2007-05-10,MLCO,16.9,16.9,16.12,16.22,13.63,1565100
5209188,2007-05-11,MLCO,16.5,16.79,16.22,16.57,13.93,1306100
5209189,2007-05-14,MLCO,16.69,16.72,15.03,15.08,12.68,4945000
5209190,2007-05-15,MLCO,15.25,15.45,13.75,14.52,12.2,7896000
5209191,2007-05-16,MLCO,14.36,14.56,14.0,14.09,11.84,4035600
5209192,2007-05-17,MLCO,14.1,14.14,13.61,14.02,11.78,4623700
5209193,2007-05-18,MLCO,14.16,14.16,13.88,14.0,11.77,1621000
5209194,2007-05-21,MLCO,13.98,14.06,13.76,13.87,11.66,2063200
5209195,2007-05-22,MLCO,14.45,14.65,13.95,14.2,11.94,4299800
5209196,2007-05-23,MLCO,14.3,14.3,13.89,13.95,11.73,1741900
5209197,2007-05-24,MLCO,13.9,13.93,13.6,13.65,11.47,1270500
5209198,2007-05-25,MLCO,13.5,13.88,13.26,13.59,11.42,2215200
5209199,2007-05-29,MLCO,13.48,13.86,13.38,13.61,11.44,1883300
5209200,2007-05-30,MLCO,13.4,13.75,13.2,13.63,11.46,1566800
5209201,2007-05-31,MLCO,13.75,14.03,13.44,14.02,11.78,1551400
5209202,2007-06-01,MLCO,14.2,14.21,13.76,14.0,11.77,1585100
5209203,2007-06-04,MLCO,13.8,13.9,13.5,13.67,11.49,2543200
5209204,2007-06-05,MLCO,13.65,13.79,13.3,13.54,11.38,2413000
5209205,2007-06-06,MLCO,13.4,13.5,13.2,13.33,11.2,3072700
5209206,2007-06-07,MLCO,13.5,13.54,13.0,13.35,11.22,2327600
5209207,2007-06-08,MLCO,13.32,13.33,13.1,13.26,11.15,1421800
5209208,2007-06-11,MLCO,13.3,13.49,13.08,13.15,11.05,2099800
5209209,2007-06-12,MLCO,13.17,13.18,12.2,12.35,10.38,6022400
5209210,2007-06-13,MLCO,12.37,12.58,12.2,12.31,10.35,2001800
5209211,2007-06-14,MLCO,12.3,12.3,12.01,12.08,10.15,2603000
5209212,2007-06-15,MLCO,12.5,12.64,12.25,12.62,10.61,5317200
5209213,2007-06-18,MLCO,12.65,12.88,12.37,12.41,10.43,2593400
5209214,2007-06-19,MLCO,12.35,12.49,12.25,12.4,10.42,1630600
5209215,2007-06-20,MLCO,12.4,12.4,12.04,12.17,10.23,1962100
5209216,2007-06-21,MLCO,12.2,12.2,11.4,11.8,9.92,4028500
5209217,2007-06-22,MLCO,11.72,11.73,11.41,11.55,9.71,1424300
5209218,2007-06-25,MLCO,11.5,11.76,11.29,11.67,9.81,3446700
5209219,2007-06-26,MLCO,11.68,12.09,11.47,11.59,9.74,1844400
5209220,2007-06-27,MLCO,11.7,12.05,11.7,11.84,9.95,3968000
5209221,2007-06-28,MLCO,11.9,12.43,11.85,12.3,10.34,2126500
5209222,2007-06-29,MLCO,12.31,12.79,12.31,12.56,10.56,2115000
5209223,2007-07-02,MLCO,12.7,12.84,12.25,12.43,10.45,1352600
5209224,2007-07-03,MLCO,12.52,12.7,12.17,12.22,10.27,998600
5209225,2007-07-05,MLCO,12.8,13.23,12.51,13.2,11.09,4103900
5209226,2007-07-06,MLCO,13.22,13.8,13.17,13.67,11.49,2554400
