,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5320698,2007-12-27,MRNS,0.05,0.04,0.04,0.04,0.04,3367430
5320699,2008-01-16,MRNS,0.04,0.04,0.04,0.04,0.04,673486
5320700,2008-01-31,MRNS,0.04,0.04,0.04,0.04,0.04,168372
5320701,2008-02-06,MRNS,0.04,0.04,0.04,0.04,0.04,168372
5320702,2008-02-08,MRNS,0.04,0.05,0.05,0.05,0.05,336743
5320703,2008-02-11,MRNS,0.05,0.05,0.05,0.05,0.05,673486
5320704,2008-02-15,MRNS,0.05,0.05,0.05,0.05,0.05,336743
5320705,2008-02-28,MRNS,0.05,0.04,0.04,0.04,0.04,673486
5320706,2008-04-16,MRNS,0.04,0.05,0.04,0.05,0.05,1515344
5320707,2008-04-17,MRNS,0.05,0.05,0.04,0.05,0.05,2357201
5320708,2008-04-23,MRNS,0.05,0.05,0.04,0.04,0.04,1515344
5320709,2008-04-24,MRNS,0.04,0.05,0.05,0.05,0.05,3535802
5320710,2008-04-28,MRNS,0.05,0.05,0.04,0.05,0.05,336743
5320711,2008-05-02,MRNS,0.05,0.05,0.05,0.05,0.05,168372
5320712,2008-05-06,MRNS,0.05,0.05,0.05,0.05,0.05,7576718
5320713,2008-05-15,MRNS,0.05,0.05,0.05,0.05,0.05,1683715
5320714,2008-05-16,MRNS,0.05,0.05,0.05,0.05,0.05,168372
5320715,2008-06-02,MRNS,0.06,0.06,0.06,0.06,0.06,2020458
5320716,2008-06-03,MRNS,0.06,0.06,0.06,0.06,0.06,3535802
5320717,2008-06-04,MRNS,0.06,0.06,0.06,0.06,0.06,1346972
5320718,2008-06-05,MRNS,0.06,0.06,0.06,0.06,0.06,1852087
5320719,2008-06-06,MRNS,0.06,0.06,0.06,0.06,0.06,11786005
5320720,2008-06-09,MRNS,0.06,0.07,0.07,0.07,0.07,5724631
5320721,2008-06-10,MRNS,0.07,0.07,0.07,0.07,0.07,5893003
5320722,2008-06-11,MRNS,0.07,0.07,0.07,0.07,0.07,16163664
5320723,2008-06-12,MRNS,0.07,0.08,0.07,0.08,0.08,9092061
5320724,2008-06-16,MRNS,0.08,0.07,0.07,0.07,0.07,505115
5320725,2008-06-17,MRNS,0.07,0.08,0.07,0.08,0.08,5556260
5320726,2008-06-18,MRNS,0.08,0.08,0.07,0.08,0.08,505115
5320727,2008-06-20,MRNS,0.08,0.07,0.07,0.07,0.07,2020458
5320728,2008-06-24,MRNS,0.07,0.08,0.08,0.08,0.08,168372
5320729,2008-07-08,MRNS,0.08,0.08,0.08,0.08,0.08,168372
5320730,2008-07-10,MRNS,0.08,0.08,0.08,0.08,0.08,13132977
5320731,2008-07-17,MRNS,0.08,0.08,0.08,0.08,0.08,1346972
5320732,2008-07-18,MRNS,0.08,0.08,0.08,0.08,0.08,673486
5320733,2008-07-21,MRNS,0.08,0.08,0.08,0.08,0.08,841858
5320734,2008-07-22,MRNS,0.08,0.08,0.08,0.08,0.08,2188830
5320735,2009-01-09,MRNS,0.08,0.08,0.08,0.08,0.08,168372
5320736,2009-01-12,MRNS,0.08,0.08,0.08,0.08,0.08,168372
5320737,2009-01-13,MRNS,0.08,0.07,0.07,0.07,0.07,168372
5320738,2009-01-14,MRNS,0.07,0.07,0.07,0.07,0.07,168372
5320739,2009-01-15,MRNS,0.07,0.06,0.06,0.06,0.06,336743
5320740,2009-01-16,MRNS,0.06,0.07,0.06,0.07,0.07,2862316
5320741,2009-01-20,MRNS,0.06,0.07,0.06,0.07,0.07,7239975
5320742,2009-01-21,MRNS,0.06,0.06,0.06,0.06,0.06,3199059
5320743,2009-01-22,MRNS,0.06,0.06,0.05,0.06,0.06,8418575
5320744,2009-01-23,MRNS,0.06,0.06,0.06,0.06,0.06,4040916
5320745,2009-01-27,MRNS,0.06,0.06,0.06,0.06,0.06,336743
5320746,2009-01-28,MRNS,0.06,0.06,0.06,0.06,0.06,4040916
5320747,2009-01-29,MRNS,0.06,0.06,0.06,0.06,0.06,1515344
5320748,2009-01-30,MRNS,0.06,0.05,0.05,0.05,0.05,5051145
5320749,2009-02-02,MRNS,0.05,0.06,0.05,0.06,0.06,15321807
5320750,2009-02-03,MRNS,0.06,0.06,0.06,0.06,0.06,5893003
5320751,2009-02-04,MRNS,0.06,0.06,0.06,0.06,0.06,1852087
5320752,2009-02-06,MRNS,0.06,0.07,0.07,0.07,0.07,1515344
5320753,2009-02-09,MRNS,0.07,0.07,0.07,0.07,0.07,505115
5320754,2009-02-13,MRNS,0.06,0.06,0.06,0.06,0.06,4377659
5320755,2009-02-17,MRNS,0.07,0.07,0.07,0.07,0.07,1683715
5320756,2009-02-18,MRNS,0.07,0.07,0.07,0.07,0.07,336743
5320757,2009-02-19,MRNS,0.07,0.07,0.07,0.07,0.07,4040916
5320758,2009-02-20,MRNS,0.07,0.08,0.08,0.08,0.08,168372
5320759,2009-02-23,MRNS,0.08,0.08,0.08,0.08,0.08,2693944
5320760,2009-02-24,MRNS,0.08,0.08,0.08,0.08,0.08,1852087
5320761,2009-03-09,MRNS,0.08,0.08,0.08,0.08,0.08,5219517
5320762,2009-03-11,MRNS,0.08,0.08,0.08,0.08,0.08,1852087
5320763,2009-03-16,MRNS,0.08,0.08,0.08,0.08,0.08,168372
5320764,2009-03-17,MRNS,0.08,0.08,0.08,0.08,0.08,3030687
5320765,2009-03-18,MRNS,0.08,0.09,0.08,0.09,0.09,3199059
5320766,2009-03-19,MRNS,0.08,0.09,0.08,0.09,0.09,3199059
5320767,2009-03-25,MRNS,0.08,0.08,0.08,0.08,0.08,841858
5320768,2009-04-06,MRNS,0.09,0.09,0.08,0.09,0.09,3367430
5320769,2009-04-08,MRNS,0.08,0.09,0.09,0.09,0.09,168372
5320770,2009-04-15,MRNS,0.09,0.09,0.09,0.09,0.09,0
5320771,2009-04-20,MRNS,0.09,0.09,0.09,0.09,0.09,505115
5320772,2009-04-22,MRNS,0.09,0.09,0.09,0.09,0.09,0
5320773,2009-04-27,MRNS,0.09,0.09,0.09,0.09,0.09,17005522
5320774,2009-04-28,MRNS,0.09,0.09,0.09,0.09,0.09,1178601
5320775,2009-05-19,MRNS,0.19,0.19,0.18,0.18,0.18,1044240
5320776,2009-05-28,MRNS,0.1,0.09,0.09,0.09,0.09,841858
5320777,2009-06-01,MRNS,0.1,0.09,0.09,0.09,0.09,673486
5320778,2010-05-11,MRNS,35.78,36.23,36.23,36.23,36.23,17
5320779,2010-05-12,MRNS,37.27,37.98,36.82,37.38,37.38,12906
5320780,2010-05-13,MRNS,37.38,37.42,36.82,37.34,37.34,60499
5320781,2010-05-14,MRNS,37.34,37.18,36.7,37.11,37.11,288
5320782,2010-05-17,MRNS,37.11,36.82,36.29,36.82,36.82,4228
5320783,2010-05-18,MRNS,36.82,37.77,35.64,37.13,37.13,52752
5320784,2010-05-19,MRNS,37.13,37.12,35.67,36.75,36.75,5221
5320785,2010-05-20,MRNS,36.75,36.53,36.23,36.26,36.26,1776
5320786,2010-05-21,MRNS,36.26,36.53,35.04,36.53,36.53,8434
5320787,2010-05-24,MRNS,36.53,36.23,35.64,35.85,35.85,1364
5320788,2010-05-25,MRNS,35.85,36.53,34.06,34.09,34.09,3682
5320789,2010-05-26,MRNS,34.09,35.58,34.44,35.07,35.07,4967
5320790,2010-05-27,MRNS,35.07,35.87,33.88,34.5,34.5,1071
5320791,2010-05-28,MRNS,34.5,35.28,34.45,35.04,35.04,16206
5320792,2010-06-01,MRNS,35.04,35.46,33.85,34.98,34.98,5576
5320793,2010-06-02,MRNS,30.31,31.48,29.99,30.24,30.24,5645
5320794,2010-06-03,MRNS,30.24,31.18,29.7,30.71,30.71,5780
5320795,2010-06-04,MRNS,30.71,32.07,29.84,30.51,30.51,1818
5320796,2010-06-07,MRNS,30.51,31.42,30.29,30.53,30.53,1566
5320797,2010-06-08,MRNS,30.53,32.05,31.41,31.82,31.82,11234
5320798,2010-06-09,MRNS,34.5,35.28,34.45,35.04,35.04,16206
5320799,2010-06-10,MRNS,32.19,31.92,31.92,31.92,31.92,16206
5320800,2010-06-11,MRNS,31.92,32.36,30.53,32.07,32.07,460
5320801,2010-06-14,MRNS,32.07,32.67,30.88,32.22,32.22,7289
5320802,2010-06-15,MRNS,32.22,32.96,32.61,32.61,32.61,7504
5320803,2010-06-16,MRNS,32.61,33.02,32.07,32.43,32.43,1162
5320804,2010-06-17,MRNS,32.43,32.67,31.18,32.33,32.33,45
5320805,2010-06-18,MRNS,32.33,32.67,31.54,32.19,32.19,268
5320806,2010-06-21,MRNS,32.19,32.67,31.54,31.78,31.78,1837
5320807,2010-06-22,MRNS,31.78,32.52,31.24,32.07,32.07,1741
5320808,2010-06-23,MRNS,32.07,32.9,31.33,31.34,31.34,455
5320809,2010-06-24,MRNS,31.34,31.34,31.34,31.34,31.34,3
5320810,2010-06-25,MRNS,31.34,32.9,29.99,32.07,32.07,1872
5320811,2010-06-28,MRNS,32.07,33.56,31.18,31.92,31.92,2106
5320812,2010-06-29,MRNS,31.92,32.81,30.65,32.58,32.58,17
5320813,2010-06-30,MRNS,32.58,33.56,31.54,32.46,32.46,608
5320814,2010-07-01,MRNS,32.46,33.2,31.33,32.94,32.94,25
5320815,2010-07-02,MRNS,32.94,33.56,31.3,33.06,33.06,359
5320816,2010-07-06,MRNS,32.71,33.22,31.54,32.75,32.75,3947
5320817,2010-07-07,MRNS,32.75,33.53,33.25,33.25,33.25,3
5320818,2010-07-08,MRNS,33.25,33.79,33.2,33.25,33.25,111
5320819,2010-07-09,MRNS,33.25,33.56,32.1,33.55,33.55,160
5320820,2010-07-12,MRNS,33.55,33.71,32.16,32.54,32.54,737
5320821,2010-07-13,MRNS,32.54,33.79,33.62,33.62,33.62,3
5320822,2010-07-14,MRNS,33.62,33.79,32.19,33.3,33.3,241
5320823,2010-07-15,MRNS,33.3,33.79,32.4,33.7,33.7,22
5320824,2010-07-16,MRNS,33.7,33.85,33.2,33.39,33.39,4240
5320825,2010-07-19,MRNS,33.39,34.39,34.14,34.3,34.3,8
5320826,2010-07-21,MRNS,34.02,34.74,33.29,34.36,34.36,810
5320827,2010-07-22,MRNS,34.36,34.89,34.57,34.57,34.57,3
5320828,2010-07-26,MRNS,34.57,34.45,33.26,33.47,33.47,14194
5320829,2010-07-27,MRNS,33.47,34.38,31.8,31.8,31.8,9370
5320830,2010-07-28,MRNS,31.8,32.01,30.65,31.04,31.04,1263
5320831,2010-07-29,MRNS,31.04,31.3,31.3,31.3,31.3,2
5320832,2010-07-30,MRNS,31.3,31.48,29.74,30.21,30.21,6129
5320833,2010-08-02,MRNS,30.21,31.45,29.99,30.67,30.67,6095
5320834,2010-08-03,MRNS,30.67,31.18,31.18,31.18,31.18,3
5320835,2010-08-04,MRNS,31.18,31.39,30.88,31.33,31.33,8644
5320836,2010-08-05,MRNS,31.33,31.33,30.17,30.69,30.69,1110
5320837,2010-08-06,MRNS,30.69,31.33,31.33,31.33,31.33,5
5320838,2010-08-09,MRNS,29.82,30.88,30.85,30.87,30.87,76
5320839,2010-08-10,MRNS,29.82,30.88,30.85,30.87,30.87,76
5320840,2010-08-11,MRNS,30.87,31.77,31.45,31.45,31.45,42
5320841,2010-08-16,MRNS,31.45,31.92,30.06,31.92,31.92,1315
5320842,2010-08-17,MRNS,31.92,31.47,31.47,31.47,31.47,5558
5320843,2010-08-18,MRNS,31.47,31.18,29.99,30.9,30.9,3745
5320844,2010-08-19,MRNS,30.45,31.75,31.71,31.71,31.71,8
5320845,2010-08-20,MRNS,31.71,31.63,31.63,31.63,31.63,8
5320846,2010-08-23,MRNS,31.63,31.89,30.05,30.84,30.84,2921
5320847,2010-08-24,MRNS,30.84,31.44,31.44,31.44,31.44,20
5320848,2010-08-25,MRNS,31.44,31.92,31.63,31.63,31.63,17
5320849,2010-08-26,MRNS,31.63,32.01,30.05,31.54,31.54,214
5320850,2010-08-27,MRNS,31.54,32.01,31.83,31.83,31.83,5
5320851,2010-08-30,MRNS,31.83,32.01,32.01,32.01,32.01,8
5320852,2010-08-31,MRNS,32.01,31.48,31.48,31.48,31.48,8
5320853,2010-09-01,MRNS,31.48,32.07,31.62,31.62,31.62,8
5320854,2010-09-02,MRNS,31.62,32.07,32.07,32.07,32.07,3
5320855,2010-09-03,MRNS,32.07,32.36,31.83,31.83,31.83,3
5320856,2010-09-09,MRNS,31.6,32.07,30.29,31.14,31.14,6962
5320857,2010-09-14,MRNS,31.14,31.72,31.63,31.63,31.63,17
5320858,2010-09-15,MRNS,31.63,31.6,30.88,30.97,30.97,514
5320859,2010-09-16,MRNS,30.97,31.77,30.88,30.89,30.89,859
5320860,2010-09-17,MRNS,30.89,31.92,30.59,31.77,31.77,892
5320861,2010-09-20,MRNS,31.77,31.63,31.63,31.63,31.63,892
5320862,2010-09-21,MRNS,31.63,31.77,31.48,31.48,31.48,842
5320863,2010-09-22,MRNS,31.48,31.47,31.47,31.47,31.47,842
5320864,2010-09-23,MRNS,31.47,31.89,29.9,31.45,31.45,239
5320865,2010-09-24,MRNS,31.45,31.89,29.9,30.01,30.01,76
5320866,2010-09-27,MRNS,30.01,31.48,28.81,31.29,31.29,7139
