,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6450458,1999-07-29,PRFT,11.5,12.0,9.13,9.38,9.38,414800
6450459,1999-07-30,PRFT,9.63,10.0,8.88,9.75,9.75,100200
6450460,1999-08-02,PRFT,9.88,9.88,8.75,9.0,9.0,28000
6450461,1999-08-03,PRFT,8.94,8.94,8.13,8.13,8.13,54200
6450462,1999-08-04,PRFT,8.13,8.19,7.75,8.0,8.0,69400
6450463,1999-08-05,PRFT,7.94,7.94,7.75,7.88,7.88,18400
6450464,1999-08-06,PRFT,7.88,8.06,7.75,8.06,8.06,20400
6450465,1999-08-09,PRFT,7.94,8.0,7.94,7.94,7.94,1500
6450466,1999-08-10,PRFT,7.94,7.94,7.69,7.94,7.94,8700
6450467,1999-08-11,PRFT,7.94,7.94,7.94,7.94,7.94,5100
6450468,1999-08-12,PRFT,7.94,7.94,7.69,7.69,7.69,10300
6450469,1999-08-13,PRFT,7.69,7.75,7.63,7.63,7.63,21600
6450470,1999-08-16,PRFT,7.63,7.75,7.5,7.5,7.5,24600
6450471,1999-08-17,PRFT,7.5,7.5,7.5,7.5,7.5,1000
6450472,1999-08-18,PRFT,7.5,7.78,7.5,7.5,7.5,6300
6450473,1999-08-19,PRFT,7.69,7.69,7.38,7.38,7.38,10700
6450474,1999-08-20,PRFT,7.38,7.38,7.13,7.25,7.25,11800
6450475,1999-08-23,PRFT,7.19,7.19,6.25,6.25,6.25,24700
6450476,1999-08-24,PRFT,6.25,7.0,6.25,7.0,7.0,16300
6450477,1999-08-25,PRFT,7.25,7.75,7.0,7.44,7.44,51000
6450478,1999-08-26,PRFT,7.44,7.88,7.0,7.5,7.5,26600
6450479,1999-08-27,PRFT,7.81,8.0,7.5,8.0,8.0,8000
6450480,1999-08-30,PRFT,8.0,8.5,7.88,8.25,8.25,34700
6450481,1999-08-31,PRFT,8.25,8.75,7.75,8.5,8.5,66500
6450482,1999-09-01,PRFT,8.75,8.75,8.25,8.25,8.25,25500
6450483,1999-09-02,PRFT,8.25,8.5,8.25,8.28,8.28,10500
6450484,1999-09-03,PRFT,8.44,8.44,8.03,8.25,8.25,9500
6450485,1999-09-07,PRFT,8.44,8.5,8.03,8.44,8.44,12800
6450486,1999-09-08,PRFT,8.25,8.38,8.03,8.03,8.03,9400
6450487,1999-09-09,PRFT,8.0,8.0,7.88,8.0,8.0,29800
6450488,1999-09-10,PRFT,8.38,8.38,8.0,8.25,8.25,8100
6450489,1999-09-13,PRFT,8.75,9.5,8.38,8.56,8.56,112700
6450490,1999-09-14,PRFT,8.72,8.81,8.31,8.44,8.44,37200
6450491,1999-09-15,PRFT,8.44,8.69,8.31,8.63,8.63,7900
6450492,1999-09-16,PRFT,8.69,8.69,8.38,8.5,8.5,11300
6450493,1999-09-17,PRFT,8.5,8.72,8.31,8.5,8.5,32600
6450494,1999-09-20,PRFT,8.5,8.75,8.38,8.75,8.75,26600
6450495,1999-09-21,PRFT,8.75,8.75,8.5,8.5,8.5,4000
6450496,1999-09-22,PRFT,8.75,8.75,8.5,8.69,8.69,10400
6450497,1999-09-23,PRFT,8.75,8.81,8.44,8.5,8.5,15600
6450498,1999-09-24,PRFT,8.25,8.63,8.25,8.63,8.63,4500
6450499,1999-09-27,PRFT,8.75,8.75,8.38,8.38,8.38,11100
6450500,1999-09-28,PRFT,8.5,8.5,8.0,8.19,8.19,11600
6450501,1999-09-29,PRFT,8.13,8.5,8.0,8.5,8.5,2300
6450502,1999-09-30,PRFT,8.0,8.5,8.0,8.5,8.5,2500
6450503,1999-10-01,PRFT,8.25,8.25,8.25,8.25,8.25,100
6450504,1999-10-04,PRFT,8.0,8.5,8.0,8.25,8.25,10900
6450505,1999-10-05,PRFT,8.19,8.38,8.0,8.0,8.0,13300
6450506,1999-10-06,PRFT,8.0,8.38,8.0,8.38,8.38,6000
6450507,1999-10-07,PRFT,8.0,8.13,8.0,8.0,8.0,5700
6450508,1999-10-08,PRFT,8.0,8.0,8.0,8.0,8.0,3900
6450509,1999-10-11,PRFT,8.25,8.38,7.75,8.38,8.38,14700
6450510,1999-10-12,PRFT,8.0,8.45,8.0,8.13,8.13,4800
6450511,1999-10-13,PRFT,8.13,8.25,8.13,8.13,8.13,22800
6450512,1999-10-14,PRFT,8.38,8.5,8.25,8.25,8.25,11800
6450513,1999-10-15,PRFT,8.25,8.25,7.63,8.0,8.0,17400
6450514,1999-10-18,PRFT,7.75,8.0,6.5,7.0,7.0,6400
6450515,1999-10-19,PRFT,6.75,8.0,6.75,8.0,8.0,12100
6450516,1999-10-20,PRFT,7.41,8.13,7.41,8.13,8.13,7100
6450517,1999-10-21,PRFT,7.5,8.13,7.44,8.0,8.0,36200
6450518,1999-10-22,PRFT,8.13,8.13,7.75,8.13,8.13,63600
6450519,1999-10-25,PRFT,8.13,9.0,7.94,8.94,8.94,33300
6450520,1999-10-26,PRFT,9.19,9.25,8.5,8.63,8.63,37800
6450521,1999-10-27,PRFT,8.88,9.0,8.75,8.88,8.88,8900
6450522,1999-10-28,PRFT,9.0,9.0,8.75,8.75,8.75,1000
