,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7054807,1999-04-26,SCKT,7.19,7.19,5.94,6.88,6.88,300
7054808,1999-04-27,SCKT,6.88,6.88,5.94,5.94,5.94,700
7054809,1999-04-28,SCKT,7.19,7.19,6.25,6.25,6.25,400
7054810,1999-04-29,SCKT,5.94,7.19,5.94,5.94,5.94,300
7054811,1999-04-30,SCKT,7.19,7.19,7.19,7.19,7.19,300
7054812,1999-05-03,SCKT,7.19,7.19,5.94,7.19,7.19,600
7054813,1999-05-04,SCKT,7.19,7.19,7.19,7.19,7.19,0
7054814,1999-05-05,SCKT,5.94,7.19,5.94,7.19,7.19,200
7054815,1999-05-06,SCKT,7.19,7.19,7.19,7.19,7.19,0
7054816,1999-05-07,SCKT,5.94,5.94,5.94,5.94,5.94,0
7054817,1999-05-10,SCKT,5.94,6.25,5.94,6.25,6.25,1000
7054818,1999-05-11,SCKT,6.56,6.56,6.56,6.56,6.56,200
7054819,1999-05-12,SCKT,6.56,6.56,5.94,6.56,6.56,600
7054820,1999-05-13,SCKT,6.88,6.88,5.94,6.88,6.88,700
7054821,1999-05-14,SCKT,6.88,6.88,6.88,6.88,6.88,300
7054822,1999-05-17,SCKT,7.19,7.19,7.19,7.19,7.19,800
7054823,1999-05-18,SCKT,8.13,8.13,6.56,6.56,6.56,500
7054824,1999-05-19,SCKT,6.56,7.5,6.25,7.5,7.5,1200
7054825,1999-05-20,SCKT,7.5,7.5,5.94,7.5,7.5,1400
7054826,1999-05-21,SCKT,5.94,5.94,5.94,5.94,5.94,100
7054827,1999-05-24,SCKT,5.94,6.25,5.94,6.25,6.25,500
7054828,1999-05-25,SCKT,7.19,7.19,7.19,7.19,7.19,100
7054829,1999-05-26,SCKT,7.19,7.19,7.19,7.19,7.19,0
7054830,1999-05-27,SCKT,5.63,6.88,5.63,5.63,5.63,1700
7054831,1999-05-28,SCKT,6.25,6.25,5.31,5.63,5.63,4200
