,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7535105,2018-05-24,SRRK,14.25,16.0,14.0,15.5,15.5,1862398
7535106,2018-05-25,SRRK,15.21,15.73,14.7,15.0,15.0,169700
7535107,2018-05-29,SRRK,14.94,16.73,14.78,16.12,16.12,141200
7535108,2018-05-30,SRRK,16.0,16.57,15.81,16.5,16.5,186500
7535109,2018-05-31,SRRK,16.61,17.8,16.55,17.49,17.49,75600
7535110,2018-06-01,SRRK,17.63,19.95,17.28,19.65,19.65,123900
7535111,2018-06-04,SRRK,19.94,19.94,16.8,17.5,17.5,58100
7535112,2018-06-05,SRRK,17.25,18.0,17.0,17.25,17.25,19400
7535113,2018-06-06,SRRK,17.45,17.96,16.84,17.44,17.44,20400
7535114,2018-06-07,SRRK,16.53,19.3,16.51,19.3,19.3,24700
7535115,2018-06-08,SRRK,19.0,19.17,18.05,18.76,18.76,37900
7535116,2018-06-11,SRRK,18.74,19.87,17.04,17.31,17.31,38900
7535117,2018-06-12,SRRK,17.52,18.74,17.4,17.61,17.61,20700
7535118,2018-06-13,SRRK,17.98,19.2,17.4,18.92,18.92,84100
7535119,2018-06-14,SRRK,17.82,19.7,17.82,18.7,18.7,69900
7535120,2018-06-15,SRRK,18.7,19.0,18.05,18.8,18.8,44300
7535121,2018-06-25,SRRK,21.49,21.72,18.5,19.75,19.75,96600
7535122,2018-06-26,SRRK,19.89,22.53,18.61,21.76,21.76,44700
7535123,2018-06-27,SRRK,21.64,21.83,18.0,18.48,18.48,51100
7535124,2018-06-28,SRRK,18.34,19.29,15.62,15.8,15.8,89200
7535125,2018-06-29,SRRK,15.92,17.84,15.6,15.6,15.6,95500
7535126,2018-07-02,SRRK,15.69,17.65,14.13,14.83,14.83,124900
7535127,2018-07-03,SRRK,14.86,15.63,14.8,15.0,15.0,18600
7535128,2018-07-05,SRRK,15.1,15.9,14.79,15.01,15.01,64800
7535129,2018-07-06,SRRK,15.46,15.98,15.0,15.11,15.11,59176
7535130,2018-07-09,SRRK,15.23,15.79,14.56,14.81,14.81,77600
7535131,2018-07-10,SRRK,14.88,16.59,14.81,15.39,15.39,98300
7535132,2018-07-11,SRRK,15.25,16.18,15.03,15.66,15.66,12300
7535133,2018-07-12,SRRK,15.66,16.78,15.26,15.95,15.95,41700
7535134,2018-07-13,SRRK,15.94,17.7,15.48,15.78,15.78,59100
7535135,2018-07-16,SRRK,15.79,16.95,15.21,15.3,15.3,82000
7535136,2018-07-17,SRRK,15.46,15.8,15.05,15.2,15.2,16700
7535137,2018-07-18,SRRK,15.23,15.59,15.05,15.25,15.25,20300
7535138,2018-07-19,SRRK,15.2,15.94,15.05,15.4,15.4,13400
7535139,2018-07-20,SRRK,15.32,15.75,15.23,15.41,15.41,40200
7535140,2018-07-24,SRRK,15.09,15.5,15.05,15.13,15.13,21100
7535141,2018-07-25,SRRK,15.15,15.62,15.15,15.4,15.4,5000
7535142,2018-07-26,SRRK,15.86,15.9,15.25,15.54,15.54,25800
7535143,2018-07-27,SRRK,16.0,16.0,15.6,15.6,15.6,12200
7535144,2018-07-30,SRRK,15.65,15.85,15.44,15.7,15.7,4400
7535145,2018-07-31,SRRK,15.92,17.11,15.7,16.24,16.24,11800
7535146,2018-08-01,SRRK,16.5,16.78,16.09,16.64,16.64,42200
7535147,2018-08-02,SRRK,16.5,16.5,14.03,15.65,15.65,54300
7535148,2018-08-03,SRRK,15.7,15.7,15.1,15.3,15.3,9372
7535149,2018-08-10,SRRK,13.86,15.08,13.58,14.38,14.38,35900
7535150,2018-08-17,SRRK,14.85,15.4,14.27,15.03,15.03,30848
7535151,2018-08-24,SRRK,19.9,20.93,19.27,19.69,19.69,8403
7535152,2018-08-29,SRRK,20.0,20.25,18.83,18.84,18.84,34400
7535153,2018-08-30,SRRK,18.56,18.66,16.2,17.15,17.15,93300
7535154,2018-08-31,SRRK,17.19,17.68,15.55,17.01,17.01,64600
