,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7551616,2005-11-03,SSKN,50.9,53.0,50.0,51.2,51.2,1700
7551617,2005-11-04,SSKN,52.4,55.5,50.0,55.5,55.5,11000
7551618,2005-11-07,SSKN,57.5,59.5,53.2,58.9,58.9,3600
7551619,2005-11-08,SSKN,60.5,61.6,58.2,61.4,61.4,1000
7551620,2005-11-09,SSKN,61.9,62.7,55.0,61.0,61.0,2100
7551621,2005-11-10,SSKN,61.6,64.5,58.6,62.9,62.9,1600
7551622,2005-11-11,SSKN,62.0,66.0,62.0,65.0,65.0,1700
7551623,2005-11-14,SSKN,67.8,78.7,67.6,71.4,71.4,1900
7551624,2005-11-15,SSKN,78.5,80.0,73.5,77.5,77.5,2500
7551625,2005-11-16,SSKN,80.0,80.0,75.0,80.0,80.0,3000
7551626,2005-11-17,SSKN,79.4,80.0,78.0,79.0,79.0,800
7551627,2005-11-18,SSKN,80.0,80.0,73.5,73.5,73.5,1200
7551628,2005-11-21,SSKN,73.0,73.0,65.4,70.0,70.0,1500
7551629,2005-11-22,SSKN,79.0,79.0,73.2,78.9,78.9,1000
7551630,2005-11-23,SSKN,78.0,80.0,70.0,78.1,78.1,600
7551631,2005-11-25,SSKN,78.0,78.0,78.0,78.0,78.0,0
7551632,2005-11-28,SSKN,77.7,79.9,69.0,79.9,79.9,1400
7551633,2005-11-29,SSKN,80.0,80.0,70.0,74.0,74.0,1600
7551634,2005-11-30,SSKN,73.5,75.0,73.5,75.0,75.0,400
7551635,2005-12-01,SSKN,72.5,72.5,67.6,68.0,68.0,2000
7551636,2005-12-02,SSKN,74.8,74.8,66.5,68.5,68.5,1200
7551637,2005-12-05,SSKN,66.0,70.3,65.0,68.0,68.0,1100
7551638,2005-12-06,SSKN,70.0,70.0,67.5,67.5,67.5,400
7551639,2005-12-07,SSKN,67.3,69.1,64.6,64.6,64.6,400
7551640,2005-12-08,SSKN,73.0,77.0,69.1,72.0,72.0,2700
7551641,2005-12-09,SSKN,71.1,73.8,64.6,69.6,69.6,1000
7551642,2005-12-12,SSKN,69.2,70.1,62.6,65.5,65.5,2700
7551643,2005-12-13,SSKN,65.0,66.5,57.1,59.6,59.6,3400
7551644,2005-12-14,SSKN,61.3,61.3,55.6,56.8,56.8,3800
7551645,2005-12-15,SSKN,56.6,57.4,52.5,54.8,54.8,2200
7551646,2005-12-16,SSKN,54.8,55.0,52.5,55.0,55.0,2200
7551647,2005-12-19,SSKN,54.6,56.0,53.5,53.5,53.5,400
7551648,2005-12-20,SSKN,53.3,55.0,52.5,53.2,53.2,1100
7551649,2005-12-21,SSKN,56.8,56.8,54.9,54.9,54.9,100
7551650,2005-12-22,SSKN,55.2,55.7,55.0,55.7,55.7,0
7551651,2005-12-23,SSKN,55.0,57.5,55.0,55.8,55.8,200
7551652,2005-12-27,SSKN,54.9,56.9,54.6,56.9,56.9,400
7551653,2005-12-28,SSKN,54.5,54.5,52.6,53.4,53.4,0
7551654,2005-12-29,SSKN,54.2,55.0,54.2,54.5,54.5,200
7551655,2005-12-30,SSKN,53.8,53.8,53.3,53.3,53.3,200
7551656,2006-01-03,SSKN,53.3,58.4,52.2,52.2,52.2,1700
7551657,2006-01-04,SSKN,55.7,57.2,53.7,56.0,56.0,500
7551658,2006-01-05,SSKN,55.2,58.8,52.2,58.7,58.7,700
7551659,2006-01-06,SSKN,56.0,59.9,55.8,59.2,59.2,300
7551660,2006-01-09,SSKN,57.0,61.2,57.0,60.0,60.0,300
7551661,2006-01-10,SSKN,61.0,61.0,60.0,60.0,60.0,600
7551662,2006-01-11,SSKN,59.3,59.3,56.1,57.0,57.0,200
7551663,2006-01-12,SSKN,58.9,58.9,58.0,58.0,58.0,0
7551664,2006-01-13,SSKN,55.6,59.8,54.2,55.5,55.5,100
7551665,2006-01-17,SSKN,53.6,55.2,53.5,53.5,53.5,900
7551666,2006-01-18,SSKN,53.5,53.5,52.2,52.6,52.6,900
7551667,2006-01-19,SSKN,53.0,59.4,52.0,56.0,56.0,700
7551668,2006-01-20,SSKN,56.0,56.0,55.0,56.0,56.0,100
7551669,2006-01-23,SSKN,56.0,56.2,54.1,54.1,54.1,300
7551670,2006-01-24,SSKN,53.2,53.4,53.2,53.4,53.4,0
7551671,2006-01-25,SSKN,53.1,54.9,53.0,54.9,54.9,0
7551672,2006-01-26,SSKN,54.2,54.2,54.2,54.2,54.2,100
7551673,2006-01-27,SSKN,53.0,54.0,52.5,54.0,54.0,0
7551674,2006-01-30,SSKN,55.0,58.0,54.6,56.6,56.6,700
7551675,2006-01-31,SSKN,57.5,60.0,53.6,53.6,53.6,100
7551676,2006-02-01,SSKN,53.6,53.6,53.6,53.6,53.6,0
7551677,2006-02-02,SSKN,54.5,54.5,54.2,54.2,54.2,400
7551678,2006-02-03,SSKN,54.0,54.0,54.0,54.0,54.0,2000
7551679,2006-02-06,SSKN,54.4,54.4,54.4,54.4,54.4,0
7551680,2006-02-07,SSKN,54.0,54.0,54.0,54.0,54.0,0
7551681,2006-02-08,SSKN,54.0,56.9,54.0,56.9,56.9,200
7551682,2006-02-09,SSKN,56.7,56.7,55.6,55.6,55.6,100
7551683,2006-02-10,SSKN,55.5,55.5,55.0,55.0,55.0,200
7551684,2006-02-13,SSKN,54.8,54.8,53.6,53.8,53.8,100
7551685,2006-02-14,SSKN,53.8,54.5,53.8,54.0,54.0,300
7551686,2006-02-15,SSKN,55.3,55.3,55.3,55.3,55.3,0
7551687,2006-02-16,SSKN,54.6,54.6,54.2,54.5,54.5,0
7551688,2006-02-17,SSKN,54.1,61.0,54.1,60.1,60.1,2500
7551689,2006-02-21,SSKN,61.0,61.0,58.4,58.4,58.4,800
7551690,2006-02-22,SSKN,58.0,58.0,55.1,58.0,58.0,0
7551691,2006-02-23,SSKN,58.0,58.0,58.0,58.0,58.0,0
7551692,2006-02-24,SSKN,58.0,58.0,58.0,58.0,58.0,0
7551693,2006-02-27,SSKN,56.8,58.3,55.2,55.2,55.2,500
7551694,2006-02-28,SSKN,55.2,55.2,55.2,55.2,55.2,0
7551695,2006-03-01,SSKN,55.2,55.2,55.2,55.2,55.2,0
7551696,2006-03-02,SSKN,56.0,56.0,55.9,56.0,56.0,600
7551697,2006-03-03,SSKN,55.2,55.2,55.2,55.2,55.2,0
7551698,2006-03-06,SSKN,55.2,55.2,55.2,55.2,55.2,0
7551699,2006-03-07,SSKN,57.4,60.9,57.4,58.4,58.4,1400
7551700,2006-03-08,SSKN,58.5,61.5,58.5,60.2,60.2,600
7551701,2006-03-09,SSKN,62.0,62.0,57.5,60.9,60.9,500
7551702,2006-03-10,SSKN,61.0,61.0,61.0,61.0,61.0,200
7551703,2006-03-13,SSKN,58.7,58.7,55.1,55.1,55.1,300
7551704,2006-03-14,SSKN,58.1,58.1,55.0,55.0,55.0,500
7551705,2006-03-15,SSKN,56.0,57.5,56.0,56.5,56.5,1300
7551706,2006-03-16,SSKN,56.5,56.5,54.9,56.5,56.5,1300
7551707,2006-03-17,SSKN,56.6,60.0,56.5,56.6,56.6,1100
7551708,2006-03-20,SSKN,57.7,60.0,57.7,59.7,59.7,200
7551709,2006-03-21,SSKN,57.7,60.0,57.7,58.5,58.5,0
7551710,2006-03-22,SSKN,60.0,60.0,58.1,58.1,58.1,0
7551711,2006-03-23,SSKN,58.7,58.7,58.7,58.7,58.7,0
7551712,2006-03-24,SSKN,58.7,58.7,58.7,58.7,58.7,0
7551713,2006-03-27,SSKN,60.0,60.0,59.8,59.8,59.8,100
7551714,2006-03-28,SSKN,59.8,59.9,58.6,58.6,58.6,200
7551715,2006-03-29,SSKN,58.5,60.0,56.0,57.0,57.0,300
7551716,2006-03-30,SSKN,56.1,58.3,56.1,58.3,58.3,200
7551717,2006-03-31,SSKN,58.2,59.0,58.2,59.0,59.0,200
7551718,2006-04-03,SSKN,57.1,58.8,57.1,58.8,58.8,0
7551719,2006-04-04,SSKN,57.5,57.5,55.2,56.5,56.5,600
7551720,2006-04-05,SSKN,56.1,56.5,56.1,56.2,56.2,0
7551721,2006-04-06,SSKN,56.5,59.5,56.5,58.7,58.7,800
7551722,2006-04-07,SSKN,59.0,60.0,56.0,56.0,56.0,34700
