,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8603953,2013-07-22,WHFBL,23.3,23.3,23.0,23.25,20.76,1700
8603954,2013-07-23,WHFBL,24.8,24.8,24.5,24.55,21.92,76300
8603955,2013-07-24,WHFBL,24.6,24.7,24.6,24.6,21.96,5200
8603956,2013-07-25,WHFBL,24.7,24.7,24.7,24.7,22.05,1400
8603957,2013-07-26,WHFBL,24.5,24.7,24.5,24.7,22.05,3300
8603958,2013-07-29,WHFBL,24.7,24.7,23.76,24.5,21.87,9200
8603959,2013-07-30,WHFBL,24.7,24.7,24.5,24.5,21.87,13900
8603960,2013-07-31,WHFBL,24.4,24.74,24.4,24.65,22.01,9800
8603961,2013-08-01,WHFBL,24.4,24.65,23.76,24.5,21.87,10400
8603962,2013-08-02,WHFBL,24.5,24.75,24.4,24.75,22.1,42500
8603963,2013-08-05,WHFBL,24.55,24.75,24.55,24.75,22.1,46300
8603964,2013-08-06,WHFBL,24.75,24.75,24.75,24.75,22.1,600
8603965,2013-08-07,WHFBL,24.75,24.77,24.61,24.75,22.1,11400
8603966,2013-08-08,WHFBL,24.75,24.75,24.74,24.75,22.1,14600
8603967,2013-08-09,WHFBL,24.65,24.95,24.64,24.95,22.27,24300
8603968,2013-08-12,WHFBL,24.85,24.85,24.8,24.8,22.14,8000
8603969,2013-08-13,WHFBL,24.7,24.8,24.7,24.8,22.14,2500
8603970,2013-08-14,WHFBL,24.85,24.85,24.42,24.8,22.14,22600
8603971,2013-08-15,WHFBL,23.77,24.8,23.75,24.8,22.14,2700
8603972,2013-08-16,WHFBL,24.95,24.95,24.8,24.84,22.18,7600
8603973,2013-08-19,WHFBL,24.65,24.8,24.26,24.26,21.66,4000
8603974,2013-08-20,WHFBL,24.5,24.8,24.4,24.8,22.14,4200
8603975,2013-08-21,WHFBL,24.69,24.69,24.32,24.32,21.71,3900
8603976,2013-08-22,WHFBL,24.5,24.5,24.49,24.5,21.87,2100
