,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
56963,1990-01-02,ABEO,12500.0,13750.0,12500.0,12500.0,11459.65,0
56964,1990-01-03,ABEO,12500.0,15000.0,12500.0,12500.0,11459.65,0
56965,1990-01-04,ABEO,13750.0,13750.0,13750.0,13750.0,12605.61,0
56966,1990-01-05,ABEO,13750.0,15000.0,13750.0,13750.0,12605.61,0
56967,1990-01-08,ABEO,15000.0,16250.0,15000.0,15000.0,13751.58,0
56968,1990-01-09,ABEO,15000.0,16250.0,15000.0,15000.0,13751.58,0
56969,1990-01-10,ABEO,15000.0,15000.0,13750.0,13750.0,12605.61,0
56970,1990-01-11,ABEO,13750.0,16250.0,13750.0,13750.0,12605.61,0
56971,1990-01-12,ABEO,13750.0,15000.0,13750.0,13750.0,12605.61,0
56972,1990-01-15,ABEO,13750.0,13750.0,12500.0,12500.0,11459.65,0
56973,1990-01-16,ABEO,12500.0,15000.0,12500.0,12500.0,11459.65,0
56974,1990-01-17,ABEO,12500.0,15000.0,12500.0,12500.0,11459.65,0
56975,1990-01-18,ABEO,12500.0,15000.0,12500.0,12500.0,11459.65,0
56976,1990-01-19,ABEO,12500.0,13750.0,12500.0,12500.0,11459.65,0
56977,1990-01-22,ABEO,12500.0,13750.0,12500.0,12500.0,11459.65,0
56978,1990-01-23,ABEO,12500.0,13750.0,12500.0,12500.0,11459.65,0
56979,1990-01-24,ABEO,12500.0,12500.0,11250.0,11250.0,10313.68,0
56980,1990-01-25,ABEO,11250.0,12500.0,11250.0,11250.0,10313.68,0
56981,1990-01-26,ABEO,11250.0,12500.0,10000.0,10000.0,9167.72,0
56982,1990-01-29,ABEO,10000.0,12500.0,10000.0,10000.0,9167.72,0
56983,1990-01-30,ABEO,10000.0,12500.0,10000.0,10000.0,9167.72,0
56984,1990-01-31,ABEO,11250.0,12500.0,11250.0,11250.0,10313.68,0
56985,1990-02-01,ABEO,11250.0,12500.0,11250.0,11250.0,10313.68,0
56986,1990-02-02,ABEO,11250.0,12500.0,11250.0,11250.0,10313.68,0
56987,1990-02-05,ABEO,12500.0,13750.0,12500.0,12500.0,11459.65,0
56988,1990-02-06,ABEO,12500.0,13750.0,12500.0,12500.0,11459.65,0
