,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
123806,1994-04-04,ACNB,21.09,21.09,21.09,21.09,6.77,200
123807,1994-04-05,ACNB,21.09,21.09,21.09,21.09,6.77,400
123808,1994-04-06,ACNB,21.32,21.54,21.09,21.54,6.92,3400
123809,1994-04-07,ACNB,21.54,21.54,21.32,21.32,6.84,6600
123810,1994-04-08,ACNB,21.32,21.32,21.09,21.09,6.77,1000
123811,1994-04-11,ACNB,21.54,21.54,21.32,21.32,6.84,1200
123812,1994-04-12,ACNB,21.54,21.54,21.09,21.09,6.77,11400
123813,1994-04-13,ACNB,21.54,21.77,21.09,21.09,6.77,6800
123814,1994-04-14,ACNB,21.43,21.43,21.43,21.43,6.88,1000
123815,1994-04-15,ACNB,21.26,22.11,21.26,22.11,7.1,1000
123816,1994-04-18,ACNB,21.54,22.0,21.54,21.77,6.99,1400
123817,1994-04-19,ACNB,21.32,21.77,21.32,21.32,6.84,1400
123818,1994-04-20,ACNB,21.32,21.32,21.32,21.32,6.84,0
123819,1994-04-21,ACNB,21.54,21.54,21.54,21.54,6.92,1400
123820,1994-04-22,ACNB,21.54,21.54,21.54,21.54,6.92,0
123821,1994-04-25,ACNB,21.54,21.88,21.54,21.88,7.03,400
123822,1994-04-26,ACNB,21.54,21.54,21.54,21.54,6.92,2600
123823,1994-04-28,ACNB,21.54,21.54,21.54,21.54,6.92,0
123824,1994-04-29,ACNB,21.54,21.54,21.54,21.54,6.92,0
123825,1994-05-02,ACNB,21.54,21.54,21.54,21.54,6.92,0
123826,1994-05-03,ACNB,21.66,21.88,21.32,21.77,6.99,8000
123827,1994-05-04,ACNB,21.54,21.77,21.4,21.77,6.99,9200
123828,1994-05-05,ACNB,21.77,21.77,21.77,21.77,6.99,0
123829,1994-05-06,ACNB,21.77,21.77,21.77,21.77,6.99,0
123830,1994-05-09,ACNB,21.77,21.77,21.77,21.77,6.99,0
123831,1994-05-10,ACNB,21.77,21.77,21.77,21.77,6.99,200
123832,1994-05-11,ACNB,21.77,21.77,21.54,21.66,6.95,800
123833,1994-05-12,ACNB,21.32,21.77,21.32,21.77,6.99,800
123834,1994-05-13,ACNB,21.77,21.77,21.77,21.77,6.99,0
123835,1994-05-16,ACNB,21.32,21.54,21.32,21.54,6.92,400
123836,1994-05-17,ACNB,21.54,21.54,21.54,21.54,6.92,0
123837,1994-05-18,ACNB,21.66,21.66,21.66,21.66,6.95,400
123838,1994-05-19,ACNB,21.77,21.77,21.43,21.43,6.88,3800
123839,1994-05-20,ACNB,21.43,21.43,21.43,21.43,6.88,0
123840,1994-05-23,ACNB,21.43,21.43,21.43,21.43,6.88,0
123841,1994-05-24,ACNB,21.77,21.77,21.77,21.77,6.99,1400
123842,1994-05-25,ACNB,21.77,21.77,21.77,21.77,6.99,0
123843,1994-05-26,ACNB,21.32,21.32,21.32,21.32,6.84,200
123844,1994-05-27,ACNB,21.54,21.54,21.43,21.43,6.98,4600
123845,1994-05-31,ACNB,21.54,21.54,21.54,21.54,7.01,3800
123846,1994-06-01,ACNB,21.32,21.54,21.32,21.54,7.01,1400
123847,1994-06-02,ACNB,21.77,21.77,21.54,21.54,7.01,1400
123848,1994-06-03,ACNB,21.32,21.32,21.32,21.32,6.94,2400
123849,1994-06-06,ACNB,21.32,21.32,21.32,21.32,6.94,0
123850,1994-06-07,ACNB,21.32,21.32,21.32,21.32,6.94,400
123851,1994-06-08,ACNB,21.49,21.49,21.49,21.49,6.99,1000
123852,1994-06-09,ACNB,21.49,21.49,21.49,21.49,6.99,0
123853,1994-06-10,ACNB,21.32,21.66,21.32,21.54,7.01,4800
123854,1994-06-13,ACNB,21.32,21.32,21.32,21.32,6.94,200
123855,1994-06-14,ACNB,21.77,21.77,21.32,21.32,6.94,800
123856,1994-06-15,ACNB,21.54,21.77,21.54,21.77,7.09,1000
123857,1994-06-16,ACNB,21.32,21.32,21.32,21.32,6.94,3400
123858,1994-06-17,ACNB,21.32,21.32,21.32,21.32,6.94,800
123859,1994-06-20,ACNB,21.77,21.77,21.77,21.77,7.09,3200
123860,1994-06-21,ACNB,21.77,21.77,21.77,21.77,7.09,0
123861,1994-06-22,ACNB,21.77,21.77,21.54,21.54,7.01,1200
123862,1994-06-23,ACNB,21.54,21.54,21.54,21.54,7.01,0
123863,1994-06-24,ACNB,21.32,21.54,21.32,21.54,7.01,2400
123864,1994-06-27,ACNB,21.32,21.54,21.32,21.54,7.01,1600
123865,1994-06-28,ACNB,21.54,21.54,21.09,21.54,7.01,6300
123866,1994-06-29,ACNB,21.43,21.54,21.09,21.09,6.87,2200
123867,1994-06-30,ACNB,21.09,21.09,20.98,21.09,6.87,3600
123868,1994-07-01,ACNB,21.32,21.32,21.32,21.32,6.94,600
123869,1994-07-05,ACNB,21.32,21.32,21.32,21.32,6.94,0
123870,1994-07-06,ACNB,21.32,21.32,21.32,21.32,6.94,0
123871,1994-07-07,ACNB,21.09,21.09,20.86,20.86,6.79,3200
123872,1994-07-08,ACNB,21.09,21.32,20.86,20.86,6.79,3000
123873,1994-07-11,ACNB,21.09,21.09,21.09,21.09,6.87,800
123874,1994-07-12,ACNB,21.09,21.32,21.09,21.32,6.94,800
123875,1994-07-13,ACNB,20.98,21.09,20.98,21.09,6.87,1400
123876,1994-07-14,ACNB,21.09,21.09,20.98,20.98,6.83,1400
123877,1994-07-15,ACNB,21.32,21.32,20.86,21.32,6.94,1200
123878,1994-07-18,ACNB,21.32,21.32,21.32,21.32,6.94,0
123879,1994-07-19,ACNB,21.32,21.32,21.32,21.32,6.94,0
123880,1994-07-20,ACNB,20.86,20.86,20.86,20.86,6.79,2800
123881,1994-07-21,ACNB,20.86,20.86,20.86,20.86,6.79,0
123882,1994-07-22,ACNB,20.86,20.86,20.86,20.86,6.79,0
123883,1994-07-25,ACNB,20.86,20.86,20.86,20.86,6.79,0
123884,1994-07-26,ACNB,20.86,20.86,20.86,20.86,6.79,0
123885,1994-07-27,ACNB,20.86,20.86,20.86,20.86,6.79,0
123886,1994-07-28,ACNB,20.98,20.98,20.98,20.98,6.83,200
123887,1994-07-29,ACNB,20.98,20.98,20.98,20.98,6.83,0
123888,1994-08-01,ACNB,20.98,20.98,20.98,20.98,6.83,0
123889,1994-08-02,ACNB,20.98,20.98,20.98,20.98,6.83,0
123890,1994-08-03,ACNB,20.98,20.98,20.98,20.98,6.83,0
123891,1994-08-04,ACNB,20.92,20.92,20.92,20.92,6.81,400
123892,1994-08-05,ACNB,20.92,20.92,20.92,20.92,6.81,0
123893,1994-08-08,ACNB,20.92,20.92,20.92,20.92,6.81,0
123894,1994-08-09,ACNB,20.86,20.86,20.86,20.86,6.79,200
123895,1994-08-10,ACNB,20.86,20.86,20.86,20.86,6.79,0
123896,1994-08-11,ACNB,20.86,20.86,20.86,20.86,6.79,0
123897,1994-08-12,ACNB,21.09,21.09,21.09,21.09,6.87,200
123898,1994-08-15,ACNB,21.09,21.09,21.09,21.09,6.87,0
123899,1994-08-16,ACNB,21.09,21.09,21.09,21.09,6.87,0
123900,1994-08-17,ACNB,21.09,21.09,21.09,21.09,6.87,0
123901,1994-08-18,ACNB,20.63,20.63,20.63,20.63,6.72,400
123902,1994-08-19,ACNB,20.63,20.86,20.63,20.63,6.72,1400
123903,1994-08-22,ACNB,20.41,20.41,20.41,20.41,6.64,400
123904,1994-08-23,ACNB,20.41,20.86,20.41,20.86,6.79,3200
123905,1994-08-24,ACNB,21.09,21.09,20.86,20.86,6.79,400
123906,1994-08-25,ACNB,20.41,20.41,20.41,20.41,6.64,800
123907,1994-08-26,ACNB,20.41,20.41,20.41,20.41,6.64,0
123908,1994-08-29,ACNB,20.41,20.41,20.41,20.41,6.64,0
123909,1994-08-30,ACNB,20.41,20.41,20.41,20.41,6.64,0
123910,1994-08-31,ACNB,20.41,20.41,20.41,20.41,6.74,0
123911,1994-09-01,ACNB,20.18,20.41,20.18,20.41,6.74,2400
123912,1994-09-02,ACNB,20.41,20.41,20.41,20.41,6.74,1000
123913,1994-09-06,ACNB,20.41,20.41,20.41,20.41,6.74,1000
123914,1994-09-07,ACNB,20.41,20.41,20.41,20.41,6.74,0
123915,1994-09-08,ACNB,19.95,20.18,19.95,20.18,6.67,2800
123916,1994-09-09,ACNB,19.73,20.18,19.73,20.18,6.67,400
123917,1994-09-12,ACNB,20.18,20.18,20.18,20.18,6.67,0
123918,1994-09-13,ACNB,19.73,19.73,19.73,19.73,6.52,600
123919,1994-09-14,ACNB,19.73,19.73,19.73,19.73,6.52,0
123920,1994-09-15,ACNB,19.73,19.73,19.73,19.73,6.52,0
123921,1994-09-16,ACNB,19.73,19.73,19.73,19.73,6.52,0
123922,1994-09-19,ACNB,20.18,20.18,20.18,20.18,6.67,200
123923,1994-09-20,ACNB,19.5,19.5,19.5,19.5,6.44,200
123924,1994-09-21,ACNB,19.73,19.73,19.5,19.5,6.44,1800
123925,1994-09-22,ACNB,19.5,19.5,19.5,19.5,6.44,400
123926,1994-09-23,ACNB,19.5,19.5,19.5,19.5,6.44,0
123927,1994-09-26,ACNB,19.27,19.27,19.27,19.27,6.37,400
123928,1994-09-27,ACNB,19.27,19.27,19.27,19.27,6.37,0
123929,1994-09-28,ACNB,19.39,19.39,19.39,19.39,6.41,400
123930,1994-09-29,ACNB,19.39,19.39,19.39,19.39,6.41,0
123931,1994-09-30,ACNB,19.39,19.39,19.39,19.39,6.41,0
123932,1994-10-03,ACNB,19.39,19.39,19.39,19.39,6.41,0
123933,1994-10-04,ACNB,19.05,19.05,18.59,18.59,6.14,4400
123934,1994-10-05,ACNB,18.59,18.59,18.59,18.59,6.14,0
