,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
402928,1990-01-02,AMGN,1.03,1.07,1.01,1.07,0.92,19267200
402929,1990-01-03,AMGN,1.08,1.1,1.06,1.1,0.94,29726400
402930,1990-01-04,AMGN,1.11,1.13,1.1,1.12,0.96,14784000
402931,1990-01-05,AMGN,1.12,1.15,1.11,1.14,0.97,19401600
402932,1990-01-08,AMGN,1.14,1.14,1.1,1.13,0.97,21072000
402933,1990-01-09,AMGN,1.14,1.16,1.1,1.11,0.95,11304000
402934,1990-01-10,AMGN,1.09,1.13,1.09,1.11,0.95,17654400
402935,1990-01-11,AMGN,1.11,1.11,1.09,1.09,0.93,5755200
402936,1990-01-12,AMGN,1.06,1.08,1.05,1.07,0.92,12806400
402937,1990-01-15,AMGN,1.07,1.09,1.06,1.08,0.92,5712000
402938,1990-01-16,AMGN,1.06,1.13,1.05,1.11,0.95,11812800
402939,1990-01-17,AMGN,1.11,1.13,1.1,1.11,0.95,8788800
402940,1990-01-18,AMGN,1.09,1.1,1.07,1.09,0.93,11678400
402941,1990-01-19,AMGN,1.1,1.1,1.09,1.1,0.94,5241600
402942,1990-01-22,AMGN,1.1,1.1,1.06,1.07,0.91,7353600
402943,1990-01-23,AMGN,1.07,1.08,1.06,1.08,0.92,9576000
402944,1990-01-24,AMGN,1.05,1.08,1.03,1.08,0.92,28905600
402945,1990-01-25,AMGN,1.09,1.1,1.08,1.09,0.94,17265600
402946,1990-01-26,AMGN,1.08,1.1,1.06,1.08,0.92,16171200
402947,1990-01-29,AMGN,1.09,1.1,1.07,1.08,0.92,9691200
402948,1990-01-30,AMGN,1.08,1.08,0.97,0.98,0.84,40521600
402949,1990-01-31,AMGN,0.99,1.0,0.96,0.97,0.83,25156800
402950,1990-02-01,AMGN,0.96,0.97,0.9,0.93,0.8,38918400
402951,1990-02-02,AMGN,0.92,1.03,0.91,1.01,0.86,50395200
402952,1990-02-05,AMGN,1.02,1.06,1.01,1.04,0.89,20452800
402953,1990-02-06,AMGN,1.04,1.04,0.99,1.01,0.86,10800000
402954,1990-02-07,AMGN,1.02,1.07,1.01,1.07,0.91,21940800
402955,1990-02-08,AMGN,1.08,1.13,1.06,1.11,0.95,36892800
402956,1990-02-09,AMGN,1.1,1.13,1.07,1.09,0.93,14788800
402957,1990-02-12,AMGN,1.09,1.11,1.07,1.09,0.94,10108800
402958,1990-02-13,AMGN,1.1,1.1,1.07,1.08,0.93,8476800
402959,1990-02-14,AMGN,1.08,1.09,1.06,1.08,0.93,9321600
402960,1990-02-15,AMGN,1.09,1.16,1.08,1.16,0.99,26539200
402961,1990-02-16,AMGN,1.16,1.18,1.15,1.16,0.99,14035200
402962,1990-02-20,AMGN,1.15,1.17,1.14,1.17,1.0,8865600
402963,1990-02-21,AMGN,1.15,1.19,1.14,1.19,1.02,23328000
402964,1990-02-22,AMGN,1.19,1.2,1.15,1.16,0.99,11990400
402965,1990-02-23,AMGN,1.14,1.17,1.13,1.15,0.99,10027200
402966,1990-02-26,AMGN,1.14,1.18,1.14,1.18,1.01,9825600
402967,1990-02-27,AMGN,1.19,1.21,1.18,1.2,1.03,10689600
402968,1990-02-28,AMGN,1.2,1.21,1.18,1.2,1.03,10656000
