,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
788506,2018-01-16,AUBN,38.39,38.39,38.39,38.39,38.13,700
788507,2018-01-17,AUBN,37.71,37.96,37.7,37.96,37.7,6100
788508,2018-01-18,AUBN,37.96,37.96,37.96,37.96,37.7,0
788509,2018-01-19,AUBN,37.86,37.86,37.86,37.86,37.6,300
788510,2018-01-22,AUBN,37.6,38.09,37.6,38.09,37.83,1100
788511,2018-01-23,AUBN,37.8,37.8,37.8,37.8,37.54,200
788512,2018-01-24,AUBN,38.5,38.5,37.9,37.95,37.69,900
788513,2018-01-25,AUBN,38.09,38.09,37.8,37.8,37.54,600
788514,2018-01-26,AUBN,37.8,37.8,37.8,37.8,37.54,0
788515,2018-01-29,AUBN,38.05,38.05,37.6,37.6,37.35,1500
788516,2018-01-30,AUBN,37.6,37.6,37.6,37.6,37.35,0
788517,2018-01-31,AUBN,37.6,38.05,37.6,37.63,37.38,2200
788518,2018-02-01,AUBN,37.63,37.63,37.63,37.63,37.38,0
788519,2018-02-02,AUBN,37.6,37.6,37.6,37.6,37.35,800
788520,2018-02-05,AUBN,37.62,37.64,37.6,37.6,37.35,1600
788521,2018-02-06,AUBN,37.6,38.5,37.6,38.5,38.24,1400
788522,2018-02-07,AUBN,38.11,38.11,38.11,38.11,37.85,100
788523,2018-02-08,AUBN,38.0,38.65,38.0,38.65,38.39,500
788524,2018-02-09,AUBN,38.0,38.0,37.6,37.6,37.35,1400
788525,2018-02-12,AUBN,37.6,37.6,37.6,37.6,37.35,200
788526,2018-02-13,AUBN,37.5,37.5,37.5,37.5,37.25,700
788527,2018-02-14,AUBN,37.5,37.5,37.5,37.5,37.25,0
788528,2018-02-15,AUBN,37.6,37.6,37.6,37.6,37.35,100
788529,2018-02-16,AUBN,37.6,37.6,37.6,37.6,37.35,0
788530,2018-02-20,AUBN,37.6,37.6,37.6,37.6,37.35,0
788531,2018-02-21,AUBN,37.6,37.6,37.6,37.6,37.35,0
788532,2018-02-22,AUBN,37.98,37.98,36.67,36.67,36.42,500
788533,2018-02-23,AUBN,36.96,36.96,36.96,36.96,36.71,200
788534,2018-02-26,AUBN,36.38,36.96,36.38,36.96,36.71,400
788535,2018-02-27,AUBN,36.43,36.43,36.04,36.3,36.05,2700
788536,2018-02-28,AUBN,36.77,36.77,36.08,36.08,35.84,1000
788537,2018-03-01,AUBN,36.1,36.1,36.1,36.1,35.86,200
788538,2018-03-02,AUBN,36.04,36.04,35.37,35.6,35.36,1700
788539,2018-03-05,AUBN,36.8,36.99,36.08,36.99,36.74,500
788540,2018-03-06,AUBN,37.0,37.0,35.38,36.55,36.3,2500
788541,2018-03-07,AUBN,36.49,36.5,35.5,35.5,35.26,1100
788542,2018-03-08,AUBN,36.37,36.37,36.37,36.37,36.37,600
788543,2018-03-09,AUBN,35.56,35.56,35.56,35.56,35.56,300
788544,2018-03-12,AUBN,36.2,36.5,36.02,36.5,36.5,500
