,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1041801,1999-03-31,BKNG,451.5,517.5,438.0,497.25,497.25,1322900
1041802,1999-04-01,BKNG,550.5,552.0,475.5,483.0,483.0,483200
1041803,1999-04-05,BKNG,501.0,504.0,435.0,450.75,450.75,324900
1041804,1999-04-06,BKNG,452.25,484.13,420.0,474.0,474.0,353900
1041805,1999-04-07,BKNG,480.75,487.5,442.5,447.0,447.0,156600
1041806,1999-04-08,BKNG,447.0,450.75,423.75,435.0,435.0,147700
1041807,1999-04-09,BKNG,432.0,456.0,406.5,444.0,444.0,141900
1041808,1999-04-12,BKNG,420.75,475.5,414.0,459.38,459.38,182800
1041809,1999-04-13,BKNG,472.5,515.25,463.5,489.0,489.0,240000
1041810,1999-04-14,BKNG,554.25,595.5,510.0,558.75,558.75,627900
1041811,1999-04-15,BKNG,564.0,564.0,459.0,479.25,479.25,339100
1041812,1999-04-16,BKNG,486.0,510.0,438.0,488.25,488.25,176600
1041813,1999-04-19,BKNG,490.5,492.0,348.0,359.25,359.25,229100
1041814,1999-04-20,BKNG,359.25,414.0,348.0,405.75,405.75,264100
1041815,1999-04-21,BKNG,429.0,456.0,405.75,447.0,447.0,150400
1041816,1999-04-22,BKNG,486.38,490.5,441.0,458.25,458.25,145600
1041817,1999-04-23,BKNG,516.38,574.5,492.0,528.0,528.0,741700
1041818,1999-04-26,BKNG,626.63,728.63,604.5,724.5,724.5,1352300
1041819,1999-04-27,BKNG,738.75,840.0,720.75,778.13,778.13,1196700
1041820,1999-04-28,BKNG,749.63,806.63,696.0,726.0,726.0,448800
1041821,1999-04-29,BKNG,690.38,833.25,690.0,826.88,826.88,721900
1041822,1999-04-30,BKNG,909.0,990.0,810.0,974.25,974.25,845400
1041823,1999-05-03,BKNG,914.63,953.25,833.25,835.5,835.5,873300
1041824,1999-05-04,BKNG,855.75,900.0,783.75,804.0,804.0,692700
1041825,1999-05-05,BKNG,847.13,912.0,720.75,907.13,907.13,1264000
1041826,1999-05-06,BKNG,888.0,912.0,827.25,836.63,836.63,632000
1041827,1999-05-07,BKNG,865.5,865.88,777.75,783.94,783.94,569600
1041828,1999-05-10,BKNG,768.0,791.25,726.0,768.0,768.0,449100
1041829,1999-05-11,BKNG,807.0,808.5,738.0,738.0,738.0,286400
1041830,1999-05-12,BKNG,736.5,774.0,732.0,756.0,756.0,240500
1041831,1999-05-13,BKNG,779.25,792.0,726.0,729.0,729.0,187100
1041832,1999-05-14,BKNG,720.0,807.0,714.0,796.88,796.88,792600
1041833,1999-05-17,BKNG,789.0,793.88,744.0,790.5,790.5,341400
1041834,1999-05-18,BKNG,787.5,838.5,766.13,816.75,816.75,418500
1041835,1999-05-19,BKNG,820.5,865.5,808.5,855.0,855.0,226500
1041836,1999-05-20,BKNG,869.63,870.0,786.75,806.25,806.25,174400
1041837,1999-05-21,BKNG,871.88,874.5,822.0,833.63,833.63,553700
1041838,1999-05-24,BKNG,829.5,833.25,726.75,752.06,752.06,314600
1041839,1999-05-25,BKNG,726.0,776.25,618.0,624.0,624.0,540600
1041840,1999-05-26,BKNG,651.0,690.0,582.0,682.69,682.69,691100
1041841,1999-05-27,BKNG,676.5,702.0,654.38,664.88,664.88,273600
1041842,1999-05-28,BKNG,642.0,673.5,636.0,672.19,672.19,194800
1041843,1999-06-01,BKNG,657.75,663.0,585.0,596.63,596.63,353900
1041844,1999-06-02,BKNG,577.5,634.13,534.75,557.44,557.44,748000
1041845,1999-06-03,BKNG,560.25,575.25,504.0,504.75,504.75,448400
1041846,1999-06-04,BKNG,507.0,553.5,500.25,541.88,541.88,431800
1041847,1999-06-07,BKNG,555.0,657.0,549.75,609.0,609.0,738100
1041848,1999-06-08,BKNG,629.25,666.0,609.75,625.5,625.5,560200
1041849,1999-06-09,BKNG,639.75,653.25,617.25,630.0,630.0,224700
1041850,1999-06-10,BKNG,604.13,624.75,600.0,613.5,613.5,290500
1041851,1999-06-11,BKNG,624.0,637.5,570.0,574.13,574.13,268300
1041852,1999-06-14,BKNG,564.0,564.0,459.0,461.25,461.25,534300
1041853,1999-06-15,BKNG,456.75,505.88,448.5,470.63,470.63,544200
1041854,1999-06-16,BKNG,510.0,540.0,502.5,531.0,531.0,522100
1041855,1999-06-17,BKNG,525.0,570.0,502.13,533.63,533.63,439000
1041856,1999-06-18,BKNG,548.25,571.13,546.0,564.0,564.0,257800
1041857,1999-06-21,BKNG,574.5,655.5,571.5,637.88,637.88,484800
1041858,1999-06-22,BKNG,654.38,716.63,634.5,652.5,652.5,766100
1041859,1999-06-23,BKNG,624.0,683.63,624.0,665.25,665.25,435500
1041860,1999-06-24,BKNG,649.5,657.0,612.0,612.0,612.0,314100
1041861,1999-06-25,BKNG,632.63,644.25,573.0,574.5,574.5,380400
1041862,1999-06-28,BKNG,594.0,633.75,552.0,633.0,633.0,444400
1041863,1999-06-29,BKNG,618.75,666.0,614.63,645.0,645.0,384400
1041864,1999-06-30,BKNG,637.5,714.0,625.5,693.38,693.38,437400
1041865,1999-07-01,BKNG,701.25,710.25,643.5,645.0,645.0,329500
1041866,1999-07-02,BKNG,654.0,681.0,654.0,669.0,669.0,183600
1041867,1999-07-06,BKNG,681.38,703.13,672.0,672.0,672.0,314200
1041868,1999-07-07,BKNG,678.0,678.0,639.0,666.0,666.0,274000
1041869,1999-07-08,BKNG,677.25,697.5,657.0,664.13,664.13,294800
1041870,1999-07-09,BKNG,672.38,678.0,650.25,654.0,654.0,116600
1041871,1999-07-12,BKNG,655.88,660.0,624.0,629.06,629.06,143400
1041872,1999-07-13,BKNG,604.88,626.25,600.0,618.75,618.75,145000
1041873,1999-07-14,BKNG,621.75,636.0,619.5,625.5,625.5,103900
1041874,1999-07-15,BKNG,626.25,633.0,600.0,606.75,606.75,107100
1041875,1999-07-16,BKNG,601.5,609.0,582.0,584.44,584.44,160600
1041876,1999-07-19,BKNG,633.0,648.0,585.0,585.94,585.94,464300
1041877,1999-07-20,BKNG,572.25,576.0,546.0,549.38,549.38,278400
1041878,1999-07-21,BKNG,550.88,551.25,519.0,529.31,529.31,303600
1041879,1999-07-22,BKNG,522.38,528.0,498.0,501.38,501.38,228600
1041880,1999-07-23,BKNG,501.75,514.5,480.38,487.13,487.13,281600
1041881,1999-07-26,BKNG,478.88,495.75,465.0,469.13,469.13,268300
1041882,1999-07-27,BKNG,484.5,486.0,440.63,441.94,441.94,352800
1041883,1999-07-28,BKNG,462.0,513.0,450.0,510.0,510.0,578900
1041884,1999-07-29,BKNG,486.75,492.0,465.0,483.0,483.0,333000
1041885,1999-07-30,BKNG,489.0,490.5,450.0,453.38,453.38,208000
1041886,1999-08-02,BKNG,451.88,485.25,438.0,465.0,465.0,324400
1041887,1999-08-03,BKNG,474.0,477.0,426.75,438.38,438.38,302000
1041888,1999-08-04,BKNG,435.0,444.75,396.0,397.5,397.5,367800
1041889,1999-08-05,BKNG,386.25,478.5,354.0,468.75,468.75,801300
1041890,1999-08-06,BKNG,460.5,505.88,440.25,446.25,446.25,422000
1041891,1999-08-09,BKNG,453.0,461.63,417.75,420.0,420.0,222100
1041892,1999-08-10,BKNG,410.25,451.13,396.0,430.5,430.5,432800
1041893,1999-08-11,BKNG,453.0,457.5,414.0,420.0,420.0,410500
1041894,1999-08-12,BKNG,408.75,426.75,401.63,403.88,403.88,820100
1041895,1999-08-13,BKNG,421.13,423.75,391.5,399.0,399.0,321400
1041896,1999-08-16,BKNG,401.25,423.0,400.5,412.5,412.5,343200
1041897,1999-08-17,BKNG,420.0,433.5,408.0,420.38,420.38,333700
1041898,1999-08-18,BKNG,432.75,449.25,420.75,424.5,424.5,388700
1041899,1999-08-19,BKNG,416.25,423.0,398.25,399.0,399.0,332800
1041900,1999-08-20,BKNG,402.0,409.5,393.75,406.5,406.5,205200
1041901,1999-08-23,BKNG,411.75,430.5,402.0,402.38,402.38,272400
1041902,1999-08-24,BKNG,401.25,417.0,394.5,405.75,405.75,309300
1041903,1999-08-25,BKNG,408.75,418.13,385.5,391.13,391.13,336300
1041904,1999-08-26,BKNG,412.5,449.25,411.0,435.75,435.75,855700
1041905,1999-08-27,BKNG,449.25,456.0,420.75,441.0,441.0,395100
1041906,1999-08-30,BKNG,441.75,441.75,399.0,401.06,401.06,280800
1041907,1999-08-31,BKNG,408.0,417.0,396.0,408.75,408.75,258100
1041908,1999-09-01,BKNG,420.75,423.0,393.0,393.56,393.56,265400
1041909,1999-09-02,BKNG,384.75,393.75,375.0,384.19,384.19,194100
1041910,1999-09-03,BKNG,411.0,411.0,390.0,398.25,398.25,203500
1041911,1999-09-07,BKNG,411.0,420.0,401.25,406.88,406.88,395400
1041912,1999-09-08,BKNG,401.63,403.5,376.5,379.5,379.5,406400
1041913,1999-09-09,BKNG,378.38,383.25,329.25,348.94,348.94,905200
1041914,1999-09-10,BKNG,367.88,372.0,339.0,347.63,347.63,482400
1041915,1999-09-13,BKNG,365.25,366.0,321.0,333.75,333.75,724000
1041916,1999-09-14,BKNG,331.88,369.0,330.0,360.0,360.0,723400
1041917,1999-09-15,BKNG,370.88,372.0,350.25,360.0,360.0,400300
1041918,1999-09-16,BKNG,362.25,363.75,334.5,342.75,342.75,363500
1041919,1999-09-17,BKNG,348.38,364.5,346.5,349.5,349.5,377800
1041920,1999-09-20,BKNG,367.5,390.09,364.5,385.13,385.13,790200
1041921,1999-09-21,BKNG,387.38,414.75,384.0,401.06,401.06,830000
1041922,1999-09-22,BKNG,423.75,441.0,421.5,429.75,429.75,920200
1041923,1999-09-23,BKNG,440.25,447.0,390.0,390.38,390.38,542000
1041924,1999-09-24,BKNG,392.25,414.0,379.13,393.38,393.38,447000
1041925,1999-09-27,BKNG,372.0,382.5,360.75,370.31,370.31,647600
1041926,1999-09-28,BKNG,370.88,375.0,360.0,368.25,368.25,268100
1041927,1999-09-29,BKNG,369.75,400.5,365.25,378.0,378.0,606000
1041928,1999-09-30,BKNG,384.38,396.0,381.0,387.0,387.0,262000
1041929,1999-10-01,BKNG,384.0,390.75,374.25,379.13,379.13,190000
1041930,1999-10-04,BKNG,388.13,390.0,367.5,373.69,373.69,206100
1041931,1999-10-05,BKNG,378.0,387.0,372.0,385.5,385.5,312300
1041932,1999-10-06,BKNG,390.75,444.0,390.38,436.5,436.5,1042400
1041933,1999-10-07,BKNG,463.5,465.75,433.13,435.0,435.0,832600
1041934,1999-10-08,BKNG,444.0,458.25,440.25,442.5,442.5,424000
1041935,1999-10-11,BKNG,450.0,459.75,444.75,456.0,456.0,255300
1041936,1999-10-12,BKNG,454.13,476.25,453.0,455.63,455.63,539100
1041937,1999-10-13,BKNG,438.0,459.75,424.13,433.5,433.5,328300
1041938,1999-10-14,BKNG,438.75,439.88,407.25,420.0,420.0,318300
1041939,1999-10-15,BKNG,391.5,413.25,388.5,405.38,405.38,352800
1041940,1999-10-18,BKNG,400.13,406.5,371.25,386.25,386.25,287200
1041941,1999-10-19,BKNG,399.0,405.0,387.0,388.13,388.13,219500
1041942,1999-10-20,BKNG,397.88,408.0,391.88,399.0,399.0,160600
1041943,1999-10-21,BKNG,388.88,420.0,384.38,412.5,412.5,198000
1041944,1999-10-22,BKNG,417.75,431.25,399.0,400.5,400.5,152000
1041945,1999-10-25,BKNG,402.75,418.5,402.0,411.38,411.38,125900
1041946,1999-10-26,BKNG,416.25,418.5,402.0,406.13,406.13,145100
1041947,1999-10-27,BKNG,404.63,407.25,387.0,400.5,400.5,144600
1041948,1999-10-28,BKNG,411.0,413.25,391.5,407.25,407.25,222300
1041949,1999-10-29,BKNG,395.25,395.63,360.0,361.5,361.5,988200
1041950,1999-11-01,BKNG,366.0,367.5,342.0,351.0,351.0,605700
1041951,1999-11-02,BKNG,355.5,361.13,327.75,332.63,332.63,599400
1041952,1999-11-03,BKNG,342.0,343.5,330.0,332.25,332.25,446200
1041953,1999-11-04,BKNG,337.88,342.0,313.5,318.0,318.0,596300
1041954,1999-11-05,BKNG,327.38,329.63,303.0,315.75,315.75,617400
1041955,1999-11-08,BKNG,327.0,372.0,325.13,370.5,370.5,801200
1041956,1999-11-09,BKNG,389.63,390.0,346.5,357.75,357.75,624800
1041957,1999-11-10,BKNG,351.75,365.25,337.5,345.0,345.0,335000
1041958,1999-11-11,BKNG,344.25,344.63,330.0,337.5,337.5,214700
1041959,1999-11-12,BKNG,338.63,348.0,334.5,339.75,339.75,186600
1041960,1999-11-15,BKNG,366.0,372.0,354.0,359.63,359.63,503800
1041961,1999-11-16,BKNG,372.0,414.0,366.75,412.5,412.5,1225200
1041962,1999-11-17,BKNG,450.75,486.0,432.0,461.25,461.25,2259900
1041963,1999-11-18,BKNG,450.0,450.38,417.0,431.25,431.25,1110000
1041964,1999-11-19,BKNG,428.25,429.0,405.0,407.25,407.25,471100
1041965,1999-11-22,BKNG,408.0,408.75,393.75,400.5,400.5,467100
1041966,1999-11-23,BKNG,392.25,392.25,369.0,371.63,371.63,726800
1041967,1999-11-24,BKNG,373.5,385.5,363.75,366.0,366.0,879600
1041968,1999-11-26,BKNG,376.5,392.25,372.38,381.75,381.75,795200
1041969,1999-11-29,BKNG,391.5,401.25,384.38,386.25,386.25,648600
1041970,1999-11-30,BKNG,388.5,388.88,370.5,372.0,372.0,270000
1041971,1999-12-01,BKNG,375.38,380.25,362.63,363.75,363.75,350300
1041972,1999-12-02,BKNG,383.25,391.5,378.0,390.38,390.38,950600
1041973,1999-12-03,BKNG,403.13,405.0,370.5,371.25,371.25,742500
1041974,1999-12-06,BKNG,372.0,379.13,363.75,366.38,366.38,441700
1041975,1999-12-07,BKNG,368.63,376.88,364.5,369.0,369.0,269700
1041976,1999-12-08,BKNG,366.75,373.5,354.0,356.25,356.25,432200
1041977,1999-12-09,BKNG,370.88,372.75,336.0,347.25,347.25,646200
1041978,1999-12-10,BKNG,352.5,364.31,346.5,350.25,350.25,448500
1041979,1999-12-13,BKNG,354.0,356.25,342.0,348.0,348.0,331900
1041980,1999-12-14,BKNG,343.88,344.25,324.0,326.25,326.25,531800
1041981,1999-12-15,BKNG,325.5,337.5,315.0,331.5,331.5,280100
1041982,1999-12-16,BKNG,358.5,365.63,342.0,343.13,343.13,465500
1041983,1999-12-17,BKNG,348.0,348.0,333.0,341.63,341.63,252900
1041984,1999-12-20,BKNG,348.0,352.13,330.75,336.0,336.0,290400
1041985,1999-12-21,BKNG,342.38,362.25,339.75,356.25,356.25,523600
1041986,1999-12-22,BKNG,358.13,368.25,339.38,342.0,342.0,337400
1041987,1999-12-23,BKNG,342.38,344.25,327.0,330.0,330.0,273100
1041988,1999-12-27,BKNG,345.75,348.0,321.75,326.25,326.25,688200
1041989,1999-12-28,BKNG,326.25,327.0,310.5,311.25,311.25,499000
1041990,1999-12-29,BKNG,310.88,319.5,303.0,303.38,303.38,463200
1041991,1999-12-30,BKNG,303.0,304.5,273.0,280.5,280.5,959100
1041992,1999-12-31,BKNG,282.38,296.25,280.88,284.25,284.25,410100
1041993,2000-01-03,BKNG,315.0,318.0,288.0,307.5,307.5,847700
1041994,2000-01-04,BKNG,308.25,343.5,307.5,324.0,324.0,972700
1041995,2000-01-05,BKNG,331.5,385.31,327.75,359.63,359.63,1605400
1041996,2000-01-06,BKNG,368.25,384.75,326.25,345.0,345.0,1175200
1041997,2000-01-07,BKNG,358.13,364.5,333.75,343.5,343.5,339400
1041998,2000-01-10,BKNG,352.13,357.75,317.25,325.5,325.5,2018800
1041999,2000-01-11,BKNG,322.5,342.0,311.25,316.88,316.88,842900
1042000,2000-01-12,BKNG,321.75,325.13,306.0,306.75,306.75,283700
1042001,2000-01-13,BKNG,318.66,319.13,300.0,309.75,309.75,299400
1042002,2000-01-14,BKNG,315.0,342.0,313.5,341.25,341.25,789700
1042003,2000-01-18,BKNG,334.5,355.88,333.0,355.13,355.13,572700
1042004,2000-01-19,BKNG,354.0,377.25,349.88,374.63,374.63,710400
1042005,2000-01-20,BKNG,370.88,372.0,354.0,371.63,371.63,580500
1042006,2000-01-21,BKNG,374.25,387.0,369.0,381.0,381.0,825300
