,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1277617,1996-01-09,BYFC,4.8,4.98,4.63,4.8,3.01,302600
1277618,1996-01-10,BYFC,4.8,4.98,4.75,4.98,3.12,18600
1277619,1996-01-11,BYFC,4.86,4.86,4.63,4.63,2.9,17600
1277620,1996-01-12,BYFC,4.86,4.86,4.63,4.63,2.9,139800
1277621,1996-01-15,BYFC,4.63,4.63,4.63,4.63,2.9,52600
1277622,1996-01-16,BYFC,4.63,4.75,4.63,4.75,2.98,82800
1277623,1996-01-17,BYFC,4.75,4.75,4.63,4.72,2.96,91000
1277624,1996-01-18,BYFC,4.72,4.8,4.69,4.75,2.98,66800
1277625,1996-01-19,BYFC,4.75,4.75,4.75,4.75,2.98,0
1277626,1996-01-22,BYFC,4.69,4.72,4.69,4.69,2.94,71600
1277627,1996-01-23,BYFC,4.69,4.8,4.69,4.75,2.98,14200
1277628,1996-01-24,BYFC,4.69,4.69,4.69,4.69,2.94,100800
1277629,1996-01-25,BYFC,4.69,4.69,4.69,4.69,2.94,35200
1277630,1996-01-26,BYFC,4.69,4.69,4.69,4.69,2.94,0
1277631,1996-01-29,BYFC,4.69,4.8,4.69,4.69,2.94,120200
1277632,1996-01-30,BYFC,4.8,4.8,4.69,4.72,2.96,59800
1277633,1996-01-31,BYFC,4.75,4.75,4.69,4.75,2.98,70800
1277634,1996-02-01,BYFC,4.75,4.75,4.69,4.75,2.98,54800
1277635,1996-02-02,BYFC,4.69,4.75,4.69,4.69,2.94,13000
1277636,1996-02-05,BYFC,4.69,4.69,4.69,4.69,2.94,185400
1277637,1996-02-06,BYFC,4.69,4.75,4.69,4.69,2.94,42600
1277638,1996-02-07,BYFC,4.72,4.72,4.69,4.69,2.94,7800
1277639,1996-02-08,BYFC,4.69,4.69,4.69,4.69,2.94,11600
1277640,1996-02-09,BYFC,4.75,4.75,4.69,4.75,2.98,91400
1277641,1996-02-12,BYFC,4.75,4.75,4.75,4.75,2.98,0
1277642,1996-02-13,BYFC,4.69,4.75,4.69,4.75,2.98,38000
1277643,1996-02-14,BYFC,4.8,4.8,4.8,4.8,3.01,64800
1277644,1996-02-15,BYFC,4.8,4.8,4.8,4.8,3.01,0
1277645,1996-02-16,BYFC,4.69,4.69,4.69,4.69,2.94,38400
1277646,1996-02-20,BYFC,4.69,4.98,4.69,4.98,3.12,19800
1277647,1996-02-21,BYFC,4.86,4.86,4.86,4.86,3.05,11800
1277648,1996-02-22,BYFC,4.86,4.86,4.86,4.86,3.05,0
1277649,1996-02-23,BYFC,4.98,4.98,4.98,4.98,3.12,200
1277650,1996-02-26,BYFC,4.69,4.75,4.69,4.75,2.98,23600
1277651,1996-02-27,BYFC,4.75,4.75,4.75,4.75,2.98,0
1277652,1996-02-28,BYFC,4.75,4.75,4.75,4.75,2.98,53400
1277653,1996-02-29,BYFC,4.75,4.75,4.75,4.75,2.98,19800
1277654,1996-03-01,BYFC,4.75,4.75,4.75,4.75,2.98,0
1277655,1996-03-04,BYFC,4.75,4.75,4.75,4.75,2.98,0
1277656,1996-03-05,BYFC,4.75,4.86,4.75,4.8,3.01,223200
1277657,1996-03-06,BYFC,4.86,4.86,4.8,4.8,3.01,45000
1277658,1996-03-07,BYFC,4.8,4.8,4.8,4.8,3.01,0
1277659,1996-03-08,BYFC,4.75,4.98,4.75,4.8,3.01,35800
1277660,1996-03-11,BYFC,4.8,4.98,4.8,4.86,3.05,90600
1277661,1996-03-12,BYFC,4.8,4.8,4.8,4.8,3.01,25800
1277662,1996-03-13,BYFC,4.98,4.98,4.98,4.98,3.12,400
1277663,1996-03-14,BYFC,4.86,4.86,4.86,4.86,3.05,10800
