,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1615109,1990-01-02,CGNX,0.64,0.66,0.62,0.66,0.36,665600
1615110,1990-01-03,CGNX,0.66,0.68,0.63,0.65,0.35,2028800
1615111,1990-01-04,CGNX,0.64,0.64,0.63,0.63,0.34,1011200
1615112,1990-01-05,CGNX,0.63,0.63,0.62,0.62,0.34,160000
1615113,1990-01-08,CGNX,0.62,0.63,0.62,0.62,0.34,1129600
1615114,1990-01-09,CGNX,0.63,0.63,0.62,0.63,0.34,384000
1615115,1990-01-10,CGNX,0.63,0.63,0.62,0.63,0.34,380800
1615116,1990-01-11,CGNX,0.63,0.63,0.62,0.63,0.34,467200
1615117,1990-01-12,CGNX,0.62,0.63,0.62,0.63,0.34,560000
1615118,1990-01-15,CGNX,0.63,0.63,0.62,0.63,0.34,288000
1615119,1990-01-16,CGNX,0.62,0.63,0.61,0.63,0.34,441600
1615120,1990-01-17,CGNX,0.61,0.62,0.61,0.61,0.33,1116800
1615121,1990-01-18,CGNX,0.59,0.6,0.59,0.59,0.32,1516800
1615122,1990-01-19,CGNX,0.59,0.6,0.58,0.59,0.32,969600
1615123,1990-01-22,CGNX,0.59,0.59,0.57,0.57,0.31,2531200
1615124,1990-01-23,CGNX,0.58,0.58,0.56,0.58,0.31,9673600
1615125,1990-01-24,CGNX,0.56,0.59,0.56,0.58,0.31,2662400
1615126,1990-01-25,CGNX,0.59,0.59,0.58,0.58,0.32,320000
1615127,1990-01-26,CGNX,0.58,0.59,0.58,0.59,0.32,860800
1615128,1990-01-29,CGNX,0.58,0.59,0.58,0.58,0.32,176000
1615129,1990-01-30,CGNX,0.59,0.59,0.43,0.46,0.25,3984000
1615130,1990-01-31,CGNX,0.5,0.5,0.47,0.47,0.25,2608000
1615131,1990-02-01,CGNX,0.48,0.48,0.46,0.48,0.26,771200
1615132,1990-02-02,CGNX,0.48,0.48,0.47,0.48,0.26,656000
1615133,1990-02-05,CGNX,0.48,0.48,0.45,0.47,0.26,1344000
1615134,1990-02-06,CGNX,0.45,0.47,0.45,0.47,0.25,2406400
1615135,1990-02-07,CGNX,0.47,0.48,0.45,0.46,0.25,1427200
1615136,1990-02-08,CGNX,0.48,0.52,0.48,0.51,0.28,889600
1615137,1990-02-09,CGNX,0.51,0.55,0.51,0.54,0.29,7152000
1615138,1990-02-12,CGNX,0.55,0.58,0.54,0.55,0.3,1420800
1615139,1990-02-13,CGNX,0.55,0.55,0.55,0.55,0.3,246400
1615140,1990-02-14,CGNX,0.54,0.55,0.54,0.55,0.3,499200
1615141,1990-02-15,CGNX,0.55,0.56,0.55,0.56,0.31,1750400
1615142,1990-02-16,CGNX,0.56,0.57,0.55,0.55,0.3,700800
1615143,1990-02-20,CGNX,0.55,0.57,0.55,0.57,0.31,825600
1615144,1990-02-21,CGNX,0.55,0.56,0.53,0.55,0.3,201600
1615145,1990-02-22,CGNX,0.55,0.56,0.54,0.54,0.29,3308800
1615146,1990-02-23,CGNX,0.56,0.56,0.54,0.54,0.29,67200
1615147,1990-02-26,CGNX,0.55,0.55,0.53,0.54,0.29,150400
1615148,1990-02-27,CGNX,0.56,0.56,0.54,0.54,0.29,764800
1615149,1990-02-28,CGNX,0.55,0.55,0.52,0.53,0.29,6195200
1615150,1990-03-01,CGNX,0.51,0.53,0.51,0.51,0.28,278400
1615151,1990-03-02,CGNX,0.51,0.53,0.51,0.52,0.28,169600
1615152,1990-03-05,CGNX,0.52,0.52,0.5,0.5,0.27,480000
1615153,1990-03-06,CGNX,0.48,0.51,0.48,0.51,0.28,160000
1615154,1990-03-07,CGNX,0.51,0.51,0.49,0.49,0.27,963200
1615155,1990-03-08,CGNX,0.48,0.5,0.48,0.48,0.26,352000
1615156,1990-03-09,CGNX,0.5,0.5,0.48,0.49,0.27,918400
1615157,1990-03-12,CGNX,0.48,0.48,0.46,0.46,0.25,2460800
1615158,1990-03-13,CGNX,0.46,0.48,0.46,0.48,0.26,112000
1615159,1990-03-14,CGNX,0.48,0.5,0.47,0.48,0.26,2617600
1615160,1990-03-15,CGNX,0.51,0.51,0.5,0.5,0.27,217600
1615161,1990-03-16,CGNX,0.5,0.51,0.48,0.49,0.27,2086400
1615162,1990-03-19,CGNX,0.49,0.54,0.49,0.54,0.29,1561600
1615163,1990-03-20,CGNX,0.55,0.55,0.52,0.55,0.3,1756800
1615164,1990-03-21,CGNX,0.54,0.57,0.54,0.57,0.31,6304000
1615165,1990-03-22,CGNX,0.57,0.57,0.55,0.55,0.3,1856000
1615166,1990-03-23,CGNX,0.56,0.6,0.56,0.59,0.32,3232000
1615167,1990-03-26,CGNX,0.6,0.63,0.6,0.61,0.33,4323200
1615168,1990-03-27,CGNX,0.63,0.63,0.61,0.63,0.34,2972800
1615169,1990-03-28,CGNX,0.63,0.63,0.59,0.59,0.32,617600
1615170,1990-03-29,CGNX,0.59,0.61,0.59,0.61,0.33,905600
1615171,1990-03-30,CGNX,0.61,0.62,0.59,0.59,0.32,99200
1615172,1990-04-02,CGNX,0.59,0.6,0.59,0.59,0.32,284800
1615173,1990-04-03,CGNX,0.59,0.63,0.59,0.63,0.34,336000
1615174,1990-04-04,CGNX,0.63,0.64,0.61,0.62,0.34,704000
1615175,1990-04-05,CGNX,0.63,0.63,0.62,0.62,0.34,4396800
1615176,1990-04-06,CGNX,0.63,0.63,0.62,0.63,0.34,240000
1615177,1990-04-09,CGNX,0.63,0.63,0.61,0.61,0.33,217600
1615178,1990-04-10,CGNX,0.61,0.62,0.59,0.59,0.32,332800
1615179,1990-04-11,CGNX,0.61,0.62,0.6,0.61,0.33,924800
1615180,1990-04-12,CGNX,0.61,0.64,0.61,0.62,0.34,1155200
1615181,1990-04-16,CGNX,0.63,0.63,0.62,0.62,0.34,80000
1615182,1990-04-17,CGNX,0.63,0.63,0.61,0.61,0.33,502400
1615183,1990-04-18,CGNX,0.62,0.63,0.6,0.6,0.33,89600
1615184,1990-04-19,CGNX,0.59,0.62,0.59,0.6,0.33,147200
1615185,1990-04-20,CGNX,0.6,0.62,0.59,0.6,0.33,624000
1615186,1990-04-23,CGNX,0.6,0.6,0.6,0.6,0.33,150400
1615187,1990-04-24,CGNX,0.6,0.6,0.6,0.6,0.33,86400
1615188,1990-04-25,CGNX,0.6,0.6,0.59,0.59,0.32,547200
1615189,1990-04-26,CGNX,0.61,0.62,0.59,0.6,0.33,995200
1615190,1990-04-27,CGNX,0.6,0.6,0.59,0.59,0.32,236800
1615191,1990-04-30,CGNX,0.62,0.62,0.6,0.61,0.33,294400
1615192,1990-05-01,CGNX,0.6,0.63,0.6,0.63,0.34,38400
1615193,1990-05-02,CGNX,0.63,0.66,0.62,0.64,0.35,2044800
1615194,1990-05-03,CGNX,0.65,0.66,0.64,0.64,0.35,1091200
1615195,1990-05-04,CGNX,0.66,0.68,0.65,0.66,0.36,2566400
1615196,1990-05-07,CGNX,0.66,0.68,0.65,0.67,0.36,1219200
1615197,1990-05-08,CGNX,0.66,0.66,0.64,0.64,0.35,3065600
1615198,1990-05-09,CGNX,0.64,0.66,0.64,0.64,0.35,1907200
1615199,1990-05-10,CGNX,0.66,0.68,0.64,0.68,0.37,1344000
1615200,1990-05-11,CGNX,0.68,0.7,0.66,0.7,0.38,2649600
1615201,1990-05-14,CGNX,0.73,0.77,0.7,0.76,0.41,4646400
1615202,1990-05-15,CGNX,0.74,0.79,0.74,0.79,0.43,1769600
1615203,1990-05-16,CGNX,0.77,0.79,0.74,0.74,0.4,2172800
1615204,1990-05-17,CGNX,0.77,0.78,0.74,0.77,0.42,2758400
1615205,1990-05-18,CGNX,0.78,0.79,0.76,0.79,0.43,1468800
1615206,1990-05-21,CGNX,0.79,0.82,0.77,0.8,0.43,1760000
1615207,1990-05-22,CGNX,0.85,0.86,0.82,0.85,0.46,1788800
1615208,1990-05-23,CGNX,0.85,0.9,0.84,0.9,0.49,4208000
1615209,1990-05-24,CGNX,0.9,0.97,0.88,0.94,0.51,2499200
1615210,1990-05-25,CGNX,0.92,0.95,0.91,0.93,0.5,2038400
1615211,1990-05-29,CGNX,0.91,0.94,0.9,0.93,0.5,2473600
1615212,1990-05-30,CGNX,0.92,0.95,0.92,0.95,0.51,1193600
1615213,1990-05-31,CGNX,0.95,0.95,0.9,0.93,0.5,1648000
1615214,1990-06-01,CGNX,0.91,0.95,0.91,0.94,0.51,572800
1615215,1990-06-04,CGNX,0.92,0.97,0.91,0.97,0.53,780800
1615216,1990-06-05,CGNX,0.99,1.01,0.97,0.99,0.54,1132800
1615217,1990-06-06,CGNX,0.98,1.01,0.96,0.99,0.54,4220800
1615218,1990-06-07,CGNX,1.0,1.0,0.93,0.95,0.52,1120000
1615219,1990-06-08,CGNX,0.93,0.96,0.86,0.86,0.47,848000
1615220,1990-06-11,CGNX,0.86,0.92,0.86,0.91,0.5,886400
1615221,1990-06-12,CGNX,0.95,0.95,0.92,0.93,0.5,764800
1615222,1990-06-13,CGNX,0.93,0.95,0.92,0.92,0.5,230400
