,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1884970,1990-01-02,COHR,7.31,7.5,7.25,7.31,7.16,89200
1884971,1990-01-03,COHR,7.31,7.38,6.81,6.81,6.67,98400
1884972,1990-01-04,COHR,6.81,7.13,6.56,6.75,6.61,107600
1884973,1990-01-05,COHR,6.63,6.63,6.0,6.25,6.12,237000
1884974,1990-01-08,COHR,6.25,6.25,6.06,6.25,6.12,106400
1884975,1990-01-09,COHR,6.25,6.25,6.19,6.25,6.12,55200
1884976,1990-01-10,COHR,6.25,6.25,6.13,6.25,6.12,62600
1884977,1990-01-11,COHR,6.25,6.44,6.19,6.19,6.06,95600
1884978,1990-01-12,COHR,6.19,6.19,6.0,6.19,6.06,42200
1884979,1990-01-15,COHR,6.19,6.25,6.06,6.13,6.0,204800
1884980,1990-01-16,COHR,6.13,6.25,6.06,6.13,6.0,72400
1884981,1990-01-17,COHR,6.13,6.25,6.06,6.13,6.0,33400
1884982,1990-01-18,COHR,6.13,6.25,6.06,6.13,6.0,53200
1884983,1990-01-19,COHR,6.13,6.19,6.0,6.19,6.06,76200
1884984,1990-01-22,COHR,6.19,6.25,5.94,6.0,5.87,240800
1884985,1990-01-23,COHR,6.0,6.0,5.69,5.94,5.81,161600
1884986,1990-01-24,COHR,5.94,6.13,5.75,6.13,6.0,122000
1884987,1990-01-25,COHR,6.13,6.31,6.0,6.0,5.87,44800
1884988,1990-01-26,COHR,6.0,6.06,5.75,5.94,5.81,69600
1884989,1990-01-29,COHR,5.94,5.94,5.25,5.25,5.14,143800
1884990,1990-01-30,COHR,5.25,5.44,4.94,5.13,5.02,92400
1884991,1990-01-31,COHR,5.13,5.19,4.94,5.06,4.96,68400
1884992,1990-02-01,COHR,5.06,5.19,4.94,5.13,5.02,26800
1884993,1990-02-02,COHR,5.13,5.13,4.94,5.06,4.96,56200
1884994,1990-02-05,COHR,5.06,5.19,4.94,4.94,4.83,51600
1884995,1990-02-06,COHR,4.94,5.06,4.94,5.06,4.96,71800
1884996,1990-02-07,COHR,5.06,5.06,4.75,4.88,4.77,64400
1884997,1990-02-08,COHR,4.88,4.94,4.69,4.88,4.77,102200
1884998,1990-02-09,COHR,4.88,4.94,4.69,4.88,4.77,46800
1884999,1990-02-12,COHR,4.88,4.88,4.75,4.88,4.77,23000
1885000,1990-02-13,COHR,4.88,4.88,4.69,4.81,4.71,81800
1885001,1990-02-14,COHR,4.81,4.81,4.69,4.81,4.71,40200
1885002,1990-02-15,COHR,4.81,4.88,4.69,4.75,4.65,43600
1885003,1990-02-16,COHR,4.75,4.94,4.75,4.94,4.83,245400
1885004,1990-02-20,COHR,4.94,4.94,4.75,4.94,4.83,56600
1885005,1990-02-21,COHR,4.94,4.94,4.75,4.81,4.71,91000
1885006,1990-02-22,COHR,4.81,4.94,4.81,4.81,4.71,34600
1885007,1990-02-23,COHR,4.81,4.88,4.75,4.75,4.65,150200
1885008,1990-02-26,COHR,4.75,4.88,4.75,4.88,4.77,80200
1885009,1990-02-27,COHR,4.88,4.88,4.81,4.81,4.71,133800
1885010,1990-02-28,COHR,4.81,4.88,4.75,4.88,4.77,56200
1885011,1990-03-01,COHR,4.88,4.88,4.75,4.88,4.77,40000
1885012,1990-03-02,COHR,4.88,5.0,4.75,5.0,4.9,90400
1885013,1990-03-05,COHR,5.0,5.13,4.88,5.13,5.02,249000
1885014,1990-03-06,COHR,5.13,5.25,5.06,5.25,5.14,275800
1885015,1990-03-07,COHR,5.25,5.31,5.13,5.19,5.08,242200
1885016,1990-03-08,COHR,5.19,5.63,5.19,5.44,5.32,363600
1885017,1990-03-09,COHR,5.44,5.63,5.31,5.38,5.26,246200
1885018,1990-03-12,COHR,5.38,5.38,5.31,5.31,5.2,254000
1885019,1990-03-13,COHR,5.31,5.44,5.25,5.38,5.26,155800
1885020,1990-03-14,COHR,5.38,5.38,5.25,5.38,5.26,159000
1885021,1990-03-15,COHR,5.38,5.5,5.31,5.5,5.38,44400
1885022,1990-03-16,COHR,5.5,5.5,5.31,5.5,5.38,160000
1885023,1990-03-19,COHR,5.5,5.5,5.38,5.5,5.38,453400
1885024,1990-03-20,COHR,5.5,5.5,5.38,5.44,5.32,58400
1885025,1990-03-21,COHR,5.5,5.63,5.5,5.5,5.38,79800
1885026,1990-03-22,COHR,5.5,5.56,5.5,5.5,5.38,46000
1885027,1990-03-23,COHR,5.5,5.56,5.5,5.5,5.38,57600
1885028,1990-03-26,COHR,6.13,6.31,6.06,6.19,6.06,278200
1885029,1990-03-27,COHR,6.25,6.56,6.13,6.44,6.3,192400
1885030,1990-03-28,COHR,6.38,6.5,6.25,6.44,6.3,111600
1885031,1990-03-29,COHR,6.44,6.44,6.31,6.44,6.3,93200
1885032,1990-03-30,COHR,6.38,6.44,6.25,6.44,6.3,30200
1885033,1990-04-02,COHR,6.38,6.38,6.13,6.31,6.18,54000
1885034,1990-04-03,COHR,6.31,6.31,6.19,6.19,6.06,42800
1885035,1990-04-04,COHR,6.19,6.31,6.19,6.19,6.06,31000
1885036,1990-04-05,COHR,6.19,6.31,6.13,6.25,6.12,96400
1885037,1990-04-06,COHR,6.25,6.25,5.94,6.0,5.87,56800
1885038,1990-04-09,COHR,6.13,6.13,5.94,5.94,5.81,101600
1885039,1990-04-10,COHR,6.06,6.06,5.69,5.88,5.75,77600
1885040,1990-04-11,COHR,5.88,5.88,5.63,5.63,5.51,31800
1885041,1990-04-12,COHR,5.81,5.88,5.63,5.88,5.75,27600
1885042,1990-04-16,COHR,5.88,5.88,5.69,5.75,5.63,31800
1885043,1990-04-17,COHR,5.69,5.88,5.69,5.75,5.63,33800
1885044,1990-04-18,COHR,5.88,5.88,5.75,5.75,5.63,33000
1885045,1990-04-19,COHR,5.81,5.88,5.75,5.88,5.75,18400
1885046,1990-04-20,COHR,5.75,5.88,5.69,5.69,5.57,33400
1885047,1990-04-23,COHR,5.69,5.88,5.69,5.88,5.75,7200
1885048,1990-04-24,COHR,5.69,5.88,5.69,5.75,5.63,13800
1885049,1990-04-25,COHR,5.88,5.88,5.69,5.69,5.57,5800
1885050,1990-04-26,COHR,5.75,5.81,5.69,5.69,5.57,31400
1885051,1990-04-27,COHR,5.69,5.81,5.69,5.69,5.57,22800
1885052,1990-04-30,COHR,5.69,5.75,5.13,5.13,5.02,191600
1885053,1990-05-01,COHR,5.13,5.31,5.06,5.25,5.14,69800
1885054,1990-05-02,COHR,5.06,5.31,5.06,5.25,5.14,167200
1885055,1990-05-03,COHR,5.25,5.25,5.13,5.19,5.08,160400
1885056,1990-05-04,COHR,5.13,5.25,5.13,5.25,5.14,19200
1885057,1990-05-07,COHR,5.13,5.25,5.13,5.19,5.08,38600
1885058,1990-05-08,COHR,5.25,5.25,5.13,5.25,5.14,33800
1885059,1990-05-09,COHR,5.25,5.25,5.13,5.25,5.14,139600
1885060,1990-05-10,COHR,5.13,5.25,5.13,5.19,5.08,139000
1885061,1990-05-11,COHR,5.25,5.25,5.19,5.19,5.08,81600
1885062,1990-05-14,COHR,5.25,5.25,5.19,5.19,5.08,80600
1885063,1990-05-15,COHR,5.19,5.25,5.19,5.25,5.14,48200
1885064,1990-05-16,COHR,5.25,5.31,5.13,5.31,5.2,123800
1885065,1990-05-17,COHR,5.31,5.31,5.19,5.31,5.2,28000
1885066,1990-05-18,COHR,5.31,5.31,5.19,5.19,5.08,15000
1885067,1990-05-21,COHR,5.19,5.31,5.19,5.25,5.14,44200
1885068,1990-05-22,COHR,5.25,5.38,5.25,5.25,5.14,47400
1885069,1990-05-23,COHR,5.25,5.38,5.25,5.38,5.26,22800
1885070,1990-05-24,COHR,5.38,5.38,5.25,5.38,5.26,12000
1885071,1990-05-25,COHR,5.19,5.38,5.13,5.25,5.14,54000
1885072,1990-05-29,COHR,5.25,5.38,5.25,5.38,5.26,17200
1885073,1990-05-30,COHR,5.38,5.44,5.31,5.44,5.32,52800
1885074,1990-05-31,COHR,5.31,5.5,5.25,5.44,5.32,32800
1885075,1990-06-01,COHR,5.5,5.63,5.44,5.63,5.51,25400
1885076,1990-06-04,COHR,5.44,6.13,5.44,6.0,5.87,73800
1885077,1990-06-05,COHR,6.06,6.13,5.88,6.0,5.87,82600
1885078,1990-06-06,COHR,5.94,6.13,5.88,5.88,5.75,66600
1885079,1990-06-07,COHR,5.88,6.0,5.81,5.81,5.69,65400
1885080,1990-06-08,COHR,5.81,5.94,5.75,5.88,5.75,59800
1885081,1990-06-11,COHR,5.88,5.88,5.75,5.88,5.75,33400
1885082,1990-06-12,COHR,5.81,5.88,5.63,5.69,5.57,166600
1885083,1990-06-13,COHR,5.63,5.81,5.5,5.56,5.45,80200
1885084,1990-06-14,COHR,5.63,5.63,5.38,5.5,5.38,78600
1885085,1990-06-15,COHR,5.44,5.44,5.44,5.44,5.32,28400
1885086,1990-06-18,COHR,5.5,5.5,5.19,5.31,5.2,136200
1885087,1990-06-19,COHR,5.25,5.38,5.25,5.25,5.14,19600
1885088,1990-06-20,COHR,5.25,5.5,5.25,5.5,5.38,169000
1885089,1990-06-21,COHR,5.25,5.5,5.25,5.25,5.14,3400
1885090,1990-06-22,COHR,5.5,5.88,5.38,5.5,5.38,102000
1885091,1990-06-25,COHR,5.69,5.69,5.5,5.69,5.57,8600
1885092,1990-06-26,COHR,5.5,5.75,5.5,5.5,5.38,10400
1885093,1990-06-27,COHR,5.69,5.69,5.63,5.69,5.57,6200
1885094,1990-06-28,COHR,5.63,5.69,5.5,5.56,5.45,10600
1885095,1990-06-29,COHR,5.63,5.63,5.5,5.63,5.51,12000
1885096,1990-07-02,COHR,5.63,5.69,5.5,5.69,5.57,420200
1885097,1990-07-03,COHR,5.56,5.69,5.56,5.69,5.57,22800
1885098,1990-07-05,COHR,5.56,5.69,5.56,5.63,5.51,3600
1885099,1990-07-06,COHR,5.69,5.75,5.56,5.69,5.57,94600
1885100,1990-07-09,COHR,5.63,5.88,5.63,5.81,5.69,19800
1885101,1990-07-10,COHR,5.88,6.13,5.88,5.88,5.75,73400
1885102,1990-07-11,COHR,5.88,6.0,5.63,5.63,5.51,74600
1885103,1990-07-12,COHR,5.81,5.81,5.44,5.44,5.32,99400
1885104,1990-07-13,COHR,5.44,5.63,5.38,5.38,5.26,24600
1885105,1990-07-16,COHR,5.5,5.5,5.25,5.31,5.2,23000
1885106,1990-07-17,COHR,5.56,5.56,5.25,5.25,5.14,6800
1885107,1990-07-18,COHR,5.25,5.38,5.25,5.38,5.26,26600
1885108,1990-07-19,COHR,5.25,5.38,5.13,5.19,5.08,59600
1885109,1990-07-20,COHR,5.25,5.38,4.94,4.94,4.83,51200
1885110,1990-07-23,COHR,5.06,5.06,4.75,5.0,4.9,106400
1885111,1990-07-24,COHR,4.75,4.88,4.63,4.75,4.65,65800
1885112,1990-07-25,COHR,4.88,4.88,4.56,4.56,4.47,163800
1885113,1990-07-26,COHR,4.88,4.88,4.63,4.88,4.77,36000
1885114,1990-07-27,COHR,4.88,4.88,4.75,4.88,4.77,6000
1885115,1990-07-30,COHR,4.75,5.0,4.75,4.88,4.77,27600
1885116,1990-07-31,COHR,4.88,4.94,4.5,4.75,4.65,208400
1885117,1990-08-01,COHR,4.75,4.88,4.69,4.75,4.65,38400
1885118,1990-08-02,COHR,4.63,5.56,4.44,5.5,5.38,258800
1885119,1990-08-03,COHR,5.5,5.56,5.0,5.06,4.96,130400
1885120,1990-08-06,COHR,5.06,5.06,4.75,4.94,4.83,47400
1885121,1990-08-07,COHR,5.0,5.06,4.88,4.94,4.83,41000
1885122,1990-08-08,COHR,5.0,5.19,4.88,5.19,5.08,22600
1885123,1990-08-09,COHR,5.19,5.25,4.81,5.25,5.14,49800
1885124,1990-08-10,COHR,5.38,5.38,4.88,5.0,4.9,29800
1885125,1990-08-13,COHR,4.81,5.0,4.75,4.94,4.83,78000
1885126,1990-08-14,COHR,5.0,5.0,4.75,4.75,4.65,4400
1885127,1990-08-15,COHR,4.94,5.0,4.81,4.88,4.77,30400
1885128,1990-08-16,COHR,4.75,5.06,4.75,4.88,4.77,57000
1885129,1990-08-17,COHR,4.75,5.25,4.75,5.13,5.02,74000
1885130,1990-08-20,COHR,5.06,5.06,4.94,4.94,4.83,15800
1885131,1990-08-21,COHR,4.94,5.0,4.5,4.56,4.47,49200
1885132,1990-08-22,COHR,4.56,4.69,4.38,4.38,4.28,84600
1885133,1990-08-23,COHR,4.38,4.44,4.13,4.25,4.16,120000
1885134,1990-08-24,COHR,4.38,4.38,4.13,4.19,4.1,66800
1885135,1990-08-27,COHR,4.5,4.5,4.25,4.25,4.16,49400
1885136,1990-08-28,COHR,4.25,4.38,4.13,4.38,4.28,35800
1885137,1990-08-29,COHR,4.25,4.38,4.13,4.38,4.28,23800
1885138,1990-08-30,COHR,4.38,4.38,4.13,4.38,4.28,24000
1885139,1990-08-31,COHR,4.38,4.5,4.38,4.5,4.41,16200
1885140,1990-09-04,COHR,4.38,4.5,4.38,4.5,4.41,4600
1885141,1990-09-05,COHR,4.38,4.5,4.38,4.38,4.28,77000
1885142,1990-09-06,COHR,4.25,4.38,4.25,4.25,4.16,24200
1885143,1990-09-07,COHR,4.25,4.38,4.19,4.38,4.28,354600
1885144,1990-09-10,COHR,4.38,4.38,4.25,4.25,4.16,16200
1885145,1990-09-11,COHR,4.25,4.38,4.25,4.38,4.28,58000
1885146,1990-09-12,COHR,4.25,4.5,4.25,4.5,4.41,33400
1885147,1990-09-13,COHR,4.38,4.5,4.38,4.38,4.28,13000
1885148,1990-09-14,COHR,4.38,4.5,4.25,4.38,4.28,28600
1885149,1990-09-17,COHR,4.25,4.5,4.25,4.5,4.41,3000
1885150,1990-09-18,COHR,4.5,4.5,4.25,4.25,4.16,24800
1885151,1990-09-19,COHR,4.25,4.5,4.25,4.25,4.16,33400
1885152,1990-09-20,COHR,4.25,4.63,4.25,4.38,4.28,74200
1885153,1990-09-21,COHR,4.38,4.56,4.38,4.38,4.28,45600
1885154,1990-09-24,COHR,4.5,4.5,4.25,4.25,4.16,29400
1885155,1990-09-25,COHR,4.38,4.44,4.38,4.44,4.34,15800
1885156,1990-09-26,COHR,4.38,4.5,4.38,4.38,4.28,11600
1885157,1990-09-27,COHR,4.63,4.63,4.38,4.5,4.41,60200
1885158,1990-09-28,COHR,4.38,4.5,4.38,4.38,4.28,36200
1885159,1990-10-01,COHR,4.38,4.38,4.38,4.38,4.28,600
1885160,1990-10-02,COHR,4.38,4.38,4.38,4.38,4.28,5400
1885161,1990-10-03,COHR,4.38,4.38,4.38,4.38,4.28,1200
1885162,1990-10-04,COHR,4.38,4.56,4.38,4.5,4.41,51200
1885163,1990-10-05,COHR,4.38,4.63,4.38,4.63,4.53,6200
1885164,1990-10-08,COHR,4.38,4.63,4.38,4.38,4.28,16600
1885165,1990-10-09,COHR,4.38,4.63,4.38,4.38,4.28,37600
1885166,1990-10-10,COHR,4.38,4.63,4.38,4.5,4.41,39000
1885167,1990-10-11,COHR,4.38,4.63,4.25,4.25,4.16,18400
1885168,1990-10-12,COHR,4.25,4.5,4.0,4.13,4.04,52000
1885169,1990-10-15,COHR,4.0,4.25,4.0,4.06,3.98,17600
1885170,1990-10-16,COHR,4.25,4.25,4.0,4.0,3.92,1800
1885171,1990-10-17,COHR,4.0,4.25,4.0,4.13,4.04,36800
1885172,1990-10-18,COHR,4.25,4.25,4.0,4.13,4.04,7800
1885173,1990-10-19,COHR,4.13,4.25,4.0,4.06,3.98,117600
1885174,1990-10-22,COHR,4.0,4.25,3.88,4.0,3.92,73600
1885175,1990-10-23,COHR,3.75,4.0,3.63,3.81,3.73,126800
