,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2590789,2000-04-19,DYSL,1.5,1.5,1.5,1.5,1.5,1000
2590790,2000-04-20,DYSL,1.5,1.5,1.5,1.5,1.5,0
2590791,2000-04-24,DYSL,1.5,1.5,1.5,1.5,1.5,0
2590792,2000-04-25,DYSL,1.5,1.5,1.5,1.5,1.5,0
2590793,2000-04-26,DYSL,1.5,1.5,1.5,1.5,1.5,0
2590794,2000-04-27,DYSL,1.5,1.5,1.5,1.5,1.5,0
2590795,2000-04-28,DYSL,1.41,1.41,1.41,1.41,1.41,3700
2590796,2000-05-01,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590797,2000-05-02,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590798,2000-05-03,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590799,2000-05-04,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590800,2000-05-05,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590801,2000-05-08,DYSL,1.41,1.41,1.41,1.41,1.41,4700
2590802,2000-05-09,DYSL,1.55,1.55,1.55,1.55,1.55,4500
2590803,2000-05-10,DYSL,1.55,1.55,1.55,1.55,1.55,0
2590804,2000-05-11,DYSL,1.5,1.5,1.5,1.5,1.5,500
2590805,2000-05-12,DYSL,1.5,1.5,1.5,1.5,1.5,0
2590806,2000-05-15,DYSL,1.41,1.41,1.41,1.41,1.41,3000
2590807,2000-05-16,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590808,2000-05-17,DYSL,1.41,1.41,1.41,1.41,1.41,900
2590809,2000-05-18,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590810,2000-05-19,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590811,2000-05-22,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590812,2000-05-23,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590813,2000-05-24,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590814,2000-05-25,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590815,2000-05-26,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590816,2000-05-30,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590817,2000-05-31,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590818,2000-06-01,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590819,2000-06-02,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590820,2000-06-05,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590821,2000-06-06,DYSL,1.41,1.41,1.41,1.41,1.41,900
2590822,2000-06-07,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590823,2000-06-08,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590824,2000-06-09,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590825,2000-06-12,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590826,2000-06-13,DYSL,1.41,1.41,1.41,1.41,1.41,3800
2590827,2000-06-14,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590828,2000-06-15,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590829,2000-06-16,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590830,2000-06-19,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590831,2000-06-20,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590832,2000-06-21,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590833,2000-06-22,DYSL,1.41,1.41,1.41,1.41,1.41,9000
2590834,2000-06-23,DYSL,1.41,1.41,1.41,1.41,1.41,900
2590835,2000-06-26,DYSL,1.41,1.41,1.41,1.41,1.41,15000
2590836,2000-06-27,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590837,2000-06-28,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590838,2000-06-29,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590839,2000-06-30,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590840,2000-07-03,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590841,2000-07-05,DYSL,1.41,1.41,1.41,1.41,1.41,1000
2590842,2000-07-06,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590843,2000-07-07,DYSL,1.41,1.41,1.41,1.41,1.41,0
2590844,2000-07-10,DYSL,1.25,1.25,1.25,1.25,1.25,900
2590845,2000-07-11,DYSL,1.25,1.25,1.25,1.25,1.25,0
2590846,2000-07-12,DYSL,1.45,1.45,1.45,1.45,1.45,400
2590847,2000-07-13,DYSL,1.45,1.45,1.45,1.45,1.45,0
2590848,2000-07-14,DYSL,1.25,1.25,1.0,1.0,1.0,7000
2590849,2000-07-17,DYSL,1.0,1.06,1.0,1.06,1.06,12100
2590850,2000-07-18,DYSL,1.06,1.06,1.06,1.06,1.06,0
2590851,2000-07-19,DYSL,1.06,1.06,1.06,1.06,1.06,0
2590852,2000-07-20,DYSL,1.06,1.06,1.06,1.06,1.06,0
2590853,2000-07-21,DYSL,1.06,1.06,1.06,1.06,1.06,0
2590854,2000-07-24,DYSL,0.88,0.88,0.88,0.88,0.88,6500
2590855,2000-07-25,DYSL,0.88,0.88,0.88,0.88,0.88,0
2590856,2000-07-26,DYSL,1.0,1.0,1.0,1.0,1.0,900
2590857,2000-07-27,DYSL,1.0,1.0,1.0,1.0,1.0,0
2590858,2000-07-28,DYSL,0.63,0.63,0.63,0.63,0.63,7500
2590859,2000-07-31,DYSL,0.63,0.63,0.63,0.63,0.63,0
2590860,2000-08-01,DYSL,0.63,0.63,0.63,0.63,0.63,0
2590861,2000-08-02,DYSL,0.63,0.63,0.63,0.63,0.63,0
2590862,2000-08-03,DYSL,0.63,0.63,0.63,0.63,0.63,0
2590863,2000-08-04,DYSL,0.63,0.63,0.63,0.63,0.63,0
2590864,2000-08-07,DYSL,1.0,1.0,1.0,1.0,1.0,400
2590865,2000-08-08,DYSL,0.98,1.0,0.98,1.0,1.0,600
2590866,2000-08-09,DYSL,0.78,0.78,0.78,0.78,0.78,300
2590867,2000-08-10,DYSL,0.78,0.78,0.78,0.78,0.78,0
2590868,2000-08-11,DYSL,0.78,0.78,0.78,0.78,0.78,0
2590869,2000-08-14,DYSL,0.69,0.69,0.69,0.69,0.69,1000
2590870,2000-08-15,DYSL,0.69,0.69,0.69,0.69,0.69,0
2590871,2000-08-16,DYSL,0.98,1.88,0.98,1.75,1.75,56100
2590872,2000-08-17,DYSL,1.73,1.91,1.5,1.63,1.63,97500
2590873,2000-08-18,DYSL,1.72,1.72,1.28,1.47,1.47,45300
2590874,2000-08-21,DYSL,1.47,2.31,1.28,2.16,2.16,289300
2590875,2000-08-22,DYSL,2.16,2.16,1.72,1.72,1.72,86500
2590876,2000-08-23,DYSL,1.75,1.75,1.25,1.5,1.5,44500
2590877,2000-08-24,DYSL,1.44,1.75,1.19,1.5,1.5,45300
2590878,2000-08-25,DYSL,1.5,1.56,1.47,1.5,1.5,23100
2590879,2000-08-28,DYSL,1.56,1.97,1.55,1.94,1.94,116000
2590880,2000-08-29,DYSL,1.91,1.94,1.84,1.84,1.84,30800
2590881,2000-08-30,DYSL,1.91,1.94,1.75,1.84,1.84,25500
2590882,2000-08-31,DYSL,1.88,1.91,1.81,1.91,1.91,23000
2590883,2000-09-01,DYSL,1.91,1.94,1.84,1.94,1.94,17800
2590884,2000-09-05,DYSL,2.0,2.31,2.0,2.25,2.25,182000
2590885,2000-09-06,DYSL,2.31,2.31,2.0,2.06,2.06,84800
2590886,2000-09-07,DYSL,2.06,2.06,1.91,2.03,2.03,11900
2590887,2000-09-08,DYSL,1.91,1.94,1.81,1.91,1.91,32800
2590888,2000-09-11,DYSL,1.91,1.94,1.81,1.84,1.84,9800
2590889,2000-09-12,DYSL,1.81,1.88,1.81,1.86,1.86,4400
2590890,2000-09-13,DYSL,1.81,1.88,1.75,1.88,1.88,7400
2590891,2000-09-14,DYSL,1.88,1.88,1.63,1.69,1.69,15600
2590892,2000-09-15,DYSL,1.63,1.63,1.5,1.5,1.5,40000
2590893,2000-09-18,DYSL,1.5,1.56,1.44,1.44,1.44,32800
2590894,2000-09-19,DYSL,1.44,1.5,1.31,1.5,1.5,18200
2590895,2000-09-20,DYSL,1.34,1.5,1.34,1.5,1.5,700
2590896,2000-09-21,DYSL,1.34,1.5,1.34,1.44,1.44,700
2590897,2000-09-22,DYSL,1.34,1.38,1.06,1.38,1.38,24700
2590898,2000-09-25,DYSL,1.19,1.19,1.19,1.19,1.19,1000
2590899,2000-09-26,DYSL,1.38,1.38,1.38,1.38,1.38,400
2590900,2000-09-27,DYSL,1.5,1.75,1.5,1.69,1.69,36000
2590901,2000-09-28,DYSL,1.69,1.69,1.5,1.63,1.63,3100
2590902,2000-09-29,DYSL,1.63,1.63,1.63,1.63,1.63,2000
2590903,2000-10-02,DYSL,1.56,1.56,1.44,1.44,1.44,5000
2590904,2000-10-03,DYSL,1.44,1.44,1.44,1.44,1.44,1100
2590905,2000-10-04,DYSL,1.44,1.5,1.44,1.44,1.44,6200
2590906,2000-10-05,DYSL,1.56,1.56,1.56,1.56,1.56,2200
2590907,2000-10-06,DYSL,1.44,1.5,1.31,1.31,1.31,5900
2590908,2000-10-09,DYSL,1.31,1.38,1.31,1.38,1.38,400
2590909,2000-10-10,DYSL,1.5,1.5,1.31,1.31,1.31,1500
2590910,2000-10-11,DYSL,1.31,1.44,1.31,1.44,1.44,6600
2590911,2000-10-12,DYSL,1.5,1.5,1.31,1.47,1.47,15400
2590912,2000-10-13,DYSL,1.56,1.56,1.41,1.56,1.56,3700
2590913,2000-10-16,DYSL,1.56,1.63,1.5,1.63,1.63,19500
2590914,2000-10-17,DYSL,1.63,1.63,1.56,1.56,1.56,9400
2590915,2000-10-18,DYSL,1.63,1.63,1.5,1.5,1.5,4200
2590916,2000-10-19,DYSL,1.63,1.69,1.56,1.56,1.56,12400
2590917,2000-10-20,DYSL,1.44,1.75,1.25,1.63,1.63,34800
2590918,2000-10-23,DYSL,1.69,1.94,1.69,1.94,1.94,25100
2590919,2000-10-24,DYSL,1.75,1.94,1.56,1.75,1.75,11900
2590920,2000-10-25,DYSL,1.63,1.69,1.63,1.63,1.63,3500
2590921,2000-10-26,DYSL,1.56,1.56,1.56,1.56,1.56,1500
2590922,2000-10-27,DYSL,1.5,1.63,1.5,1.63,1.63,2800
2590923,2000-10-30,DYSL,1.81,1.81,1.44,1.81,1.81,3900
2590924,2000-10-31,DYSL,1.81,1.94,1.81,1.94,1.94,1500
2590925,2000-11-01,DYSL,1.94,1.94,1.44,1.94,1.94,3000
2590926,2000-11-02,DYSL,1.94,2.0,1.75,2.0,2.0,9800
2590927,2000-11-03,DYSL,1.98,1.98,1.56,1.69,1.69,5500
2590928,2000-11-06,DYSL,2.0,2.0,1.97,1.97,1.97,5000
2590929,2000-11-07,DYSL,2.0,2.0,1.94,1.94,1.94,3200
2590930,2000-11-08,DYSL,1.88,1.88,1.63,1.63,1.63,4000
2590931,2000-11-09,DYSL,1.75,1.88,1.75,1.88,1.88,2700
2590932,2000-11-10,DYSL,1.63,1.7,1.63,1.63,1.63,9800
2590933,2000-11-13,DYSL,1.56,1.56,1.56,1.56,1.56,1000
2590934,2000-11-14,DYSL,1.69,1.69,1.69,1.69,1.69,100
2590935,2000-11-15,DYSL,1.69,1.69,1.69,1.69,1.69,0
2590936,2000-11-16,DYSL,1.69,1.69,1.56,1.63,1.63,12000
2590937,2000-11-17,DYSL,1.63,1.63,1.63,1.63,1.63,100
2590938,2000-11-20,DYSL,1.56,1.56,1.44,1.5,1.5,2600
2590939,2000-11-21,DYSL,1.13,1.38,1.13,1.38,1.38,10300
2590940,2000-11-22,DYSL,1.38,1.44,1.25,1.38,1.38,6600
2590941,2000-11-24,DYSL,1.38,1.44,1.38,1.44,1.44,400
2590942,2000-11-27,DYSL,1.38,1.38,1.38,1.38,1.38,200
2590943,2000-11-28,DYSL,1.38,1.44,1.38,1.44,1.44,2100
2590944,2000-11-29,DYSL,1.44,1.44,1.38,1.38,1.38,700
2590945,2000-11-30,DYSL,1.38,1.38,1.38,1.38,1.38,1000
2590946,2000-12-01,DYSL,1.44,1.44,1.25,1.31,1.31,3600
2590947,2000-12-04,DYSL,1.27,1.31,1.25,1.25,1.25,3100
2590948,2000-12-05,DYSL,1.25,1.44,1.25,1.44,1.44,2700
2590949,2000-12-06,DYSL,1.19,1.44,1.19,1.44,1.44,3000
2590950,2000-12-07,DYSL,1.25,1.38,1.0,1.38,1.38,10700
2590951,2000-12-08,DYSL,1.0,1.38,1.0,1.38,1.38,3300
2590952,2000-12-11,DYSL,1.13,1.38,1.13,1.38,1.38,7000
2590953,2000-12-12,DYSL,1.38,1.38,1.38,1.38,1.38,0
2590954,2000-12-13,DYSL,1.13,1.13,1.13,1.13,1.13,500
2590955,2000-12-14,DYSL,1.0,1.06,1.0,1.06,1.06,1200
2590956,2000-12-15,DYSL,1.06,1.06,1.06,1.06,1.06,0
2590957,2000-12-18,DYSL,1.0,1.09,1.0,1.09,1.09,1500
2590958,2000-12-19,DYSL,1.09,1.09,1.09,1.09,1.09,0
2590959,2000-12-20,DYSL,1.0,1.0,0.94,0.94,0.94,23500
2590960,2000-12-21,DYSL,0.75,1.31,0.75,1.06,1.06,35700
2590961,2000-12-22,DYSL,1.31,1.31,1.06,1.06,1.06,3900
2590962,2000-12-26,DYSL,1.13,1.13,1.13,1.13,1.13,6800
2590963,2000-12-27,DYSL,1.0,1.19,0.94,1.19,1.19,6700
2590964,2000-12-28,DYSL,1.13,1.19,1.13,1.19,1.19,6600
2590965,2000-12-29,DYSL,1.19,1.5,1.19,1.25,1.25,25200
2590966,2001-01-02,DYSL,1.38,1.38,1.38,1.38,1.38,200
2590967,2001-01-03,DYSL,1.38,1.38,1.38,1.38,1.38,0
2590968,2001-01-04,DYSL,1.38,1.38,1.25,1.38,1.38,3500
2590969,2001-01-05,DYSL,1.38,1.38,1.38,1.38,1.38,9500
2590970,2001-01-08,DYSL,1.38,1.38,1.38,1.38,1.38,2400
2590971,2001-01-09,DYSL,1.5,1.5,1.38,1.38,1.38,2700
2590972,2001-01-10,DYSL,1.38,1.5,1.38,1.5,1.5,1300
2590973,2001-01-11,DYSL,1.44,1.81,1.44,1.81,1.81,1400
2590974,2001-01-12,DYSL,1.81,2.13,1.81,1.81,1.81,24300
2590975,2001-01-16,DYSL,1.81,2.19,1.81,2.19,2.19,17000
2590976,2001-01-17,DYSL,2.19,2.19,2.06,2.19,2.19,15700
2590977,2001-01-18,DYSL,2.19,2.19,1.94,1.94,1.94,10300
2590978,2001-01-19,DYSL,2.19,2.19,2.13,2.13,2.13,4300
2590979,2001-01-22,DYSL,2.19,2.56,2.13,2.44,2.44,72400
2590980,2001-01-23,DYSL,2.44,2.47,2.31,2.31,2.31,23300
2590981,2001-01-24,DYSL,2.38,2.81,2.31,2.81,2.81,152800
2590982,2001-01-25,DYSL,2.81,4.0,2.75,2.81,2.81,62400
2590983,2001-01-26,DYSL,2.69,3.0,2.5,2.94,2.94,80900
2590984,2001-01-29,DYSL,3.13,4.06,3.13,3.5,3.5,140000
2590985,2001-01-30,DYSL,3.63,3.88,3.56,3.81,3.81,113400
2590986,2001-01-31,DYSL,3.81,3.81,3.0,3.23,3.23,94400
2590987,2001-02-01,DYSL,3.23,3.23,2.91,3.23,3.23,15300
2590988,2001-02-02,DYSL,3.25,3.25,3.06,3.06,3.06,10700
2590989,2001-02-05,DYSL,2.98,3.22,2.94,3.19,3.19,22200
2590990,2001-02-06,DYSL,3.25,3.5,3.13,3.38,3.38,17600
2590991,2001-02-07,DYSL,3.5,3.5,3.0,3.06,3.06,18200
2590992,2001-02-08,DYSL,3.06,3.13,3.0,3.13,3.13,20100
2590993,2001-02-09,DYSL,3.31,3.31,3.25,3.25,3.25,2200
2590994,2001-02-12,DYSL,3.0,3.0,3.0,3.0,3.0,3100
2590995,2001-02-13,DYSL,3.0,3.09,2.75,2.75,2.75,11600
2590996,2001-02-14,DYSL,2.75,3.0,2.5,2.5,2.5,14000
2590997,2001-02-15,DYSL,2.5,2.75,2.5,2.52,2.52,18400
2590998,2001-02-16,DYSL,2.38,2.44,2.38,2.44,2.44,2300
2590999,2001-02-20,DYSL,2.5,2.5,2.38,2.38,2.38,25100
2591000,2001-02-21,DYSL,2.13,2.5,2.13,2.5,2.5,7000
2591001,2001-02-22,DYSL,2.27,2.44,2.25,2.44,2.44,7400
2591002,2001-02-23,DYSL,2.25,2.5,2.13,2.41,2.41,10600
