,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3526693,2018-01-16,GLBZ,11.5,11.5,11.5,11.5,11.31,0
3526694,2018-01-17,GLBZ,11.48,11.48,11.48,11.48,11.29,300
3526695,2018-01-18,GLBZ,11.47,11.47,11.47,11.47,11.28,200
3526696,2018-01-19,GLBZ,11.59,11.6,11.54,11.59,11.4,5500
3526697,2018-01-22,GLBZ,11.66,11.75,11.66,11.69,11.5,1900
3526698,2018-01-23,GLBZ,11.8,11.8,11.74,11.75,11.55,1900
3526699,2018-01-24,GLBZ,11.75,11.75,11.75,11.75,11.55,0
3526700,2018-01-25,GLBZ,11.88,11.9,11.88,11.9,11.7,1000
3526701,2018-01-26,GLBZ,11.95,11.95,11.87,11.95,11.75,800
3526702,2018-01-29,GLBZ,12.0,12.0,11.96,11.96,11.76,900
3526703,2018-01-30,GLBZ,11.98,11.98,11.98,11.98,11.78,200
3526704,2018-01-31,GLBZ,11.97,11.97,11.97,11.97,11.77,2000
3526705,2018-02-01,GLBZ,12.0,12.0,12.0,12.0,11.8,1000
3526706,2018-02-02,GLBZ,12.06,12.2,12.0,12.08,11.88,7100
3526707,2018-02-05,GLBZ,12.1,12.15,12.1,12.12,11.92,2100
3526708,2018-02-06,GLBZ,12.09,12.11,12.09,12.11,11.91,2400
3526709,2018-02-07,GLBZ,12.11,12.11,12.11,12.11,11.91,0
3526710,2018-02-08,GLBZ,12.06,12.06,12.02,12.02,11.82,200
3526711,2018-02-09,GLBZ,12.02,12.02,12.02,12.02,11.92,0
3526712,2018-02-12,GLBZ,11.97,11.97,11.97,11.97,11.87,300
3526713,2018-02-13,GLBZ,11.97,11.97,11.97,11.97,11.87,0
3526714,2018-02-14,GLBZ,11.96,13.42,11.96,13.42,13.31,700
3526715,2018-02-15,GLBZ,12.08,12.16,11.95,11.99,11.89,2800
3526716,2018-02-16,GLBZ,11.99,11.99,11.99,11.99,11.89,0
3526717,2018-02-20,GLBZ,12.0,12.0,11.98,11.98,11.88,1000
3526718,2018-02-21,GLBZ,12.16,12.16,12.09,12.09,11.99,400
3526719,2018-02-22,GLBZ,12.1,12.1,11.95,12.1,12.0,3400
3526720,2018-02-23,GLBZ,12.07,12.1,12.06,12.1,12.0,2300
3526721,2018-02-26,GLBZ,11.95,12.09,11.95,12.09,11.99,2100
3526722,2018-02-27,GLBZ,12.09,12.09,12.09,12.09,11.99,0
3526723,2018-02-28,GLBZ,12.09,12.09,12.09,12.09,11.99,300
3526724,2018-03-01,GLBZ,12.0,12.0,11.98,11.98,11.88,1500
3526725,2018-03-02,GLBZ,12.0,12.0,12.0,12.0,11.9,600
3526726,2018-03-05,GLBZ,12.0,12.0,11.95,12.0,11.9,13200
3526727,2018-03-06,GLBZ,12.0,12.0,11.95,11.95,11.85,400
3526728,2018-03-07,GLBZ,11.95,11.95,11.9,11.9,11.8,8100
3526729,2018-03-08,GLBZ,11.95,11.97,11.9,11.9,11.8,1400
3526730,2018-03-09,GLBZ,11.9,11.91,11.9,11.91,11.81,9700
3526731,2018-03-12,GLBZ,11.98,12.73,11.97,12.3,12.2,14700
3526732,2018-03-13,GLBZ,12.3,12.3,12.3,12.3,12.2,0
3526733,2018-03-14,GLBZ,12.28,12.28,12.25,12.25,12.15,2600
3526734,2018-03-15,GLBZ,12.25,12.25,12.25,12.25,12.15,0
3526735,2018-03-16,GLBZ,12.25,12.25,12.25,12.25,12.15,0
3526736,2018-03-19,GLBZ,12.25,12.25,12.25,12.25,12.15,0
3526737,2018-03-20,GLBZ,12.25,12.25,12.25,12.25,12.15,500
3526738,2018-03-21,GLBZ,12.25,12.25,12.22,12.25,12.15,1100
3526739,2018-03-22,GLBZ,12.23,12.23,12.23,12.23,12.13,300
3526740,2018-03-23,GLBZ,12.22,12.22,12.02,12.02,11.92,2700
3526741,2018-03-26,GLBZ,12.0,12.0,12.0,12.0,11.9,200
3526742,2018-03-27,GLBZ,12.04,12.04,12.04,12.04,11.94,300
3526743,2018-03-28,GLBZ,12.04,12.04,12.0,12.0,11.9,1000
3526744,2018-03-29,GLBZ,12.1,12.1,12.03,12.1,12.0,1100
3526745,2018-04-02,GLBZ,12.1,12.1,12.1,12.1,12.0,0
3526746,2018-04-03,GLBZ,12.1,12.1,11.95,11.95,11.85,900
3526747,2018-04-04,GLBZ,12.01,12.1,12.01,12.1,12.0,1100
3526748,2018-04-05,GLBZ,12.1,12.1,12.1,12.1,12.0,0
