,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4219313,2018-06-14,INDUU,10.44,10.44,10.44,10.44,10.44,0
4219314,2018-07-05,INDUU,10.54,10.54,10.54,10.54,10.54,150000
4219315,2018-07-09,INDUU,10.53,10.55,10.53,10.55,10.55,0
4219316,2018-07-19,INDUU,11.0,11.0,11.0,11.0,11.0,250
4219317,2018-07-25,INDUU,11.0,11.0,11.0,11.0,11.0,200
4219318,2018-08-02,INDUU,10.58,10.58,10.58,10.58,10.58,0
4219319,2018-08-29,INDUU,10.5,10.5,10.5,10.5,10.5,0
4219320,2018-09-13,INDUU,11.1,11.1,11.1,11.1,11.1,0
4219321,2018-09-21,INDUU,11.15,11.15,11.13,11.13,11.13,502000
4219322,2018-10-04,INDUU,11.2,11.23,11.2,11.22,11.22,3650
