,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4241764,2014-12-16,INSE,9.55,9.55,9.55,9.55,9.55,200
4241765,2014-12-17,INSE,9.55,9.55,9.55,9.55,9.55,0
4241766,2014-12-18,INSE,9.46,9.55,9.45,9.55,9.55,1500
4241767,2014-12-19,INSE,9.55,9.55,9.55,9.55,9.55,0
4241768,2014-12-22,INSE,9.55,9.55,9.55,9.55,9.55,0
4241769,2014-12-23,INSE,9.55,9.55,9.55,9.55,9.55,0
4241770,2014-12-24,INSE,9.54,9.54,9.54,9.54,9.54,500
4241771,2014-12-26,INSE,9.54,9.54,9.54,9.54,9.54,0
4241772,2014-12-29,INSE,9.54,9.54,9.54,9.54,9.54,0
4241773,2014-12-30,INSE,9.54,9.54,9.54,9.54,9.54,0
4241774,2014-12-31,INSE,9.54,9.54,9.54,9.54,9.54,0
4241775,2015-01-02,INSE,9.54,9.54,9.54,9.54,9.54,0
4241776,2015-01-05,INSE,9.54,9.54,9.54,9.54,9.54,0
4241777,2015-01-06,INSE,9.54,9.54,9.54,9.54,9.54,0
4241778,2015-01-07,INSE,9.54,9.54,9.54,9.54,9.54,0
4241779,2015-01-08,INSE,9.54,9.54,9.54,9.54,9.54,0
4241780,2015-01-09,INSE,9.54,9.54,9.54,9.54,9.54,0
4241781,2015-01-12,INSE,9.54,9.54,9.54,9.54,9.54,0
4241782,2015-01-13,INSE,9.54,9.54,9.54,9.54,9.54,0
4241783,2015-01-14,INSE,9.54,9.54,9.54,9.54,9.54,0
4241784,2015-01-15,INSE,9.54,9.54,9.54,9.54,9.54,0
4241785,2015-01-16,INSE,9.54,9.54,9.54,9.54,9.54,0
4241786,2015-01-20,INSE,9.54,9.54,9.54,9.54,9.54,0
4241787,2015-01-21,INSE,9.54,9.54,9.54,9.54,9.54,0
4241788,2015-01-22,INSE,9.54,9.54,9.54,9.54,9.54,0
4241789,2015-01-23,INSE,9.54,9.54,9.54,9.54,9.54,0
4241790,2015-01-26,INSE,9.54,9.54,9.54,9.54,9.54,0
4241791,2015-01-27,INSE,9.56,9.56,9.56,9.56,9.56,100
4241792,2015-01-28,INSE,9.52,9.52,9.52,9.52,9.52,300
4241793,2015-01-29,INSE,9.52,9.52,9.52,9.52,9.52,0
4241794,2015-01-30,INSE,9.47,9.52,9.47,9.48,9.48,3300
4241795,2015-02-02,INSE,9.48,9.5,9.48,9.5,9.5,2000
4241796,2015-02-03,INSE,9.5,9.5,9.5,9.5,9.5,31000
4241797,2015-02-04,INSE,9.5,9.5,9.5,9.5,9.5,0
4241798,2015-02-05,INSE,9.5,9.5,9.5,9.5,9.5,0
4241799,2015-02-06,INSE,9.5,9.5,9.5,9.5,9.5,0
4241800,2015-02-09,INSE,9.5,9.5,9.5,9.5,9.5,0
4241801,2015-02-10,INSE,9.5,9.5,9.5,9.5,9.5,0
4241802,2015-02-11,INSE,9.49,9.52,9.49,9.5,9.5,6600
4241803,2015-02-12,INSE,9.5,9.5,9.5,9.5,9.5,0
4241804,2015-02-13,INSE,9.5,9.5,9.5,9.5,9.5,0
4241805,2015-02-17,INSE,9.5,9.5,9.5,9.5,9.5,0
4241806,2015-02-18,INSE,9.5,9.5,9.5,9.5,9.5,0
4241807,2015-02-19,INSE,9.5,9.5,9.5,9.5,9.5,0
4241808,2015-02-20,INSE,9.5,9.5,9.5,9.5,9.5,1100
4241809,2015-02-23,INSE,9.5,9.5,9.5,9.5,9.5,0
4241810,2015-02-24,INSE,9.48,9.5,9.48,9.5,9.5,19000
4241811,2015-02-25,INSE,9.5,9.5,9.5,9.5,9.5,2100
4241812,2015-02-26,INSE,9.5,9.5,9.5,9.5,9.5,0
4241813,2015-02-27,INSE,9.5,9.5,9.5,9.5,9.5,0
4241814,2015-03-02,INSE,9.48,9.49,9.48,9.49,9.49,2000
4241815,2015-03-03,INSE,9.49,9.53,9.49,9.53,9.53,1300
4241816,2015-03-04,INSE,9.53,9.53,9.53,9.53,9.53,0
4241817,2015-03-05,INSE,9.53,9.53,9.53,9.53,9.53,200
4241818,2015-03-06,INSE,9.49,9.49,9.49,9.49,9.49,2000
4241819,2015-03-09,INSE,9.5,9.5,9.5,9.5,9.5,1000
4241820,2015-03-10,INSE,9.5,9.5,9.5,9.5,9.5,0
4241821,2015-03-11,INSE,9.5,9.5,9.5,9.5,9.5,0
4241822,2015-03-12,INSE,9.5,9.5,9.5,9.5,9.5,0
4241823,2015-03-13,INSE,9.5,9.5,9.5,9.5,9.5,0
4241824,2015-03-16,INSE,9.5,9.5,9.5,9.5,9.5,0
4241825,2015-03-17,INSE,9.49,9.52,9.49,9.52,9.52,9200
4241826,2015-03-18,INSE,9.52,9.52,9.52,9.52,9.52,0
4241827,2015-03-19,INSE,9.52,9.52,9.52,9.52,9.52,0
4241828,2015-03-20,INSE,9.53,9.55,9.53,9.55,9.55,10400
4241829,2015-03-23,INSE,9.54,9.54,9.54,9.54,9.54,2500
4241830,2015-03-24,INSE,9.54,9.54,9.54,9.54,9.54,0
