,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4280381,2004-10-05,INVA,15.31,15.36,13.7,14.59,13.59,5576400
4280382,2004-10-06,INVA,14.57,15.04,14.27,14.54,13.54,468200
4280383,2004-10-07,INVA,14.83,15.0,14.12,14.71,13.69,428000
4280384,2004-10-08,INVA,14.5,14.75,14.32,14.71,13.69,89800
4280385,2004-10-11,INVA,14.63,14.71,14.5,14.5,13.5,127300
4280386,2004-10-12,INVA,14.5,14.59,14.12,14.42,13.43,191200
4280387,2004-10-13,INVA,14.42,14.5,14.12,14.39,13.4,40500
4280388,2004-10-14,INVA,14.34,14.38,13.62,13.87,12.91,465700
4280389,2004-10-15,INVA,14.05,14.69,13.7,14.62,13.61,242900
4280390,2004-10-18,INVA,14.63,14.63,14.18,14.5,13.5,14500
4280391,2004-10-19,INVA,14.18,15.31,14.11,14.52,13.52,93900
4280392,2004-10-20,INVA,14.67,15.11,14.22,14.71,13.69,569200
4280393,2004-10-21,INVA,14.59,14.96,14.23,14.88,13.85,615100
4280394,2004-10-22,INVA,14.63,14.63,13.72,14.21,13.23,695300
4280395,2004-10-25,INVA,13.94,14.34,13.62,13.68,12.74,33100
4280396,2004-10-26,INVA,13.67,14.22,13.28,13.8,12.85,57400
4280397,2004-10-27,INVA,14.34,14.34,13.38,13.9,12.94,13600
4280398,2004-10-28,INVA,13.4,14.1,13.4,13.7,12.75,59300
4280399,2004-10-29,INVA,13.7,13.85,13.54,13.67,12.73,65800
4280400,2004-11-01,INVA,13.66,13.7,13.3,13.34,12.42,59500
4280401,2004-11-02,INVA,13.3,13.3,12.5,13.13,12.23,865800
4280402,2004-11-03,INVA,12.93,14.36,12.93,13.26,12.34,15000
4280403,2004-11-04,INVA,13.84,13.84,12.89,13.43,12.51,64700
4280404,2004-11-05,INVA,13.62,13.62,13.09,13.36,12.44,6400
4280405,2004-11-08,INVA,13.3,13.68,13.09,13.3,12.38,17000
4280406,2004-11-09,INVA,13.38,13.62,13.09,13.42,12.49,45500
4280407,2004-11-10,INVA,13.42,13.42,13.09,13.24,12.33,28700
4280408,2004-11-11,INVA,13.24,13.57,13.09,13.3,12.38,377700
4280409,2004-11-12,INVA,13.3,13.42,13.01,13.22,12.31,45600
4280410,2004-11-15,INVA,13.26,13.26,12.89,13.01,12.12,31100
4280411,2004-11-16,INVA,12.89,12.93,12.1,12.82,11.94,232100
4280412,2004-11-17,INVA,12.65,12.89,12.49,12.85,11.97,110500
4280413,2004-11-18,INVA,12.79,12.79,12.49,12.62,11.75,23700
4280414,2004-11-19,INVA,12.77,12.77,12.14,12.41,11.55,84700
4280415,2004-11-22,INVA,12.49,12.88,12.41,12.88,12.0,127600
4280416,2004-11-23,INVA,12.97,14.17,12.76,12.89,12.0,68900
4280417,2004-11-24,INVA,13.02,13.68,12.89,13.64,12.7,78100
4280418,2004-11-26,INVA,13.7,14.15,13.62,13.62,12.68,13500
4280419,2004-11-29,INVA,13.76,13.86,13.44,13.85,12.9,30900
4280420,2004-11-30,INVA,13.9,14.44,13.82,14.19,13.21,36300
4280421,2004-12-01,INVA,14.09,14.5,13.98,14.38,13.39,53100
4280422,2004-12-02,INVA,14.5,14.5,14.25,14.5,13.5,40200
4280423,2004-12-03,INVA,14.5,14.59,13.97,14.33,13.34,36100
4280424,2004-12-06,INVA,14.45,14.5,13.7,14.44,13.44,121900
4280425,2004-12-07,INVA,14.47,14.49,13.79,13.87,12.91,16700
4280426,2004-12-08,INVA,13.9,14.39,13.7,13.97,13.01,163400
4280427,2004-12-09,INVA,13.84,14.42,13.71,14.05,13.08,19900
4280428,2004-12-10,INVA,14.1,14.9,14.09,14.51,13.51,67000
4280429,2004-12-13,INVA,14.45,14.45,13.42,13.82,12.87,164400
4280430,2004-12-14,INVA,13.7,13.85,13.54,13.59,12.65,102100
4280431,2004-12-15,INVA,13.62,13.88,13.58,13.68,12.74,32100
4280432,2004-12-16,INVA,13.62,14.21,13.43,13.72,12.78,63400
4280433,2004-12-17,INVA,13.59,14.05,13.38,13.88,12.93,84200
4280434,2004-12-20,INVA,13.88,14.05,13.78,13.88,12.93,15800
4280435,2004-12-21,INVA,13.75,14.01,13.7,13.87,12.91,7900
4280436,2004-12-22,INVA,13.79,14.31,13.78,13.97,13.01,4300
4280437,2004-12-23,INVA,13.95,14.38,13.95,14.02,13.05,4400
4280438,2004-12-27,INVA,14.0,14.77,14.0,14.34,13.35,29000
4280439,2004-12-28,INVA,14.17,14.85,14.17,14.64,13.63,33500
4280440,2004-12-29,INVA,14.37,14.59,14.37,14.47,13.47,11600
4280441,2004-12-30,INVA,14.37,14.63,14.37,14.49,13.49,18200
4280442,2004-12-31,INVA,14.34,14.59,14.34,14.42,13.43,12400
4280443,2005-01-03,INVA,14.67,14.67,14.29,14.3,13.32,6400
4280444,2005-01-04,INVA,14.3,14.3,13.94,13.94,12.98,4700
4280445,2005-01-05,INVA,13.95,14.23,13.56,13.7,12.75,51000
4280446,2005-01-06,INVA,13.66,13.81,13.38,13.5,12.57,104800
4280447,2005-01-07,INVA,13.54,13.54,13.43,13.51,12.57,25600
4280448,2005-01-10,INVA,13.54,13.7,13.32,13.46,12.53,53600
4280449,2005-01-11,INVA,13.46,13.59,13.3,13.59,12.65,12000
4280450,2005-01-12,INVA,13.58,13.58,13.46,13.46,12.54,2600
4280451,2005-01-13,INVA,13.69,13.7,13.3,13.46,12.53,54900
4280452,2005-01-14,INVA,13.67,13.67,13.32,13.32,12.4,19400
4280453,2005-01-18,INVA,13.63,13.63,13.38,13.62,12.68,5300
4280454,2005-01-19,INVA,13.62,13.62,13.34,13.54,12.6,13600
4280455,2005-01-20,INVA,13.6,13.7,13.42,13.7,12.75,47000
4280456,2005-01-21,INVA,13.7,13.79,13.46,13.74,12.79,134200
4280457,2005-01-24,INVA,13.75,13.75,13.66,13.66,12.72,49300
4280458,2005-01-25,INVA,13.73,13.73,13.68,13.68,12.74,11000
4280459,2005-01-26,INVA,13.62,13.72,13.62,13.7,12.75,12900
4280460,2005-01-27,INVA,13.62,14.03,13.62,13.92,12.96,558800
4280461,2005-01-28,INVA,13.65,14.0,13.65,13.88,12.92,700
4280462,2005-01-31,INVA,14.06,14.58,13.9,14.53,13.53,6700
4280463,2005-02-01,INVA,14.54,15.71,14.54,14.69,13.68,41300
4280464,2005-02-02,INVA,14.69,14.83,14.09,14.71,13.7,17900
4280465,2005-02-03,INVA,14.71,14.71,14.34,14.47,13.47,52200
4280466,2005-02-04,INVA,14.5,15.71,14.5,14.83,13.8,19400
4280467,2005-02-07,INVA,14.93,14.99,14.78,14.78,13.76,14200
4280468,2005-02-08,INVA,14.76,14.83,14.75,14.81,13.79,4300
4280469,2005-02-09,INVA,14.83,14.83,14.74,14.83,13.8,8100
4280470,2005-02-10,INVA,14.83,14.83,14.69,14.8,13.78,39800
4280471,2005-02-11,INVA,14.71,14.83,14.71,14.72,13.71,16500
4280472,2005-02-14,INVA,14.83,14.83,14.71,14.77,13.75,17600
4280473,2005-02-15,INVA,14.77,14.77,14.71,14.71,13.69,1700
4280474,2005-02-16,INVA,14.79,14.81,14.71,14.77,13.75,6900
4280475,2005-02-17,INVA,14.71,14.79,14.71,14.71,13.69,1400
4280476,2005-02-18,INVA,14.79,14.94,14.71,14.83,13.81,4800
4280477,2005-02-22,INVA,14.83,14.83,14.68,14.68,13.67,6900
4280478,2005-02-23,INVA,14.83,14.83,14.46,14.5,13.5,27900
4280479,2005-02-24,INVA,14.5,14.52,14.42,14.47,13.47,5900
4280480,2005-02-25,INVA,14.52,14.53,14.47,14.5,13.5,9000
4280481,2005-02-28,INVA,14.5,14.53,14.42,14.51,13.51,34800
4280482,2005-03-01,INVA,14.47,14.54,14.35,14.46,13.47,348700
4280483,2005-03-02,INVA,14.5,14.59,14.37,14.5,13.5,144500
4280484,2005-03-03,INVA,14.7,15.01,14.42,14.5,13.5,354800
