,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4569896,2013-12-12,KIN,8.75,12.72,8.75,11.95,11.95,1132800
4569897,2013-12-13,KIN,12.4,14.06,11.65,12.2,12.2,217400
4569898,2013-12-16,KIN,12.02,12.47,11.75,12.0,12.0,98400
4569899,2013-12-17,KIN,12.0,12.4,11.95,12.12,12.12,59000
4569900,2013-12-18,KIN,11.95,12.22,11.79,11.93,11.93,44200
4569901,2013-12-19,KIN,11.8,12.85,11.8,12.32,12.32,55900
4569902,2013-12-20,KIN,12.2,12.5,12.07,12.37,12.37,20000
4569903,2013-12-23,KIN,12.45,13.0,11.81,12.28,12.28,113200
4569904,2013-12-24,KIN,12.49,12.58,12.1,12.15,12.15,32500
4569905,2013-12-26,KIN,12.15,12.15,11.53,11.85,11.85,41100
4569906,2013-12-27,KIN,11.51,11.68,11.03,11.61,11.61,68700
4569907,2013-12-30,KIN,11.61,11.81,10.74,11.0,11.0,91200
4569908,2013-12-31,KIN,11.15,11.29,10.8,11.17,11.17,69600
4569909,2014-01-02,KIN,11.28,11.28,10.75,10.95,10.95,80000
4569910,2014-01-03,KIN,11.07,11.1,10.55,10.79,10.79,42500
4569911,2014-01-06,KIN,10.4,10.7,9.99,10.39,10.39,144700
4569912,2014-01-07,KIN,10.22,10.95,10.15,10.7,10.7,88800
4569913,2014-01-08,KIN,10.6,10.8,10.32,10.63,10.63,39700
4569914,2014-01-09,KIN,10.87,11.56,10.61,11.14,11.14,103000
4569915,2014-01-10,KIN,13.15,13.5,12.1,12.75,12.75,210400
4569916,2014-01-13,KIN,13.5,13.5,12.74,13.3,13.3,107300
4569917,2014-01-14,KIN,13.5,13.6,12.77,13.41,13.41,124700
4569918,2014-01-15,KIN,13.55,17.27,13.55,15.56,15.56,329400
4569919,2014-01-16,KIN,15.99,16.5,15.75,16.05,16.05,293100
4569920,2014-01-17,KIN,16.0,16.22,15.75,15.77,15.77,104200
4569921,2014-01-21,KIN,15.75,16.13,15.75,16.13,16.13,90000
4569922,2014-01-22,KIN,16.13,16.87,16.13,16.43,16.43,113100
4569923,2014-01-23,KIN,16.18,16.21,15.9,16.11,16.11,29800
4569924,2014-01-24,KIN,16.95,17.0,14.0,15.3,15.3,100000
4569925,2014-01-27,KIN,15.34,15.35,14.16,14.66,14.66,78800
4569926,2014-01-28,KIN,14.81,16.0,14.71,15.68,15.68,29400
4569927,2014-01-29,KIN,15.8,16.3,14.82,15.83,15.83,25400
4569928,2014-01-30,KIN,15.92,17.25,15.92,16.5,16.5,134200
4569929,2014-01-31,KIN,16.43,16.66,15.52,15.53,15.53,27400
4569930,2014-02-03,KIN,15.67,16.15,14.88,15.41,15.41,53900
4569931,2014-02-04,KIN,16.17,16.75,15.93,16.52,16.52,31200
4569932,2014-02-05,KIN,16.53,16.75,16.05,16.58,16.58,17200
4569933,2014-02-06,KIN,16.63,16.74,16.29,16.48,16.48,28000
4569934,2014-02-07,KIN,16.58,17.5,16.54,17.26,17.26,89000
4569935,2014-02-10,KIN,17.36,19.9,17.34,19.63,19.63,80200
4569936,2014-02-11,KIN,19.72,19.72,18.89,19.5,19.5,60400
4569937,2014-02-12,KIN,19.69,19.75,18.8,19.32,19.32,92200
4569938,2014-02-13,KIN,19.02,19.63,18.8,19.3,19.3,66700
4569939,2014-02-14,KIN,19.29,19.29,19.1,19.23,19.23,31500
4569940,2014-02-18,KIN,19.74,19.74,19.05,19.2,19.2,72200
4569941,2014-02-19,KIN,19.2,19.69,19.03,19.36,19.36,22600
4569942,2014-02-20,KIN,19.35,20.61,19.01,20.29,20.29,60300
4569943,2014-02-21,KIN,20.5,22.63,20.3,21.42,21.42,80900
4569944,2014-02-24,KIN,23.03,23.03,21.63,22.12,22.12,102500
4569945,2014-02-25,KIN,23.02,25.76,23.0,24.94,24.94,326300
4569946,2014-02-26,KIN,25.0,26.88,24.12,26.5,26.5,124000
4569947,2014-02-27,KIN,26.24,26.89,26.07,26.4,26.4,77500
4569948,2014-02-28,KIN,26.25,26.83,20.06,22.56,22.56,251600
4569949,2014-03-03,KIN,22.23,25.64,21.62,25.09,25.09,148600
4569950,2014-03-04,KIN,25.5,26.16,24.42,25.42,25.42,123900
4569951,2014-03-05,KIN,25.28,26.15,24.75,25.0,25.0,117400
4569952,2014-03-06,KIN,25.74,25.74,23.66,24.58,24.58,104600
4569953,2014-03-07,KIN,23.0,24.99,22.2,24.58,24.58,170300
4569954,2014-03-10,KIN,24.71,26.45,24.31,24.4,24.4,95200
4569955,2014-03-11,KIN,24.59,25.49,23.85,24.32,24.32,87500
4569956,2014-03-12,KIN,24.29,25.64,23.37,25.09,25.09,102300
4569957,2014-03-13,KIN,25.39,25.87,23.93,24.72,24.72,68100
4569958,2014-03-14,KIN,25.0,26.99,23.62,24.24,24.24,151600
4569959,2014-03-17,KIN,24.33,24.89,23.5,24.28,24.28,73900
4569960,2014-03-18,KIN,24.55,25.64,23.69,25.01,25.01,132800
4569961,2014-03-19,KIN,24.96,25.8,24.17,24.46,24.46,80800
