,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4706245,2005-09-08,LBTYK,12.35,12.45,11.98,11.98,11.98,8704000
4706246,2005-09-09,LBTYK,12.0,12.13,11.76,12.02,12.02,6069600
4706247,2005-09-12,LBTYK,11.98,12.9,11.98,12.82,12.82,4062800
4706248,2005-09-13,LBTYK,12.72,13.03,12.65,12.99,12.99,2285200
4706249,2005-09-14,LBTYK,12.62,13.19,12.6,13.02,13.02,6112400
4706250,2005-09-15,LBTYK,12.97,13.04,12.85,12.91,12.91,1121400
4706251,2005-09-16,LBTYK,12.76,13.06,12.75,12.9,12.9,1735000
4706252,2005-09-19,LBTYK,12.82,13.05,12.5,12.52,12.52,2627600
4706253,2005-09-20,LBTYK,12.94,12.94,12.59,12.75,12.75,1373000
4706254,2005-09-21,LBTYK,12.85,12.9,12.58,12.63,12.63,3027000
4706255,2005-09-22,LBTYK,12.6,12.66,12.48,12.49,12.49,2100000
4706256,2005-09-23,LBTYK,12.52,12.9,12.45,12.74,12.74,1359600
4706257,2005-09-26,LBTYK,12.74,12.86,12.48,12.48,12.48,1013000
4706258,2005-09-27,LBTYK,12.67,12.67,12.5,12.5,12.5,1860600
4706259,2005-09-28,LBTYK,12.48,12.6,12.32,12.32,12.32,1641000
4706260,2005-09-29,LBTYK,12.32,12.45,12.01,12.15,12.15,3970600
4706261,2005-09-30,LBTYK,12.02,12.94,12.02,12.88,12.88,3393200
4706262,2005-10-03,LBTYK,12.93,13.01,12.55,12.77,12.77,2520200
4706263,2005-10-04,LBTYK,12.67,12.99,12.65,12.93,12.93,2201200
4706264,2005-10-05,LBTYK,12.81,13.0,12.76,12.77,12.77,2986000
4706265,2005-10-06,LBTYK,12.75,12.95,12.69,12.75,12.75,1042000
4706266,2005-10-07,LBTYK,12.66,12.92,12.49,12.54,12.54,1250600
4706267,2005-10-10,LBTYK,12.4,12.52,12.38,12.4,12.4,423200
4706268,2005-10-11,LBTYK,12.38,12.56,12.29,12.34,12.34,7816400
4706269,2005-10-12,LBTYK,12.28,12.35,11.95,12.05,12.05,3273000
4706270,2005-10-13,LBTYK,11.98,12.06,11.5,11.65,11.65,3515000
4706271,2005-10-14,LBTYK,11.7,11.87,11.4,11.82,11.82,1237600
4706272,2005-10-17,LBTYK,11.77,11.81,11.63,11.7,11.7,2007400
4706273,2005-10-18,LBTYK,11.82,11.91,11.52,11.61,11.61,2749600
4706274,2005-10-19,LBTYK,11.55,11.69,11.27,11.65,11.65,1957200
4706275,2005-10-20,LBTYK,11.61,11.9,11.61,11.78,11.78,815800
4706276,2005-10-21,LBTYK,11.77,12.02,11.74,11.99,11.99,1290800
4706277,2005-10-24,LBTYK,11.94,12.18,11.88,12.16,12.16,799000
4706278,2005-10-25,LBTYK,11.98,12.23,11.98,12.15,12.15,626800
4706279,2005-10-26,LBTYK,12.05,12.19,11.98,11.98,11.98,1196200
