,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5543827,2017-07-10,NEWA,22.1,22.1,22.1,22.1,22.1,0
5543828,2017-07-11,NEWA,22.12,22.12,22.12,22.12,22.12,0
5543829,2017-07-12,NEWA,22.36,22.36,22.36,22.36,22.36,0
5543830,2017-07-28,NEWA,7.84,9.8,7.32,8.93,8.93,156200
5543831,2017-07-31,NEWA,9.03,9.15,8.5,8.66,8.66,65800
5543832,2017-08-01,NEWA,8.5,8.65,7.85,7.85,7.85,65500
5543833,2017-08-02,NEWA,7.9,8.28,7.4,8.0,8.0,79300
5543834,2017-08-03,NEWA,8.09,10.68,8.05,10.57,10.57,119600
5543835,2017-08-04,NEWA,10.5,10.57,8.73,9.01,9.01,78600
5543836,2017-08-07,NEWA,9.37,9.88,8.62,9.88,9.88,54200
5543837,2017-08-08,NEWA,10.0,10.17,9.03,9.2,9.2,36200
5543838,2017-08-09,NEWA,9.19,9.77,8.53,9.77,9.77,58800
5543839,2017-08-10,NEWA,9.95,9.95,8.77,8.88,8.88,65300
5543840,2017-08-11,NEWA,8.7,8.9,7.6,8.9,8.9,57700
5543841,2017-08-14,NEWA,8.2,10.0,8.2,9.7,9.7,59700
5543842,2017-08-15,NEWA,9.2,9.7,8.71,9.3,9.3,62000
5543843,2017-08-16,NEWA,8.71,9.6,8.71,9.19,9.19,33200
5543844,2017-08-17,NEWA,9.3,11.6,9.05,11.0,11.0,208500
5543845,2017-08-18,NEWA,10.95,11.0,10.13,10.79,10.79,80000
5543846,2017-08-21,NEWA,10.3,11.55,10.05,11.36,11.36,84400
5543847,2017-08-22,NEWA,11.36,11.8,11.15,11.27,11.27,68800
5543848,2017-08-23,NEWA,11.23,11.43,10.57,10.95,10.95,64000
5543849,2017-08-24,NEWA,11.0,11.36,9.85,10.03,10.03,131700
5543850,2017-08-25,NEWA,10.4,10.4,9.55,9.76,9.76,183100
5543851,2017-08-28,NEWA,9.82,9.99,9.67,9.79,9.79,97800
5543852,2017-08-29,NEWA,9.66,9.71,8.93,9.2,9.2,68800
5543853,2017-08-30,NEWA,9.19,9.2,8.82,9.1,9.1,40500
5543854,2017-08-31,NEWA,9.1,9.1,8.82,8.85,8.85,29500
5543855,2017-09-01,NEWA,9.0,9.02,8.56,8.71,8.71,32600
5543856,2017-09-05,NEWA,8.71,8.71,8.36,8.57,8.57,11400
5543857,2017-09-06,NEWA,8.53,8.6,8.03,8.25,8.25,58600
5543858,2017-09-07,NEWA,8.1,8.25,7.73,8.05,8.05,63300
5543859,2017-09-08,NEWA,8.1,8.14,7.8,8.03,8.03,82500
5543860,2017-09-11,NEWA,8.07,8.97,7.81,8.97,8.97,50900
5543861,2017-09-12,NEWA,8.95,9.82,8.53,9.21,9.21,117800
5543862,2017-09-13,NEWA,9.6,9.6,8.82,8.82,8.82,42400
5543863,2017-09-14,NEWA,8.8,8.8,8.2,8.26,8.26,101700
5543864,2017-09-15,NEWA,8.35,8.47,7.9,8.27,8.27,101600
5543865,2017-09-18,NEWA,8.27,8.56,8.1,8.39,8.39,116700
5543866,2017-09-19,NEWA,8.3,8.75,8.14,8.59,8.59,83200
5543867,2017-09-20,NEWA,8.56,9.8,8.27,9.61,9.61,270100
5543868,2017-09-21,NEWA,9.87,10.98,9.5,9.5,9.5,320700
5543869,2017-09-22,NEWA,9.45,10.01,8.55,8.63,8.63,155900
